Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
1,4466,126,0.020,4466,0,,0, 
2,9716,126,0.020,9716,0,,0, 
3,10154,96,0.020,10154,0,七対子,16, 萬子1 萬子1 萬子1 萬子1 萬子6 萬子6 萬子6 萬子6 筒子2 筒子2 筒子2 筒子2 白ちゃん 白ちゃん
4,9755,105,0.020,9755,0,七対子,16, 萬子1 萬子1 萬子1 萬子1 萬子6 萬子6 筒子2 筒子2 筒子2 筒子2 索子7 索子7 西風 西風
5,9894,117,0.020,9894,0,七対子,16, 萬子1 萬子1 萬子4 萬子4 筒子2 筒子2 索子4 索子4 索子8 索子8 西風 西風 西風 西風
6,3066,126,0.020,3066,0,,0, 
7,17390,115,0.020,17390,0,赤ドラ1 七対子 五門斉,16, 萬子3 萬子3 萬子4 萬子4 筒子5 筒子5赤ドラ 索子7 索子7 索子8 索子8 東風 東風 白ちゃん 白ちゃん
8,14836,126,0.020,14836,0,,0, 
9,-244,126,0.020,-244,0,,0, 
10,17000,55,0.020,17000,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子6 萬子6 筒子2 筒子2 筒子3 筒子3 筒子5赤ドラ 筒子5 筒子5 筒子5 索子4 索子4
11,1646,126,0.020,1646,0,,0, 
12,10652,54,0.020,10652,0,七対子,16, 萬子1 萬子1 萬子6 萬子6 筒子3 筒子3 筒子5 筒子5 索子7 索子7 白ちゃん 白ちゃん 白ちゃん 白ちゃん
13,5756,126,0.020,5756,0,,0, 
14,7176,126,0.020,7176,0,,0, 
15,19016,126,0.020,19016,0,,0, 
16,1066,126,0.020,1066,0,,0, 
17,32050,120,0.020,32050,0,七対子,16, 萬子3 萬子3 萬子4 萬子4 萬子5 萬子5 筒子3 筒子3 索子4 索子4 白ちゃん 白ちゃん 中ちゃん 中ちゃん
18,246,126,0.020,246,0,,0, 
19,-984,126,0.020,-984,0,,0, 
20,14512,72,0.020,14512,0,赤ドラ1 七対子,16, 萬子3 萬子3 萬子4 萬子4 索子4 索子4 索子5赤ドラ 索子5 索子7 索子7 索子8 索子8 索子8 索子8
21,24575,125,0.020,24575,0,七対子 五門斉,16, 萬子1 萬子1 筒子5 筒子5 索子7 索子7 索子8 索子8 北風 北風 白ちゃん 白ちゃん 中ちゃん 中ちゃん
22,9606,126,0.020,9606,0,,0, 
23,4886,126,0.020,4886,0,,0, 
24,3526,126,0.020,3526,0,,0, 
25,246,126,0.020,246,0,,0, 
26,21542,111,0.020,21542,0,赤ドラ1 七対子 五門斉,16, 萬子4 萬子4 筒子5赤ドラ 筒子5 索子7 索子7 索子8 索子8 南風 南風 東風 東風 白ちゃん 白ちゃん
27,13386,126,0.020,13386,0,,0, 
28,9387,61,0.020,9387,0,七対子,16, 萬子1 萬子1 萬子4 萬子4 筒子4 筒子4 索子2 索子2 索子4 索子4 索子7 索子7 索子8 索子8
29,28293,123,0.020,28293,0,七対子 五門斉,16, 萬子1 萬子1 筒子3 筒子3 筒子5 筒子5 索子7 索子7 索子8 索子8 北風 北風 白ちゃん 白ちゃん
30,20470,37,0.020,20470,0,七対子 五門斉,16, 萬子1 萬子1 筒子3 筒子3 筒子5 筒子5 索子4 索子4 西風 北風 北風 西風 白ちゃん 白ちゃん
31,41298,119,0.020,41298,0,七対子 五門斉,16, 萬子1 萬子1 萬子6 萬子6 筒子2 筒子2 索子7 索子7 索子8 索子8 西風 西風 白ちゃん 白ちゃん
32,12006,126,0.020,12006,0,,0, 
33,10716,126,0.020,10716,0,,0, 
34,126,126,0.020,126,0,,0, 
35,17954,117,0.020,17954,0,七対子,16, 萬子3 萬子3 萬子4 萬子4 萬子6 萬子6 萬子8 萬子8 筒子5 筒子5 索子7 索子7 索子8 索子8
36,2416,126,0.020,2416,0,,0, 
37,14894,96,0.020,14894,0,赤ドラ1 七対子,16, 萬子3 萬子3 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5赤ドラ 筒子5 筒子5 索子7 索子7 北風 北風
38,1696,126,0.020,1696,0,,0, 
39,10244,112,0.020,10244,0,赤ドラ2 七対子,16, 萬子3 萬子3 萬子3 萬子3 萬子5赤ドラ 萬子5 筒子2 筒子2 筒子5 筒子5赤ドラ 南風 南風 白ちゃん 白ちゃん
40,12066,126,0.020,12066,0,,0, 
41,-984,126,0.020,-984,0,,0, 
42,25435,65,0.020,25435,0,赤ドラ1 七対子 五門斉,16, 萬子4 萬子4 萬子5 萬子5 筒子5赤ドラ 筒子5 筒子7 筒子7 索子7 索子7 北風 北風 白ちゃん 白ちゃん
43,9656,126,0.020,9656,0,,0, 
44,9522,104,0.020,9522,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子4 萬子4 萬子5 萬子5赤ドラ 筒子3 筒子3 西風 北風 西風 北風 白ちゃん 白ちゃん
45,6896,126,0.020,6896,0,,0, 
46,37881,107,0.020,37881,0,七対子 五門斉,16, 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 索子7 索子7 北風 北風 西風 西風 白ちゃん 白ちゃん
47,4276,126,0.020,4276,0,,0, 
48,20656,68,0.020,20656,0,赤ドラ2 七対子,16, 萬子3 萬子3 萬子3 萬子3 萬子4 萬子4 萬子5赤ドラ 萬子5 筒子5赤ドラ 筒子5 索子4 索子4 西風 西風
49,32525,125,0.020,32525,0,赤ドラ1 七対子,16, 萬子3 萬子3 萬子6 萬子6 萬子9 萬子9 筒子5赤ドラ 筒子5 索子4 索子4 索子7 索子7 白ちゃん 白ちゃん
50,2386,126,0.020,2386,0,,0, 
51,11755,81,0.020,11755,0,七対子,16, 萬子4 萬子4 萬子6 萬子6 筒子5 筒子5 索子4 索子4 索子7 索子7 索子9 索子9 白ちゃん 白ちゃん
52,8818,64,0.020,8818,0,七対子,16, 萬子3 萬子3 萬子4 萬子4 萬子5 萬子5 萬子6 萬子6 索子4 索子4 索子7 索子7 索子8 索子8
53,-984,126,0.020,-984,0,,0, 
54,11906,126,0.020,11906,0,,0, 
