Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
1,South,164,107,0.035,0,,220,0,0,
2,East,326,107,0.035,0,,380,0,0,
3,South,254,108,0.035,0,,310,0,0,
4,North,514,107,0.035,0,,570,0,0,
5,West,244,107,0.035,0,,300,0,0,
6,South,366,107,0.035,0,,420,0,0,
7,North,422,108,0.035,0,,480,0,0,
8,South,264,107,0.035,0,,320,0,0,
9,North,304,107,0.035,0,,360,0,0,
10,North,402,108,0.035,0,,460,0,0,
11,South,142,108,0.035,0,,200,0,0,
12,North,284,107,0.035,0,,340,0,0,
13,South,262,108,0.035,0,,320,0,0,
14,North,136,107,0.035,0,,190,0,0,
15,South,244,107,0.035,0,,300,0,0,
16,South,4712,107,0.035,0,,970,0,7,
17,North,86,107,0.035,0,,140,0,0,
18,East,284,107,0.035,0,,340,0,0,
19,West,254,108,0.035,0,,310,0,0,
20,North,304,107,0.035,0,,360,0,0,
21,South,302,108,0.035,0,,360,0,0,
22,North,1412,107,0.035,0,,670,0,1,
23,South,46,107,0.035,0,,100,0,0,
24,East,234,107,0.035,0,,290,0,0,
25,East,304,107,0.035,0,,360,0,0,
26,South,126,107,0.035,0,,180,0,0,
27,West,94,107,0.035,0,,150,0,0,
28,South,542,108,0.035,0,,600,0,0,
29,West,94,107,0.035,0,,150,0,0,
30,West,76,107,0.035,0,,130,0,0,
31,South,324,107,0.035,0,,380,0,0,
32,East,214,108,0.035,0,,270,0,0,
33,North,374,107,0.035,0,,430,0,0,
34,West,304,107,0.035,0,,360,0,0,
35,North,234,108,0.035,0,,290,0,0,
36,North,584,107,0.035,0,,640,0,0,
37,East,384,107,0.035,0,,440,0,0,
38,South,44,108,0.035,0,,100,0,0,
39,West,496,107,0.035,0,,550,0,0,
40,South,16,107,0.035,0,,70,0,0,
41,South,264,107,0.035,0,,320,0,0,
42,West,184,107,0.035,0,,240,0,0,
43,East,224,107,0.035,0,,280,0,0,
44,North,164,107,0.035,0,,220,0,0,
45,South,224,107,0.035,0,,280,0,0,
46,West,264,108,0.035,0,,320,0,0,
47,West,264,107,0.035,0,,320,0,0,
48,East,114,108,0.035,0,,170,0,0,
49,West,432,107,0.035,0,,490,0,0,
50,South,16,107,0.035,0,,70,0,0,
51,East,326,107,0.035,0,,380,0,0,
52,West,66,107,0.035,0,,120,0,0,
53,East,282,107,0.035,0,,340,0,0,
54,West,246,107,0.035,0,,300,0,0,
55,West,244,108,0.035,0,,300,0,0,
56,North,64,107,0.035,0,,120,0,0,
57,East,124,108,0.035,0,,180,0,0,
58,West,352,108,0.035,0,,410,0,0,
59,South,424,107,0.035,0,,480,0,0,
60,North,244,107,0.035,0,,300,0,0,
61,North,394,108,0.035,0,,450,0,0,
62,East,-54,107,0.035,0,,0,0,0,
63,North,494,107,0.035,0,,550,0,0,
64,South,294,107,0.035,0,,350,0,0,
65,South,74,107,0.035,0,,130,0,0,
66,East,194,107,0.035,0,,250,0,0,
67,West,204,107,0.035,0,,260,0,0,
68,East,154,107,0.035,0,,210,0,0,
69,South,712,107,0.035,0,,770,0,0,
70,South,244,107,0.035,0,,300,0,0,
71,East,94,107,0.035,0,,150,0,0,
72,East,256,107,0.035,0,,310,0,0,
73,North,124,108,0.035,0,,180,0,0,
74,West,404,107,0.035,0,,460,0,0,
75,South,424,107,0.035,0,,480,0,0,
76,North,386,107,0.035,0,,440,0,0,
77,East,284,108,0.035,0,,340,0,0,
78,East,782,107,0.035,0,,840,0,0,
79,South,166,107,0.035,0,,220,0,0,
80,East,-54,107,0.035,0,,0,0,0,
81,West,296,107,0.035,0,,350,0,0,
82,East,134,107,0.035,0,,190,0,0,
83,North,174,107,0.035,0,,230,0,0,
84,West,16,107,0.035,0,,70,0,0,
85,South,444,107,0.035,0,,500,0,0,
86,North,282,108,0.035,0,,340,0,0,
87,East,454,107,0.035,0,,510,0,0,
88,West,444,107,0.035,0,,500,0,0,
89,West,324,108,0.035,0,,380,0,0,
90,South,446,107,0.035,0,,500,0,0,
91,East,242,108,0.035,0,,300,0,0,
92,South,254,107,0.035,0,,310,0,0,
93,South,222,108,0.035,0,,280,0,0,
94,East,-6,107,0.035,0,,50,0,0,
95,North,354,108,0.035,0,,410,0,0,
96,South,164,107,0.035,0,,220,0,0,
97,West,274,108,0.035,0,,330,0,0,
98,South,11552,107,0.035,0,發 対々和,660,0,4,萬子2 萬子2 萬子6 萬子6 萬子6 副露筒子2 副露筒子2 副露筒子2 副露筒子3 副露筒子3 副露筒子3 副露發ちゃん 副露發ちゃん 副露發ちゃん
99,South,144,108,0.035,0,,200,0,0,
100,North,6,107,0.035,0,,60,0,0,
101,West,-4,107,0.035,0,,50,0,0,
102,North,146,107,0.035,0,,200,0,0,
103,North,116,107,0.035,0,,170,0,0,
104,West,132,108,0.035,0,,190,0,0,
105,West,284,108,0.035,0,,340,0,0,
106,West,124,107,0.035,0,,180,0,0,
107,South,324,107,0.035,0,,380,0,0,
108,East,54,107,0.035,0,,110,0,0,
109,East,244,107,0.035,0,,300,0,0,
110,East,86,107,0.035,0,,140,0,0,
111,East,-44,107,0.035,0,,10,0,0,
112,South,106,107,0.035,0,,160,0,0,
113,West,304,107,0.035,0,,360,0,0,
114,East,234,107,0.035,0,,290,0,0,
115,North,106,107,0.035,0,,160,0,0,
116,West,74,107,0.035,0,,130,0,0,
117,South,354,107,0.035,0,,410,0,0,
118,East,1344,107,0.035,0,,400,0,2,
119,East,14,107,0.035,0,,70,0,0,
120,West,194,107,0.035,0,,250,0,0,
121,North,394,108,0.035,0,,450,0,0,
122,North,204,107,0.035,0,,260,0,0,
123,West,372,108,0.035,0,,430,0,0,
124,West,106,107,0.035,0,,160,0,0,
125,South,214,107,0.035,0,,270,0,0,
126,West,612,107,0.035,0,,670,0,0,
127,North,64,108,0.035,0,,120,0,0,
128,South,254,107,0.035,0,,310,0,0,
129,West,184,108,0.035,0,,240,0,0,
130,West,514,108,0.035,0,,570,0,0,
131,West,24,107,0.035,0,,80,0,0,
132,East,234,107,0.035,0,,290,0,0,
133,East,144,107,0.035,0,,200,0,0,
134,East,136,107,0.035,0,,190,0,0,
135,North,132,108,0.035,0,,190,0,0,
136,East,272,107,0.035,0,,330,0,0,
137,South,524,107,0.035,0,,580,0,0,
138,West,66,107,0.035,0,,120,0,0,
139,West,214,107,0.035,0,,270,0,0,
140,South,214,107,0.035,0,,270,0,0,
141,North,266,107,0.035,0,,320,0,0,
142,North,372,107,0.035,0,,430,0,0,
143,South,174,108,0.035,0,,230,0,0,
144,East,276,107,0.035,0,,330,0,0,
145,West,114,107,0.035,0,,170,0,0,
146,East,184,107,0.035,0,,240,0,0,
147,South,-44,107,0.035,0,,10,0,0,
148,West,254,107,0.035,0,,310,0,0,
149,South,344,107,0.035,0,,400,0,0,
150,North,224,107,0.035,0,,280,0,0,
151,West,362,108,0.035,0,,420,0,0,
152,East,184,108,0.035,0,,240,0,0,
153,East,282,108,0.035,0,,340,0,0,
154,South,144,108,0.035,0,,200,0,0,
155,South,452,107,0.035,0,,510,0,0,
156,East,214,107,0.035,0,,270,0,0,
157,East,434,107,0.035,0,,490,0,0,
158,West,302,107,0.035,0,,360,0,0,
159,South,214,107,0.035,0,,270,0,0,
160,East,294,107,0.035,0,,350,0,0,
161,North,-14,107,0.035,0,,40,0,0,
162,West,184,108,0.035,0,,240,0,0,
163,West,224,107,0.035,0,,280,0,0,
164,South,266,107,0.035,0,,320,0,0,
165,West,294,107,0.035,0,,350,0,0,
166,North,104,107,0.035,0,,160,0,0,
167,North,452,108,0.035,0,,510,0,0,
168,North,154,108,0.035,0,,210,0,0,
169,East,254,107,0.035,0,,310,0,0,
170,West,362,108,0.035,0,,420,0,0,
171,East,344,107,0.035,0,,400,0,0,
172,South,372,107,0.035,0,,430,0,0,
173,South,204,107,0.035,0,,260,0,0,
174,North,96,107,0.035,0,,150,0,0,
175,North,174,108,0.035,0,,230,0,0,
176,East,114,107,0.035,0,,170,0,0,
177,North,264,107,0.035,0,,320,0,0,
178,East,422,107,0.035,0,,480,0,0,
179,East,126,107,0.035,0,,180,0,0,
180,South,124,107,0.035,0,,180,0,0,
181,North,184,107,0.035,0,,240,0,0,
182,South,334,107,0.035,0,,390,0,0,
183,West,124,107,0.035,0,,180,0,0,
184,East,116,107,0.035,0,,170,0,0,
185,South,74,108,0.035,0,,130,0,0,
186,East,294,107,0.035,0,,350,0,0,
187,East,74,108,0.035,0,,130,0,0,
188,South,1242,107,0.035,0,,500,0,1,
189,East,224,107,0.035,0,,280,0,0,
190,South,384,108,0.035,0,,440,0,0,
191,South,96,107,0.035,0,,150,0,0,
192,West,116,107,0.035,0,,170,0,0,
193,East,26,107,0.035,0,,80,0,0,
194,North,184,107,0.035,0,,240,0,0,
195,South,362,108,0.035,0,,420,0,0,
196,West,106,107,0.035,0,,160,0,0,
197,North,462,107,0.035,0,,520,0,0,
198,East,494,108,0.035,0,,550,0,0,
199,West,114,107,0.035,0,,170,0,0,
200,West,1482,107,0.035,0,,540,0,2,
201,West,572,108,0.035,0,,630,0,0,
202,East,226,107,0.035,0,,280,0,0,
203,East,234,108,0.035,0,,290,0,0,
204,West,314,107,0.035,0,,370,0,0,
205,North,264,107,0.035,0,,320,0,0,
206,West,454,107,0.035,0,,510,0,0,
207,East,314,107,0.035,0,,370,0,0,
208,West,214,108,0.035,0,,270,0,0,
209,West,54,108,0.035,0,,110,0,0,
210,East,154,108,0.035,0,,210,0,0,
211,West,164,108,0.035,0,,220,0,0,
212,East,274,107,0.035,0,,330,0,0,
213,East,94,107,0.035,0,,150,0,0,
214,West,364,107,0.035,0,,420,0,0,
215,South,344,107,0.035,0,,400,0,0,
216,South,302,107,0.035,0,,360,0,0,
217,North,72,107,0.035,0,,130,0,0,
218,South,174,107,0.035,0,,230,0,0,
219,West,302,108,0.035,0,,360,0,0,
220,West,414,107,0.035,0,,470,0,0,
221,West,174,107,0.035,0,,230,0,0,
222,South,244,107,0.035,0,,300,0,0,
223,East,264,108,0.035,0,,320,0,0,
224,East,-54,107,0.035,0,,0,0,0,
225,North,156,107,0.035,0,,210,0,0,
