Filename,Average Turn,Average Score,Top Tiles,Yaku Frequencies
test_AI_対々和O_200.csv,103.65,3752.00,"中ちゃん (715), 發ちゃん (602), 白ちゃん (503), 西風 (399), 北風 (379), 索子9 (339), 東風 (338), 南風 (325), 索子8 (294), 萬子1 (273), 索子7 (254), 索子6 (229), 索子4 (136), 索子5 (123), 筒子9 (123), 索子1 (114), 筒子8 (111), 索子3 (101), 筒子6 (99), 筒子1 (97)","混一色 (67), 対々和 (67), 發 (43), 白 (39), 中 (37), 赤ドラ1 (23), 字一色 (19), 小三元 (13), 東 (12), 七対子 (12), 混全帯么九 (11), 西 (10), 大三元 (8), 三風刻 (5), 三連刻 (5), 小三風 (5), 南 (5), 三暗刻 (4), 北 (4), 混老頭 (4), 清一色 (3), 四暗刻 (2), 大七星 (2), 五門斉 (1), 断么九 (1), 客風三刻 (1)"
test_AI_三色通貫C_100.csv,102.74,1428.00,"萬子8 (663), 萬子7 (584), 萬子9 (578), 筒子2 (558), 筒子1 (550), 萬子6 (473), 筒子3 (456), 萬子4 (332), 筒子4 (307), 萬子3 (304), 萬子5 (290), 萬子1 (246), 萬子2 (221), 筒子5 (153), 筒子6 (112), 萬子5赤ドラ (104), 筒子7 (88), 索子2 (87), 筒子9 (84), 筒子8 (82)","清一色 (79), 赤ドラ1 (45), 断么九 (11), 三連刻 (10), 七対子 (8), 対々和 (8), 三暗刻 (5), 一気通貫 (4), 純全帯么九 (3), 三色通貫 (1), 四暗刻 (1), 混一色 (1), 赤ドラ2 (1), 混全帯么九 (1), 三色同順 (1)"
test_AI_対々和N_300.csv,103.86,3402.00,"中ちゃん (1062), 發ちゃん (982), 白ちゃん (856), 北風 (605), 西風 (358), 萬子1 (274), 萬子2 (270), 索子9 (257), 南風 (236), 東風 (229), 萬子9 (158), 萬子3 (148), 索子8 (138), 筒子9 (102), 萬子8 (98), 萬子4 (88), 萬子7 (85), 索子7 (77), 萬子6 (77), 索子6 (52)","対々和 (94), 混一色 (79), 中 (69), 發 (61), 白 (52), 混全帯么九 (33), 混老頭 (27), 小三元 (24), 大三元 (14), 七対子 (8), 北 (7), 小三風 (4), 東 (4), 西 (4), 南 (3), 三暗刻 (3), 赤ドラ1 (2), 五門斉 (1), 三風刻 (1), 四暗刻 (1), 客風三刻 (1)"
test_AI_対々和M_300.csv,104.43,2824.00,"中ちゃん (926), 發ちゃん (833), 白ちゃん (759), 北風 (556), 西風 (466), 萬子1 (396), 南風 (339), 東風 (276), 萬子2 (212), 萬子3 (176), 萬子4 (160), 萬子6 (127), 萬子7 (100), 索子9 (99), 萬子8 (94), 萬子5 (89), 萬子9 (86), 索子8 (79), 索子6 (78), 筒子3 (74)","混一色 (77), 対々和 (74), 中 (45), 發 (43), 白 (42), 小三元 (18), 混老頭 (17), 混全帯么九 (16), 赤ドラ1 (15), 南 (10), 北 (8), 七対子 (7), 字一色 (6), 東 (5), 大三元 (4), 西 (4), 三風刻 (4), 三暗刻 (3), 三連刻 (3), 四暗刻 (2), 客風三刻 (1), 四喜和 (1), 小三風 (1), 清一色 (1)"
test_AI_三色通貫D_100.csv,107.28,274.00,"筒子7 (326), 筒子9 (312), 筒子8 (299), 筒子6 (281), 索子2 (277), 索子3 (273), 萬子1 (271), 索子7 (255), 索子9 (254), 索子8 (250), 索子1 (238), 索子6 (237), 筒子4 (222), 筒子2 (219), 筒子3 (214), 筒子1 (212), 索子4 (204), 萬子2 (201), 筒子5 (181), 索子5 (172)","混一色 (13), 赤ドラ1 (10), 対々和 (6), 清一色 (5), 断么九 (4), 七対子 (2), 發 (2), 混全帯么九 (2), 三連刻 (2), 中 (1), 五門斉 (1), 北 (1), 白 (1), 西 (1), 一気通貫 (1), 三色小同刻 (1)"
test_AI_三色通貫E_200.csv,108.30,254.00,"筒子2 (460), 筒子1 (410), 萬子9 (394), 萬子8 (338), 筒子3 (335), 萬子7 (271), 索子1 (268), 筒子9 (243), 筒子8 (233), 筒子4 (232), 萬子6 (227), 中ちゃん (225), 萬子2 (217), 萬子1 (216), 索子2 (202), 萬子3 (165), 筒子7 (161), 索子3 (149), 萬子4 (148), 萬子5 (139)","混一色 (9), 赤ドラ1 (8), 清一色 (6), 対々和 (4), 三暗刻 (3), 七対子 (2), 發 (2), 三連刻 (2), 中 (2), 南 (1), 混全帯么九 (1), 小三風 (1), 北 (1), 白 (1), 断么九 (1)"
test_AI_三色通貫F_100.csv,108.83,176.00,"筒子3 (460), 萬子1 (407), 筒子4 (406), 筒子2 (403), 萬子2 (375), 筒子6 (292), 筒子1 (266), 筒子5 (260), 筒子7 (256), 筒子8 (249), 萬子9 (248), 萬子8 (215), 萬子3 (206), 萬子6 (199), 筒子9 (193), 萬子7 (186), 索子1 (176), 萬子4 (148), 索子2 (144), 萬子5 (135)","赤ドラ1 (12), 対々和 (7), 清一色 (5), 断么九 (3), 混一色 (1), 五門斉 (1), 三色同順 (1), 發 (1), 混全帯么九 (1), 三色通貫 (1), 三連刻 (1), 七対子 (1)"
test_AI_三色通貫A_final.csv,108.90,84.00,"萬子2 (549), 萬子1 (466), 萬子3 (444), 萬子4 (339), 索子8 (311), 索子7 (298), 索子9 (271), 萬子6 (256), 索子6 (244), 萬子5 (223), 索子3 (198), 筒子9 (190), 索子2 (185), 萬子7 (184), 索子1 (174), 筒子7 (171), 索子4 (166), 東風 (163), 筒子8 (161), 索子5 (149)","三色通貫 (5), 赤ドラ1 (4), 混一色 (4), 清一色 (1), 一気通貫 (1), 中 (1), 白 (1)"
test_AI_三色通貫G_200.csv,109.19,40.00,"索子9 (569), 東風 (456), 萬子1 (444), 索子8 (429), 南風 (267), 索子7 (252), 萬子2 (236), 萬子3 (228), 萬子7 (223), 萬子6 (216), 萬子8 (210), 萬子4 (204), 萬子5 (176), 索子6 (176), 萬子9 (171), 筒子9 (165), 西風 (145), 筒子1 (138), 筒子8 (137), 筒子2 (133)","七対子 (3), 赤ドラ1 (2), 三色小同刻 (1), 三色通貫 (1)"
test_AI_三色通貫B_100.csv,105.68,600.00,"索子8 (367), 索子9 (361), 索子7 (358), 索子6 (340), 萬子1 (339), 萬子3 (269), 萬子2 (240), 索子4 (239), 東風 (229), 筒子4 (218), 索子5 (213), 索子3 (210), 萬子4 (199), 筒子3 (188), 索子2 (180), 筒子2 (176), 筒子6 (175), 筒子7 (162), 萬子6 (160), 筒子5 (148)","混一色 (38), 赤ドラ1 (20), 清一色 (17), 發 (7), 対々和 (5), 中 (4), 一気通貫 (4), 白 (3), 南 (2), 断么九 (2), 混全帯么九 (1), 混老頭 (1), 西 (1), 三連刻 (1), 三色通貫 (1), 小三風 (1)"
