Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-22690,56,0.100,22690,,0,0,0,0,萬子1 萬子3 萬子4 萬子5 萬子5赤ドラ 筒子7 索子8 | 筒子1 筒子1 筒子1 筒子3 筒子4 筒子5
2,North,7950,55,0.100,-7950,,0,0,0,0,萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 萬子5 萬子6 萬子7 北風 發ちゃん 發ちゃん 中ちゃん | 
3,North,13290,46,0.100,-8450,中 混一色,0,0,0,28,萬子1 萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 萬子4 中ちゃん 中ちゃん 中ちゃん | 萬子6 萬子6 萬子6
4,South,5210,56,0.100,-5060,,0,0,0,5,萬子1 萬子2 萬子3 萬子6 萬子6 萬子6 萬子6 萬子8 中ちゃん 中ちゃん | 萬子5 萬子5 萬子5赤ドラ
5,West,-1700,56,0.100,6030,中 対々和,0,0,0,11,萬子2 萬子2 | 萬子1 萬子1 萬子1 萬子3 萬子3 萬子3 索子2 索子2 索子2 中ちゃん 中ちゃん 中ちゃん
6,South,21080,18,0.100,-6960,七対子 赤ドラ1 二槓子 断么九 清一色,0,0,0,4,萬子2 萬子2 萬子4 萬子4 萬子5 萬子5 萬子5 萬子5赤ドラ 萬子6 萬子6 萬子7 萬子7 萬子7 萬子7 | 
7,West,2500,55,0.100,-2290,,0,0,0,7,萬子2 萬子2 萬子2 萬子6 萬子8 東風 東風 | 萬子1 萬子1 萬子1 萬子5 萬子5赤ドラ 萬子5
8,West,-7040,55,0.100,7040,,0,0,0,0,萬子4 萬子4 萬子6 萬子7 萬子7 萬子9 索子2 索子9 南風 北風 | 白ちゃん 白ちゃん 白ちゃん
9,West,6430,56,0.100,-6430,,0,0,0,0,萬子2 萬子2 萬子2 筒子5赤ドラ 筒子5 筒子6 中ちゃん | 萬子1 萬子1 萬子1 萬子6 萬子6 萬子6
10,East,5590,56,0.100,-5590,,0,0,0,0,索子1 | 萬子1 萬子2 萬子3 萬子5 萬子5 萬子5 萬子7 萬子8 萬子9 索子7 索子8 索子9
11,South,2070,41,0.100,2080,赤ドラ1 混一色,0,0,0,5,萬子2 萬子2 萬子2 萬子3 萬子4 萬子5 萬子6 萬子7 萬子8 北風 北風 | 萬子5 萬子5 萬子5赤ドラ
12,South,-4350,54,0.100,4350,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子2 萬子4 萬子5 萬子5 萬子7 筒子2 筒子6 筒子7 筒子7 | 
13,North,1940,55,0.100,-1940,,0,0,0,0,萬子1 萬子2 萬子5赤ドラ 萬子6 萬子6 索子7 北風 白ちゃん 發ちゃん 中ちゃん | 萬子7 萬子7 萬子7
14,West,-760,55,0.100,760,,0,0,0,0,萬子2 萬子2 萬子5 萬子6 萬子6 萬子7 東風 西風 西風 中ちゃん | 萬子3 萬子4 萬子5
15,South,10720,33,0.100,-6660,赤ドラ1 混一色,0,0,0,2,萬子2 萬子3 萬子4 萬子5 萬子5赤ドラ 萬子5 發ちゃん 發ちゃん | 萬子1 萬子2 萬子3 北風 北風 北風
16,West,19520,54,0.100,-8400,赤ドラ1 平和 清一色 一盃口,0,0,0,4,萬子1 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3 萬子4 萬子4 萬子4 萬子5赤ドラ 萬子6 萬子6 萬子6 | 
17,East,19510,56,0.100,-19510,,0,0,0,0,萬子3 萬子4 萬子6 筒子1 筒子4 索子2 索子5 | 萬子5 萬子5 萬子5 萬子7 萬子8 萬子9
18,West,25850,55,0.100,-25160,,0,0,0,23,萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子4 萬子5 中ちゃん 中ちゃん | 萬子3 萬子4 萬子5
19,West,7100,56,0.100,-7100,,0,0,0,0,萬子2 筒子1 筒子7 中ちゃん | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 筒子7 筒子8 筒子9
20,West,23950,56,0.100,-23950,,0,0,0,0,萬子3 萬子3 萬子3 萬子4 萬子5 萬子7 萬子8 | 萬子2 萬子2 萬子2 萬子4 萬子4 萬子4
21,West,12710,56,0.100,-11720,,0,0,0,33,萬子4 萬子4 萬子4 萬子6 萬子6 萬子6 萬子8 萬子8 萬子8 筒子1 | 萬子9 萬子9 萬子9
22,South,-7360,56,0.100,7360,,0,0,0,0,萬子1 萬子4 萬子6 萬子7 萬子8 筒子1 索子5 索子6 索子9 發ちゃん | 萬子3 萬子3 萬子3
23,South,26440,56,0.100,-25270,,0,0,0,39,萬子1 萬子1 萬子2 萬子3 萬子4 萬子4 萬子5 | 萬子3 萬子3 萬子3 萬子6 萬子6 萬子6
24,East,11500,56,0.100,-11350,,0,0,0,5,萬子1 萬子1 萬子4 萬子4 萬子5 萬子5 萬子6 | 萬子1 萬子2 萬子3 萬子3 萬子4 萬子5
25,East,3800,56,0.100,-3800,,0,0,0,0,萬子1 萬子1 萬子1 萬子5 萬子6 筒子4 筒子9 筒子9 西風 北風 | 萬子2 萬子3 萬子4
26,East,20770,56,0.100,-20770,,0,0,0,0,萬子1 萬子2 萬子2 萬子5赤ドラ 萬子6 萬子8 筒子6 | 萬子3 萬子3 萬子3 萬子4 萬子4 萬子4
27,East,23040,55,0.100,-21810,,0,0,0,41,萬子1 萬子2 萬子2 萬子3 萬子3 萬子3 萬子4 萬子4 萬子5 萬子5 萬子6 萬子7 發ちゃん | 
28,East,29460,57,0.100,-29460,,0,0,0,0,萬子5 萬子7 筒子5赤ドラ 中ちゃん | 萬子3 萬子3 萬子3 萬子4 萬子4 萬子4 萬子5 萬子6 萬子7
29,West,22510,56,0.100,-22510,,0,0,0,0,萬子1 萬子1 萬子1 萬子5 萬子9 筒子4 南風 | 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3
30,South,10410,49,0.100,-2410,赤ドラ1 平和 清一色,0,0,0,0,萬子2 萬子3 萬子4 萬子5 萬子6 萬子7 萬子9 萬子9 | 萬子1 萬子2 萬子3 萬子4 萬子5赤ドラ 萬子6
31,South,39610,49,0.100,-28980,赤ドラ1 二槓子 清一色,0,0,0,21,萬子1 萬子2 萬子3 萬子5赤ドラ 萬子5 | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 萬子6 萬子6 萬子6
32,West,850,56,0.100,-850,,0,0,0,0,萬子1 萬子1 萬子4 萬子4 萬子5 萬子6 筒子2 | 萬子2 萬子2 萬子2 萬子6 萬子7 萬子8
33,East,-3930,57,0.100,3930,,0,0,0,0,萬子1 | 萬子2 萬子3 萬子4 萬子5 萬子5 萬子5 筒子1 筒子2 筒子3 筒子4 筒子4 筒子4
34,North,9320,39,0.100,-2290,赤ドラ1 清一色,0,0,0,1,萬子2 萬子2 萬子5 萬子6 萬子7 萬子8 萬子8 萬子8 | 萬子1 萬子2 萬子3 萬子4 萬子5赤ドラ 萬子6
35,North,9920,57,0.100,-9920,,0,0,0,0,萬子3 萬子6 萬子7 筒子2 | 萬子4 萬子5 萬子6 萬子6 萬子7 萬子8 索子1 索子1 索子1
36,South,25210,37,0.100,-15210,平和 清一色 三連刻,0,0,0,0,萬子1 萬子2 萬子3 萬子6 萬子6 | 萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 萬子7 萬子8 萬子9
37,West,14120,57,0.100,-13910,,0,0,0,7,萬子4 | 萬子1 萬子2 萬子2 萬子3 萬子3 萬子4 萬子5赤ドラ 萬子6 萬子7 萬子7 萬子8 萬子9
38,West,-6580,57,0.100,6580,,0,0,0,0,萬子2 萬子3 萬子9 萬子9 | 萬子1 萬子2 萬子3 萬子3 萬子4 萬子5赤ドラ 筒子1 筒子1 筒子1
39,South,14400,57,0.100,-14400,,0,0,0,0,萬子2 筒子2 索子1 索子4 | 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3 萬子4 萬子5赤ドラ 萬子6
40,South,-9050,55,0.100,9050,,0,0,0,0,萬子1 萬子4 萬子5 萬子7 筒子6 南風 白ちゃん | 萬子1 萬子2 萬子3 萬子3 萬子4 萬子5赤ドラ
41,North,1910,57,0.100,-1820,,0,0,0,3,萬子4 萬子4 萬子5赤ドラ 萬子7 | 萬子5 萬子5 萬子6 萬子6 萬子7 萬子7 索子2 索子3 索子4
42,South,7880,57,0.100,-7880,,0,0,0,0,萬子1 萬子2 萬子5 筒子1 | 萬子1 萬子2 萬子3 萬子4 萬子5 萬子6 筒子7 筒子8 筒子9
43,East,-4240,56,0.100,4240,,0,0,0,0,萬子2 萬子2 萬子2 萬子7 | 萬子6 萬子7 萬子8 萬子8 萬子8 萬子8 筒子1 筒子1 筒子1
44,East,24780,57,0.100,-24780,,0,0,0,0,萬子1 萬子5赤ドラ 萬子5 萬子8 | 萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 萬子6 萬子7 萬子8
45,West,27040,56,0.100,-26230,,0,0,0,27,萬子1 萬子2 萬子4 萬子4 萬子6 萬子7 萬子8 | 萬子1 萬子2 萬子3 萬子7 萬子8 萬子9
46,South,16600,56,0.100,-15910,,0,0,0,23,萬子1 萬子2 萬子3 萬子3 萬子3 萬子6 萬子8 | 萬子4 萬子5赤ドラ 萬子6 萬子7 萬子7 萬子7
47,West,39670,56,0.100,-31230,断么九 清一色,0,0,0,48,萬子3 萬子3 萬子8 萬子8 萬子8 | 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 萬子5 萬子6 萬子7
48,East,13590,55,0.100,-13320,,0,0,0,9,萬子6 萬子6 萬子6 北風 | 萬子1 萬子1 萬子1 萬子5 萬子6 萬子7 萬子9 萬子9 萬子9
49,South,-320,30,0.100,4320,中 混一色,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 萬子6 萬子6 | 萬子7 萬子8 萬子9 中ちゃん 中ちゃん 中ちゃん
50,East,10450,33,0.100,-3330,平和 混一色 一気通貫,0,0,0,4,萬子1 萬子2 萬子3 發ちゃん 發ちゃん | 萬子4 萬子4 萬子5 萬子5 萬子6 萬子6 萬子7 萬子8 萬子9
