Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-10450,56,0.001,10450,,0,0,0,0,萬子2 萬子2 萬子8 筒子2 筒子3 索子6 索子9 | 筒子1 筒子1 筒子1 筒子7 筒子8 筒子9
2,North,6930,55,0.001,-6930,,0,0,0,0,萬子1 萬子3 萬子3 萬子4 萬子5赤ドラ 萬子5 萬子6 萬子6 萬子6 萬子8 萬子8 萬子9 索子5赤ドラ | 
3,West,16540,32,0.001,-12330,赤ドラ1 一盃口,0,0,0,7,萬子4 萬子4 萬子5 萬子5赤ドラ 萬子6 萬子6 萬子7 萬子7 萬子7 萬子8 萬子8 萬子8 筒子1 筒子1 | 
4,East,15080,53,0.001,-570,發 白 混一色 一盃口 二盃口,0,0,0,17,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 萬子4 萬子4 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん | 
5,North,-200,29,0.001,4350,赤ドラ1 一盃口,0,0,0,5,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 萬子3 萬子4 萬子5赤ドラ 萬子7 萬子7 筒子6 筒子6 筒子6 | 
6,North,6330,55,0.001,-6330,,0,0,0,0,萬子1 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 萬子4 萬子5 萬子7 萬子8 萬子9 中ちゃん | 
7,East,45560,50,0.001,-1080,対々和 混一色 三暗刻 四暗刻,0,0,0,16,萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 萬子4 萬子4 萬子4 西風 西風 西風 北風 北風 | 
8,East,6330,55,0.001,-6330,,0,0,0,0,萬子1 萬子2 萬子3 萬子4 萬子4 萬子4 筒子5 索子2 索子9 西風 北風 發ちゃん 中ちゃん | 
9,West,-3870,55,0.001,3870,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 萬子4 萬子4 萬子5赤ドラ 萬子6 筒子1 東風 發ちゃん | 
10,East,8430,53,0.001,-8430,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子3 萬子4 萬子4 萬子4 萬子5 萬子6 萬子6 南風 發ちゃん | 
11,West,19800,55,0.001,-19350,,0,0,0,15,萬子1 萬子3 萬子5 萬子6 萬子6 萬子6 萬子6 萬子7 萬子7 萬子7 萬子7 萬子8 萬子9 | 
12,North,15780,55,0.001,-15510,,0,0,0,9,萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子5 萬子7 萬子8 萬子9 發ちゃん 發ちゃん | 
13,East,-11370,55,0.001,11370,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 萬子8 萬子9 北風 中ちゃん | 
14,South,-690,54,0.001,690,,0,0,0,0,萬子1 萬子1 萬子1 萬子3 萬子3 萬子5 萬子6 萬子7 筒子2 筒子2 索子7 北風 發ちゃん | 
15,South,4080,42,0.001,-600,混一色,0,0,0,16,萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 萬子4 萬子4 萬子4 萬子7 萬子8 萬子9 中ちゃん 中ちゃん | 
16,North,8340,30,0.001,-2070,發 白 赤ドラ1 混一色,0,0,0,9,萬子1 萬子2 萬子3 萬子3 萬子4 萬子5 萬子5赤ドラ 萬子5 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん | 
17,South,5910,54,0.001,-5910,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子2 萬子3 萬子4 萬子5赤ドラ 萬子5 萬子8 筒子1 索子3 中ちゃん | 
18,East,-5460,54,0.001,5790,,0,0,0,11,萬子1 萬子2 萬子2 萬子3 萬子3 萬子4 萬子5 萬子6 萬子7 萬子7 萬子8 中ちゃん 中ちゃん | 
19,North,1920,54,0.001,-1770,,0,0,0,5,萬子1 萬子1 萬子1 萬子2 萬子4 萬子4 萬子5 萬子5 萬子5 萬子6 萬子7 萬子8 萬子9 | 
20,East,11670,54,0.001,-11670,,0,0,0,0,萬子1 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 萬子5 萬子5赤ドラ 萬子8 索子6 北風 發ちゃん | 
21,West,16650,54,0.001,-16650,,0,0,0,0,萬子1 萬子1 萬子3 萬子3 萬子3 萬子4 萬子4 萬子5 萬子5 萬子5赤ドラ 萬子6 萬子7 萬子9 | 
22,West,12180,42,0.001,-5640,三暗刻,0,0,0,18,萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子4 萬子5 萬子9 萬子9 萬子9 筒子1 筒子1 筒子1 | 
23,East,11280,54,0.001,-11190,,0,0,0,3,萬子1 萬子2 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 萬子6 萬子7 萬子7 萬子7 南風 | 
