Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,1086,55,0.100,0,,1086,0,0,0,萬子1 萬子1 萬子1 萬子4 萬子8 萬子8 萬子9 發ちゃん 發ちゃん 中ちゃん | 萬子7 萬子8 萬子9
2,North,1122,53,0.100,0,,1122,0,0,0,萬子1 萬子1 萬子1 萬子3 萬子3 萬子3 東風 發ちゃん 中ちゃん 中ちゃん | 萬子6 萬子7 萬子8
3,South,1644,56,0.100,0,,1644,0,0,0,萬子2 萬子3 索子4 東風 西風 白ちゃん 中ちゃん | 萬子1 萬子2 萬子3 索子7 索子8 索子9
4,West,1212,56,0.100,0,,1212,0,0,0,萬子3 | 萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 萬子4 萬子5赤ドラ 萬子6 萬子7 萬子8 萬子9
5,East,1080,55,0.100,0,,1080,0,0,0,萬子9 索子2 索子9 南風 北風 白ちゃん 白ちゃん | 索子1 索子2 索子3 索子6 索子7 索子8
6,South,1008,56,0.100,0,,1008,0,0,0,萬子1 萬子2 萬子5 萬子5赤ドラ 索子4 北風 白ちゃん | 萬子3 萬子4 萬子5 索子4 索子5赤ドラ 索子6
7,South,1158,56,0.100,0,,1158,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子3 萬子5 中ちゃん | 萬子3 萬子4 萬子5 索子7 索子8 索子9
8,East,930,55,0.100,0,,930,0,0,0,筒子7 筒子8 筒子8 筒子9 索子1 索子2 索子4 索子4 索子8 西風 | 筒子7 筒子8 筒子9
9,South,1248,56,0.100,0,,1248,0,0,0,萬子6 萬子7 萬子9 筒子9 索子9 北風 北風 | 筒子7 筒子8 筒子9 索子1 索子2 索子3
10,East,1398,57,0.100,0,,1398,0,0,0,萬子6 筒子6 中ちゃん 中ちゃん | 筒子1 筒子2 筒子3 索子2 索子3 索子4 北風 北風 北風
11,West,1596,57,0.100,0,,1596,0,0,0,索子1 索子4 索子4 索子5 | 索子1 索子2 索子2 索子3 索子3 索子4 索子5 索子6 索子7
12,North,1602,57,0.100,0,,1602,0,0,0,萬子1 筒子6 筒子6 索子6 | 索子1 索子2 索子3 索子7 索子8 索子9 西風 西風 西風
13,South,2232,57,0.100,0,,2232,0,0,0,筒子5赤ドラ | 筒子2 筒子3 筒子4 筒子6 筒子7 筒子8 索子2 索子2 索子2 索子4 索子4 索子4
14,South,996,56,0.100,0,,996,0,0,0,萬子1 萬子8 索子8 東風 北風 中ちゃん 中ちゃん | 索子3 索子3 索子3 西風 西風 西風
15,East,1566,57,0.100,0,,1566,0,0,0,萬子2 筒子2 筒子4 筒子9 | 萬子2 萬子3 萬子4 索子3 索子3 索子3 西風 西風 西風
16,North,1290,56,0.100,0,,1290,0,0,0,萬子1 萬子1 萬子2 索子4 索子5 索子5 索子5 | 索子8 索子8 索子8 發ちゃん 發ちゃん 發ちゃん
17,South,2058,57,0.100,0,,2058,0,0,0,萬子2 中ちゃん 中ちゃん 中ちゃん | 萬子3 萬子3 萬子3 筒子2 筒子3 筒子4 白ちゃん 白ちゃん 白ちゃん
18,East,1260,56,0.100,0,,1260,0,0,0,萬子1 萬子2 萬子7 索子7 西風 白ちゃん 白ちゃん | 萬子3 萬子4 萬子5赤ドラ 筒子2 筒子3 筒子4
19,West,1368,57,0.100,0,,1368,0,0,0,萬子1 萬子1 索子6 西風 | 索子8 索子8 索子8 西風 西風 西風 中ちゃん 中ちゃん 中ちゃん
20,East,1458,57,0.100,0,,1458,0,0,0,萬子4 萬子9 發ちゃん 中ちゃん | 萬子8 萬子8 萬子8 筒子7 筒子7 筒子7 西風 西風 西風
21,East,1638,57,0.100,0,,1638,0,0,0,索子8 索子8 南風 北風 | 索子3 索子4 索子5 索子5 索子6 索子7 索子7 索子8 索子9
22,West,1368,56,0.100,0,,1368,0,0,0,萬子3 萬子9 筒子7 筒子8 筒子9 筒子9 索子4 | 筒子2 筒子2 筒子2 索子6 索子7 索子8
23,West,7972,55,0.100,0,赤ドラ1 三色三步,942,0,0,1,筒子1 筒子1 筒子4 筒子5 筒子6 | 萬子2 萬子3 萬子4 索子3 索子4 索子4 索子4 索子4 索子5赤ドラ
24,North,846,56,0.100,0,,846,0,0,0,萬子1 萬子7 筒子1 筒子6 筒子9 索子6 索子8 索子8 南風 中ちゃん | 東風 東風 東風
25,North,1518,57,0.100,0,,1518,0,0,0,萬子2 筒子3 索子5 南風 | 索子1 索子2 索子3 索子6 索子6 索子6 索子7 索子8 索子9
26,North,1242,56,0.100,0,,1242,0,0,0,索子3 索子8 東風 西風 西風 中ちゃん 中ちゃん | 索子4 索子5 索子6 索子7 索子8 索子9
27,North,1542,57,0.100,0,,1542,0,0,0,萬子2 筒子4 索子7 北風 | 筒子2 筒子3 筒子4 筒子6 筒子7 筒子8 筒子9 筒子9 筒子9
28,West,1134,56,0.100,0,,1134,0,0,0,筒子3 筒子4 筒子4 筒子6 筒子6 索子2 索子7 | 筒子1 筒子2 筒子3 筒子7 筒子7 筒子7
29,West,1566,56,0.100,0,,1566,0,0,0,索子2 索子2 索子5 索子9 | 筒子4 筒子5赤ドラ 筒子6 筒子7 筒子8 筒子9 索子7 索子8 索子9
30,North,1560,57,0.100,0,,1560,0,0,0,索子8 索子8 南風 白ちゃん | 萬子6 萬子6 萬子6 索子3 索子4 索子5 索子6 索子7 索子8
31,East,1416,56,0.100,0,,1416,0,0,0,萬子3 筒子7 索子3 索子7 東風 東風 南風 | 萬子1 萬子1 萬子1 索子6 索子7 索子8
32,South,1746,57,0.100,0,,1746,0,0,0,萬子4 索子9 索子9 中ちゃん | 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 筒子4 筒子4 筒子4
33,East,1488,57,0.100,0,,1488,0,0,0,萬子4 筒子9 中ちゃん 中ちゃん | 筒子7 筒子7 筒子7 索子7 索子7 索子7 索子7 索子8 索子9
34,South,1746,57,0.100,0,,1746,0,0,0,筒子1 索子6 白ちゃん 中ちゃん | 筒子7 筒子8 筒子9 索子1 索子2 索子3 索子3 索子4 索子5
35,West,1350,57,0.100,0,,1350,0,0,0,萬子7 索子5 索子6 索子6 | 筒子2 筒子3 筒子4 索子7 索子8 索子9 中ちゃん 中ちゃん 中ちゃん
36,North,1170,57,0.100,0,,1170,0,0,0,萬子9 筒子3 發ちゃん 中ちゃん | 筒子2 筒子3 筒子4 索子1 索子2 索子3 索子3 索子4 索子5
37,South,1146,57,0.100,0,,1146,0,0,0,筒子3 索子6 索子7 中ちゃん | 萬子9 萬子9 萬子9 索子8 索子8 索子8 索子9 索子9 索子9
38,West,1662,57,0.100,0,,1662,0,0,0,萬子5 | 萬子3 萬子3 萬子3 萬子4 萬子5 萬子6 筒子2 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子6
39,South,1182,57,0.100,0,,1182,0,0,0,萬子8 筒子2 筒子2 筒子5 | 萬子7 萬子8 萬子9 筒子3 筒子4 筒子5赤ドラ 索子2 索子3 索子4
40,West,1626,57,0.100,0,,1626,0,0,0,筒子9 筒子9 索子4 北風 | 筒子6 筒子7 筒子8 索子3 索子4 索子5赤ドラ 東風 東風 東風
41,South,1656,57,0.100,0,,1656,0,0,0,筒子6 索子4 南風 發ちゃん | 筒子5 筒子5赤ドラ 筒子5 筒子7 筒子8 筒子9 索子1 索子2 索子3
42,East,1710,57,0.100,0,,1710,0,0,0,萬子7 | 萬子1 萬子1 萬子1 索子3 索子4 索子5 索子7 索子8 索子9 白ちゃん 白ちゃん 白ちゃん
43,West,2178,57,0.100,0,,2178,0,0,0,南風 | 萬子7 萬子8 萬子9 筒子2 筒子2 筒子2 索子1 索子1 索子1 索子6 索子6 索子6
44,East,1770,56,0.100,0,,1770,0,0,0,索子1 索子2 索子5 索子7 索子9 東風 西風 | 筒子7 筒子8 筒子9 索子6 索子7 索子8
45,South,1596,56,0.100,0,,1596,0,0,0,萬子8 筒子1 筒子2 筒子9 索子1 索子5 南風 | 筒子6 筒子7 筒子8 索子7 索子7 索子7
46,West,1140,56,0.100,0,,1140,0,0,0,萬子9 索子1 索子4 索子8 索子8 索子9 白ちゃん | 筒子1 筒子2 筒子3 筒子7 筒子7 筒子7
47,East,1404,57,0.100,0,,1404,0,0,0,筒子5赤ドラ 索子5 索子8 中ちゃん | 萬子4 萬子4 萬子4 萬子5赤ドラ 萬子6 萬子7 萬子7 萬子8 萬子9
48,West,1662,57,0.100,0,,1662,0,0,0,筒子7 筒子9 索子7 索子7 | 筒子6 筒子7 筒子8 索子1 索子1 索子1 索子3 索子4 索子5
49,East,1164,56,0.100,0,,1164,0,0,0,萬子7 萬子9 索子5 索子5 西風 北風 發ちゃん | 筒子4 筒子5 筒子6 索子4 索子5 索子6
50,East,7732,18,0.100,0,平和 三色同順,402,0,0,11,筒子3 筒子4 筒子5 筒子6 筒子7 筒子8 索子1 索子1 | 萬子6 萬子7 萬子8 索子6 索子7 索子8
51,East,1086,56,0.100,0,,1086,0,0,0,萬子1 萬子7 萬子9 筒子1 筒子1 筒子2 筒子9 | 萬子1 萬子2 萬子3 筒子3 筒子4 筒子5
52,South,1260,56,0.100,0,,1260,0,0,0,筒子3 筒子6 筒子8 筒子9 索子8 索子9 南風 | 筒子4 筒子5 筒子6 索子7 索子7 索子7
53,North,606,56,0.100,0,,606,0,0,0,萬子1 萬子5 索子3 索子7 索子9 索子9 索子9 南風 西風 北風 | 索子1 索子1 索子1
54,East,1320,56,0.100,0,,1320,0,0,0,索子1 索子1 索子5赤ドラ 索子5 索子6 索子8 東風 | 筒子5赤ドラ 筒子6 筒子7 索子3 索子4 索子5
55,South,1764,57,0.100,0,,1764,0,0,0,筒子9 | 萬子9 萬子9 萬子9 筒子3 筒子4 筒子5赤ドラ 索子3 索子3 索子3 西風 西風 西風
56,South,1632,57,0.100,0,,1632,0,0,0,萬子4 筒子6 白ちゃん 白ちゃん | 筒子2 筒子3 筒子4 筒子4 筒子5 筒子6 筒子6 筒子7 筒子8
57,South,2160,57,0.100,0,,2160,0,0,0,索子8 | 筒子1 筒子2 筒子3 筒子5 筒子5赤ドラ 筒子5 筒子6 筒子7 筒子8 索子1 索子2 索子3
58,West,1806,57,0.100,0,,1806,0,0,0,筒子7 筒子9 索子1 白ちゃん | 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 索子5 索子6 索子7
59,West,1350,56,0.100,0,,1350,0,0,0,筒子9 筒子9 索子3 索子8 索子9 南風 北風 | 筒子1 筒子1 筒子1 索子1 索子2 索子3
60,South,1056,56,0.100,0,,1056,0,0,0,筒子3 筒子3 筒子7 索子1 索子6 索子8 白ちゃん | 索子6 索子7 索子8 東風 東風 東風
61,West,1236,57,0.100,0,,1236,0,0,0,筒子2 西風 發ちゃん 發ちゃん | 萬子2 萬子3 萬子4 筒子4 筒子4 筒子4 索子3 索子3 索子3
62,South,876,56,0.100,0,,876,0,0,0,索子1 索子8 索子8 南風 | 索子5赤ドラ 索子6 索子7 東風 東風 東風 南風 南風 南風
63,West,1494,56,0.100,0,,1494,0,0,0,索子6 索子7 索子7 索子8 索子8 索子9 發ちゃん | 索子4 索子4 索子4 東風 東風 東風
64,West,1674,57,0.100,0,,1674,0,0,0,萬子8 筒子1 筒子6 東風 | 筒子7 筒子8 筒子9 索子1 索子2 索子3 索子8 索子8 索子8
65,North,1920,57,0.100,0,,1920,0,0,0,索子5 | 萬子1 萬子2 萬子3 筒子8 筒子8 筒子8 索子2 索子3 索子4 索子5 索子6 索子7
