Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,-13011,110,0.100,11970,,330,87,78,0,萬子4 萬子4 萬子4 萬子5 萬子8 筒子7 筒子7 索子4 北風 發ちゃん | 索子8 索子8 索子8
2,East,-17416,110,0.100,17100,,786,39,354,0,萬子2 萬子7 萬子9 萬子9 筒子4 西風 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 筒子2 筒子3 筒子4
3,West,-15200,109,0.100,14750,,690,180,165,0,筒子6 筒子7 筒子8 索子3 索子3 索子4 索子4 索子7 索子8 西風 發ちゃん 中ちゃん 中ちゃん | 
4,South,-15873,109,0.100,16110,,1128,120,474,0,萬子1 萬子3 萬子3 萬子4 萬子4 萬子5 萬子5赤ドラ 東風 南風 南風 北風 北風 白ちゃん | 
5,West,-967,109,0.100,1150,,1056,357,255,0,萬子1 萬子2 萬子3 萬子3 萬子4 萬子4 南風 西風 西風 白ちゃん 白ちゃん 白ちゃん 發ちゃん | 
6,South,-7832,109,0.100,7610,,822,117,324,0,萬子2 萬子2 萬子3 萬子3 萬子7 萬子9 索子9 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
7,South,-3140,109,0.100,2840,,792,240,153,0,萬子2 萬子3 萬子4 萬子5 萬子5 萬子5赤ドラ 筒子1 西風 北風 北風 北風 發ちゃん 中ちゃん | 
8,North,-6418,109,0.100,6430,,948,192,357,0,萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子4 萬子4 萬子4 索子9 北風 白ちゃん 中ちゃん | 
9,South,-16533,110,0.100,16280,,852,336,60,0,萬子2 萬子2 萬子5赤ドラ 萬子6 萬子6 萬子9 萬子9 索子4 發ちゃん 中ちゃん | 白ちゃん 白ちゃん 白ちゃん
10,East,-15097,109,0.100,14320,,468,177,63,0,萬子2 萬子2 萬子2 萬子7 萬子8 萬子9 索子3 索子8 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 
11,East,-23991,110,0.100,23940,,972,6,480,0,萬子3 萬子4 萬子4 萬子8 萬子9 索子1 東風 南風 北風 白ちゃん | 筒子4 筒子5 筒子6
12,South,-14947,109,0.100,14410,,594,165,189,0,萬子1 萬子1 萬子1 萬子2 萬子3 萬子3 萬子8 西風 北風 北風 白ちゃん 中ちゃん 中ちゃん | 
13,South,-9192,109,0.100,8730,,624,288,111,0,萬子1 萬子1 萬子2 萬子3 萬子3 萬子3 萬子4 南風 南風 南風 西風 西風 發ちゃん | 
14,North,-817,110,0.100,7540,,948,138,264,23,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 白ちゃん 白ちゃん 中ちゃん 中ちゃん | 北風 北風 北風
15,North,1052,109,0.100,-560,,1392,450,135,0,萬子1 萬子1 萬子2 萬子3 西風 北風 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん 中ちゃん | 
16,South,-3715,109,0.100,3880,,1128,204,318,0,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 萬子3 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 
17,South,-8055,109,0.100,7290,,480,42,198,0,萬子3 萬子3 萬子6 筒子1 索子1 索子9 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 
18,West,-15461,109,0.100,15230,,816,114,324,0,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 東風 西風 西風 北風 發ちゃん 中ちゃん 中ちゃん | 
19,North,-7956,109,0.100,10950,,1620,273,486,7,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 西風 西風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 
20,North,-7481,109,0.100,7670,,1104,213,357,0,萬子1 萬子1 萬子2 萬子3 萬子3 西風 北風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
21,West,-8709,109,0.100,8700,,984,318,174,0,萬子2 萬子2 萬子4 萬子5 萬子5 萬子5 萬子5赤ドラ 萬子9 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
22,South,-8293,109,0.100,8080,,834,369,69,0,萬子2 萬子3 萬子3 萬子3 萬子4 萬子4 筒子8 東風 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
23,East,944,109,0.100,12340,,846,24,399,45,萬子1 萬子1 萬子2 萬子2 萬子3 索子6 索子6 西風 西風 北風 北風 發ちゃん 發ちゃん | 
24,West,-6929,109,0.100,7160,,1176,327,213,0,萬子1 萬子2 萬子3 筒子7 西風 西風 北風 北風 北風 北風 發ちゃん 中ちゃん 中ちゃん | 
25,South,-11468,109,0.100,10550,,378,87,102,0,萬子1 萬子4 萬子5 萬子7 北風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
26,South,-7008,109,0.100,6270,,498,153,96,0,萬子2 萬子3 萬子5赤ドラ 西風 西風 北風 北風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 
