Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,-7084,109,0.100,6450,,588,162,129,0,萬子2 萬子5 索子1 索子2 索子3 北風 發ちゃん | 萬子3 萬子4 萬子5 東風 東風 東風
2,West,-14070,110,0.100,15660,,2028,87,1014,0,萬子1 萬子1 萬子2 索子3 | 萬子3 萬子3 萬子3 索子1 索子2 索子3 索子3 索子4 索子5
3,West,-18772,110,0.100,19420,,1476,234,426,0,萬子1 筒子1 筒子1 筒子2 筒子8 索子6 西風 白ちゃん 發ちゃん 中ちゃん | 萬子3 萬子4 萬子5
4,North,-11661,109,0.100,11070,,594,30,285,0,萬子1 萬子3 萬子5 萬子6 萬子8 萬子8 萬子9 | 萬子3 萬子4 萬子5赤ドラ 中ちゃん 中ちゃん 中ちゃん
5,South,-10597,110,0.100,12570,,2502,312,651,0,萬子2 萬子5 筒子4 北風 | 萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 筒子3 筒子4 筒子5
6,North,-30424,110,0.100,30750,,1266,48,555,0,萬子1 萬子4 南風 白ちゃん | 筒子1 筒子2 筒子3 索子2 索子3 索子4 索子8 索子8 索子8
7,East,-2573,108,0.100,11830,赤ドラ1 対々和 混一色,1236,561,96,6,萬子7 萬子7 北風 北風 北風 中ちゃん 中ちゃん 中ちゃん | 萬子2 萬子2 萬子2 萬子5 萬子5 萬子5赤ドラ
8,East,-708,110,0.100,1140,,1242,519,171,0,萬子3 萬子4 南風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん 中ちゃん | 萬子5 萬子5 萬子5赤ドラ
9,East,-19331,110,0.100,21000,,2130,126,927,0,索子1 索子8 索子9 西風 | 萬子2 萬子3 萬子4 筒子7 筒子8 筒子9 索子2 索子3 索子4
10,South,-27799,110,0.100,28080,,1176,528,63,0,萬子2 萬子2 萬子2 萬子8 萬子9 筒子9 索子4 索子4 索子8 中ちゃん | 萬子7 萬子7 萬子7
11,North,-19683,109,0.100,20490,,1494,81,717,0,萬子9 索子3 索子3 索子5 索子9 南風 北風 | 索子2 索子3 索子4 索子6 索子7 索子8
12,South,-17215,109,0.100,17380,,1044,192,420,0,萬子1 筒子4 筒子5 筒子7 索子2 索子5 中ちゃん | 萬子3 萬子4 萬子5 索子7 索子7 索子7
13,South,-11381,110,0.100,11210,,894,75,363,0,萬子2 萬子3 萬子4 西風 西風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 萬子2 萬子3 萬子4
14,West,-4390,109,0.100,4360,,924,219,330,0,萬子4 萬子4 萬子5 北風 白ちゃん 白ちゃん 發ちゃん | 萬子3 萬子4 萬子5 東風 東風 東風
15,South,-5077,109,0.100,4990,,936,264,198,0,萬子3 萬子3 萬子3 萬子9 筒子2 索子3 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
16,West,-11506,110,0.100,11210,,720,252,264,0,萬子3 萬子4 萬子9 萬子9 索子4 東風 西風 白ちゃん 發ちゃん 中ちゃん | 北風 北風 北風
17,North,-20012,110,0.100,19780,,834,21,417,0,萬子1 萬子1 萬子1 萬子2 萬子3 萬子8 萬子9 萬子9 筒子4 索子4 | 萬子2 萬子3 萬子4
18,North,-17302,109,0.100,17110,,858,396,39,0,萬子2 萬子2 萬子3 萬子3 萬子4 萬子7 萬子8 筒子1 筒子4 筒子7 索子9 索子9 中ちゃん | 
19,West,-12317,110,0.100,11900,,714,24,333,0,萬子9 南風 南風 西風 西風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 萬子6 萬子7 萬子8
20,South,-10549,109,0.100,10540,,984,378,114,0,萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 萬子4 北風 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 
21,East,-14869,110,0.100,13790,,300,66,84,0,萬子1 萬子2 索子3 南風 南風 西風 北風 北風 白ちゃん 發ちゃん | 中ちゃん 中ちゃん 中ちゃん
22,North,-15736,110,0.100,15580,,888,309,168,0,萬子2 萬子5 萬子5 萬子5 筒子7 索子1 索子7 索子8 北風 發ちゃん | 萬子5赤ドラ 萬子6 萬子7
23,East,-22432,109,0.100,22800,,1194,342,324,0,萬子1 萬子1 萬子2 萬子7 北風 發ちゃん 中ちゃん | 萬子4 萬子5赤ドラ 萬子6 萬子8 萬子8 萬子8
24,East,-18485,109,0.100,19730,,1620,426,384,1,萬子1 萬子1 萬子2 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3 萬子3 萬子4 萬子4 索子7 | 
25,South,-13109,109,0.100,13340,,1164,552,30,0,萬子2 萬子2 萬子2 萬子4 筒子2 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1 發ちゃん 發ちゃん 發ちゃん
26,East,-9726,110,0.100,9720,,990,477,12,0,萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 索子8 西風 白ちゃん 中ちゃん | 索子5 索子5 索子5
27,West,-4317,109,0.100,3870,,660,204,174,0,萬子1 萬子3 萬子4 索子1 西風 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 
28,North,1176,110,0.100,-1140,,1068,474,60,0,萬子2 萬子4 筒子5赤ドラ 西風 | 東風 東風 東風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん
29,North,-10337,109,0.100,11060,,1470,597,162,0,萬子1 萬子1 萬子2 萬子5赤ドラ 索子1 索子1 中ちゃん | 萬子4 萬子4 萬子4 西風 西風 西風
30,South,-19048,110,0.100,18380,,552,0,276,0,萬子1 萬子1 萬子5 萬子8 萬子8 筒子8 北風 白ちゃん 發ちゃん 中ちゃん | 萬子4 萬子5 萬子6
31,East,-16557,110,0.100,16600,,1026,489,24,0,萬子1 南風 南風 南風 南風 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 萬子2 萬子2 萬子2
32,West,-8097,109,0.100,7980,,912,384,72,0,萬子2 萬子2 萬子2 筒子3 索子2 索子9 白ちゃん 發ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
33,South,-23862,109,0.100,23150,,540,60,213,0,萬子3 筒子4 索子9 東風 西風 北風 中ちゃん | 萬子2 萬子2 萬子2 索子7 索子8 索子9
34,South,-16399,105,0.100,21510,対々和,2412,990,54,0,萬子1 萬子1 萬子4 萬子4 萬子4 | 萬子2 萬子2 萬子2 索子1 索子1 索子1 東風 東風 東風
35,East,-23350,110,0.100,23750,,1278,447,192,0,萬子1 萬子1 萬子1 萬子2 萬子2 萬子5 萬子6 萬子6 西風 北風 | 中ちゃん 中ちゃん 中ちゃん
36,North,-4696,109,0.100,4990,,1242,201,342,0,萬子2 萬子2 西風 西風 西風 發ちゃん 中ちゃん | 萬子3 萬子4 萬子5 白ちゃん 白ちゃん 白ちゃん
37,North,-8229,110,0.100,8750,,1362,444,273,0,萬子2 萬子3 筒子9 中ちゃん | 萬子4 萬子4 萬子4 南風 南風 南風 發ちゃん 發ちゃん 發ちゃん
38,South,-11720,109,0.100,11330,,726,267,102,0,萬子1 萬子1 索子2 索子6 索子8 東風 南風 南風 南風 西風 北風 發ちゃん 中ちゃん | 
39,South,-13404,110,0.100,13670,,1098,519,138,0,萬子1 萬子1 萬子2 萬子2 萬子2 萬子5 索子9 白ちゃん 發ちゃん 中ちゃん | 萬子4 萬子4 萬子4
40,East,-12100,110,0.100,11740,,774,273,114,0,萬子3 萬子5 筒子5 筒子6 索子6 北風 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 筒子2 筒子3 筒子4
41,North,-11250,109,0.100,12420,,1440,645,594,0,萬子1 萬子4 萬子4 萬子4 筒子8 中ちゃん 中ちゃん | 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3
42,South,5268,110,0.100,-3420,,1266,633,0,5,北風 北風 北風 白ちゃん | 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
43,East,-10167,110,0.100,9820,,756,366,33,0,萬子2 萬子2 萬子3 筒子4 筒子6 索子2 索子8 索子9 南風 北風 | 筒子5赤ドラ 筒子5 筒子5
44,East,-16405,109,0.100,15190,,180,12,78,0,萬子1 萬子1 萬子8 筒子5 筒子7 索子5赤ドラ 索子6 南風 西風 西風 北風 發ちゃん 中ちゃん | 
45,South,-11656,110,0.100,11060,,648,306,18,0,南風 北風 白ちゃん 白ちゃん | 萬子1 萬子1 萬子1 南風 南風 南風 發ちゃん 發ちゃん 發ちゃん
46,North,-5388,109,0.100,6710,,1950,408,453,0,萬子3 萬子4 萬子4 筒子3 西風 北風 發ちゃん | 萬子2 萬子2 萬子2 東風 東風 東風
47,West,-7340,109,0.100,8230,,1518,717,144,0,萬子1 筒子6 索子9 索子9 索子9 南風 中ちゃん | 萬子2 萬子2 萬子2 白ちゃん 白ちゃん 白ちゃん
48,East,-1066,109,0.100,950,,906,147,318,0,索子1 南風 西風 西風 中ちゃん 中ちゃん 中ちゃん | 索子3 索子4 索子5 白ちゃん 白ちゃん 白ちゃん
49,West,-12404,110,0.100,13100,,1530,489,177,0,萬子3 萬子5 筒子3 筒子5 筒子7 西風 西風 西風 發ちゃん 發ちゃん | 筒子6 筒子6 筒子6
50,South,-13449,110,0.100,13070,,738,39,336,0,萬子2 萬子2 萬子2 萬子3 萬子8 索子8 索子9 北風 發ちゃん 中ちゃん | 索子3 索子4 索子5
51,North,-9467,110,0.100,9340,,912,384,72,0,萬子2 萬子3 萬子3 筒子2 西風 西風 北風 發ちゃん 中ちゃん 中ちゃん | 筒子1 筒子1 筒子1
52,South,-25563,109,0.100,25440,,876,285,201,0,索子5 索子6 索子7 索子8 索子8 索子9 索子9 索子9 東風 東風 南風 西風 發ちゃん | 
53,South,-10023,110,0.100,9370,,588,81,213,0,萬子3 筒子5 南風 北風 白ちゃん 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 萬子2 萬子3 萬子4
54,South,-17719,109,0.100,16360,,84,0,42,0,萬子8 筒子7 索子5赤ドラ 索子6 索子8 索子9 索子9 南風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 
55,West,-14391,110,0.100,14640,,1152,234,378,0,筒子7 筒子8 索子3 索子5 索子6 索子6 南風 北風 發ちゃん 中ちゃん | 萬子3 萬子4 萬子5
56,South,-11777,109,0.100,11030,,492,153,93,0,萬子2 萬子3 萬子4 萬子6 萬子7 西風 西風 西風 北風 北風 白ちゃん 發ちゃん 發ちゃん | 
57,North,-30206,109,0.100,31300,,1836,558,198,0,萬子2 萬子2 萬子3 索子9 白ちゃん 白ちゃん 發ちゃん | 萬子8 萬子8 萬子8 索子2 索子2 索子2
58,East,-2793,109,0.100,2750,,960,258,261,0,萬子5 萬子6 索子4 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 萬子4 萬子4 萬子4 北風 北風 北風
