Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,North,-2721,109,0.998,2286,,1584,436,552,0,筒子2 筒子2 筒子3 筒子3 筒子6 筒子6 索子6 | 萬子2 萬子3 萬子4 筒子2 筒子3 筒子4
2,North,-6741,109,0.996,6618,,1736,724,428,0,萬子3 萬子5 萬子6 筒子9 索子3 索子6 北風 | 萬子8 萬子8 萬子8 南風 南風 南風
3,North,-5718,109,0.994,6654,,3136,524,344,0,索子7 | 萬子4 萬子5赤ドラ 萬子6 萬子6 萬子7 萬子8 筒子2 筒子2 筒子2 筒子3 筒子4 筒子5赤ドラ
4,East,-3932,109,0.992,3534,,1488,624,516,0,萬子1 萬子1 筒子2 筒子7 索子5 索子6 中ちゃん | 索子9 索子9 索子9 西風 西風 西風
5,East,-4209,110,0.990,3324,,1200,404,544,0,萬子8 筒子1 筒子5 筒子8 筒子8 索子2 索子4 索子8 東風 北風 | 萬子3 萬子4 萬子5
6,North,-5266,110,0.988,4980,,1088,596,1060,0,萬子1 萬子1 萬子3 萬子8 筒子7 索子4 索子5赤ドラ 索子5 東風 中ちゃん | 筒子8 筒子8 筒子8
7,West,-4645,110,0.986,4116,,1368,672,472,0,萬子2 萬子2 萬子3 索子7 索子8 東風 北風 發ちゃん 發ちゃん 發ちゃん | 索子4 索子5赤ドラ 索子6
8,West,-4563,109,0.984,3762,,904,648,680,0,萬子1 筒子1 筒子5 筒子9 索子9 白ちゃん 中ちゃん | 索子5 索子6 索子6 索子7 索子7 索子8
9,South,-4780,109,0.982,3714,,656,432,892,0,萬子6 萬子7 筒子1 索子2 南風 北風 北風 | 筒子6 筒子7 筒子8 索子2 索子3 索子4
10,West,-5683,110,0.980,5028,,1048,588,740,0,萬子4 萬子6 萬子6 萬子8 筒子4 筒子6 索子7 索子8 索子9 南風 | 萬子4 萬子5 萬子6
11,East,-4264,110,0.978,3960,,1072,1176,476,0,筒子1 筒子1 筒子5 筒子5 索子7 索子8 南風 南風 北風 白ちゃん | 萬子6 萬子6 萬子6
12,South,-4012,109,0.976,3534,,1128,984,448,0,筒子1 筒子7 索子9 索子9 東風 發ちゃん 發ちゃん | 筒子9 筒子9 筒子9 索子7 索子7 索子7
13,West,-4836,110,0.974,4176,,952,696,740,0,萬子6 索子2 索子2 索子5 索子6 索子6 索子9 索子9 東風 中ちゃん | 索子3 索子4 索子5
14,North,-2049,110,0.972,1260,,720,548,992,0,萬子6 萬子8 萬子9 萬子9 筒子3 筒子6 索子6 索子7 索子8 東風 | 筒子4 筒子5 筒子6
15,North,-4110,110,0.970,3576,,1056,856,684,0,萬子1 萬子3 筒子2 索子2 | 萬子2 萬子2 萬子2 萬子4 萬子4 萬子4 索子7 索子7 索子7
16,West,-4840,110,0.968,5184,,2832,388,180,0,萬子8 筒子2 索子8 南風 | 萬子9 萬子9 萬子9 筒子3 筒子4 筒子5赤ドラ 索子1 索子2 索子3
17,West,-1008,110,0.967,1908,,2048,592,1384,0,筒子1 筒子3 索子3 北風 | 萬子7 萬子8 萬子9 筒子6 筒子7 筒子8 索子7 索子8 索子9
18,East,-2540,109,0.965,3954,,976,2320,1088,0,萬子3 萬子9 萬子9 萬子9 筒子4 筒子5赤ドラ 筒子5 筒子6 索子1 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
19,East,-4832,109,0.963,4530,,504,872,1292,0,萬子2 萬子2 萬子2 萬子3 萬子4 筒子1 筒子8 索子3 索子6 索子9 北風 發ちゃん 發ちゃん | 
20,South,-7169,109,0.961,6858,,1552,748,412,0,萬子7 萬子9 萬子9 筒子2 筒子2 筒子3 筒子9 | 萬子6 萬子7 萬子8 索子6 索子7 索子8
21,North,-2868,110,0.959,3288,,1720,896,832,0,筒子3 筒子4 筒子6 筒子8 索子3 索子3 索子8 索子9 中ちゃん 中ちゃん | 索子2 索子3 索子4
22,South,-2384,109,0.957,2430,,488,1672,856,0,萬子1 萬子2 萬子6 萬子6 萬子8 筒子8 索子1 索子1 索子1 索子5 索子6 北風 中ちゃん | 
23,South,-271,110,0.955,204,,896,1096,1016,0,萬子2 萬子7 筒子4 筒子4 筒子6 筒子9 筒子9 索子3 北風 北風 | 索子6 索子7 索子8
24,East,-6692,109,0.953,5610,,752,732,492,0,萬子2 筒子3 筒子9 北風 北風 白ちゃん 中ちゃん | 索子1 索子2 索子3 索子4 索子5 索子6
25,West,-4508,110,0.951,4788,,2560,248,544,0,索子4 索子4 南風 北風 | 萬子4 萬子5 萬子6 筒子3 筒子4 筒子5 筒子7 筒子8 筒子9
26,South,-4808,109,0.949,4662,,632,896,1296,0,萬子1 萬子7 萬子8 萬子8 萬子9 萬子9 筒子4 索子2 索子3 索子3 南風 西風 中ちゃん | 
27,South,-6078,110,0.947,5364,,944,800,584,0,萬子2 萬子3 萬子8 筒子3 索子2 索子2 索子4 索子9 東風 南風 | 筒子1 筒子2 筒子3
28,East,-3676,110,0.945,3816,,2768,276,156,0,萬子5 索子6 索子6 西風 | 萬子3 萬子4 萬子5赤ドラ 筒子2 筒子3 筒子4 索子3 索子4 索子5
29,South,-1184,109,0.944,1554,,1280,640,1488,0,萬子4 萬子4 萬子7 萬子8 筒子7 筒子9 北風 | 筒子5 筒子5赤ドラ 筒子5 索子5 索子6 索子7
30,East,-3474,110,0.942,3300,,768,1196,920,0,萬子2 萬子3 萬子6 萬子7 索子2 索子7 東風 西風 發ちゃん 發ちゃん | 筒子2 筒子2 筒子2
31,North,-2769,109,0.940,2586,,1744,288,780,0,萬子1 萬子2 萬子4 筒子3 筒子4 索子1 索子6 | 筒子4 筒子5赤ドラ 筒子6 索子3 索子4 索子5
32,West,-6425,109,0.938,5970,,1456,700,388,0,萬子4 萬子4 萬子7 筒子1 索子1 索子2 索子8 | 萬子5 萬子6 萬子7 筒子1 筒子2 筒子3
33,North,-2380,109,0.936,2826,,1080,1712,624,0,萬子6 萬子7 筒子5 筒子6 索子4 索子4 索子4 索子7 東風 東風 西風 白ちゃん 中ちゃん | 
34,East,-5525,110,0.934,4956,,928,996,544,0,萬子2 萬子2 萬子3 萬子9 萬子9 筒子2 索子4 索子5赤ドラ 索子5 西風 | 索子3 索子4 索子5
35,West,-1668,110,0.932,2220,,1416,812,1360,0,萬子2 萬子5 萬子7 萬子7 萬子7 萬子9 索子8 索子8 中ちゃん 中ちゃん | 索子7 索子8 索子9
36,North,-4552,109,0.930,3942,,1640,308,424,0,萬子1 萬子5 萬子8 萬子9 筒子5 索子6 索子8 | 萬子7 萬子7 萬子7 筒子6 筒子7 筒子8
37,West,-5286,110,0.929,4980,,1472,924,324,0,萬子5 萬子5 萬子6 萬子9 萬子9 筒子2 索子4 西風 白ちゃん 白ちゃん | 筒子2 筒子3 筒子4
38,North,-5492,110,0.927,4776,,936,784,596,0,萬子2 筒子4 筒子4 筒子5 筒子6 筒子7 筒子7 筒子9 索子4 南風 | 萬子3 萬子4 萬子5
39,West,-6332,110,0.925,6708,,2512,300,636,0,萬子9 筒子4 筒子4 索子9 | 萬子5 萬子5赤ドラ 萬子5 筒子7 筒子7 筒子7 索子2 索子3 索子4
40,West,-4072,109,0.923,3798,,1232,884,640,0,萬子7 筒子7 筒子8 索子1 索子5赤ドラ 索子5 索子9 | 萬子8 萬子8 萬子8 筒子2 筒子3 筒子4
41,West,-3396,109,0.921,3186,,688,1040,1032,0,萬子1 萬子6 筒子5 筒子5赤ドラ 筒子7 索子1 索子4 索子4 索子5赤ドラ 索子8 索子9 東風 發ちゃん | 
42,East,-2633,110,0.919,2604,,768,1560,716,0,萬子1 萬子7 筒子1 筒子8 筒子8 筒子9 索子6 索子6 南風 中ちゃん | 萬子7 萬子7 萬子7
43,South,-5068,110,0.918,4356,,864,684,780,0,萬子1 萬子1 萬子3 筒子4 筒子6 索子3 索子5赤ドラ 索子6 南風 中ちゃん | 索子1 索子2 索子3
44,North,-2359,109,0.916,2334,,1544,560,888,0,萬子3 筒子6 索子2 索子3 索子6 索子8 北風 | 索子6 索子7 索子8 東風 東風 東風
45,West,-2628,110,0.914,3240,,760,1300,1616,0,萬子2 萬子3 萬子5赤ドラ 萬子7 萬子7 萬子7 筒子3 筒子8 筒子9 索子1 | 索子7 索子8 索子9
46,North,-4306,110,0.912,4452,,2208,628,420,0,萬子3 萬子6 萬子9 白ちゃん | 萬子4 萬子4 萬子4 萬子5 萬子6 萬子7 索子7 索子8 索子9
47,East,-6697,109,0.910,6306,,1776,356,472,0,萬子3 萬子7 筒子7 索子3 索子4 南風 北風 | 萬子4 萬子5赤ドラ 萬子6 萬子7 萬子8 萬子9
48,North,-4803,109,0.908,4302,,1776,404,292,0,萬子9 筒子3 筒子7 索子3 索子3 索子8 南風 | 筒子6 筒子7 筒子8 索子4 索子5 索子6
49,South,-2651,110,0.907,2556,,2576,272,120,0,筒子3 筒子8 索子5赤ドラ 索子7 | 萬子2 萬子3 萬子4 萬子5 萬子5 萬子5 筒子2 筒子3 筒子4
50,West,-4445,109,0.905,4422,,2144,496,316,0,筒子7 筒子8 筒子8 索子2 索子2 索子5 索子9 | 萬子6 萬子7 萬子8 筒子2 筒子3 筒子4
51,North,-4316,110,0.903,3864,,1064,812,708,0,萬子9 筒子1 筒子4 筒子4 筒子8 筒子8 索子1 索子2 東風 發ちゃん | 筒子1 筒子2 筒子3
52,North,-2420,109,0.901,1998,,952,1036,624,0,萬子4 筒子4 筒子6 索子1 索子1 索子4 索子6 | 萬子7 萬子7 萬子7 索子8 索子8 索子8
53,West,-1205,110,0.899,1212,,1136,1240,656,0,萬子3 萬子5 萬子8 筒子2 筒子8 索子4 索子4 索子6 西風 西風 | 索子7 索子7 索子7
54,East,-6542,109,0.898,6462,,832,1392,748,0,萬子4 萬子8 筒子1 筒子4 索子1 索子4 南風 | 筒子3 筒子3 筒子3 筒子6 筒子7 筒子8
55,South,-3018,110,0.896,2688,,1816,484,488,0,筒子2 筒子4 索子2 中ちゃん | 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子7
56,East,-4392,109,0.894,4230,,1224,540,1104,0,萬子4 筒子5 筒子8 筒子8 索子4 索子6 西風 | 筒子2 筒子3 筒子4 筒子7 筒子7 筒子7
57,West,-1787,109,0.892,1098,,1376,532,404,0,萬子7 萬子7 筒子4 筒子5 索子7 索子9 東風 | 索子6 索子7 索子7 索子8 索子8 索子9
58,East,-1539,110,0.890,684,,1160,392,620,0,萬子1 萬子3 萬子5 萬子6 索子1 索子7 西風 西風 北風 北風 | 筒子4 筒子5 筒子6
59,North,-5763,109,0.889,5982,,1736,720,776,0,萬子4 萬子6 索子4 索子7 索子8 北風 發ちゃん | 索子4 索子4 索子4 索子6 索子6 索子6
60,North,-5929,109,0.887,5814,,1944,520,408,0,萬子3 萬子4 萬子6 萬子6 筒子5 索子3 索子4 | 萬子9 萬子9 萬子9 筒子7 筒子8 筒子9
61,South,-5847,110,0.885,5436,,904,812,936,0,萬子4 萬子8 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子8 筒子9 索子5赤ドラ | 萬子5赤ドラ 萬子5 萬子5
62,North,-3700,109,0.883,4050,,920,1468,1020,0,萬子2 萬子7 筒子3 筒子9 索子7 索子8 南風 | 萬子4 萬子5赤ドラ 萬子6 筒子2 筒子2 筒子2
63,South,-3499,110,0.882,4452,,968,1264,1796,0,萬子3 萬子5赤ドラ 萬子5 筒子1 筒子5 筒子5赤ドラ 筒子6 筒子9 索子5 索子9 | 筒子7 筒子7 筒子7
64,South,-1518,109,0.880,1218,,1664,504,544,0,萬子6 索子6 索子8 索子8 索子8 東風 西風 | 筒子1 筒子2 筒子3 索子9 索子9 索子9
65,East,-6371,110,0.878,5724,,752,1172,480,0,萬子3 萬子3 萬子5赤ドラ 萬子9 萬子9 索子6 索子7 東風 南風 南風 | 筒子1 筒子1 筒子1
66,West,-4432,110,0.876,4068,,736,1012,952,0,萬子6 萬子6 萬子9 筒子1 筒子9 索子2 索子4 索子6 索子9 北風 | 萬子1 萬子2 萬子3
67,West,-2394,109,0.874,1314,,944,516,488,0,萬子7 萬子7 索子1 索子4 索子9 北風 白ちゃん | 萬子4 萬子4 萬子4 筒子4 筒子5 筒子6
68,West,-4883,109,0.873,4674,,1640,412,724,0,萬子2 萬子3 筒子2 索子5 北風 發ちゃん 發ちゃん | 索子1 索子2 索子3 索子5 索子6 索子7
69,East,-5720,109,0.871,5166,,1304,652,512,0,萬子1 萬子2 萬子4 萬子5 萬子7 索子4 索子7 | 索子6 索子7 索子8 西風 西風 西風
70,West,534,110,0.869,0,,1576,1132,940,0,萬子6 萬子6 筒子8 筒子9 | 萬子1 萬子2 萬子3 索子1 索子2 索子3 索子7 索子7 索子7
71,East,-2543,110,0.867,2988,,1728,884,880,0,萬子3 萬子8 筒子4 索子1 索子5 索子5赤ドラ 索子9 東風 南風 白ちゃん | 筒子4 筒子5赤ドラ 筒子6
72,East,-5469,110,0.866,4740,,800,752,760,0,萬子3 萬子7 萬子9 筒子5 索子7 南風 南風 北風 白ちゃん 中ちゃん | 萬子7 萬子8 萬子9
73,North,-5564,109,0.864,4770,,896,552,800,0,萬子2 索子6 索子6 索子7 索子7 北風 發ちゃん | 筒子1 筒子2 筒子3 索子4 索子5 索子6
74,North,-2523,110,0.862,2628,,1352,1184,600,0,萬子1 萬子2 萬子2 萬子4 萬子4 筒子1 索子6 索子7 索子9 北風 | 萬子6 萬子7 萬子8
75,North,-2606,110,0.861,3708,,1184,1108,1884,0,萬子3 萬子3 萬子3 萬子5赤ドラ 萬子7 萬子8 萬子9 筒子3 索子7 西風 | 筒子3 筒子4 筒子5
76,North,-6425,110,0.859,6324,,2288,424,268,0,萬子3 萬子5 萬子6 筒子9 | 筒子3 筒子3 筒子3 索子1 索子2 索子3 中ちゃん 中ちゃん 中ちゃん
77,East,-188,110,0.857,-648,,1088,436,668,0,萬子2 萬子2 萬子7 萬子9 筒子1 索子3 索子5 索子8 索子9 白ちゃん | 筒子4 筒子5 筒子6
78,East,-2112,109,0.855,3150,,1232,888,1980,0,筒子5 索子2 索子2 索子3 索子8 索子8 西風 | 筒子5 筒子6 筒子7 筒子8 筒子8 筒子8
79,West,-4663,109,0.854,4338,,1456,608,616,0,萬子1 萬子7 筒子6 筒子7 筒子9 索子5 索子8 | 萬子6 萬子7 萬子8 索子6 索子6 索子6
80,West,-4322,110,0.852,3792,,1560,516,512,0,索子1 索子7 索子9 西風 | 筒子6 筒子6 筒子6 索子3 索子3 索子3 索子6 索子6 索子6
81,West,-4109,109,0.850,3870,,1408,620,756,0,萬子1 萬子2 萬子5 萬子5 萬子6 筒子5 南風 | 萬子9 萬子9 萬子9 索子5 索子6 索子7
82,North,-2518,110,0.849,4104,,704,712,3244,0,萬子5 萬子8 筒子1 筒子3 筒子3 筒子5赤ドラ 筒子9 索子2 索子2 東風 | 索子5赤ドラ 索子6 索子7
83,East,-4522,110,0.847,3996,,1032,1124,360,0,萬子1 萬子3 萬子3 筒子7 索子2 索子3 索子5赤ドラ 索子7 南風 北風 | 筒子5 筒子6 筒子7
84,South,-2403,109,0.845,2958,,2008,756,804,0,萬子8 萬子9 索子4 索子4 索子6 索子7 南風 | 萬子1 萬子2 萬子3 筒子6 筒子7 筒子8
85,East,-1540,109,0.844,1734,,1008,684,1472,0,萬子1 萬子4 萬子5赤ドラ 萬子7 筒子2 筒子3 筒子8 索子1 索子5 索子8 北風 白ちゃん 白ちゃん | 
86,East,-3124,109,0.842,2178,,400,736,888,0,萬子3 萬子5 筒子1 筒子2 筒子4 筒子6 筒子7 筒子7 索子3 索子5 索子9 索子9 西風 | 
87,North,-2580,109,0.840,3006,,976,1120,1300,0,萬子1 萬子6 萬子6 筒子3 筒子7 筒子7 索子2 索子3 索子3 索子8 東風 白ちゃん 白ちゃん | 
88,North,-3602,109,0.838,3450,,1704,584,560,0,萬子3 萬子5 筒子1 筒子1 筒子6 筒子8 索子7 | 萬子3 萬子4 萬子5 索子5赤ドラ 索子6 索子7
89,East,-2387,110,0.837,2904,,2952,332,308,0,索子3 索子3 索子7 東風 | 萬子1 萬子2 萬子3 索子1 索子2 索子3 索子5 索子6 索子7
90,East,-4933,110,0.835,4872,,1856,644,544,0,索子1 索子9 東風 中ちゃん | 萬子3 萬子4 萬子5 萬子6 萬子6 萬子6 索子3 索子4 索子5
91,South,-4844,110,0.833,5064,,1768,804,760,0,東風 東風 中ちゃん 中ちゃん | 萬子8 萬子8 萬子8 筒子8 筒子8 筒子8 索子6 索子6 索子6
92,East,-3311,110,0.832,3492,,1624,780,912,0,萬子2 筒子2 索子6 索子6 | 萬子3 萬子4 萬子5赤ドラ 筒子2 筒子3 筒子4 索子7 索子8 索子9
93,South,-2212,109,0.830,2862,,672,1408,1540,0,萬子3 萬子7 萬子9 筒子2 筒子4 筒子5 筒子7 索子1 索子6 索子8 南風 西風 北風 | 
