Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-3304,109,0.998,2982,,1624,576,476,0,萬子3 筒子4 筒子8 索子2 索子4 索子6 白ちゃん | 索子1 索子2 索子3 索子5赤ドラ 索子6 索子7
2,North,-4014,109,0.996,3594,,640,1468,516,0,萬子5 萬子8 筒子8 筒子9 索子4 索子6 南風 | 筒子2 筒子3 筒子4 西風 西風 西風
3,South,-7781,110,0.994,6468,,808,568,344,0,萬子1 萬子3 萬子7 筒子1 筒子3 筒子7 索子4 索子5 索子6 南風 | 筒子2 筒子3 筒子4
4,West,-3552,109,0.992,2898,,1584,520,236,0,萬子9 筒子8 索子6 南風 西風 白ちゃん 發ちゃん | 萬子5 萬子5 萬子5赤ドラ 筒子1 筒子2 筒子3
5,South,-5909,109,0.990,5226,,776,796,792,0,萬子5 萬子5 萬子6 筒子1 筒子2 索子6 索子8 | 筒子3 筒子4 筒子5 索子4 索子4 索子4
6,West,-5168,109,0.988,4746,,464,1020,1064,0,萬子1 萬子7 筒子1 筒子3 筒子5赤ドラ 筒子7 索子4 索子6 索子8 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 
7,South,-1943,110,0.986,1836,,1032,1036,876,0,萬子3 萬子3 萬子4 萬子8 筒子8 索子1 索子6 南風 西風 中ちゃん | 筒子7 筒子7 筒子7
8,East,-3168,109,0.984,3678,,744,1968,768,0,萬子4 萬子5 萬子5 萬子6 索子5 索子6 索子9 索子9 南風 南風 白ちゃん 中ちゃん 中ちゃん | 
9,South,-2246,109,0.982,1686,,1392,468,592,0,萬子2 萬子9 筒子5 索子6 索子9 北風 中ちゃん | 筒子7 筒子7 筒子7 索子1 索子2 索子3
10,East,-3140,110,0.980,2916,,1504,596,804,0,萬子5 萬子5 筒子3 索子5赤ドラ | 筒子4 筒子5 筒子6 索子1 索子2 索子3 索子3 索子4 索子5
11,South,-4739,109,0.978,4206,,888,992,624,0,萬子3 萬子9 萬子9 筒子8 筒子8 索子1 索子1 | 索子4 索子5赤ドラ 索子6 北風 北風 北風
12,South,-4602,110,0.976,3960,,784,940,688,0,萬子3 筒子4 筒子8 索子4 索子5赤ドラ 索子8 西風 北風 發ちゃん 發ちゃん | 萬子6 萬子7 萬子8
13,West,-3642,110,0.974,2820,,912,596,708,0,萬子4 萬子7 萬子8 筒子7 筒子7 筒子8 索子3 索子8 東風 白ちゃん | 索子6 索子7 索子8
14,South,-6086,109,0.972,7158,,3584,232,308,0,白ちゃん | 萬子1 萬子1 萬子1 筒子5 筒子5 筒子5 南風 南風 南風 西風 西風 西風
15,North,-5937,110,0.970,6672,,1584,1500,704,0,萬子1 萬子1 萬子9 萬子9 萬子9 筒子1 南風 西風 北風 發ちゃん | 索子6 索子7 索子8
16,North,-4207,110,0.968,3684,,1120,616,768,0,萬子2 萬子4 萬子4 筒子3 筒子4 筒子6 筒子9 索子7 索子8 北風 | 萬子3 萬子3 萬子3
17,West,-3724,110,0.967,3072,,192,1040,1192,0,萬子7 萬子7 筒子1 筒子2 筒子6 索子1 索子2 索子5赤ドラ 索子6 索子6 | 萬子3 萬子3 萬子3
18,West,-1774,109,0.965,1578,,1864,344,580,0,萬子4 筒子9 索子4 索子5赤ドラ 索子5 索子6 索子8 | 萬子6 萬子7 萬子8 筒子8 筒子8 筒子8
19,North,-3313,109,0.963,2874,,1600,412,560,0,萬子6 筒子1 筒子2 索子2 索子3 索子4 索子8 | 索子1 索子2 索子3 中ちゃん 中ちゃん 中ちゃん
20,West,-5766,110,0.961,5112,,1040,948,404,0,萬子1 萬子2 萬子6 萬子8 筒子4 筒子6 索子1 東風 東風 東風 | 筒子3 筒子4 筒子5赤ドラ
21,North,-5943,110,0.959,6504,,2088,544,1040,0,萬子6 索子3 東風 中ちゃん | 萬子3 萬子3 萬子3 筒子1 筒子2 筒子3 索子5 索子6 索子7
22,West,-3890,109,0.957,4434,,1720,660,1192,0,萬子5赤ドラ 筒子7 筒子8 筒子8 索子5 東風 南風 | 索子3 索子4 索子5 發ちゃん 發ちゃん 發ちゃん
23,West,-1586,110,0.955,948,,448,784,1208,0,萬子1 萬子4 萬子6 筒子1 筒子7 索子1 索子9 索子9 東風 南風 | 萬子6 萬子7 萬子8
24,North,-5445,109,0.953,4434,,1136,412,452,0,萬子5 筒子8 筒子9 筒子9 索子4 西風 北風 | 萬子2 萬子3 萬子4 東風 東風 東風
25,North,-2734,110,0.951,3156,,2024,764,664,0,萬子1 萬子3 萬子6 萬子7 萬子7 萬子7 筒子8 筒子8 索子4 索子5赤ドラ | 索子8 索子8 索子8
26,North,-4490,110,0.949,4116,,1008,684,980,0,萬子4 萬子9 筒子1 筒子3 筒子6 筒子9 筒子9 索子1 索子2 發ちゃん | 白ちゃん 白ちゃん 白ちゃん
27,South,-6867,110,0.947,6876,,1120,1484,444,0,萬子1 筒子6 索子2 索子5 索子8 索子9 東風 南風 南風 白ちゃん | 萬子7 萬子8 萬子9
28,West,-4395,109,0.945,5130,,1248,1496,1024,0,萬子1 萬子3 筒子1 筒子5赤ドラ 筒子5 索子3 索子7 | 萬子7 萬子8 萬子9 筒子4 筒子4 筒子4
29,South,-4375,109,0.944,4026,,1376,420,872,0,萬子2 萬子4 萬子9 筒子8 索子4 索子6 發ちゃん | 萬子3 萬子4 萬子5赤ドラ 筒子5 筒子5 筒子5赤ドラ
30,East,-5909,110,0.942,5772,,2192,312,448,0,筒子9 東風 南風 中ちゃん | 萬子8 萬子8 萬子8 筒子1 筒子2 筒子3 筒子5 筒子5赤ドラ 筒子5
31,East,-6833,110,0.940,6048,,1056,564,624,0,萬子2 萬子2 萬子3 筒子1 筒子9 索子3 南風 發ちゃん 中ちゃん 中ちゃん | 筒子4 筒子4 筒子4
32,South,-4313,109,0.938,3786,,1248,712,536,0,萬子4 萬子9 筒子8 索子6 索子7 索子9 白ちゃん | 萬子2 萬子3 萬子4 索子7 索子7 索子7
33,North,-4969,110,0.936,4368,,1624,420,468,0,萬子1 筒子1 索子5 南風 | 筒子4 筒子4 筒子4 筒子7 筒子7 筒子7 索子2 索子2 索子2
34,East,-4496,109,0.934,4182,,336,1296,1024,0,萬子2 萬子3 筒子3 筒子3 筒子8 筒子8 索子3 索子3 索子4 東風 南風 白ちゃん 白ちゃん | 
35,East,-6238,109,0.932,5694,,1232,608,648,0,萬子1 萬子2 萬子9 筒子1 索子9 北風 中ちゃん | 筒子5 筒子5 筒子5赤ドラ 索子5赤ドラ 索子6 索子7
36,East,-6171,109,0.930,5454,,1296,196,808,0,萬子5赤ドラ 萬子7 萬子9 萬子9 筒子4 筒子7 索子7 | 萬子7 萬子8 萬子9 筒子1 筒子2 筒子3
37,East,-2311,110,0.929,1368,,1160,380,544,0,萬子2 筒子1 筒子6 筒子9 索子3 索子3 索子3 索子8 南風 北風 | 萬子4 萬子5 萬子6
38,South,-5637,110,0.927,4968,,1312,652,492,0,萬子3 筒子5 索子2 索子2 | 萬子4 萬子4 萬子4 萬子7 萬子8 萬子9 筒子4 筒子4 筒子4
39,East,-5894,110,0.925,5268,,712,856,856,0,萬子4 萬子4 萬子4 筒子7 筒子8 索子9 南風 南風 中ちゃん 中ちゃん | 筒子3 筒子4 筒子5
40,North,-4412,109,0.923,3858,,624,616,1176,0,萬子3 筒子2 筒子2 筒子4 筒子6 筒子8 索子3 索子3 索子6 西風 發ちゃん 中ちゃん 中ちゃん | 
41,North,-6341,110,0.921,5772,,880,956,672,0,萬子1 萬子5赤ドラ 筒子5 筒子6 索子5 索子6 索子9 索子9 白ちゃん 中ちゃん | 索子1 索子2 索子3
42,North,-4237,110,0.919,4032,,984,884,980,0,萬子1 萬子2 萬子8 筒子2 筒子7 索子3 索子3 索子9 北風 白ちゃん | 筒子6 筒子7 筒子8
43,North,-5711,109,0.918,4434,,680,768,320,0,萬子8 筒子2 筒子8 索子2 索子9 南風 北風 | 索子2 索子3 索子4 索子6 索子7 索子8
44,East,-5461,109,0.916,4530,,808,756,552,0,萬子5 萬子5 筒子8 筒子8 索子5 索子8 索子8 | 萬子1 萬子1 萬子1 索子3 索子4 索子5
45,East,-5346,110,0.914,5292,,2648,284,84,0,筒子1 筒子7 索子1 索子9 | 萬子6 萬子7 萬子8 筒子1 筒子2 筒子3 南風 南風 南風
46,West,-2860,110,0.912,3600,,776,2004,1032,0,萬子4 萬子6 萬子7 萬子8 萬子8 萬子8 筒子6 筒子7 筒子9 索子6 | 索子6 索子7 索子8
47,South,-4048,109,0.910,3402,,1552,572,236,0,萬子1 萬子2 索子3 索子3 索子6 南風 發ちゃん | 萬子3 萬子4 萬子5赤ドラ 筒子3 筒子4 筒子5
48,South,-4751,109,0.908,4074,,1120,840,392,0,萬子7 萬子7 筒子1 筒子3 索子3 索子9 索子9 | 南風 南風 南風 西風 西風 西風
49,East,-958,109,0.907,-210,,912,392,556,0,萬子4 萬子4 萬子6 筒子7 索子4 索子5 索子9 | 筒子1 筒子2 筒子3 索子1 索子2 索子3
50,West,-6284,109,0.905,5574,,1616,436,236,0,萬子6 萬子7 萬子7 筒子1 筒子1 索子7 白ちゃん | 索子2 索子3 索子4 索子5 索子6 索子7
51,West,-5790,110,0.903,4872,,1176,344,588,0,萬子1 萬子2 萬子4 筒子1 筒子6 筒子9 索子2 索子3 索子6 索子9 | 索子7 索子8 索子9
52,East,-3718,109,0.901,3282,,1824,244,476,0,萬子2 萬子5 筒子1 筒子3 筒子7 東風 白ちゃん | 索子3 索子4 索子5 西風 西風 西風
53,North,-4445,110,0.899,4044,,712,1384,572,0,萬子1 萬子1 萬子2 萬子5赤ドラ 萬子7 筒子7 筒子7 筒子9 索子7 白ちゃん | 萬子6 萬子7 萬子8
54,North,-3409,110,0.898,3684,,1960,484,940,0,萬子2 萬子3 萬子6 索子7 | 萬子7 萬子7 萬子7 索子1 索子1 索子1 索子5 索子6 索子7
55,West,-1907,109,0.896,2238,,1704,1220,404,0,萬子8 筒子9 索子1 索子5赤ドラ 索子5 南風 白ちゃん | 萬子5赤ドラ 萬子5 萬子5 北風 北風 北風
56,South,-153,110,0.894,-180,,1824,300,648,0,筒子3 筒子8 筒子9 筒子9 | 萬子4 萬子4 萬子4 索子1 索子2 索子3 索子7 索子7 索子7
57,West,-902,110,0.892,456,,992,836,764,0,萬子1 萬子1 萬子4 筒子1 筒子5赤ドラ 筒子6 筒子9 索子6 北風 中ちゃん | 筒子7 筒子8 筒子9
58,East,-7291,109,0.890,5850,,560,412,648,0,萬子1 萬子1 萬子4 萬子6 筒子8 索子1 索子4 | 索子3 索子4 索子5 索子7 索子8 索子9
59,West,-1419,109,0.889,1494,,1584,904,588,0,筒子8 筒子9 索子1 索子3 索子4 索子8 索子9 | 筒子6 筒子6 筒子6 索子1 索子2 索子3
60,West,-6108,110,0.887,5796,,1464,636,616,0,萬子1 筒子1 筒子4 筒子8 東風 西風 白ちゃん 白ちゃん 中ちゃん 中ちゃん | 索子7 索子8 索子9
61,West,-2017,109,0.885,1482,,1096,948,468,0,萬子6 萬子7 萬子8 筒子2 筒子9 索子7 索子9 | 筒子6 筒子7 筒子8 西風 西風 西風
62,North,-1240,110,0.883,948,,912,1088,768,0,萬子6 萬子9 筒子2 筒子5 筒子7 筒子7 筒子7 索子1 索子3 索子3 | 筒子7 筒子8 筒子9
63,South,-4464,110,0.882,3528,,1152,320,620,0,萬子2 萬子3 筒子4 筒子7 索子2 索子4 東風 南風 西風 中ちゃん | 索子7 索子8 索子9
64,West,100,109,0.880,642,,312,1664,1736,0,萬子3 萬子5 筒子3 筒子4 筒子5 筒子5赤ドラ 筒子8 索子1 索子1 索子2 索子6 索子6 白ちゃん | 
