Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,North,-4062,109,0.998,2072,,1000,0,0,0,萬子5 萬子5 筒子4 筒子4 索子7 索子9 南風 | 筒子6 筒子7 筒子8 索子6 索子6 索子6
2,North,-3937,110,0.996,1652,,840,0,0,0,萬子1 索子8 白ちゃん 白ちゃん | 筒子4 筒子4 筒子4 索子4 索子5赤ドラ 索子6 南風 南風 南風
3,West,-4561,110,0.994,2000,,504,0,0,0,萬子3 萬子7 筒子5 筒子6 筒子8 索子4 索子5赤ドラ 索子5 南風 北風 | 筒子6 筒子7 筒子8
4,South,-4109,109,0.992,2048,,928,0,0,0,萬子8 萬子8 索子6 索子8 索子8 索子9 南風 | 筒子2 筒子3 筒子4 筒子4 筒子5 筒子6
5,North,-4451,109,0.990,2056,,624,0,0,0,萬子4 筒子1 索子3 索子6 索子7 索子8 東風 | 筒子1 筒子2 筒子3 筒子6 筒子7 筒子8
6,West,-4159,110,0.988,1624,,504,0,0,0,萬子9 筒子4 筒子5赤ドラ 筒子6 筒子7 筒子7 索子8 南風 西風 發ちゃん | 索子5赤ドラ 索子6 索子7
7,South,-4088,109,0.986,1600,,552,0,0,0,萬子5 萬子8 筒子7 索子6 北風 北風 發ちゃん | 索子4 索子5 索子6 索子9 索子9 索子9
8,West,-4488,109,0.984,2240,,752,0,0,0,萬子1 萬子6 筒子2 索子3 索子6 索子7 發ちゃん | 筒子1 筒子1 筒子1 索子2 索子2 索子2
9,West,-3926,109,0.982,1760,,832,0,0,0,萬子1 萬子1 萬子2 萬子3 萬子4 索子3 索子5 | 筒子7 筒子7 筒子7 索子4 索子5 索子6
10,South,-4150,110,0.980,2140,,1096,0,0,0,筒子5 筒子5 北風 北風 | 筒子3 筒子3 筒子3 索子4 索子4 索子4 索子5 索子5 索子5赤ドラ
11,South,-2794,109,0.978,336,,568,0,0,0,萬子1 萬子5 萬子7 筒子6 索子2 索子7 北風 | 萬子3 萬子4 萬子5 西風 西風 西風
12,West,-2361,109,0.976,24,,688,0,0,0,筒子4 筒子6 筒子9 索子5 索子8 索子9 中ちゃん | 萬子7 萬子8 萬子9 筒子5 筒子5赤ドラ 筒子5
13,East,-3766,110,0.974,1280,,568,0,0,0,萬子7 萬子9 筒子1 筒子1 筒子8 筒子9 索子1 南風 北風 發ちゃん | 萬子2 萬子3 萬子4
14,South,-4772,110,0.972,2404,,760,0,0,0,萬子8 筒子1 筒子6 中ちゃん | 筒子5 筒子6 筒子7 索子9 索子9 索子9 北風 北風 北風
15,West,2705,55,0.970,972,赤ドラ1 三色通貫,448,0,0,0,萬子7 萬子8 萬子9 筒子2 筒子2 筒子4 筒子5赤ドラ 筒子6 | 筒子7 筒子8 筒子9 索子1 索子2 索子3
16,North,-3566,109,0.968,936,,424,0,0,0,筒子1 筒子4 筒子5 筒子6 筒子8 索子2 西風 | 萬子7 萬子8 萬子9 筒子1 筒子2 筒子3
17,South,-3208,109,0.967,1032,,832,0,0,0,萬子6 萬子7 萬子8 筒子3 筒子5 筒子7 索子6 | 萬子9 萬子9 萬子9 索子7 索子8 索子9
18,North,-3619,109,0.965,1224,,656,0,0,0,筒子1 筒子3 筒子8 索子6 索子6 索子6 東風 | 萬子5 萬子6 萬子7 筒子4 筒子5赤ドラ 筒子6
19,West,-4592,109,0.963,2312,,736,0,0,0,萬子3 萬子3 萬子9 索子3 西風 西風 發ちゃん | 筒子7 筒子8 筒子9 索子5 索子6 索子7
20,South,-4326,109,0.961,1780,,424,0,0,0,萬子2 萬子2 萬子3 筒子2 筒子2 筒子6 筒子7 索子6 索子6 索子7 索子7 東風 白ちゃん | 
21,South,-4490,110,0.959,2044,,680,0,0,0,萬子7 筒子1 索子5赤ドラ 索子5 | 筒子1 筒子2 筒子3 筒子7 筒子8 筒子9 索子5 索子6 索子7
22,North,-4734,109,0.957,2068,,304,0,0,0,萬子2 萬子2 萬子6 萬子9 筒子2 筒子3 筒子3 筒子5 索子3 索子4 索子7 西風 西風 | 
23,West,-2911,110,0.955,336,,464,0,0,0,萬子5 萬子6 筒子4 索子1 索子2 索子9 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 萬子2 萬子3 萬子4
24,North,-4454,110,0.953,1960,,536,0,0,0,萬子3 萬子3 萬子8 筒子1 筒子7 索子2 索子9 西風 發ちゃん 中ちゃん | 索子1 索子1 索子1
25,West,-4133,110,0.951,1988,,960,0,0,0,萬子3 萬子8 筒子3 索子1 | 萬子7 萬子8 萬子9 索子7 索子8 索子9 東風 東風 東風
26,North,-2082,110,0.949,708,,1688,0,0,0,筒子1 筒子5 索子2 北風 | 萬子6 萬子7 萬子8 筒子4 筒子4 筒子4 筒子8 筒子8 筒子8
27,East,-4592,110,0.947,1984,,448,0,0,0,萬子3 萬子9 筒子1 筒子3 筒子5 索子2 索子2 北風 白ちゃん 白ちゃん | 中ちゃん 中ちゃん 中ちゃん
28,North,-4104,110,0.945,1568,,528,0,0,0,萬子1 萬子1 萬子5 筒子1 筒子5 筒子7 索子5 索子8 東風 南風 | 索子6 索子6 索子6
29,South,-3810,110,0.944,1732,,1032,0,0,0,萬子4 筒子4 筒子6 索子5赤ドラ | 筒子6 筒子7 筒子8 索子5 索子6 索子7 西風 西風 西風
30,South,-3726,110,0.942,880,,216,0,0,0,萬子7 筒子1 筒子1 筒子2 筒子7 筒子9 索子2 索子6 索子7 發ちゃん | 萬子7 萬子8 萬子9
31,North,-2970,110,0.940,644,,792,0,0,0,萬子1 筒子4 索子6 白ちゃん | 萬子1 萬子2 萬子3 筒子6 筒子6 筒子6 西風 西風 西風
32,North,-3242,110,0.938,1004,,880,0,0,0,萬子2 萬子9 筒子3 索子2 | 萬子4 萬子5 萬子6 筒子4 筒子5赤ドラ 筒子6 索子1 索子2 索子3
33,West,-3278,110,0.936,1072,,840,0,0,0,萬子4 萬子6 萬子7 萬子8 筒子5 索子3 索子4 索子9 發ちゃん 中ちゃん | 筒子3 筒子4 筒子5
34,South,-2973,109,0.934,728,,768,0,0,0,萬子1 萬子1 萬子5 萬子7 筒子2 索子6 中ちゃん | 萬子6 萬子6 萬子6 筒子7 筒子7 筒子7
35,East,-4166,110,0.932,1712,,576,0,0,0,萬子3 萬子3 萬子6 萬子7 筒子1 筒子8 索子2 索子5 索子7 東風 | 筒子6 筒子7 筒子8
36,East,-3022,109,0.930,484,,432,0,0,0,萬子2 萬子2 萬子3 萬子3 萬子3 萬子6 萬子9 筒子3 筒子7 筒子9 索子2 索子7 南風 | 
37,East,-3890,110,0.929,1336,,480,0,0,0,萬子3 筒子4 筒子8 筒子8 索子2 索子3 東風 西風 白ちゃん 中ちゃん | 筒子9 筒子9 筒子9
38,West,-3571,110,0.927,1256,,720,0,0,0,萬子4 萬子8 筒子2 索子1 索子1 東風 西風 發ちゃん 發ちゃん 中ちゃん | 筒子7 筒子8 筒子9
39,South,-1932,109,0.925,-152,,896,0,0,0,萬子3 筒子2 筒子3 索子1 索子6 索子6 索子9 | 萬子1 萬子2 萬子3 萬子9 萬子9 萬子9
40,West,-4082,110,0.923,1552,,504,0,0,0,萬子2 筒子2 筒子2 筒子7 索子1 索子6 索子8 索子8 南風 發ちゃん | 索子5 索子5 索子5
41,South,-2024,110,0.921,260,,1304,0,0,0,萬子3 萬子6 索子5 發ちゃん | 萬子2 萬子3 萬子4 索子2 索子2 索子2 索子3 索子3 索子3
42,East,-2808,110,0.919,336,,568,0,0,0,萬子1 萬子5赤ドラ 萬子5 萬子6 筒子5 筒子6 筒子6 筒子9 筒子9 索子2 | 萬子1 萬子2 萬子3
43,North,-4403,110,0.918,1856,,520,0,0,0,萬子4 萬子5 萬子7 筒子1 筒子1 筒子2 索子4 索子8 西風 北風 | 筒子6 筒子7 筒子8
44,East,-2771,110,0.916,272,,560,0,0,0,萬子4 萬子4 萬子7 筒子4 筒子5 索子1 索子8 東風 白ちゃん 發ちゃん | 萬子3 萬子3 萬子3
45,North,-3198,110,0.914,1212,,1096,0,0,0,萬子1 索子5赤ドラ 索子5 東風 | 萬子7 萬子7 萬子7 筒子7 筒子8 筒子9 索子7 索子8 索子9
46,South,-3918,109,0.912,1800,,880,0,0,0,筒子1 筒子3 筒子8 索子7 索子8 東風 白ちゃん | 筒子4 筒子5 筒子6 索子2 索子3 索子4
47,North,-3401,109,0.910,1144,,752,0,0,0,萬子1 萬子3 筒子3 索子2 索子7 西風 西風 | 萬子7 萬子8 萬子9 索子3 索子4 索子5
48,West,-3431,110,0.908,1116,,808,0,0,0,萬子2 筒子2 筒子7 索子1 | 萬子7 萬子8 萬子9 索子5 索子6 索子7 索子7 索子8 索子9
49,North,-2786,109,0.907,616,,832,0,0,0,萬子4 萬子5 萬子5赤ドラ 萬子6 索子4 索子9 發ちゃん | 萬子1 萬子1 萬子1 筒子3 筒子4 筒子5
50,East,-4338,110,0.905,1920,,608,0,0,0,萬子4 萬子6 萬子9 筒子5 筒子7 筒子8 筒子9 索子7 西風 白ちゃん | 筒子1 筒子2 筒子3
51,East,-3007,109,0.903,1000,,984,0,0,0,萬子8 筒子2 筒子5 索子1 索子2 索子2 索子4 | 萬子6 萬子7 萬子8 發ちゃん 發ちゃん 發ちゃん
52,West,-3003,109,0.901,864,,848,0,0,0,萬子4 萬子8 萬子8 筒子9 東風 南風 南風 | 萬子3 萬子4 萬子5 白ちゃん 白ちゃん 白ちゃん
53,South,-2280,109,0.899,-8,,704,0,0,0,萬子7 筒子8 索子4 索子5 索子5 索子8 中ちゃん | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2
54,South,-3983,110,0.898,1344,,424,0,0,0,萬子2 萬子2 萬子4 萬子4 筒子5 索子3 索子7 東風 南風 西風 | 萬子3 萬子4 萬子5
55,South,-3853,110,0.896,1312,,520,0,0,0,萬子3 萬子3 萬子8 萬子9 筒子1 索子9 東風 西風 白ちゃん 白ちゃん | 萬子1 萬子2 萬子3
56,North,-3426,110,0.894,888,,512,0,0,0,萬子3 萬子5 筒子6 筒子8 筒子9 索子1 索子2 索子6 索子6 發ちゃん | 萬子9 萬子9 萬子9
57,South,-4244,109,0.892,2024,,784,0,0,0,筒子8 索子2 索子3 索子4 索子6 西風 白ちゃん | 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5
58,West,-3099,110,0.890,432,,392,0,0,0,萬子2 萬子2 萬子6 萬子9 索子3 索子8 索子8 西風 西風 北風 | 萬子3 萬子4 萬子5
59,North,-2696,110,0.889,820,,1200,0,0,0,萬子6 筒子2 筒子3 索子8 | 萬子9 萬子9 萬子9 筒子8 筒子8 筒子8 索子6 索子7 索子8
60,East,-3253,110,0.887,1316,,1144,0,0,0,萬子1 萬子4 萬子8 發ちゃん | 萬子5 萬子5 萬子5 筒子2 筒子3 筒子4 索子6 索子6 索子6
61,East,-2625,109,0.885,344,,736,0,0,0,萬子2 萬子5 筒子3 筒子8 南風 南風 北風 | 萬子3 萬子4 萬子5 萬子6 萬子7 萬子8
62,South,-2285,110,0.883,-72,,672,0,0,0,萬子1 萬子1 萬子2 萬子3 萬子3 萬子5赤ドラ 萬子9 索子6 索子7 中ちゃん | 萬子4 萬子5 萬子6
63,South,-4091,110,0.882,1536,,480,0,0,0,萬子1 萬子2 萬子6 萬子9 筒子3 筒子7 索子1 索子4 白ちゃん 白ちゃん | 索子5 索子5 索子5
64,East,-4761,109,0.880,2160,,456,0,0,0,萬子7 索子8 索子8 索子8 東風 西風 西風 | 筒子5赤ドラ 筒子6 筒子7 筒子7 筒子8 筒子9
