Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,-8030,110,0.998,6605,,0,1608,0,0,萬子4 萬子5 萬子5 筒子6 索子3 索子4 索子6 索子8 北風 白ちゃん | 索子3 索子4 索子5赤ドラ
2,North,-9607,109,0.996,7916,,0,1336,0,0,萬子6 萬子9 筒子2 索子5 索子7 索子7 發ちゃん | 萬子3 萬子4 萬子5赤ドラ 索子1 索子2 索子3
3,South,-2760,110,0.994,2238,,0,2536,0,0,萬子3 萬子3 萬子8 筒子1 筒子2 筒子4 筒子5 索子5 索子9 中ちゃん | 筒子9 筒子9 筒子9
4,North,-16766,110,0.992,15159,,0,1496,0,0,萬子2 萬子6 筒子6 筒子8 | 萬子9 萬子9 萬子9 筒子9 筒子9 筒子9 索子9 索子9 索子9
5,South,-12861,110,0.990,11469,,0,1728,0,0,萬子2 索子9 中ちゃん 中ちゃん | 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5赤ドラ 筒子9 筒子9 筒子9
6,North,-3498,110,0.988,3028,,0,2584,0,0,筒子1 筒子4 筒子5 筒子9 索子2 索子4 索子4 索子6 南風 西風 | 筒子8 筒子8 筒子8
7,North,664,109,0.986,-1554,,0,2080,0,0,萬子4 萬子5 萬子9 筒子1 筒子2 筒子6 筒子6 筒子7 筒子7 索子6 索子9 東風 南風 | 
8,East,-9070,109,0.984,7768,,0,1728,0,0,萬子8 萬子9 萬子9 筒子1 索子2 索子3 索子8 | 萬子2 萬子2 萬子2 萬子4 萬子5 萬子6
9,South,-2784,110,0.982,2640,,0,2912,0,0,萬子3 萬子4 筒子1 筒子7 筒子8 筒子9 索子7 索子8 東風 中ちゃん | 萬子6 萬子7 萬子8
10,North,-4677,110,0.980,4345,,0,2824,0,0,萬子4 萬子7 萬子7 筒子9 | 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 索子7 索子8 索子9
11,West,-16550,109,0.978,14780,,0,1224,0,0,萬子5 萬子8 筒子6 索子1 索子4 南風 發ちゃん | 筒子2 筒子2 筒子2 索子7 索子7 索子7
12,South,-6927,110,0.976,6153,,0,2264,0,0,萬子3 筒子3 筒子3 索子2 索子7 東風 南風 南風 北風 發ちゃん | 萬子2 萬子2 萬子2
13,East,-9017,109,0.974,7724,,0,1736,0,0,萬子1 萬子1 萬子2 萬子6 筒子8 索子1 西風 | 筒子3 筒子4 筒子5 索子2 索子2 索子2
14,North,-5114,110,0.972,4135,,0,2072,0,0,萬子5赤ドラ 萬子5 萬子5 萬子6 筒子2 筒子9 索子1 索子5 索子8 東風 | 萬子1 萬子1 萬子1
15,North,-4137,110,0.970,3872,,0,2784,0,0,萬子2 萬子4 萬子4 筒子3 筒子5赤ドラ 索子8 索子8 東風 南風 中ちゃん | 萬子7 萬子8 萬子9
16,East,-17394,109,0.968,15108,,0,704,0,0,萬子4 筒子1 筒子1 筒子7 索子8 南風 南風 | 索子1 索子2 索子3 索子7 索子8 索子9
17,North,-7288,110,0.967,5912,,0,1664,0,0,萬子8 筒子6 筒子6 筒子9 索子3 索子7 索子7 東風 發ちゃん 發ちゃん | 索子1 索子2 索子3
18,South,-17071,110,0.965,14638,,0,672,0,0,筒子8 索子7 索子8 南風 | 萬子2 萬子2 萬子2 萬子8 萬子8 萬子8 索子4 索子5 索子6
19,North,-21149,110,0.963,19575,,0,1504,0,0,萬子1 筒子8 東風 南風 | 萬子4 萬子5 萬子6 索子2 索子2 索子2 索子3 索子4 索子5
20,South,-4629,110,0.961,3254,,0,1680,0,0,萬子3 筒子9 索子2 索子2 西風 西風 西風 北風 白ちゃん 發ちゃん | 筒子2 筒子2 筒子2
21,East,-2440,110,0.959,2561,,0,3176,0,0,萬子3 筒子3 筒子7 索子4 索子4 索子4 索子6 索子7 南風 中ちゃん | 筒子2 筒子3 筒子4
22,South,158,109,0.957,-952,,0,2176,0,0,萬子2 萬子2 萬子7 萬子7 筒子1 筒子2 筒子6 索子7 東風 南風 西風 白ちゃん 發ちゃん | 
23,East,-16755,109,0.955,15101,,0,1336,0,0,筒子7 南風 西風 西風 白ちゃん 發ちゃん 中ちゃん | 萬子8 萬子8 萬子8 筒子5 筒子5 筒子5赤ドラ
24,North,-5205,109,0.953,4414,,0,2256,0,0,萬子2 萬子7 筒子1 筒子9 索子2 索子5 索子6 | 筒子8 筒子8 筒子8 東風 東風 東風
25,North,-11962,109,0.951,9862,,0,920,0,0,萬子3 萬子4 筒子9 筒子9 索子9 東風 中ちゃん | 萬子1 萬子2 萬子3 筒子6 筒子6 筒子6
26,West,-9326,110,0.949,7422,,0,1128,0,0,萬子2 萬子5 萬子9 筒子2 筒子3 索子4 索子5 北風 白ちゃん 中ちゃん | 筒子3 筒子4 筒子5
27,North,-9160,109,0.947,7253,,0,1128,0,0,萬子9 筒子1 筒子9 索子2 索子7 東風 中ちゃん | 筒子2 筒子3 筒子4 索子1 索子2 索子3
28,South,-10171,110,0.945,7947,,0,808,0,0,萬子2 萬子4 筒子8 筒子9 索子6 索子7 索子9 西風 白ちゃん 發ちゃん | 萬子6 萬子6 萬子6
29,East,-2504,110,0.944,1882,,0,2440,0,0,萬子5 萬子7 萬子8 筒子4 筒子8 索子1 索子2 索子3 索子3 白ちゃん | 萬子6 萬子6 萬子6
30,West,-26019,110,0.942,23408,,0,448,0,0,萬子6 索子4 索子9 北風 | 筒子1 筒子1 筒子1 索子6 索子7 索子8 東風 東風 東風
