Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-10874,110,0.998,8534,,0,688,0,0,萬子1 筒子2 筒子2 筒子4 筒子9 筒子9 索子3 索子6 索子6 南風 | 索子3 索子4 索子5
2,South,38,110,0.996,-867,,0,2248,0,0,萬子1 萬子7 萬子9 筒子2 筒子7 筒子9 索子9 南風 北風 中ちゃん | 索子5 索子5 索子5
3,East,-3529,109,0.994,2656,,0,2184,0,0,筒子4 筒子7 筒子9 索子2 索子4 索子7 索子9 | 筒子5 筒子6 筒子7 索子5 索子6 索子7
4,East,-2055,110,0.992,1286,,0,2296,0,0,萬子2 萬子5 萬子8 筒子5赤ドラ 筒子5 筒子5 筒子9 索子6 北風 北風 | 萬子9 萬子9 萬子9
5,South,-13476,109,0.990,11578,,0,1112,0,0,萬子5 筒子4 筒子5 筒子7 筒子7 筒子8 索子9 | 索子6 索子7 索子8 南風 南風 南風
6,West,-7032,110,0.988,5177,,0,1192,0,0,萬子5 萬子6 萬子6 萬子9 萬子9 筒子5赤ドラ 筒子7 筒子9 索子4 西風 | 萬子3 萬子3 萬子3
7,North,-14159,109,0.986,12783,,0,1624,0,0,萬子5 萬子6 萬子6 筒子7 筒子8 索子9 北風 | 筒子2 筒子3 筒子4 筒子5 筒子5 筒子5赤ドラ
8,South,2434,109,0.984,-1372,,0,4032,0,0,萬子1 萬子6 筒子1 筒子3 筒子3 筒子3 筒子5 索子4 索子7 索子7 索子7 索子9 發ちゃん | 
9,North,-20401,109,0.982,17863,,0,440,0,0,萬子7 索子7 索子8 東風 白ちゃん 發ちゃん 中ちゃん | 萬子9 萬子9 萬子9 筒子5赤ドラ 筒子6 筒子7
10,North,-4257,110,0.980,3246,,0,2040,0,0,萬子8 萬子9 萬子9 筒子9 筒子9 筒子9 索子2 索子6 索子9 北風 | 萬子7 萬子8 萬子9
11,West,-982,110,0.978,-213,,0,1880,0,0,萬子1 萬子9 筒子3 筒子4 筒子4 筒子7 筒子8 索子1 索子4 索子5 | 萬子6 萬子7 萬子8
12,North,-19206,110,0.976,17123,,0,1008,0,0,萬子9 筒子9 索子1 西風 | 萬子4 萬子5 萬子6 筒子2 筒子3 筒子4 筒子7 筒子8 筒子9
13,South,-15556,109,0.974,13687,,0,1128,0,0,萬子4 筒子1 索子3 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 筒子7 筒子8 筒子9 東風 東風 東風
14,West,-7861,110,0.972,6770,,0,1944,0,0,筒子6 筒子7 筒子7 索子6 索子9 東風 南風 西風 北風 白ちゃん | 索子1 索子2 索子3
15,West,-16862,110,0.970,14332,,0,576,0,0,萬子2 萬子4 筒子3 索子2 | 萬子2 萬子3 萬子4 索子4 索子4 索子5 索子5 索子6 索子6
16,East,-16801,110,0.968,14512,,0,816,0,0,萬子7 筒子1 筒子6 索子7 | 萬子4 萬子5 萬子6 筒子7 筒子8 筒子9 索子6 索子7 索子8
17,West,-4572,109,0.967,3528,,0,2008,0,0,萬子1 萬子3 筒子4 筒子6 筒子9 索子7 發ちゃん | 索子4 索子4 索子4 索子6 索子7 索子8
18,South,-10095,109,0.965,9089,,0,2016,0,0,萬子2 萬子7 筒子5 筒子8 索子1 白ちゃん 發ちゃん | 萬子2 萬子3 萬子4 萬子6 萬子7 萬子8
19,North,-13009,109,0.963,12179,,0,2176,0,0,萬子4 萬子8 索子3 索子3 索子5 索子6 索子6 | 筒子2 筒子3 筒子4 索子2 索子3 索子4
20,East,2608,109,0.961,-1946,,0,3632,0,0,萬子1 萬子3 萬子4 萬子4 萬子4 萬子5赤ドラ 萬子5 萬子6 萬子9 筒子7 筒子7 發ちゃん 中ちゃん | 
21,North,-22134,110,0.959,20148,,0,1088,0,0,萬子3 筒子5 索子8 中ちゃん | 筒子6 筒子7 筒子8 索子9 索子9 索子9 白ちゃん 白ちゃん 白ちゃん
22,North,-20018,109,0.957,17510,,0,472,0,0,萬子1 萬子9 萬子9 筒子2 索子1 索子4 索子4 | 筒子4 筒子4 筒子4 筒子6 筒子7 筒子8
23,South,-11574,109,0.955,9867,,0,1312,0,0,萬子8 萬子9 筒子2 筒子5赤ドラ 筒子6 筒子9 索子5 | 萬子6 萬子6 萬子6 索子2 索子3 索子4
24,East,-10333,109,0.953,9070,,0,1760,0,0,萬子4 萬子5 筒子9 筒子9 索子8 東風 發ちゃん | 筒子3 筒子4 筒子5 中ちゃん 中ちゃん 中ちゃん
25,West,-6744,109,0.951,5332,,0,1632,0,0,萬子3 萬子7 索子2 索子2 索子7 索子7 南風 | 筒子7 筒子7 筒子7 西風 西風 西風
26,North,-9535,110,0.949,8341,,0,1832,0,0,萬子7 萬子7 萬子8 筒子1 筒子4 筒子7 筒子7 索子1 索子5赤ドラ 發ちゃん | 索子7 索子7 索子7
27,East,-14415,110,0.947,12628,,0,1328,0,0,萬子9 筒子1 西風 白ちゃん | 筒子3 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子7 中ちゃん 中ちゃん 中ちゃん
28,East,-19319,109,0.945,17360,,0,1016,0,0,萬子7 筒子4 筒子4 筒子5 筒子7 索子4 索子8 | 筒子2 筒子2 筒子2 索子5 索子6 索子7
29,West,1182,109,0.944,-1624,,0,2528,0,0,萬子5 筒子1 筒子2 筒子4 索子2 索子4 索子5赤ドラ 索子5 索子6 索子9 索子9 北風 白ちゃん | 
30,South,-12829,109,0.942,11011,,0,1192,0,0,萬子5 萬子9 萬子9 筒子2 筒子3 筒子8 索子6 | 筒子6 筒子7 筒子8 索子4 索子4 索子4
31,North,-3532,110,0.940,1966,,0,1496,0,0,萬子3 萬子3 萬子9 筒子1 筒子5 筒子6 筒子9 索子1 索子6 北風 | 筒子1 筒子2 筒子3
32,West,-9313,109,0.938,7546,,0,1264,0,0,萬子5 筒子1 筒子1 索子7 索子9 索子9 白ちゃん | 筒子4 筒子5赤ドラ 筒子6 索子1 索子2 索子3
33,North,-12014,109,0.936,10180,,0,1184,0,0,萬子1 萬子3 萬子8 筒子8 索子5 索子6 發ちゃん | 筒子1 筒子2 筒子3 索子1 索子1 索子1
34,North,-3816,110,0.934,2129,,0,1376,0,0,萬子2 萬子2 筒子7 索子1 索子2 索子3 索子3 索子7 西風 中ちゃん | 萬子9 萬子9 萬子9
35,South,-8565,110,0.932,6671,,0,1144,0,0,萬子1 萬子3 萬子6 索子2 索子6 索子7 索子8 白ちゃん 中ちゃん 中ちゃん | 萬子6 萬子6 萬子6
36,North,-7370,110,0.930,5351,,0,1024,0,0,萬子6 萬子9 萬子9 筒子2 筒子7 筒子8 索子2 索子4 西風 北風 | 索子1 索子2 索子3
37,South,-7878,110,0.929,6730,,0,1888,0,0,萬子2 萬子5 萬子9 筒子3 筒子5 筒子6 索子7 索子9 索子9 北風 | 發ちゃん 發ちゃん 發ちゃん
38,South,-10251,109,0.927,9753,,0,2520,0,0,萬子1 萬子8 筒子9 索子4 索子5赤ドラ 索子9 白ちゃん | 筒子2 筒子2 筒子2 筒子9 筒子9 筒子9
39,West,-19183,110,0.925,16902,,0,808,0,0,萬子9 筒子1 筒子1 筒子6 | 萬子5 萬子5 萬子5赤ドラ 索子3 索子4 索子4 索子5赤ドラ 索子5 索子6
40,West,-22,109,0.923,-1316,,0,1632,0,0,萬子2 萬子3 萬子5 萬子5 筒子3 筒子7 索子6 索子9 南風 北風 發ちゃん 中ちゃん 中ちゃん | 
41,South,-21111,109,0.921,18869,,0,840,0,0,白ちゃん | 萬子3 萬子4 萬子5 筒子2 筒子3 筒子4 索子2 索子3 索子4 索子9 索子9 索子9
42,South,-1601,109,0.919,145,,0,1616,0,0,萬子2 萬子3 萬子6 筒子5 筒子6 東風 中ちゃん | 萬子3 萬子4 萬子5 筒子2 筒子3 筒子4
43,North,-7254,110,0.918,6249,,0,2032,0,0,萬子7 萬子9 筒子9 索子8 索子9 索子9 東風 東風 北風 發ちゃん | 筒子1 筒子2 筒子3
44,North,-9295,110,0.916,7260,,0,1000,0,0,筒子5 筒子5 筒子5赤ドラ 筒子8 索子1 索子5 索子5 索子8 發ちゃん 中ちゃん | 東風 東風 東風
45,North,-1926,110,0.914,690,,0,1832,0,0,萬子2 萬子3 萬子5 筒子1 筒子2 索子2 索子9 南風 白ちゃん 中ちゃん | 中ちゃん 中ちゃん 中ちゃん
46,East,-4697,110,0.912,3549,,0,1904,0,0,萬子4 萬子9 筒子3 筒子5赤ドラ 索子3 索子3 索子4 索子4 索子5 西風 | 索子1 索子2 索子3
47,West,-9011,110,0.910,7700,,0,1720,0,0,萬子3 萬子9 萬子9 筒子3 筒子7 索子2 索子8 索子8 中ちゃん 中ちゃん | 萬子6 萬子6 萬子6
48,West,-81,110,0.908,-303,,0,2688,0,0,萬子2 萬子3 萬子5 萬子9 筒子1 筒子2 筒子3 筒子8 索子1 索子5赤ドラ | 筒子1 筒子2 筒子3
49,East,-145,109,0.907,-1001,,0,1824,0,0,筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子9 索子2 索子4 索子9 南風 西風 發ちゃん | 
50,South,-13683,109,0.905,11641,,0,968,0,0,筒子2 筒子3 筒子4 索子1 索子2 索子7 索子9 | 筒子6 筒子7 筒子8 白ちゃん 白ちゃん 白ちゃん
51,West,2371,109,0.903,-1757,,0,3584,0,0,萬子5赤ドラ 萬子7 筒子3 筒子3 筒子6 筒子7 索子1 索子1 索子1 索子6 索子6 西風 西風 | 
52,West,177,110,0.901,-444,,0,2808,0,0,萬子4 萬子7 萬子9 筒子2 筒子2 索子8 南風 南風 西風 白ちゃん | 筒子6 筒子7 筒子8
53,East,-3160,110,0.899,1859,,0,1760,0,0,萬子1 萬子3 萬子4 筒子1 筒子5赤ドラ 筒子6 筒子8 索子1 索子3 南風 | 筒子7 筒子8 筒子9
54,South,-11276,110,0.898,9680,,0,1536,0,0,筒子5赤ドラ 筒子5 索子6 索子8 | 萬子4 萬子4 萬子4 筒子6 筒子7 筒子8 索子3 索子4 索子5赤ドラ
55,East,-8947,110,0.896,7410,,0,1608,0,0,索子2 北風 北風 北風 | 萬子7 萬子8 萬子9 筒子3 筒子3 筒子3 白ちゃん 白ちゃん 白ちゃん
56,North,-5078,110,0.894,3817,,0,1792,0,0,萬子8 筒子2 筒子2 筒子6 索子3 索子5 南風 南風 南風 發ちゃん | 筒子7 筒子8 筒子9
57,East,-18014,109,0.892,15838,,0,808,0,0,萬子3 萬子7 筒子3 筒子3 筒子5 南風 白ちゃん | 索子1 索子2 索子3 索子7 索子8 索子9
58,North,920,109,0.890,-1442,,0,2448,0,0,萬子3 萬子9 筒子1 筒子3 筒子4 筒子5 筒子5 筒子7 索子1 索子4 西風 西風 白ちゃん | 
59,North,-8629,110,0.889,6760,,0,1168,0,0,萬子1 萬子4 萬子4 萬子9 索子2 索子8 西風 西風 北風 發ちゃん | 萬子5 萬子6 萬子7
60,North,-13591,109,0.887,11000,,0,424,0,0,萬子3 筒子4 筒子5 索子2 索子6 索子9 北風 | 萬子1 萬子2 萬子3 索子4 索子4 索子4
61,East,-21421,110,0.885,19061,,0,720,0,0,萬子8 索子5 白ちゃん 白ちゃん | 萬子2 萬子3 萬子4 筒子1 筒子2 筒子3 索子7 索子8 索子9
62,North,1092,109,0.883,-1694,,0,2368,0,0,萬子1 萬子4 萬子5 萬子6 萬子7 筒子1 筒子9 索子2 索子5 南風 北風 發ちゃん 中ちゃん | 
63,West,-1581,110,0.882,407,,0,1896,0,0,萬子4 筒子9 索子1 索子3 索子5 索子6 索子7 東風 西風 北風 | 萬子1 萬子1 萬子1
64,North,378,109,0.880,-1316,,0,2032,0,0,萬子2 萬子3 萬子3 筒子2 筒子3 筒子4 筒子6 索子2 索子5 索子6 索子6 西風 中ちゃん | 
65,East,-10624,109,0.878,10733,,0,3120,0,0,萬子2 萬子2 萬子5 萬子8 筒子4 索子1 索子5赤ドラ | 萬子9 萬子9 萬子9 筒子5 筒子5 筒子5赤ドラ
66,East,-12744,109,0.876,10357,,0,632,0,0,筒子8 索子6 索子6 索子8 南風 南風 白ちゃん | 筒子5赤ドラ 筒子6 筒子7 索子5 索子5赤ドラ 索子5
67,North,891,109,0.874,-1477,,0,2384,0,0,萬子3 筒子1 筒子3 筒子8 筒子8 筒子9 索子5 索子5 索子6 索子8 南風 發ちゃん 發ちゃん | 
68,West,-10202,110,0.873,8399,,0,1336,0,0,萬子4 萬子7 萬子7 索子9 | 筒子4 筒子5 筒子6 筒子6 筒子7 筒子8 中ちゃん 中ちゃん 中ちゃん
69,East,-7822,109,0.871,5949,,0,1168,0,0,萬子1 萬子3 筒子1 筒子3 索子6 南風 中ちゃん | 筒子4 筒子5 筒子6 筒子7 筒子8 筒子9
70,South,80,110,0.869,-741,,0,2416,0,0,萬子8 筒子6 索子2 索子5赤ドラ 索子5 索子9 西風 北風 中ちゃん 中ちゃん | 索子5 索子6 索子7
71,North,-10436,110,0.867,7996,,0,592,0,0,筒子2 筒子3 筒子3 筒子3 筒子6 筒子8 南風 西風 西風 中ちゃん | 筒子7 筒子8 筒子9
72,West,-8457,110,0.866,7167,,0,1856,0,0,萬子2 筒子8 索子9 發ちゃん | 筒子7 筒子7 筒子7 索子3 索子3 索子3 中ちゃん 中ちゃん 中ちゃん
73,East,-8225,110,0.864,7134,,0,1944,0,0,萬子2 萬子5赤ドラ 萬子5 萬子6 索子2 索子3 索子9 東風 西風 北風 | 索子1 索子1 索子1
74,South,2724,109,0.862,-2030,,0,3664,0,0,萬子6 筒子1 筒子2 筒子8 筒子9 索子2 索子3 索子8 索子9 南風 西風 白ちゃん 發ちゃん | 
75,North,-6809,110,0.861,4834,,0,1072,0,0,萬子2 萬子4 萬子7 筒子8 索子6 索子6 索子7 索子7 東風 發ちゃん | 發ちゃん 發ちゃん 發ちゃん
76,West,-16336,110,0.859,14496,,0,1264,0,0,萬子4 萬子9 筒子5 白ちゃん | 萬子4 萬子5 萬子6 筒子7 筒子7 筒子7 索子2 索子3 索子4
77,West,-7887,109,0.857,6667,,0,1816,0,0,萬子8 萬子9 筒子6 筒子8 索子9 東風 白ちゃん | 筒子9 筒子9 筒子9 東風 東風 東風
78,North,-13205,109,0.855,11080,,0,888,0,0,萬子8 萬子9 筒子8 索子2 西風 發ちゃん 發ちゃん | 萬子6 萬子7 萬子8 筒子1 筒子2 筒子3
79,North,2064,109,0.854,-1834,,0,3200,0,0,萬子3 萬子4 萬子6 索子1 索子2 索子8 東風 南風 西風 北風 白ちゃん 發ちゃん 中ちゃん | 
80,North,-16152,110,0.852,16493,,0,3432,0,0,萬子4 萬子5 筒子2 索子4 | 筒子1 筒子2 筒子3 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
81,West,-17090,110,0.850,15375,,0,1384,0,0,萬子8 萬子9 筒子8 東風 | 筒子7 筒子8 筒子9 索子3 索子4 索子5赤ドラ 索子5 索子6 索子7
82,East,-13598,109,0.849,11966,,0,1376,0,0,萬子1 萬子6 筒子4 索子3 索子7 西風 中ちゃん | 萬子7 萬子7 萬子7 索子2 索子2 索子2
83,West,-12781,109,0.847,11202,,0,1432,0,0,萬子2 筒子3 筒子6 索子3 索子3 東風 東風 | 筒子5赤ドラ 筒子5 筒子5 索子8 索子8 索子8
84,South,-18178,109,0.845,15767,,0,576,0,0,萬子5 萬子9 筒子4 索子5 索子6 索子8 索子9 | 筒子4 筒子5赤ドラ 筒子6 索子4 索子5 索子6
85,South,-14827,110,0.844,12857,,0,1144,0,0,萬子8 筒子4 索子2 索子5 | 萬子7 萬子8 萬子9 索子7 索子8 索子9 東風 東風 東風
86,North,-8504,110,0.842,6459,,0,992,0,0,萬子2 萬子2 萬子7 筒子1 筒子9 索子1 索子4 索子4 索子9 白ちゃん | 筒子6 筒子7 筒子8
87,North,1674,109,0.840,-1316,,0,3328,0,0,筒子1 筒子2 筒子2 筒子7 索子1 索子1 索子2 索子2 索子3 索子5赤ドラ 索子8 索子8 中ちゃん | 
88,South,-4138,110,0.838,2952,,0,1872,0,0,萬子1 萬子3 萬子9 筒子1 筒子1 筒子1 索子1 索子5 索子5 白ちゃん | 索子5赤ドラ 索子6 索子7
89,West,206,109,0.837,-1288,,0,1888,0,0,萬子5赤ドラ 萬子6 萬子6 萬子6 萬子7 筒子3 筒子3 筒子6 索子2 索子7 白ちゃん 白ちゃん 中ちゃん | 
90,East,-7370,110,0.835,6122,,0,1792,0,0,萬子2 萬子5 萬子5 萬子5 萬子5赤ドラ 筒子4 索子1 索子1 索子4 北風 | 索子7 索子8 索子9
91,West,-7835,110,0.833,6985,,0,2184,0,0,萬子5赤ドラ 萬子6 筒子9 索子3 索子6 索子7 索子7 索子7 東風 發ちゃん | 筒子5 筒子5 筒子5赤ドラ
92,West,-758,110,0.832,265,,0,2576,0,0,萬子4 萬子9 萬子9 筒子8 筒子9 索子1 索子3 索子3 索子6 中ちゃん | 萬子7 萬子8 萬子9
93,North,-15635,109,0.830,13661,,0,1024,0,0,萬子3 萬子4 萬子7 筒子6 筒子7 南風 北風 | 萬子5 萬子5赤ドラ 萬子5 筒子6 筒子7 筒子8
94,East,-20569,110,0.828,18542,,0,1056,0,0,萬子2 萬子5 索子8 西風 | 筒子4 筒子5 筒子6 索子2 索子3 索子4 索子6 索子7 索子8
95,North,-1457,110,0.827,-468,,0,1152,0,0,萬子7 萬子9 筒子3 索子2 索子8 東風 西風 北風 北風 中ちゃん | 筒子1 筒子2 筒子3
96,South,-6664,110,0.825,4953,,0,1336,0,0,萬子2 萬子3 萬子4 筒子2 筒子2 筒子5 筒子5赤ドラ 筒子6 索子6 中ちゃん | 索子2 索子2 索子2
97,North,957,109,0.823,-1351,,0,2576,0,0,萬子4 萬子4 萬子4 索子1 索子2 索子4 索子4 索子5赤ドラ 索子5 索子8 索子9 索子9 發ちゃん | 
98,East,-7487,110,0.822,5764,,0,1320,0,0,萬子7 萬子9 筒子3 筒子3 筒子6 索子5 索子8 發ちゃん 中ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
99,North,13846,109,0.820,-3024,,0,13792,0,0,萬子7 萬子7 筒子9 筒子9 索子2 索子5 索子5 索子6 索子6 索子9 索子9 發ちゃん 發ちゃん | 
100,South,1667,109,0.819,-1533,,0,3104,0,0,萬子1 萬子4 筒子3 筒子4 筒子5赤ドラ 筒子6 筒子6 筒子6 索子1 索子2 索子2 索子7 中ちゃん | 
101,South,-2608,110,0.817,979,,0,1440,0,0,萬子1 萬子8 萬子9 筒子1 筒子2 索子7 索子8 索子9 北風 中ちゃん | 筒子5 筒子6 筒子7
102,North,-13413,109,0.815,12095,,0,1688,0,0,萬子7 筒子5 筒子5 索子9 西風 白ちゃん 發ちゃん | 筒子1 筒子1 筒子1 索子3 索子3 索子3
103,North,-11792,110,0.814,10074,,0,1408,0,0,萬子6 萬子8 萬子8 索子7 | 萬子2 萬子3 萬子4 萬子4 萬子4 萬子4 索子9 索子9 索子9
104,East,-11579,109,0.812,10066,,0,1504,0,0,萬子4 萬子5赤ドラ 萬子7 索子5 西風 北風 中ちゃん | 索子4 索子5 索子6 索子7 索子7 索子7
105,North,-15712,109,0.810,13672,,0,960,0,0,萬子1 筒子2 筒子2 索子3 索子4 北風 北風 | 索子7 索子7 索子7 索子9 索子9 索子9
106,East,641,109,0.809,-1435,,0,2176,0,0,萬子4 萬子6 萬子6 萬子7 筒子6 筒子8 索子3 索子4 索子7 索子9 索子9 索子9 發ちゃん | 
107,North,1250,109,0.807,-1708,,0,2512,0,0,萬子1 萬子4 萬子5 萬子6 萬子7 筒子1 筒子3 筒子3 筒子7 筒子9 索子1 索子1 東風 | 
108,North,-16329,109,0.806,14156,,0,824,0,0,萬子1 萬子4 萬子9 筒子3 索子3 索子8 白ちゃん | 萬子6 萬子7 萬子8 筒子7 筒子8 筒子9
