Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,North,-1358,110,0.998,110,,0,1824,0,0,萬子2 萬子5赤ドラ 萬子8 筒子2 筒子3 筒子4 筒子5 索子4 索子5 東風 | 萬子2 萬子3 萬子4
2,South,-9465,110,0.996,7714,,0,1280,0,0,萬子2 萬子7 萬子7 萬子7 筒子4 索子1 索子1 索子7 索子9 發ちゃん | 筒子5 筒子6 筒子7
3,North,-19512,110,0.994,16921,,0,504,0,0,筒子4 索子5 中ちゃん 中ちゃん | 萬子2 萬子3 萬子4 萬子7 萬子8 萬子9 索子2 索子3 索子4
4,South,-1374,110,0.992,110,,0,1808,0,0,萬子1 萬子6 筒子6 筒子6 筒子8 筒子9 索子2 索子7 索子7 白ちゃん | 萬子3 萬子4 萬子5
5,West,-4298,110,0.990,3565,,0,2320,0,0,萬子5 萬子6 筒子2 筒子6 索子2 索子4 索子5 索子8 東風 西風 | 南風 南風 南風
6,West,-1833,110,0.988,1394,,0,2624,0,0,萬子9 筒子2 筒子3 筒子7 索子2 索子2 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 索子4 索子4 索子4
7,East,-2012,110,0.986,1429,,0,2480,0,0,筒子1 筒子4 筒子7 索子8 索子8 索子9 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 筒子3 筒子4 筒子5
8,West,-17302,109,0.984,14892,,0,584,0,0,萬子2 筒子2 索子5 索子9 東風 白ちゃん 中ちゃん | 萬子9 萬子9 萬子9 索子1 索子2 索子3
9,East,-13011,109,0.982,10982,,0,984,0,0,筒子5 筒子7 筒子8 索子1 索子8 索子8 索子8 | 筒子1 筒子2 筒子3 索子5 索子6 索子7
10,East,-3363,110,0.980,1739,,0,1440,0,0,萬子2 萬子3 萬子6 萬子6 筒子1 筒子1 筒子9 索子3 白ちゃん 中ちゃん | 西風 西風 西風
11,North,-19269,109,0.978,16906,,0,616,0,0,萬子4 萬子8 筒子9 索子4 索子8 白ちゃん 白ちゃん | 萬子5 萬子6 萬子7 筒子2 筒子3 筒子4
12,West,-401,109,0.976,-945,,0,1624,0,0,萬子2 萬子7 筒子1 筒子2 筒子4 筒子9 筒子9 索子3 索子5 索子9 北風 發ちゃん 中ちゃん | 
13,West,-2574,110,0.974,1738,,0,2224,0,0,萬子7 筒子2 筒子6 筒子6 索子3 索子4 索子7 索子7 北風 白ちゃん | 索子3 索子4 索子5
14,North,-16115,110,0.972,14419,,0,1408,0,0,萬子5 筒子2 筒子2 筒子8 | 萬子2 萬子3 萬子4 筒子1 筒子1 筒子1 筒子4 筒子5 筒子6
