Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,-16622,110,0.998,14444,,0,928,0,0,筒子1 筒子5 筒子7 白ちゃん | 萬子6 萬子6 萬子6 索子1 索子2 索子3 索子5 索子6 索子7
2,North,-16815,109,0.996,14325,,0,504,0,0,萬子4 萬子4 筒子1 筒子6 索子3 索子8 南風 | 萬子1 萬子2 萬子3 筒子2 筒子3 筒子4
3,East,-4004,110,0.994,2414,,0,1472,0,0,萬子4 萬子4 萬子6 筒子1 筒子5 筒子8 索子5 索子7 西風 發ちゃん | 筒子5赤ドラ 筒子6 筒子7
4,West,-5874,110,0.992,4659,,0,1832,0,0,萬子2 筒子4 筒子5赤ドラ 筒子6 筒子8 索子1 索子4 索子6 北風 中ちゃん | 筒子2 筒子3 筒子4
5,West,2802,109,0.990,-1932,,0,3840,0,0,萬子3 萬子5 萬子5赤ドラ 萬子7 萬子9 萬子9 筒子3 筒子6 索子6 北風 北風 發ちゃん 發ちゃん | 
6,South,-14586,109,0.988,12640,,0,1056,0,0,萬子4 萬子9 筒子3 筒子4 索子5赤ドラ 北風 白ちゃん | 索子1 索子2 索子3 索子3 索子4 索子5
7,West,-10561,109,0.986,8406,,0,872,0,0,萬子3 筒子6 筒子6 筒子9 索子1 索子3 中ちゃん | 筒子1 筒子2 筒子3 筒子5 筒子6 筒子7
8,South,-12841,109,0.984,10617,,0,792,0,0,萬子1 萬子8 筒子9 索子5 發ちゃん 發ちゃん 發ちゃん | 筒子1 筒子1 筒子1 筒子6 筒子7 筒子8
9,West,-4214,109,0.982,3013,,0,1856,0,0,萬子2 萬子2 萬子2 萬子2 筒子1 索子9 白ちゃん | 萬子6 萬子7 萬子8 索子2 索子3 索子4
10,South,-1231,109,0.980,673,,0,2512,0,0,萬子6 萬子9 筒子1 筒子4 筒子7 索子4 索子6 | 萬子1 萬子2 萬子3 萬子4 萬子4 萬子4
11,South,-5422,110,0.978,4140,,0,1768,0,0,萬子6 筒子8 索子1 索子2 索子4 索子9 南風 白ちゃん 白ちゃん 白ちゃん | 萬子7 萬子8 萬子9
12,East,-10383,110,0.976,8364,,0,1008,0,0,萬子1 筒子1 筒子2 筒子5 筒子7 筒子8 筒子8 索子1 西風 西風 | 索子1 索子2 索子3
13,West,-19869,109,0.974,17934,,0,1040,0,0,萬子2 萬子3 萬子3 萬子5 筒子3 筒子3 索子7 | 筒子4 筒子5 筒子6 索子4 索子5 索子6
14,South,-7693,110,0.972,7304,,0,2640,0,0,萬子1 萬子4 萬子4 萬子8 筒子1 筒子1 筒子6 索子3 發ちゃん 發ちゃん | 萬子9 萬子9 萬子9
15,South,-6069,109,0.970,6378,,0,3344,0,0,萬子3 萬子3 萬子8 筒子2 筒子3 發ちゃん 發ちゃん | 萬子2 萬子2 萬子2 索子3 索子4 索子5
16,South,1112,110,0.968,-965,,0,3224,0,0,萬子6 筒子2 索子2 索子4 索子4 索子4 索子8 西風 北風 中ちゃん | 萬子4 萬子5 萬子6
17,North,-7510,110,0.967,6384,,0,1912,0,0,萬子2 萬子3 萬子6 筒子3 索子3 索子4 索子7 南風 南風 發ちゃん | 萬子5 萬子5赤ドラ 萬子5
18,West,3069,109,0.965,-1463,,0,4576,0,0,萬子4 萬子4 萬子4 萬子6 筒子9 筒子9 筒子9 索子3 索子7 南風 西風 西風 北風 | 
19,West,-11313,109,0.963,9467,,0,1176,0,0,萬子3 萬子6 筒子5 索子8 北風 發ちゃん 中ちゃん | 筒子1 筒子2 筒子3 索子7 索子7 索子7
20,South,-850,110,0.961,-142,,0,2080,0,0,萬子8 筒子5 索子3 索子3 索子5 索子7 索子8 西風 西風 中ちゃん | 萬子3 萬子4 萬子5
21,North,-9481,110,0.959,8327,,0,1872,0,0,萬子4 萬子4 萬子7 萬子7 萬子9 筒子3 筒子5赤ドラ 筒子7 索子8 南風 | 索子3 索子3 索子3
22,East,-7559,110,0.957,5863,,0,1344,0,0,萬子2 萬子3 筒子1 筒子1 筒子4 筒子4 筒子7 索子7 南風 發ちゃん | 索子7 索子8 索子9
23,East,389,110,0.955,-518,,0,2944,0,0,萬子2 萬子2 萬子6 萬子6 萬子9 筒子4 索子2 索子4 索子5 中ちゃん | 索子4 索子5 索子6
24,North,-11689,109,0.953,9556,,0,888,0,0,筒子2 筒子4 筒子5赤ドラ 筒子8 索子4 索子5 北風 | 萬子3 萬子4 萬子5 索子7 索子8 索子9
25,East,-8564,110,0.951,6533,,0,1008,0,0,萬子4 萬子5 萬子5 索子1 索子1 索子3 西風 西風 發ちゃん 中ちゃん | 筒子4 筒子5 筒子6
26,North,-14382,110,0.949,13416,,0,2144,0,0,筒子4 筒子5赤ドラ 筒子6 筒子6 | 萬子8 萬子8 萬子8 索子2 索子3 索子4 索子8 索子8 索子8
27,South,-20387,109,0.947,18238,,0,824,0,0,筒子3 筒子7 索子1 索子6 索子8 白ちゃん 中ちゃん | 筒子7 筒子8 筒子9 南風 南風 南風
