Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,-8103,110,0.998,6957,,0,1888,0,0,萬子2 筒子2 筒子3 筒子8 筒子9 索子2 索子4 索子6 索子7 中ちゃん | 筒子7 筒子7 筒子7
2,North,-17412,109,0.996,15229,,0,808,0,0,萬子6 筒子3 筒子3 筒子8 索子9 南風 西風 | 筒子1 筒子1 筒子1 筒子9 筒子9 筒子9
3,South,-14533,109,0.994,12497,,0,968,0,0,萬子5赤ドラ 萬子6 筒子2 筒子4 索子2 索子4 索子6 | 筒子1 筒子2 筒子3 北風 北風 北風
4,South,-17235,109,0.992,15124,,0,880,0,0,萬子2 筒子3 索子8 索子9 索子9 索子9 東風 | 筒子5 筒子6 筒子7 白ちゃん 白ちゃん 白ちゃん
5,West,-999,109,0.990,-819,,0,1152,0,0,萬子4 萬子7 筒子2 筒子2 筒子2 筒子5 索子3 索子3 索子5 索子7 東風 北風 中ちゃん | 
6,South,-9789,110,0.988,8500,,0,1736,0,0,萬子3 萬子8 筒子3 筒子6 筒子6 筒子8 筒子9 索子6 索子7 北風 | 索子3 索子3 索子3
7,South,-6670,110,0.986,5534,,0,1904,0,0,萬子3 萬子3 萬子4 索子2 索子5 東風 南風 西風 西風 白ちゃん | 筒子5 筒子6 筒子7
8,North,-3387,109,0.984,3357,,0,3024,0,0,筒子1 筒子1 筒子1 筒子3 筒子7 東風 中ちゃん | 筒子3 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子5
9,West,-9232,109,0.982,7197,,0,1000,0,0,萬子2 萬子6 筒子5 筒子9 索子1 索子6 發ちゃん | 索子7 索子8 索子9 白ちゃん 白ちゃん 白ちゃん
10,North,-5270,110,0.980,3550,,0,1336,0,0,萬子9 筒子4 筒子6 筒子8 索子4 索子7 索子8 索子8 索子8 發ちゃん | 索子1 索子2 索子3
11,South,-24084,110,0.978,22604,,0,1576,0,0,筒子3 筒子7 索子2 西風 | 萬子4 萬子5 萬子6 索子6 索子7 索子8 索子8 索子8 索子8
12,North,-16764,109,0.976,14748,,0,976,0,0,萬子3 筒子5 筒子7 筒子7 索子4 索子6 索子7 | 萬子6 萬子7 萬子8 筒子2 筒子2 筒子2
13,South,1884,109,0.974,-1582,,0,3272,0,0,萬子4 萬子5 萬子8 筒子6 筒子9 索子2 索子2 索子2 索子6 索子8 索子9 南風 北風 | 
14,West,-13513,109,0.972,11042,,0,544,0,0,萬子1 萬子6 萬子6 筒子1 索子3 索子6 索子9 | 萬子1 萬子2 萬子3 萬子4 萬子5 萬子6
15,South,-12988,109,0.970,10909,,0,936,0,0,筒子6 索子2 東風 東風 西風 北風 中ちゃん | 萬子7 萬子7 萬子7 筒子4 筒子4 筒子4
16,West,-8714,109,0.968,6946,,0,1264,0,0,萬子2 萬子2 萬子8 萬子9 筒子3 筒子6 西風 | 筒子2 筒子3 筒子4 筒子4 筒子5 筒子6
17,South,-21966,110,0.967,19891,,0,1000,0,0,萬子6 萬子8 萬子9 筒子8 | 萬子1 萬子1 萬子1 筒子1 筒子2 筒子3 索子7 索子8 索子9
18,North,-6405,110,0.965,5475,,0,2112,0,0,萬子2 萬子5 萬子6 萬子7 萬子7 筒子5 索子3 南風 中ちゃん 中ちゃん | 萬子3 萬子4 萬子5
19,North,-10765,109,0.963,8879,,0,1136,0,0,萬子3 筒子5赤ドラ 索子2 索子2 索子3 索子6 南風 | 筒子6 筒子7 筒子8 索子3 索子4 索子5
20,East,-15166,110,0.961,13617,,0,1560,0,0,萬子1 筒子3 索子7 西風 | 萬子9 萬子9 萬子9 索子1 索子2 索子3 索子7 索子7 索子7
21,West,-17067,110,0.959,15714,,0,1744,0,0,筒子2 筒子6 筒子7 索子6 | 萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 索子4 索子5 索子6
22,South,-24957,110,0.957,22534,,0,640,0,0,萬子4 筒子5 白ちゃん 白ちゃん | 筒子2 筒子3 筒子4 筒子7 筒子7 筒子7 索子4 索子5赤ドラ 索子6
23,West,-5974,110,0.955,4832,,0,1904,0,0,筒子4 筒子5 索子1 索子3 索子4 索子6 東風 西風 西風 發ちゃん | 萬子4 萬子5赤ドラ 萬子6
24,West,-14569,110,0.953,12703,,0,1248,0,0,筒子3 索子4 索子4 北風 | 筒子8 筒子8 筒子8 索子5 索子6 索子7 西風 西風 西風
25,South,-5054,110,0.951,3939,,0,1936,0,0,萬子3 萬子6 筒子1 筒子4 筒子7 東風 東風 白ちゃん 白ちゃん 發ちゃん | 筒子2 筒子3 筒子4
26,West,-24140,110,0.949,22317,,0,1240,0,0,萬子7 索子9 北風 發ちゃん | 萬子5赤ドラ 萬子5 萬子5 筒子6 筒子6 筒子6 索子7 索子8 索子9
27,East,-3321,110,0.947,1519,,0,1264,0,0,萬子4 萬子7 萬子7 萬子8 筒子3 筒子3 索子1 索子5 北風 中ちゃん | 索子7 索子7 索子7
28,South,-20044,109,0.945,17084,,0,24,0,0,筒子7 索子1 索子4 索子5 索子8 東風 西風 | 萬子2 萬子3 萬子4 索子9 索子9 索子9
29,South,-2926,110,0.944,2275,,0,2408,0,0,萬子3 萬子4 萬子7 筒子7 索子1 索子3 索子7 南風 白ちゃん 中ちゃん | 索子6 索子6 索子6
30,North,-10587,110,0.942,8270,,0,712,0,0,萬子4 筒子2 筒子3 筒子9 索子3 南風 南風 南風 北風 中ちゃん | 萬子6 萬子7 萬子8
31,East,1907,109,0.940,-1421,,0,3456,0,0,萬子6 萬子6 萬子6 筒子2 筒子5赤ドラ 筒子5 筒子5 索子9 東風 南風 西風 西風 北風 | 
32,North,-28578,110,0.938,25804,,0,272,0,0,萬子7 萬子9 筒子8 筒子8 | 萬子3 萬子3 萬子3 筒子4 筒子5赤ドラ 筒子6 索子2 索子3 索子4
33,North,857,110,0.936,-1327,,0,2608,0,0,萬子2 萬子2 萬子4 萬子4 萬子4 筒子3 筒子7 索子2 索子2 索子4 | 白ちゃん 白ちゃん 白ちゃん
34,West,-12791,109,0.934,10819,,0,1040,0,0,萬子4 萬子4 萬子6 筒子7 筒子9 索子3 索子4 | 筒子8 筒子8 筒子8 索子1 索子2 索子3
35,West,-11063,109,0.932,9112,,0,1072,0,0,筒子8 筒子9 索子2 索子6 索子9 西風 發ちゃん | 筒子1 筒子2 筒子3 索子1 索子1 索子1
36,East,-1785,110,0.930,79,,0,1368,0,0,萬子3 萬子8 筒子4 筒子5 索子7 索子9 索子9 索子9 東風 發ちゃん | 筒子2 筒子3 筒子4
37,South,-7599,109,0.929,5942,,0,1384,0,0,萬子2 筒子2 筒子3 筒子4 東風 東風 白ちゃん | 索子4 索子5 索子6 中ちゃん 中ちゃん 中ちゃん
38,South,-10252,110,0.927,8665,,0,1440,0,0,萬子3 萬子9 索子5 索子5赤ドラ 索子5 索子7 南風 白ちゃん 中ちゃん 中ちゃん | 筒子6 筒子7 筒子8
39,West,-12342,109,0.925,10526,,0,1200,0,0,筒子5 筒子7 索子5赤ドラ 索子6 索子7 西風 發ちゃん | 萬子9 萬子9 萬子9 索子4 索子4 索子4
40,East,-8829,110,0.923,6816,,0,1024,0,0,萬子3 筒子3 筒子6 筒子9 索子4 索子6 索子7 索子8 索子9 北風 | 萬子7 萬子8 萬子9
41,South,-10842,109,0.921,9147,,0,1328,0,0,萬子7 萬子7 筒子7 筒子9 筒子9 索子4 索子8 | 萬子5 萬子6 萬子7 筒子2 筒子3 筒子4
42,North,697,109,0.919,-1435,,0,2232,0,0,筒子2 筒子3 筒子4 筒子7 筒子8 筒子8 索子3 索子4 東風 南風 西風 北風 白ちゃん | 
43,East,-7948,110,0.918,6688,,0,1776,0,0,萬子3 萬子3 萬子3 筒子1 筒子1 筒子3 筒子6 筒子9 索子4 東風 | 筒子5 筒子5赤ドラ 筒子5
44,South,-6016,109,0.916,4248,,0,1280,0,0,萬子6 筒子2 筒子5 筒子7 索子3 索子7 索子9 | 筒子6 筒子6 筒子6 筒子6 筒子7 筒子8
45,East,-18426,109,0.914,16370,,0,928,0,0,萬子2 筒子3 筒子3 筒子4 索子4 南風 西風 | 萬子5 萬子5赤ドラ 萬子5 萬子7 萬子8 萬子9
46,South,11676,28,0.912,-994,七対子 五門斉,0,4864,0,0,萬子1 萬子1 萬子4 萬子4 筒子3 筒子3 筒子5 筒子5 索子4 索子4 西風 西風 白ちゃん 白ちゃん | 
47,East,-16859,109,0.910,14577,,0,712,0,0,萬子2 筒子3 筒子8 筒子9 南風 西風 白ちゃん | 萬子6 萬子7 萬子8 東風 東風 東風
48,South,-4570,109,0.908,4613,,0,3088,0,0,筒子4 筒子7 索子2 白ちゃん 白ちゃん 白ちゃん 發ちゃん | 萬子7 萬子8 萬子9 筒子5 筒子6 筒子7
49,North,-1261,110,0.907,753,,0,2560,0,0,萬子4 筒子1 筒子1 筒子2 筒子6 索子6 北風 北風 白ちゃん 中ちゃん | 東風 東風 東風
50,North,-3859,109,0.905,2922,,0,2120,0,0,萬子4 萬子7 萬子8 筒子1 筒子6 東風 西風 | 萬子8 萬子8 萬子8 索子1 索子2 索子3
51,West,-16481,109,0.903,14334,,0,848,0,0,筒子1 筒子4 筒子5 索子8 東風 西風 北風 | 筒子7 筒子8 筒子9 發ちゃん 發ちゃん 發ちゃん
52,West,-5941,110,0.901,5541,,0,2640,0,0,萬子4 筒子6 索子2 索子2 索子2 索子6 索子6 索子6 白ちゃん 白ちゃん | 索子3 索子4 索子5
