Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,-18828,109,0.500,17632,,0,300,0,0,萬子2 萬子8 筒子3 筒子3 筒子5 筒子9 索子6 | 筒子1 筒子2 筒子3 索子9 索子9 索子9
2,East,-20986,110,0.500,19490,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 索子2 索子5 索子5 索子6 發ちゃん 中ちゃん | 萬子7 萬子8 萬子9
3,South,-395,109,0.500,-850,,0,240,0,0,萬子3 萬子5 萬子7 筒子6 筒子6 索子6 索子7 索子7 東風 東風 西風 北風 北風 | 
4,West,7411,109,0.500,-8408,,0,496,0,0,萬子5 萬子6 萬子6 萬子8 索子1 索子5 索子9 | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2
5,South,-13952,109,0.500,12664,,0,220,0,0,萬子1 萬子7 筒子1 筒子1 筒子1 筒子5 白ちゃん | 筒子2 筒子3 筒子4 北風 北風 北風
6,East,-4925,109,0.500,3600,,0,160,0,0,萬子1 萬子2 萬子2 萬子6 萬子8 筒子5 索子3 索子3 索子4 索子9 索子9 西風 北風 | 
7,South,-2707,109,0.500,1450,,0,228,0,0,萬子1 萬子3 萬子7 萬子9 筒子2 筒子3 筒子8 索子3 索子4 索子4 索子4 東風 發ちゃん | 
8,South,7325,110,0.500,-8310,,0,520,0,0,筒子2 筒子5 筒子8 索子5赤ドラ 索子9 東風 南風 西風 西風 中ちゃん | 筒子2 筒子2 筒子2
9,North,-81,109,0.500,-1160,,0,280,0,0,筒子7 筒子9 索子4 西風 白ちゃん 中ちゃん 中ちゃん | 東風 東風 東風 北風 北風 北風
10,West,1645,109,0.500,-2750,,0,380,0,0,筒子4 索子3 索子4 索子6 東風 東風 東風 東風 南風 西風 西風 發ちゃん 中ちゃん | 
11,West,841,110,0.500,-2124,,0,248,0,0,萬子2 萬子4 筒子5 索子2 索子3 索子7 索子9 東風 東風 南風 | 筒子9 筒子9 筒子9
12,West,-6570,110,0.500,5084,,0,48,0,0,萬子2 筒子3 筒子3 筒子4 筒子5 筒子7 索子3 索子5 白ちゃん 發ちゃん | 萬子8 萬子8 萬子8
13,West,-17280,109,0.500,15930,,0,160,0,0,萬子2 萬子4 筒子3 筒子7 索子6 索子6 索子8 | 萬子5 萬子6 萬子7 筒子6 筒子6 筒子6
14,East,-10340,110,0.500,9300,,0,496,0,0,筒子1 筒子2 筒子5赤ドラ 索子6 | 萬子5 萬子6 萬子7 筒子6 筒子6 筒子6 發ちゃん 發ちゃん 發ちゃん
15,West,429,110,0.500,-1668,,0,288,0,0,萬子3 萬子5赤ドラ 筒子3 筒子4 筒子8 索子1 索子2 北風 北風 白ちゃん | 發ちゃん 發ちゃん 發ちゃん
16,West,5519,110,0.500,-6538,,0,488,0,0,萬子1 萬子1 索子8 東風 西風 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 索子6 索子6 索子6
17,West,4863,109,0.500,-5754,,0,600,0,0,筒子8 索子4 索子5 索子7 索子8 索子8 索子9 | 筒子2 筒子2 筒子2 索子3 索子4 索子5
18,West,-9484,109,0.500,8566,,0,568,0,0,萬子1 萬子3 筒子6 筒子8 筒子9 筒子9 發ちゃん | 索子1 索子2 索子3 索子8 索子8 索子8
19,South,3851,110,0.500,-4928,,0,440,0,0,萬子8 筒子3 筒子5赤ドラ 筒子7 筒子9 索子4 索子4 索子8 索子9 西風 | 索子6 索子6 索子6
20,South,16086,110,0.500,-16518,,0,1088,0,0,索子7 南風 白ちゃん 發ちゃん | 筒子4 筒子4 筒子4 索子4 索子4 索子4 索子8 索子8 索子8
21,South,-21302,109,0.500,20120,,0,308,0,0,索子3 索子6 索子8 索子9 發ちゃん 中ちゃん 中ちゃん | 筒子8 筒子8 筒子8 索子7 索子8 索子9
22,West,-9485,109,0.500,8368,,0,392,0,0,萬子6 索子2 索子6 西風 西風 北風 白ちゃん | 索子2 索子3 索子4 東風 東風 東風
23,South,-18281,109,0.500,16924,,0,144,0,0,筒子1 筒子4 筒子7 索子1 索子2 索子4 南風 | 索子7 索子8 索子9 白ちゃん 白ちゃん 白ちゃん
24,West,-19910,109,0.500,18680,,0,256,0,0,筒子8 筒子8 筒子8 索子3 索子5 東風 中ちゃん | 索子7 索子8 索子9 中ちゃん 中ちゃん 中ちゃん
25,East,14905,109,0.500,-15646,,0,752,0,0,萬子7 萬子8 索子2 索子4 索子6 東風 白ちゃん | 索子9 索子9 索子9 南風 南風 南風
26,North,-6839,110,0.500,5532,,0,220,0,0,萬子2 萬子8 筒子2 筒子3 索子1 索子3 索子4 索子4 索子9 北風 | 發ちゃん 發ちゃん 發ちゃん
27,South,32555,94,0.500,-12112,發 混全帯么九 対々和 混一色 混老頭,0,728,0,16,北風 北風 北風 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 索子1 索子1 索子1 西風 西風 西風
28,East,-5142,110,0.500,3684,,0,76,0,0,筒子6 筒子8 索子2 索子8 索子8 索子9 東風 東風 東風 南風 | 索子7 索子7 索子7
29,South,-9361,109,0.500,7900,,0,24,0,0,萬子2 筒子5 筒子6 筒子7 筒子9 索子1 索子4 索子6 東風 東風 北風 發ちゃん 中ちゃん | 
30,North,8791,109,0.500,-9658,,0,624,0,0,筒子1 筒子5赤ドラ 筒子8 索子5 索子9 東風 北風 | 萬子1 萬子1 萬子1 索子3 索子3 索子3
31,East,1560,110,0.500,-2774,,0,292,0,0,筒子6 索子9 東風 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん 中ちゃん | 索子1 索子1 索子1
32,East,-24728,109,0.500,23530,,0,288,0,0,索子5赤ドラ 索子8 索子9 北風 白ちゃん 白ちゃん 發ちゃん | 筒子7 筒子8 筒子9 索子2 索子2 索子2
33,North,7478,109,0.500,-8446,,0,540,0,0,萬子7 筒子6 索子1 索子4 索子4 南風 南風 | 筒子8 筒子8 筒子8 索子5 索子5 索子5
34,West,2376,109,0.500,-3500,,0,376,0,0,萬子7 筒子4 筒子8 筒子8 索子5 白ちゃん 發ちゃん | 萬子5 萬子6 萬子7 中ちゃん 中ちゃん 中ちゃん
35,North,4138,109,0.500,-5010,,0,628,0,0,萬子1 筒子1 索子9 東風 白ちゃん 發ちゃん 中ちゃん | 索子3 索子3 索子3 索子8 索子8 索子8
36,South,-5055,109,0.500,3750,,0,180,0,0,萬子2 萬子8 萬子8 筒子6 筒子7 索子9 東風 東風 北風 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
37,South,-28376,109,0.500,26950,,0,68,0,0,筒子3 筒子5 索子1 索子7 西風 發ちゃん 發ちゃん | 索子6 索子7 索子7 索子8 索子8 索子9
38,East,7371,109,0.500,-8278,,0,584,0,0,索子1 索子1 索子2 西風 西風 白ちゃん 中ちゃん | 筒子4 筒子4 筒子4 發ちゃん 發ちゃん 發ちゃん
39,North,2671,110,0.500,-3950,,0,236,0,0,萬子4 索子6 索子6 索子8 索子9 索子9 索子9 東風 東風 發ちゃん | 白ちゃん 白ちゃん 白ちゃん
40,East,-5655,109,0.500,4502,,0,344,0,0,萬子3 萬子5赤ドラ 萬子6 筒子1 筒子3 東風 發ちゃん | 萬子1 萬子2 萬子3 萬子9 萬子9 萬子9
41,West,2766,110,0.500,-3958,,0,320,0,0,萬子2 萬子3 筒子7 筒子8 南風 西風 北風 北風 中ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
42,West,-19625,110,0.500,18280,,0,152,0,0,筒子3 筒子6 筒子8 索子1 索子3 索子3 索子7 北風 白ちゃん 白ちゃん | 索子4 索子5 索子6
43,East,-2683,109,0.500,1350,,0,152,0,0,萬子4 筒子3 筒子4 筒子6 筒子7 索子8 索子8 索子8 東風 北風 白ちゃん 白ちゃん 白ちゃん | 
44,North,1561,109,0.500,-2526,,0,528,0,0,萬子4 萬子5赤ドラ 筒子5 索子3 南風 發ちゃん 中ちゃん | 東風 東風 東風 北風 北風 北風
45,West,-15253,110,0.500,14130,,0,384,0,0,筒子2 筒子9 索子3 索子4 索子5赤ドラ 索子5 索子6 南風 西風 白ちゃん | 索子7 索子8 索子9
46,North,5272,109,0.500,-6154,,0,632,0,0,索子6 索子6 索子6 索子8 東風 西風 發ちゃん | 南風 南風 南風 北風 北風 北風
47,North,6236,109,0.500,-7188,,0,536,0,0,萬子2 筒子8 索子8 索子8 東風 白ちゃん 中ちゃん | 筒子4 筒子4 筒子4 索子5赤ドラ 索子5 索子5
48,North,-17860,109,0.500,16714,,0,348,0,0,索子6 索子6 索子6 索子8 東風 東風 中ちゃん | 筒子3 筒子4 筒子5 白ちゃん 白ちゃん 白ちゃん
49,East,-19601,109,0.500,18322,,0,208,0,0,萬子1 萬子1 萬子4 萬子6 萬子7 筒子7 中ちゃん | 萬子2 萬子2 萬子2 萬子7 萬子8 萬子9
50,North,-10553,110,0.500,9290,,0,248,0,0,索子5 索子8 索子9 東風 東風 南風 南風 北風 白ちゃん 中ちゃん | 索子6 索子7 索子8
51,East,4319,109,0.500,-5384,,0,452,0,0,筒子4 筒子4 索子8 索子9 北風 發ちゃん 中ちゃん | 萬子5赤ドラ 萬子5 萬子5 西風 西風 西風
52,South,-17675,110,0.500,16450,,0,280,0,0,萬子1 筒子7 索子1 索子1 索子4 索子5 索子5 索子6 中ちゃん 中ちゃん | 索子7 索子8 索子9
53,East,-16076,110,0.500,14772,,0,232,0,0,萬子6 筒子2 索子1 發ちゃん | 筒子3 筒子3 筒子3 筒子7 筒子8 筒子9 索子5 索子5赤ドラ 索子5
54,South,-6568,110,0.500,5780,,0,728,0,0,萬子7 萬子7 萬子9 南風 | 萬子4 萬子5赤ドラ 萬子6 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん
55,South,12247,110,0.500,-12914,,0,824,0,0,萬子5 萬子6 索子6 索子7 索子8 索子9 東風 南風 西風 北風 | 索子2 索子2 索子2
56,West,-1717,109,0.500,500,,0,268,0,0,索子2 索子2 索子5 索子5 索子5赤ドラ 索子5 索子6 索子7 索子8 索子8 北風 白ちゃん 中ちゃん | 
