Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,-15802,110,0.500,14390,,0,104,0,0,萬子1 萬子4 萬子5 萬子8 筒子1 筒子9 索子1 索子4 索子6 索子8 | 筒子5 筒子6 筒子7
2,South,-5629,110,0.500,4292,,0,200,0,0,萬子1 萬子4 萬子5 萬子5 萬子6 萬子8 萬子9 筒子8 索子3 發ちゃん | 萬子3 萬子3 萬子3
3,East,12695,109,0.500,-13388,,0,808,0,0,萬子9 筒子1 筒子1 索子9 東風 發ちゃん 中ちゃん | 萬子8 萬子8 萬子8 索子5 索子5 索子5
4,East,-11074,109,0.500,9892,,0,320,0,0,萬子2 萬子6 萬子9 筒子1 筒子2 筒子6 東風 | 索子5 索子6 索子7 中ちゃん 中ちゃん 中ちゃん
5,East,-15198,109,0.500,14010,,0,320,0,0,萬子2 筒子3 筒子4 筒子6 筒子7 索子3 索子7 | 筒子1 筒子2 筒子3 索子1 索子2 索子3
6,West,6190,110,0.500,-7156,,0,528,0,0,萬子5 萬子5 萬子7 筒子9 索子4 索子5 索子5赤ドラ 東風 西風 西風 | 中ちゃん 中ちゃん 中ちゃん
7,West,-42360,110,0.500,41184,,0,328,0,0,萬子3 索子7 北風 中ちゃん | 萬子5 萬子5赤ドラ 萬子5 筒子1 筒子2 筒子3 筒子4 筒子5 筒子6
8,South,-24486,110,0.500,23080,,0,96,0,0,萬子3 筒子1 筒子1 筒子3 筒子5 筒子8 筒子8 索子7 北風 發ちゃん | 筒子3 筒子4 筒子5
9,North,-15575,109,0.500,14216,,0,152,0,0,萬子1 萬子9 筒子1 筒子2 索子2 東風 中ちゃん | 萬子4 萬子4 萬子4 索子4 索子5赤ドラ 索子6
10,North,-15967,110,0.500,14918,,0,488,0,0,筒子6 東風 北風 北風 | 萬子3 萬子4 萬子5 筒子9 筒子9 筒子9 索子8 索子8 索子8
11,West,4775,109,0.500,-5894,,0,396,0,0,萬子6 萬子6 萬子7 萬子7 索子1 索子4 北風 | 萬子5 萬子5赤ドラ 萬子5 筒子7 筒子7 筒子7
12,North,-20196,110,0.500,18690,,0,0,0,0,萬子7 萬子9 筒子2 筒子4 筒子5赤ドラ 筒子5 筒子7 筒子8 索子1 北風 | 萬子4 萬子5 萬子6
13,East,315,109,0.500,-1500,,0,300,0,0,萬子1 萬子2 萬子3 萬子6 索子4 東風 南風 南風 南風 西風 北風 白ちゃん 白ちゃん | 
14,South,-5958,110,0.500,4574,,0,140,0,0,萬子1 筒子1 筒子3 筒子5 筒子6 筒子7 索子7 索子7 索子9 北風 | 筒子3 筒子3 筒子3
15,East,2526,110,0.500,-3758,,0,280,0,0,萬子1 筒子2 筒子7 筒子7 索子5 索子5 索子9 北風 發ちゃん 中ちゃん | 筒子6 筒子6 筒子6
16,West,7035,110,0.500,-7782,,0,756,0,0,萬子1 萬子1 萬子1 萬子2 筒子8 索子1 索子2 索子5赤ドラ 索子8 南風 | 索子4 索子4 索子4
17,North,-1430,109,0.500,250,,0,340,0,0,萬子3 筒子2 筒子2 索子2 索子3 索子4 南風 | 萬子7 萬子8 萬子9 發ちゃん 發ちゃん 發ちゃん
18,West,-20353,109,0.500,18980,,0,120,0,0,萬子3 萬子7 萬子9 筒子2 筒子5 索子8 發ちゃん | 筒子4 筒子5 筒子6 索子3 索子3 索子3
19,South,-24541,110,0.500,23090,,0,40,0,0,萬子1 萬子5赤ドラ 筒子2 筒子7 索子1 索子1 索子3 西風 西風 中ちゃん | 萬子7 萬子8 萬子9
20,South,-16096,109,0.500,15052,,0,488,0,0,發ちゃん | 萬子4 萬子4 萬子4 筒子1 筒子1 筒子1 筒子5 筒子6 筒子7 白ちゃん 白ちゃん 白ちゃん
21,North,5557,110,0.500,-6576,,0,480,0,0,筒子5 索子3 索子7 索子8 索子8 東風 東風 北風 發ちゃん 發ちゃん | 萬子1 萬子1 萬子1
22,North,-37885,109,0.500,36390,,0,0,0,0,萬子3 萬子9 萬子9 筒子4 筒子5 索子3 白ちゃん | 萬子4 萬子5 萬子6 索子5 索子6 索子7
23,West,-415,110,0.500,-630,,0,440,0,0,萬子1 萬子1 筒子3 筒子7 索子1 索子1 索子5赤ドラ 索子6 東風 中ちゃん | 索子2 索子2 索子2
24,South,11537,109,0.500,-12420,,0,616,0,0,萬子3 索子7 索子8 索子8 索子8 北風 中ちゃん | 北風 北風 北風 發ちゃん 發ちゃん 發ちゃん
25,South,10645,109,0.500,-11370,,0,760,0,0,萬子2 筒子1 筒子2 筒子3 索子6 索子7 西風 | 筒子5赤ドラ 筒子5 筒子5 白ちゃん 白ちゃん 白ちゃん
26,North,-15021,110,0.500,13674,,0,208,0,0,筒子1 筒子4 索子1 北風 | 萬子2 萬子2 萬子2 索子2 索子3 索子4 索子6 索子7 索子8
27,North,-6155,110,0.500,4732,,0,104,0,0,萬子2 萬子3 萬子7 萬子9 筒子1 筒子7 索子5 南風 北風 北風 | 西風 西風 西風
28,South,-37744,109,0.500,36290,,0,32,0,0,萬子3 筒子8 筒子8 索子5 索子9 西風 中ちゃん | 萬子3 萬子4 萬子5赤ドラ 筒子3 筒子4 筒子5
29,North,-21467,110,0.500,20264,,0,320,0,0,萬子3 筒子9 索子2 南風 | 筒子4 筒子5赤ドラ 筒子6 筒子7 筒子7 筒子7 索子9 索子9 索子9
30,West,2255,110,0.500,-3426,,0,328,0,0,萬子1 筒子5 索子2 索子4 索子6 索子7 索子8 索子9 東風 北風 | 索子3 索子3 索子3
31,South,-1091,110,0.500,-166,,0,252,0,0,萬子2 索子3 索子3 索子3 索子7 索子8 東風 東風 南風 北風 | 北風 北風 北風
32,South,3493,109,0.500,-4514,,0,480,0,0,萬子1 萬子7 筒子1 筒子5 索子9 南風 北風 | 筒子2 筒子2 筒子2 索子7 索子7 索子7
33,West,-1821,109,0.500,500,,0,164,0,0,萬子1 筒子8 索子1 索子1 索子6 東風 南風 北風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
34,South,10546,109,0.500,-11284,,0,752,0,0,萬子4 筒子8 索子8 索子9 東風 西風 北風 | 萬子2 萬子2 萬子2 北風 北風 北風
35,East,-23085,110,0.500,21760,,0,164,0,0,萬子2 萬子5 萬子7 萬子8 萬子9 筒子2 索子5 索子9 索子9 索子9 | 萬子2 萬子3 萬子4
36,East,6005,109,0.500,-7068,,0,440,0,0,萬子2 萬子9 筒子1 筒子2 筒子3 索子7 中ちゃん | 筒子1 筒子1 筒子1 索子9 索子9 索子9
37,East,-4935,110,0.500,3722,,0,304,0,0,萬子1 萬子5 萬子8 筒子1 筒子7 索子3 索子4 南風 白ちゃん 中ちゃん | 筒子8 筒子8 筒子8
38,West,2095,110,0.500,-3240,,0,380,0,0,萬子1 萬子2 萬子6 萬子9 筒子7 索子4 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1
39,North,295,110,0.500,-1608,,0,224,0,0,萬子1 萬子2 筒子1 筒子2 筒子2 索子1 索子5 索子6 索子8 南風 | 萬子3 萬子3 萬子3
40,North,1422,110,0.500,-2444,,0,464,0,0,萬子1 筒子5赤ドラ 筒子6 筒子8 筒子9 索子1 東風 南風 南風 白ちゃん | 索子9 索子9 索子9
41,East,-32770,109,0.500,31480,,0,208,0,0,萬子3 萬子8 筒子9 索子6 索子6 西風 發ちゃん | 筒子1 筒子2 筒子3 筒子6 筒子7 筒子8
42,North,-4683,109,0.500,3350,,0,152,0,0,萬子1 萬子2 萬子4 萬子6 萬子8 索子7 索子9 東風 東風 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 
43,North,-27466,109,0.500,26124,,0,144,0,0,萬子5 萬子9 索子6 索子8 索子9 西風 白ちゃん | 萬子7 萬子7 萬子7 筒子2 筒子3 筒子4
44,East,4343,110,0.500,-5358,,0,472,0,0,萬子4 萬子4 萬子9 筒子2 筒子5 筒子7 筒子9 索子1 索子1 索子9 | 筒子4 筒子4 筒子4
45,West,-625,110,0.500,-494,,0,392,0,0,萬子2 萬子6 筒子5 筒子7 南風 南風 西風 白ちゃん 發ちゃん 中ちゃん | 白ちゃん 白ちゃん 白ちゃん
46,South,4415,110,0.500,-5560,,0,360,0,0,萬子1 萬子3 萬子6 萬子8 筒子2 筒子7 索子7 索子7 索子9 發ちゃん | 南風 南風 南風
47,East,5894,109,0.500,-6806,,0,592,0,0,萬子1 萬子9 索子1 索子5赤ドラ 索子6 西風 白ちゃん | 萬子7 萬子7 萬子7 筒子6 筒子6 筒子6
48,West,-5517,109,0.500,4100,,0,68,0,0,萬子4 萬子5 萬子6 筒子8 索子6 索子9 南風 西風 西風 白ちゃん 白ちゃん 白ちゃん 中ちゃん | 
49,West,267,110,0.500,-1474,,0,324,0,0,筒子1 索子1 索子3 索子6 東風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 索子9 索子9 索子9
50,South,10976,110,0.500,-11884,,0,588,0,0,萬子2 萬子2 萬子2 筒子1 筒子5 筒子5 筒子7 索子3 索子7 索子9 | 萬子1 萬子1 萬子1
51,South,3284,110,0.500,-4530,,0,264,0,0,萬子2 萬子4 索子7 索子7 索子9 東風 西風 白ちゃん 白ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
52,South,-11808,109,0.500,10358,,0,72,0,0,萬子7 萬子8 筒子1 筒子2 筒子2 索子1 索子7 | 萬子2 萬子3 萬子4 筒子5 筒子5赤ドラ 筒子5
53,East,-36859,109,0.500,35640,,0,272,0,0,筒子2 筒子3 筒子6 索子1 索子2 東風 中ちゃん | 筒子5 筒子6 筒子7 索子2 索子3 索子4
54,East,-21803,110,0.500,20650,,0,332,0,0,筒子8 索子5 索子5 索子6 索子6 索子6 索子7 索子7 索子8 西風 | 筒子5 筒子6 筒子7
55,West,8124,110,0.500,-9088,,0,584,0,0,萬子8 筒子7 北風 發ちゃん | 筒子5 筒子5 筒子5赤ドラ 索子4 索子5 索子6 西風 西風 西風
56,East,3103,109,0.500,-4192,,0,424,0,0,萬子8 筒子1 索子1 索子6 索子7 西風 西風 | 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
