Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-5106,110,0.500,3690,,0,120,0,0,萬子4 萬子6 萬子8 筒子8 索子4 索子4 索子9 南風 發ちゃん 中ちゃん | 萬子4 萬子5赤ドラ 萬子6
2,North,6961,110,0.500,-7864,,0,588,0,0,萬子1 筒子2 筒子3 筒子6 索子7 東風 東風 東風 東風 南風 | 索子2 索子2 索子2
3,North,-5797,110,0.500,4470,,0,196,0,0,萬子5 萬子9 筒子5赤ドラ 筒子5 筒子8 筒子9 索子4 索子4 索子8 發ちゃん | 筒子3 筒子4 筒子5
4,East,-971,109,0.500,-250,,0,264,0,0,萬子3 萬子5赤ドラ 萬子5 萬子6 萬子7 萬子7 索子8 南風 南風 北風 北風 發ちゃん 中ちゃん | 
5,North,1657,109,0.500,-2750,,0,392,0,0,萬子1 萬子2 萬子3 萬子5赤ドラ 萬子5 萬子9 筒子6 索子1 南風 南風 北風 發ちゃん 中ちゃん | 
6,West,-13481,110,0.500,12380,,0,440,0,0,萬子7 筒子5 筒子8 東風 | 萬子4 萬子5赤ドラ 萬子6 筒子2 筒子2 筒子2 索子2 索子2 索子2
7,East,-2337,109,0.500,900,,0,48,0,0,萬子2 萬子3 萬子4 萬子5 筒子4 筒子5 索子1 索子3 索子4 北風 白ちゃん 中ちゃん 中ちゃん | 
8,West,-868,110,0.500,-332,,0,328,0,0,筒子5 筒子6 索子2 索子2 索子3 索子4 索子6 南風 發ちゃん 中ちゃん | 白ちゃん 白ちゃん 白ちゃん
9,North,-4131,109,0.500,2750,,0,104,0,0,萬子6 筒子2 筒子2 筒子5赤ドラ 筒子6 筒子8 索子2 索子4 索子8 索子9 索子9 東風 西風 | 
10,South,-5822,110,0.500,4490,,0,204,0,0,萬子4 萬子4 萬子9 筒子5 索子2 索子7 索子8 北風 北風 白ちゃん | 萬子2 萬子3 萬子4
11,North,-5983,109,0.500,4650,,0,152,0,0,萬子1 萬子2 筒子1 筒子4 筒子5 筒子5赤ドラ 筒子7 筒子9 索子1 索子9 東風 東風 南風 | 
12,East,-26275,110,0.500,24850,,0,60,0,0,萬子1 萬子1 萬子1 萬子2 萬子4 筒子5赤ドラ 索子9 東風 東風 西風 | 萬子7 萬子8 萬子9
13,West,12339,109,0.500,-12840,,0,992,0,0,萬子8 筒子1 索子5赤ドラ 索子9 東風 發ちゃん 發ちゃん | 筒子2 筒子2 筒子2 北風 北風 北風
14,East,6491,110,0.500,-7314,,0,668,0,0,筒子2 筒子5 筒子9 索子6 索子7 西風 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 北風 北風 北風
15,South,-32860,109,0.500,31892,,0,532,0,0,發ちゃん | 萬子6 萬子7 萬子7 萬子7 萬子7 萬子8 筒子1 筒子2 筒子3 索子5 索子5赤ドラ 索子5
16,North,-475,110,0.500,-642,,0,376,0,0,萬子2 萬子4 萬子6 萬子7 萬子8 筒子2 筒子7 筒子8 索子6 中ちゃん | 東風 東風 東風
17,North,-2387,109,0.500,1250,,0,348,0,0,筒子3 筒子9 索子6 索子7 東風 東風 南風 西風 西風 西風 北風 北風 中ちゃん | 
18,South,13179,110,0.500,-13706,,0,1008,0,0,萬子9 筒子6 索子2 索子8 | 萬子2 萬子2 萬子2 東風 東風 東風 西風 西風 西風
19,East,-2319,109,0.500,950,,0,116,0,0,萬子1 萬子1 萬子2 萬子8 筒子2 筒子2 筒子3 筒子4 索子2 索子6 索子6 索子6 西風 | 
20,North,-15988,110,0.500,14684,,0,248,0,0,萬子5赤ドラ 萬子7 萬子9 索子9 | 萬子2 萬子3 萬子4 筒子1 筒子1 筒子1 索子8 索子8 索子8
21,North,-3055,109,0.500,1650,,0,80,0,0,萬子8 筒子6 筒子8 筒子8 索子1 索子4 索子5 索子6 索子8 西風 白ちゃん 白ちゃん 發ちゃん | 
22,West,3198,109,0.500,-4272,,0,416,0,0,萬子1 筒子9 索子1 索子1 索子4 索子6 東風 | 萬子3 萬子3 萬子3 索子3 索子3 索子3
23,West,5490,110,0.500,-6478,,0,504,0,0,筒子7 索子4 索子5 索子6 索子6 索子8 索子8 索子9 南風 中ちゃん | 萬子9 萬子9 萬子9
24,South,5518,110,0.500,-6702,,0,324,0,0,萬子4 索子5 索子8 索子8 西風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 索子9 索子9 索子9
25,North,-21961,110,0.500,20540,,0,80,0,0,萬子2 萬子4 萬子4 萬子7 筒子8 索子4 索子5 索子6 發ちゃん 中ちゃん | 萬子5 萬子6 萬子7
26,North,-35629,109,0.500,34140,,0,0,0,0,萬子4 萬子5 萬子6 萬子6 索子5 索子6 索子9 | 萬子2 萬子3 萬子4 索子6 索子7 索子8
27,East,679,109,0.500,-1900,,0,264,0,0,萬子2 萬子8 筒子3 筒子8 筒子8 索子3 索子3 索子4 索子9 東風 南風 南風 白ちゃん | 
28,South,-2595,110,0.500,1244,,0,168,0,0,萬子2 萬子6 筒子4 筒子5 筒子7 筒子9 筒子9 索子4 東風 發ちゃん | 索子8 索子8 索子8
29,East,8003,110,0.500,-9092,,0,404,0,0,萬子3 索子2 索子3 索子9 索子9 索子9 南風 北風 北風 發ちゃん | 索子1 索子1 索子1
30,East,-17752,109,0.500,16578,,0,320,0,0,萬子1 筒子4 筒子6 筒子9 索子3 中ちゃん 中ちゃん | 萬子4 萬子5 萬子6 索子2 索子2 索子2
31,East,9774,109,0.500,-10476,,0,792,0,0,索子5 索子5 索子7 索子8 索子9 東風 西風 | 萬子1 萬子1 萬子1 索子1 索子1 索子1
32,East,2076,109,0.500,-3254,,0,328,0,0,萬子5赤ドラ 萬子7 筒子4 索子3 索子4 白ちゃん 中ちゃん | 筒子6 筒子6 筒子6 索子6 索子6 索子6
33,East,-18,110,0.500,-1236,,0,260,0,0,萬子5 萬子6 萬子6 筒子3 筒子4 東風 東風 東風 南風 中ちゃん | 北風 北風 北風
34,West,6947,110,0.500,-7948,,0,496,0,0,萬子6 萬子9 筒子1 筒子2 筒子3 筒子3 索子6 西風 北風 中ちゃん | 萬子1 萬子1 萬子1
35,East,26362,109,0.500,-15170,東 白 混全帯么九 混一色,0,1064,0,12,萬子1 萬子2 萬子3 發ちゃん 發ちゃん | 東風 東風 東風 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん
36,North,-8706,110,0.500,7230,,0,56,0,0,萬子2 萬子5 筒子3 筒子8 筒子8 索子1 索子6 索子7 中ちゃん 中ちゃん | 萬子3 萬子4 萬子5赤ドラ
37,South,-2209,110,0.500,892,,0,220,0,0,萬子2 萬子4 筒子6 筒子6 筒子6 索子1 索子3 索子3 索子5 發ちゃん | 索子2 索子2 索子2
38,East,8956,109,0.500,-9812,,0,640,0,0,萬子2 萬子2 萬子4 索子6 東風 西風 中ちゃん | 筒子7 筒子7 筒子7 筒子8 筒子8 筒子8
39,East,-3389,109,0.500,2000,,0,96,0,0,萬子1 萬子1 萬子9 筒子1 筒子8 索子4 索子4 索子6 索子7 索子8 西風 北風 北風 | 
40,East,1876,109,0.500,-3144,,0,248,0,0,筒子2 筒子9 索子7 北風 白ちゃん 白ちゃん 發ちゃん | 萬子1 萬子1 萬子1 中ちゃん 中ちゃん 中ちゃん
41,West,-8629,110,0.500,7732,,0,636,0,0,萬子3 索子8 索子8 白ちゃん | 萬子1 萬子2 萬子3 萬子4 萬子4 萬子4 北風 北風 北風
42,South,-3970,110,0.500,2596,,0,152,0,0,萬子1 萬子6 萬子9 西風 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 西風 西風 西風
43,South,-4732,110,0.500,3424,,0,216,0,0,萬子1 萬子3 筒子5 索子7 索子8 南風 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 索子2 索子2 索子2
44,North,-803,109,0.500,-450,,0,232,0,0,萬子7 索子3 索子4 東風 南風 西風 西風 西風 北風 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 
45,West,-6966,110,0.500,6000,,0,560,0,0,索子7 索子8 南風 白ちゃん | 萬子6 萬子7 萬子8 索子5 索子5 索子5 索子6 索子6 索子6
46,North,-1463,109,0.500,150,,0,172,0,0,萬子1 萬子1 萬子1 萬子3 萬子5赤ドラ 萬子5 萬子8 筒子4 索子1 西風 發ちゃん 發ちゃん 中ちゃん | 
47,West,4791,110,0.500,-5780,,0,496,0,0,萬子1 筒子4 筒子7 索子3 索子3 索子4 索子6 南風 發ちゃん 中ちゃん | 萬子8 萬子8 萬子8
48,East,-22533,109,0.500,21030,,0,4,0,0,萬子3 萬子7 筒子6 索子4 索子6 索子6 索子9 | 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9
49,East,8914,109,0.500,-9744,,0,664,0,0,筒子1 筒子1 筒子7 索子8 中ちゃん 中ちゃん 中ちゃん | 索子9 索子9 索子9 發ちゃん 發ちゃん 發ちゃん
50,West,-21553,110,0.500,20340,,0,320,0,0,萬子3 萬子3 筒子8 索子4 | 索子1 索子1 索子1 索子4 索子5 索子6 索子6 索子7 索子8
51,South,4102,109,0.500,-5384,,0,240,0,0,筒子2 筒子8 筒子8 索子1 索子5 索子8 中ちゃん | 萬子2 萬子2 萬子2 萬子8 萬子8 萬子8
