Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-32689,109,0.500,31280,,0,84,0,0,萬子7 筒子3 筒子3 筒子3 索子3 索子8 中ちゃん | 萬子1 萬子2 萬子3 萬子7 萬子8 萬子9
2,South,-4106,110,0.500,3090,,0,520,0,0,萬子8 索子2 索子6 索子7 | 萬子6 萬子7 萬子8 索子9 索子9 索子9 發ちゃん 發ちゃん 發ちゃん
3,South,13287,109,0.500,-13920,,0,856,0,0,筒子2 筒子7 索子1 索子1 索子3 索子6 南風 | 筒子6 筒子6 筒子6 發ちゃん 發ちゃん 發ちゃん
4,West,4712,110,0.500,-5852,,0,368,0,0,萬子1 萬子2 萬子3 萬子5赤ドラ 萬子5 萬子7 萬子8 筒子1 索子3 南風 | 筒子9 筒子9 筒子9
5,West,-27031,110,0.500,25540,,0,0,0,0,萬子1 萬子1 萬子4 萬子6 萬子8 萬子8 萬子9 筒子5 索子7 白ちゃん | 索子1 索子2 索子3
6,North,-10768,110,0.500,9370,,0,120,0,0,萬子3 萬子5 萬子8 萬子8 筒子5赤ドラ 索子5 索子8 索子9 白ちゃん 白ちゃん | 萬子2 萬子3 萬子4
7,West,-5975,109,0.500,4550,,0,60,0,0,萬子3 萬子6 萬子7 萬子8 筒子2 筒子4 筒子7 筒子8 索子2 索子4 西風 西風 西風 | 
8,West,-43382,110,0.500,41850,,0,0,0,0,萬子2 索子2 索子4 北風 | 筒子7 筒子8 筒子9 索子1 索子2 索子3 索子7 索子8 索子9
9,South,-8537,109,0.500,7392,,0,376,0,0,萬子3 萬子4 萬子7 萬子9 索子6 索子7 南風 | 萬子1 萬子2 萬子3 白ちゃん 白ちゃん 白ちゃん
10,East,-6181,110,0.500,5350,,0,680,0,0,萬子4 萬子7 索子6 西風 | 萬子2 萬子3 萬子4 索子4 索子4 索子4 索子7 索子7 索子7
11,West,-3476,110,0.500,2246,,0,296,0,0,萬子3 萬子5 萬子6 萬子6 萬子9 萬子9 筒子1 索子5 索子6 北風 | 筒子9 筒子9 筒子9
12,North,-7895,109,0.500,6450,,0,40,0,0,萬子5 萬子8 筒子5赤ドラ 筒子6 筒子8 筒子9 索子1 索子8 北風 北風 白ちゃん 白ちゃん 中ちゃん | 
