Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-22243,109,0.500,22290,,1544,0,0,0,萬子5 筒子4 筒子4 筒子4 索子9 東風 西風 | 萬子2 萬子3 萬子4 索子5赤ドラ 索子5 索子5
2,North,5409,110,0.500,-4680,,2264,0,0,0,萬子4 萬子6 東風 發ちゃん | 萬子1 萬子2 萬子3 萬子7 萬子7 萬子7 筒子3 筒子3 筒子3
3,West,-1737,110,0.500,1440,,1192,0,0,0,萬子1 萬子1 萬子4 萬子7 萬子8 萬子9 筒子1 索子5 索子9 中ちゃん | 萬子3 萬子4 萬子5
4,East,-7492,110,0.500,6960,,960,0,0,0,萬子2 萬子4 萬子7 萬子8 筒子1 索子6 索子7 南風 西風 北風 | 萬子3 萬子4 萬子5
5,South,21644,109,0.500,-20730,,2400,0,0,0,萬子1 萬子1 萬子5 萬子6 筒子2 筒子2 筒子6 | 萬子3 萬子4 萬子5 萬子5 萬子6 萬子7
6,South,-2699,109,0.500,2970,,1768,0,0,0,萬子2 萬子3 萬子8 萬子8 萬子8 筒子1 筒子7 | 萬子7 萬子8 萬子9 索子2 索子3 索子4
7,West,794,110,0.500,-840,,1528,0,0,0,萬子3 萬子6 索子4 中ちゃん | 萬子3 萬子4 萬子5 萬子6 萬子7 萬子8 索子3 索子4 索子5
8,East,-8923,110,0.500,10380,,2984,0,0,0,萬子9 筒子3 索子7 南風 | 萬子2 萬子3 萬子4 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6
9,North,-12843,109,0.500,12690,,1336,0,0,0,萬子5赤ドラ 筒子3 索子2 索子4 索子4 索子4 索子7 | 萬子5 萬子6 萬子6 萬子6 萬子6 萬子7
10,West,8750,109,0.500,-8070,,2168,0,0,0,萬子1 筒子9 索子1 索子3 索子9 南風 西風 | 萬子2 萬子3 萬子4 萬子5 萬子6 萬子7
11,West,26431,109,0.500,-20430,,2392,0,0,17,萬子2 萬子4 萬子7 萬子8 萬子8 萬子8 萬子9 | 萬子2 萬子3 萬子4 萬子5 萬子6 萬子7
12,West,8356,110,0.500,-8100,,1744,0,0,0,萬子2 萬子5 萬子6 萬子6 萬子6 萬子7 萬子7 筒子1 筒子5赤ドラ 北風 | 萬子8 萬子8 萬子8
