Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,-30440,55,0.001,30440,,0,0,0,0,萬子2 萬子5 萬子7 萬子7 萬子8 筒子4 筒子8 筒子9 東風 南風 | 萬子1 萬子1 萬子1
2,East,-20200,55,0.001,20200,,0,0,0,0,萬子2 萬子3 萬子3 萬子3 萬子3 萬子4 萬子4 索子4 索子6 西風 | 索子2 索子3 索子4
3,West,-19150,56,0.001,19150,,0,0,0,0,萬子1 萬子2 萬子3 索子1 索子1 索子1 索子2 | 萬子1 萬子2 萬子3 筒子7 筒子8 筒子9
4,East,-16840,55,0.001,16840,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 東風 東風 南風 | 索子7 索子8 索子9
5,South,-14250,56,0.001,14250,,0,0,0,0,萬子1 萬子1 索子2 索子2 索子7 中ちゃん 中ちゃん | 筒子6 筒子7 筒子8 索子1 索子2 索子3
6,East,-23970,53,0.001,23970,,0,0,0,0,萬子1 筒子6 筒子7 筒子8 筒子8 筒子9 筒子9 索子3 索子6 索子9 白ちゃん 中ちゃん 中ちゃん | 
7,East,-29430,53,0.001,29430,,0,0,0,0,萬子1 萬子1 筒子9 索子3 索子8 東風 南風 南風 南風 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 
8,South,-1250,55,0.001,1250,,0,0,0,0,筒子1 索子2 索子6 東風 東風 南風 西風 | 索子4 索子5 索子5 索子6 索子6 索子7
9,North,1340,57,0.001,-1340,,0,0,0,0,筒子4 筒子9 索子2 索子6 | 萬子5 萬子6 萬子7 索子1 索子2 索子3 索子5 索子6 索子7
10,West,-3810,56,0.001,3810,,0,0,0,0,萬子1 萬子3 萬子3 筒子6 索子6 索子8 索子9 | 萬子1 萬子2 萬子3 索子5 索子6 索子7
11,South,-36320,54,0.001,36320,,0,0,0,0,萬子5 萬子5 筒子9 筒子9 索子1 索子5 索子8 東風 南風 發ちゃん | 筒子6 筒子7 筒子8
12,North,-9810,55,0.001,9810,,0,0,0,0,萬子1 萬子1 萬子1 索子8 索子8 索子9 索子9 索子9 東風 南風 南風 西風 北風 | 
13,North,-1890,53,0.001,1890,,0,0,0,0,萬子1 萬子1 筒子7 筒子8 索子2 索子3 索子4 索子4 索子4 南風 南風 南風 發ちゃん | 
14,North,-33680,55,0.001,33680,,0,0,0,0,萬子2 萬子2 萬子2 萬子5赤ドラ 筒子4 筒子6 筒子8 筒子9 西風 發ちゃん | 萬子4 萬子5 萬子6
15,West,-7100,55,0.001,7100,,0,0,0,0,萬子1 萬子8 筒子2 筒子5 索子1 索子4 索子4 索子5 索子6 東風 | 筒子3 筒子4 筒子5
