Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,North,-27170,56,0.100,27170,,0,0,0,0,萬子2 萬子3 萬子4 萬子4 萬子4 萬子7 索子5 | 索子1 索子2 索子3 索子6 索子7 索子8
2,South,16160,55,0.100,-16160,,0,0,0,0,萬子1 萬子1 索子6 索子6 索子7 索子7 索子8 索子8 發ちゃん 發ちゃん | 索子3 索子4 索子5
3,East,-19050,56,0.100,19050,,0,0,0,0,萬子1 萬子4 萬子5 筒子9 索子8 中ちゃん 中ちゃん | 索子2 索子3 索子4 發ちゃん 發ちゃん 發ちゃん
4,East,-37280,54,0.100,37280,,0,0,0,0,萬子1 萬子1 筒子7 索子4 西風 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 筒子1 筒子2 筒子3
5,North,-33960,57,0.100,33960,,0,0,0,0,筒子1 筒子3 筒子7 索子1 | 萬子4 萬子5 萬子5 萬子6 萬子6 萬子7 筒子2 筒子3 筒子4
6,South,-31170,51,0.100,31170,,0,0,0,0,萬子1 萬子7 筒子1 筒子6 索子2 索子4 索子7 北風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
7,East,-31580,54,0.100,31580,,0,0,0,0,索子2 索子7 東風 西風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 萬子2 萬子2 萬子2
8,North,-22400,54,0.100,22400,,0,0,0,0,萬子2 萬子2 萬子3 萬子5 萬子8 筒子2 筒子4 筒子6 索子1 南風 | 筒子7 筒子8 筒子9
9,East,-19340,55,0.100,19340,,0,0,0,0,萬子1 萬子6 筒子6 筒子7 筒子7 索子4 索子5 索子5 索子9 索子9 | 筒子6 筒子7 筒子8
10,South,-8380,55,0.100,8380,,0,0,0,0,萬子3 索子5赤ドラ 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子1 索子2 索子3
11,East,-28350,54,0.100,28350,,0,0,0,0,萬子9 索子3 索子5赤ドラ 索子7 索子8 索子8 西風 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
12,West,-4830,54,0.100,4830,,0,0,0,0,萬子1 筒子1 筒子6 筒子6 索子5 索子6 索子6 索子7 索子8 東風 南風 發ちゃん 發ちゃん | 
13,East,-34990,56,0.100,34990,,0,0,0,0,筒子5 筒子7 筒子8 筒子8 筒子8 筒子8 筒子9 | 萬子2 萬子3 萬子4 筒子5 筒子6 筒子7
14,North,-28110,55,0.100,28110,,0,0,0,0,萬子6 筒子1 筒子1 筒子4 筒子4 筒子4 筒子4 索子1 索子9 南風 南風 北風 北風 | 
15,West,680,55,0.100,-680,,0,0,0,0,萬子1 萬子5 萬子6 萬子7 筒子3 筒子8 索子5 索子6 北風 北風 | 索子5 索子6 索子7
16,South,-1300,54,0.100,1300,,0,0,0,0,萬子1 萬子7 萬子7 筒子2 筒子3 筒子4 筒子7 筒子7 索子2 索子3 | 索子1 索子2 索子3
17,East,-24030,56,0.100,24030,,0,0,0,0,萬子1 萬子2 索子7 索子7 東風 南風 南風 | 索子3 索子4 索子5赤ドラ 東風 東風 東風
18,East,-24390,53,0.100,24390,,0,0,0,0,萬子2 萬子8 筒子1 筒子2 筒子3 筒子4 筒子5 筒子7 筒子9 索子1 索子3 白ちゃん 白ちゃん | 
19,North,-25940,55,0.100,25940,,0,0,0,0,萬子1 筒子4 筒子4 筒子6 筒子9 索子5赤ドラ 索子6 索子9 南風 北風 | 筒子3 筒子4 筒子5
20,South,-950,55,0.100,950,,0,0,0,0,萬子1 萬子3 筒子3 索子8 西風 中ちゃん 中ちゃん | 索子1 索子2 索子2 索子3 索子3 索子4
21,West,-1910,56,0.100,1910,,0,0,0,0,萬子6 萬子7 萬子7 萬子8 筒子3 筒子5 發ちゃん | 索子1 索子2 索子3 索子7 索子8 索子9
22,West,-34820,56,0.100,34820,,0,0,0,0,萬子2 萬子2 萬子3 萬子4 筒子3 筒子4 筒子4 筒子9 索子4 索子6 | 筒子2 筒子3 筒子4
23,North,-37460,56,0.100,37460,,0,0,0,0,萬子6 萬子6 萬子8 筒子3 北風 北風 北風 白ちゃん 白ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
24,West,-3760,54,0.100,3760,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子2 索子1 索子2 索子5 索子5赤ドラ 索子5 | 索子2 索子3 索子4
25,North,-9700,55,0.100,9700,,0,0,0,0,萬子3 萬子4 萬子5 萬子9 筒子9 索子8 索子8 索子9 南風 北風 | 索子6 索子7 索子8
26,West,-27680,55,0.100,27680,,0,0,0,0,筒子8 筒子8 筒子8 索子1 索子2 索子3 索子4 索子4 索子4 中ちゃん | 筒子2 筒子3 筒子4
27,North,-1900,55,0.100,1900,,0,0,0,0,萬子4 萬子6 萬子7 萬子9 筒子5 索子4 索子6 索子7 發ちゃん 中ちゃん | 索子6 索子7 索子8
28,East,-21330,54,0.100,21330,,0,0,0,0,萬子1 萬子2 萬子9 筒子1 筒子8 筒子9 筒子9 筒子9 索子1 索子2 南風 西風 北風 | 
29,North,-25950,55,0.100,25950,,0,0,0,0,萬子2 萬子5 萬子6 萬子6 萬子9 筒子2 筒子3 筒子8 筒子9 索子1 索子2 索子3 索子7 | 
30,East,6900,56,0.100,-6900,,0,0,0,0,萬子3 萬子5 索子4 發ちゃん | 索子4 索子5赤ドラ 索子6 索子7 索子7 索子8 索子8 索子9 索子9
31,North,-27630,53,0.100,27630,,0,0,0,0,萬子1 萬子1 萬子1 萬子8 索子2 索子3 索子4 索子4 索子7 索子9 東風 西風 西風 | 
32,South,-16470,56,0.100,16470,,0,0,0,0,萬子7 筒子8 索子1 索子5 東風 西風 北風 | 萬子3 萬子4 萬子5 索子5 索子6 索子7
33,East,-5670,56,0.100,5670,,0,0,0,0,萬子5赤ドラ 萬子6 萬子6 萬子9 索子2 索子2 東風 | 筒子5 筒子6 筒子7 索子5 索子6 索子7
34,West,-4530,56,0.100,4530,,0,0,0,0,萬子5 萬子7 筒子3 索子1 索子1 索子9 中ちゃん | 筒子7 筒子8 筒子9 索子7 索子8 索子9
35,North,-30920,55,0.100,30920,,0,0,0,0,筒子6 筒子6 筒子9 索子1 索子1 索子2 索子2 索子6 索子9 白ちゃん | 筒子7 筒子8 筒子9
36,West,-3100,55,0.100,3100,,0,0,0,0,萬子6 萬子8 萬子8 筒子1 筒子2 筒子2 筒子9 索子1 索子4 索子9 | 索子7 索子8 索子9
37,North,-12680,55,0.100,12680,,0,0,0,0,筒子8 筒子8 筒子9 索子1 索子1 索子4 索子7 索子7 索子9 西風 | 筒子4 筒子5 筒子6
38,North,-5990,56,0.100,5990,,0,0,0,0,萬子2 索子9 索子9 南風 南風 南風 西風 | 索子2 索子3 索子4 索子6 索子7 索子8
39,South,-14970,55,0.100,14970,,0,0,0,0,萬子1 索子3 索子7 南風 北風 白ちゃん 中ちゃん | 索子4 索子4 索子4 發ちゃん 發ちゃん 發ちゃん
40,West,-12990,54,0.100,12990,,0,0,0,0,筒子3 筒子4 筒子5 筒子6 筒子8 筒子9 索子1 索子1 索子3 南風 發ちゃん 中ちゃん 中ちゃん | 
41,North,-1600,54,0.100,1600,,0,0,0,0,萬子4 索子3 東風 東風 東風 南風 西風 北風 白ちゃん 發ちゃん | 索子6 索子6 索子6
42,East,1530,37,0.100,2680,白 混一色,0,0,0,7,索子6 索子6 索子7 索子8 索子9 西風 西風 西風 白ちゃん 白ちゃん 白ちゃん | 索子2 索子3 索子4
43,North,-10050,55,0.100,10050,,0,0,0,0,萬子2 萬子2 索子3 索子3 索子3 索子4 發ちゃん | 筒子5 筒子6 筒子7 索子4 索子5 索子6
