Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-35710,56,0.001,35710,,0,0,0,0,萬子2 萬子3 萬子5赤ドラ 索子6 西風 白ちゃん 白ちゃん | 索子7 索子8 索子9 西風 西風 西風
2,South,-27630,54,0.001,27630,,0,0,0,0,萬子1 萬子1 萬子2 萬子3 萬子4 萬子6 萬子6 萬子9 筒子4 索子3 索子3 索子4 索子8 | 
3,North,-24150,53,0.001,24150,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子5 萬子5 萬子6 筒子1 筒子2 索子8 索子9 索子9 發ちゃん | 
4,North,-22770,54,0.001,22770,,0,0,0,0,萬子1 萬子1 萬子1 萬子3 萬子3 萬子4 萬子6 索子2 索子5赤ドラ 索子6 索子7 索子7 南風 | 
5,South,-24840,54,0.001,25170,,0,0,0,11,萬子1 萬子1 萬子1 萬子2 萬子3 萬子3 萬子4 萬子5 萬子5 萬子5 萬子6 萬子7 萬子8 | 
6,South,-21150,53,0.001,21150,,0,0,0,0,萬子1 萬子1 萬子2 萬子3 萬子4 萬子4 萬子5 萬子7 索子5 索子6 索子7 索子9 東風 | 
7,South,-22920,53,0.001,23190,,0,0,0,9,萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 萬子4 萬子6 萬子6 萬子7 萬子7 萬子7 萬子8 | 
8,West,-23730,54,0.001,23730,,0,0,0,0,萬子1 萬子1 萬子2 萬子3 萬子4 萬子5 萬子6 萬子7 萬子7 萬子8 索子8 中ちゃん 中ちゃん | 
9,North,-12390,53,0.001,12390,,0,0,0,0,萬子3 萬子5赤ドラ 萬子7 萬子8 萬子8 筒子2 筒子3 索子3 索子5赤ドラ 索子9 索子9 北風 中ちゃん | 
10,East,-2370,54,0.001,2370,,0,0,0,0,萬子2 萬子4 萬子6 萬子6 萬子6 萬子7 萬子7 筒子1 筒子2 筒子4 筒子4 筒子5赤ドラ 筒子6 | 
11,North,-33930,55,0.001,33930,,0,0,0,0,萬子2 筒子3 索子6 索子8 索子9 東風 西風 西風 西風 北風 北風 白ちゃん 中ちゃん | 
12,East,-24030,54,0.001,24030,,0,0,0,0,萬子5赤ドラ 筒子1 筒子2 筒子5 筒子7 筒子9 索子4 索子5 索子8 索子8 索子8 北風 北風 | 
13,North,-9390,55,0.001,9390,,0,0,0,0,索子7 索子7 索子8 索子9 東風 東風 南風 南風 北風 北風 北風 發ちゃん 中ちゃん | 
14,North,-22170,54,0.001,22170,,0,0,0,0,索子2 索子2 索子2 索子3 索子3 索子3 索子8 索子9 索子9 北風 北風 白ちゃん 中ちゃん | 
15,West,-27510,53,0.001,27510,,0,0,0,0,索子2 索子3 索子3 索子4 索子5赤ドラ 索子6 索子6 索子7 索子8 索子8 索子9 索子9 白ちゃん | 
16,North,-34590,55,0.001,34590,,0,0,0,0,萬子2 索子2 索子4 索子6 索子7 索子7 索子7 索子8 索子8 南風 北風 北風 發ちゃん | 
17,East,-10590,54,0.001,10590,,0,0,0,0,萬子6 筒子4 筒子7 筒子7 筒子8 筒子8 筒子8 筒子9 索子2 索子5赤ドラ 索子8 索子8 發ちゃん | 
18,North,-23310,54,0.001,23310,,0,0,0,0,萬子3 萬子7 萬子7 萬子8 筒子4 索子2 索子2 索子3 索子3 索子4 索子9 索子9 西風 | 
19,South,-5760,54,0.001,5910,,0,0,0,5,筒子7 筒子7 筒子8 筒子9 筒子9 索子1 索子1 索子1 索子2 索子2 索子6 索子7 索子8 | 
20,West,12320,49,0.001,-7260,赤ドラ1 平和 一盃口,0,0,0,2,萬子5 萬子6 萬子7 筒子1 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子5赤ドラ 筒子6 筒子6 筒子6 | 
21,North,-4050,55,0.001,4050,,0,0,0,0,筒子6 筒子7 筒子8 筒子8 筒子9 筒子9 筒子9 索子2 索子3 索子3 索子4 索子7 索子7 | 
22,South,-34170,53,0.001,34170,,0,0,0,0,萬子2 萬子2 萬子3 萬子4 萬子4 萬子5赤ドラ 萬子5 萬子7 萬子8 萬子8 萬子9 筒子2 西風 | 
