Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,North,-6922,56,0.001,8370,,0,560,888,0,萬子4 萬子5 萬子7 萬子7 筒子1 索子2 索子2 索子3 索子5赤ドラ 索子9 | 索子1 索子2 索子3
2,South,-13184,55,0.001,13800,,0,0,616,0,萬子5赤ドラ 萬子8 筒子1 筒子2 索子8 索子9 南風 | 萬子2 萬子3 萬子4 萬子7 萬子8 萬子9
3,East,-16016,57,0.001,17400,,0,0,1384,0,筒子1 筒子5赤ドラ 筒子5 筒子7 | 筒子1 筒子2 筒子3 筒子4 筒子5 筒子6 筒子7 筒子8 筒子9
4,South,-14410,55,0.001,14610,,0,0,200,0,筒子2 筒子2 筒子3 筒子4 筒子5 筒子5 筒子6 筒子8 筒子9 索子1 | 筒子5 筒子6 筒子7
5,South,-11582,54,0.001,11910,,0,0,328,0,萬子1 萬子2 萬子2 萬子2 萬子3 萬子4 萬子8 萬子9 筒子3 筒子5 筒子6 筒子6 筒子6 | 
6,North,-15758,57,0.001,16710,,0,0,952,0,筒子1 | 萬子4 萬子4 萬子5赤ドラ 萬子5 萬子6 萬子6 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4
7,North,-7436,55,0.001,7740,,0,72,232,0,筒子4 筒子9 筒子9 筒子9 索子1 索子2 索子2 索子3 索子8 中ちゃん | 索子3 索子4 索子5
8,West,-14550,55,0.001,14670,,0,0,120,0,萬子5 萬子7 萬子9 筒子1 筒子2 筒子2 筒子3 | 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5
9,South,-9958,54,0.001,10350,,0,144,248,0,萬子1 萬子4 萬子6 萬子9 筒子2 筒子7 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 萬子2 萬子3 萬子4
10,West,-7836,53,0.001,9180,,0,256,1088,0,筒子2 筒子5 筒子9 筒子9 索子1 索子1 索子5 索子7 索子9 東風 南風 西風 發ちゃん | 
11,South,-11440,55,0.001,12480,,0,480,560,0,萬子1 萬子1 筒子5 筒子6 筒子8 筒子9 索子3 | 索子1 索子2 索子3 索子4 索子5赤ドラ 索子6
12,North,-15976,55,0.001,16200,,0,176,48,0,萬子5 萬子5赤ドラ 萬子5 萬子6 萬子6 筒子1 筒子1 筒子2 筒子2 筒子2 | 萬子3 萬子4 萬子5
13,South,-12334,56,0.001,12990,,0,0,656,0,筒子7 | 筒子2 筒子3 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 索子1 索子2 索子3
