Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,683,109,0.500,-280,,1184,164,540,0,萬子1 萬子2 萬子3 萬子3 萬子3 萬子3 萬子6 萬子6 萬子7 萬子7 筒子9 索子3 北風 | 
2,South,-7822,109,0.500,8072,,1144,240,388,0,萬子5赤ドラ 萬子6 筒子5 筒子5赤ドラ 筒子6 索子4 索子5 | 萬子5 萬子6 萬子7 筒子2 筒子3 筒子4
3,North,-1318,110,0.500,1632,,1184,196,456,0,萬子3 萬子5 萬子6 萬子7 筒子4 筒子5 筒子5 筒子5 索子1 索子8 | 萬子6 萬子7 萬子8
4,North,-5730,110,0.500,5296,,736,120,248,0,萬子3 萬子5 萬子7 索子1 索子2 索子2 索子6 索子7 白ちゃん 白ちゃん | 索子3 索子4 索子5
5,North,-1201,109,0.500,2008,,1520,32,744,0,萬子1 萬子1 萬子5 筒子6 筒子8 索子1 索子8 | 萬子2 萬子3 萬子4 索子7 索子8 索子9
6,West,2698,109,0.500,-2184,,1200,228,592,0,萬子2 萬子3 萬子6 筒子4 索子3 白ちゃん 中ちゃん | 萬子4 萬子5 萬子6 萬子6 萬子7 萬子8
7,North,-368,109,0.500,1576,,1840,232,632,0,萬子3 萬子3 筒子5 索子5 索子8 索子8 索子8 | 萬子2 萬子3 萬子4 索子1 索子2 索子3
8,South,-402,110,0.500,192,,872,24,396,0,萬子1 萬子3 萬子5 萬子6 萬子8 萬子8 筒子1 筒子2 筒子3 南風 | 萬子5赤ドラ 萬子6 萬子7
9,West,2496,109,0.500,-392,,2312,356,928,0,萬子1 萬子1 萬子2 萬子2 萬子3 萬子4 萬子6 | 萬子2 萬子3 萬子4 筒子5 筒子6 筒子7
10,East,4615,109,0.500,-3976,,1280,380,484,0,萬子6 筒子2 筒子2 筒子7 筒子9 南風 西風 | 萬子5 萬子6 萬子7 萬子7 萬子8 萬子9
11,West,4118,109,0.500,-3080,,1592,160,780,0,萬子3 筒子3 索子2 索子2 索子3 東風 東風 | 萬子1 萬子2 萬子3 萬子5 萬子6 萬子7
12,East,3668,110,0.500,-2544,,1656,236,720,0,萬子2 萬子4 萬子4 萬子5赤ドラ 萬子5 萬子5 萬子9 筒子3 筒子5 中ちゃん | 萬子5 萬子6 萬子7
13,North,722,109,0.500,-40,,1448,40,684,0,萬子1 萬子4 萬子6 筒子5 南風 西風 北風 | 萬子2 萬子3 萬子4 萬子5 萬子6 萬子7
14,North,1194,110,0.500,464,,2144,84,960,0,萬子2 萬子6 萬子6 索子7 | 萬子3 萬子3 萬子3 萬子5赤ドラ 萬子6 萬子7 索子3 索子4 索子5赤ドラ
15,North,-3037,110,0.500,5216,,2680,496,544,0,萬子1 萬子5 筒子1 筒子6 | 萬子5赤ドラ 萬子6 萬子7 筒子1 筒子2 筒子3 筒子5 筒子5赤ドラ 筒子5
16,North,-4364,109,0.500,5480,,1720,28,860,0,萬子4 萬子5赤ドラ 筒子7 索子6 索子9 白ちゃん 白ちゃん | 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
17,East,-5642,110,0.500,6240,,1408,488,216,0,萬子3 萬子6 筒子1 筒子2 索子3 索子4 索子8 東風 發ちゃん 中ちゃん | 西風 西風 西風
18,West,-2556,109,0.500,2952,,1232,296,376,0,萬子5 萬子6 筒子1 筒子1 筒子7 筒子8 索子2 | 萬子8 萬子8 萬子8 筒子3 筒子4 筒子5赤ドラ
19,East,5222,109,0.500,-1896,,3408,352,1080,0,萬子7 | 萬子1 萬子2 萬子3 萬子3 萬子3 萬子3 萬子6 萬子7 萬子8 索子7 索子8 索子9
20,West,-68,110,0.500,1536,,2128,336,536,0,萬子7 萬子9 筒子1 南風 | 萬子1 萬子2 萬子3 萬子3 萬子4 萬子5 索子2 索子2 索子2
21,North,4843,110,0.500,-2752,,2376,248,692,1,萬子2 萬子3 筒子4 筒子4 | 萬子3 萬子3 萬子3 萬子4 萬子5赤ドラ 萬子6 萬子7 萬子8 萬子9
22,West,1293,110,0.500,960,,2696,376,712,0,萬子4 萬子6 筒子2 筒子2 | 萬子1 萬子2 萬子3 萬子6 萬子7 萬子8 西風 西風 西風
23,North,-6444,110,0.500,9168,,3040,768,416,0,萬子4 萬子4 萬子7 筒子7 | 筒子2 筒子3 筒子4 索子9 索子9 索子9 北風 北風 北風
24,West,-3425,109,0.500,3160,,744,208,268,0,萬子1 萬子2 萬子2 萬子3 萬子3 筒子2 筒子4 筒子9 索子5 索子5 白ちゃん 白ちゃん 發ちゃん | 
25,East,-525,109,0.500,2376,,2344,360,680,0,中ちゃん | 萬子1 萬子1 萬子1 萬子5 萬子5 萬子5赤ドラ 筒子1 筒子2 筒子3 筒子4 筒子5 筒子6
26,West,6988,109,0.500,-2728,,4232,436,1096,0,萬子6 | 萬子4 萬子5赤ドラ 萬子6 萬子6 萬子7 萬子7 萬子8 萬子8 萬子9 索子9 索子9 索子9
27,South,1282,109,0.500,-648,,1256,252,628,0,萬子1 萬子2 萬子8 索子1 索子4 索子7 發ちゃん | 萬子5 萬子6 萬子6 萬子7 萬子7 萬子8
28,East,-924,109,0.500,728,,880,328,112,0,萬子6 萬子8 萬子9 筒子2 索子1 索子2 西風 | 萬子2 萬子2 萬子2 筒子1 筒子1 筒子1
29,West,276,110,0.500,2576,,3000,400,956,0,萬子7 筒子2 索子6 索子9 | 萬子6 萬子6 萬子6 筒子4 筒子5 筒子6 索子6 索子7 索子8
30,North,3238,63,0.500,1944,対々和,1376,688,0,2,筒子9 筒子9 東風 東風 東風 | 萬子2 萬子2 萬子2 筒子5 筒子5 筒子5 索子4 索子4 索子4
31,North,3104,110,0.500,-2400,,1384,268,548,0,萬子1 萬子2 萬子2 萬子5赤ドラ 萬子8 萬子8 筒子7 索子5 南風 中ちゃん | 萬子1 萬子2 萬子3
32,South,-27,109,0.500,1144,,1744,128,736,0,萬子3 萬子5赤ドラ 萬子6 筒子5赤ドラ 索子6 索子9 西風 | 萬子2 萬子3 萬子4 筒子1 筒子2 筒子3
33,West,3247,110,0.500,-1184,,2520,360,736,0,筒子2 筒子3 索子2 索子9 | 萬子4 萬子5 萬子6 萬子6 萬子7 萬子8 東風 東風 東風
34,North,-3060,109,0.500,7416,,4320,432,1112,0,萬子1 | 萬子4 萬子5 萬子6 筒子3 筒子3 筒子3 筒子5赤ドラ 筒子6 筒子7 索子7 索子8 索子9
35,South,-58,109,0.500,504,,1192,352,412,0,萬子3 萬子6 萬子8 筒子6 筒子9 索子2 索子2 | 萬子1 萬子2 萬子2 萬子3 萬子3 萬子4
36,North,-619,110,0.500,1824,,1832,416,456,0,萬子3 萬子3 萬子8 萬子9 筒子1 筒子2 索子1 索子9 白ちゃん 中ちゃん | 萬子5 萬子5 萬子5赤ドラ
37,North,7729,110,0.500,-3808,,3504,328,1604,0,萬子4 萬子5 筒子2 發ちゃん | 萬子1 萬子2 萬子3 萬子3 萬子4 萬子5 索子1 索子2 索子3
38,East,-1260,109,0.500,5864,,4528,432,1136,0,發ちゃん | 萬子1 萬子2 萬子3 筒子3 筒子4 筒子5 索子3 索子4 索子5 索子9 索子9 索子9
39,North,-1243,109,0.500,1944,,1448,72,684,0,萬子4 萬子5 萬子5赤ドラ 萬子6 萬子8 筒子9 索子4 | 萬子7 萬子8 萬子9 筒子2 筒子3 筒子4
40,South,6825,110,0.500,-4240,,2696,168,1260,0,萬子2 萬子4 萬子4 索子5 | 萬子1 萬子2 萬子3 萬子3 萬子4 萬子5 萬子6 萬子7 萬子8
41,North,-4673,109,0.500,5192,,1336,484,192,0,萬子1 萬子1 萬子3 萬子4 筒子1 索子6 中ちゃん | 索子7 索子7 索子7 索子9 索子9 索子9
42,South,-853,109,0.500,1672,,1536,160,608,0,萬子3 萬子9 筒子2 筒子5赤ドラ 索子3 索子7 發ちゃん | 萬子3 萬子4 萬子5 筒子2 筒子3 筒子4
43,East,2071,109,0.500,-904,,1704,316,636,0,萬子2 萬子3 萬子4 萬子9 萬子9 筒子3 筒子6 | 萬子7 萬子8 萬子9 索子3 索子4 索子5
44,East,-2949,109,0.500,3896,,1688,356,412,0,萬子5赤ドラ 萬子6 萬子6 萬子6 萬子7 筒子5 筒子5 | 索子7 索子8 索子9 北風 北風 北風
45,West,2312,110,0.500,-752,,2192,208,680,0,萬子8 筒子1 東風 中ちゃん | 萬子2 萬子2 萬子2 萬子5 萬子6 萬子7 索子6 索子7 索子8
46,West,-2955,110,0.500,2992,,1040,296,224,0,萬子1 萬子4 萬子4 萬子7 萬子7 筒子2 筒子8 索子8 東風 西風 | 萬子6 萬子6 萬子6
47,West,-1162,109,0.500,2136,,1640,0,820,0,萬子2 萬子2 萬子3 萬子6 萬子8 索子9 中ちゃん | 萬子3 萬子4 萬子5 筒子6 筒子7 筒子8
48,East,-4315,110,0.500,4784,,1320,360,288,0,萬子3 筒子4 筒子5 筒子9 索子4 索子4 索子5赤ドラ 索子7 南風 西風 | 筒子9 筒子9 筒子9
49,North,5283,110,0.500,-3264,,2440,368,744,0,筒子1 筒子3 筒子5赤ドラ 索子6 | 萬子4 萬子5 萬子5 萬子6 萬子6 萬子7 西風 西風 西風
50,East,1183,109,0.500,-248,,1632,0,816,0,萬子4 萬子5赤ドラ 筒子7 索子1 索子3 西風 北風 | 萬子1 萬子2 萬子3 萬子6 萬子7 萬子8
