Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,304,56,0.010,0,,0,16,288,0,萬子1 索子3 索子3 索子3 索子4 索子5 索子6 西風 北風 中ちゃん | 萬子2 萬子2 萬子2
2,North,1256,56,0.010,0,,0,256,1000,0,萬子1 萬子2 萬子2 萬子2 萬子3 筒子1 筒子2 筒子8 南風 北風 | 萬子1 萬子1 萬子1
3,South,1568,56,0.010,0,,0,1256,312,0,萬子1 萬子2 萬子3 萬子8 萬子8 萬子9 發ちゃん | 萬子4 萬子4 萬子4 中ちゃん 中ちゃん 中ちゃん
4,South,1144,57,0.010,0,,0,424,720,0,萬子1 萬子2 萬子2 發ちゃん | 萬子1 萬子1 萬子1 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん
5,West,736,56,0.010,0,,0,64,672,0,萬子1 萬子1 萬子2 萬子2 萬子2 索子7 南風 | 筒子3 筒子3 筒子3 中ちゃん 中ちゃん 中ちゃん
6,South,696,56,0.010,0,,0,576,120,0,萬子1 萬子2 萬子3 索子3 索子6 索子8 白ちゃん | 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
7,West,304,56,0.010,0,,0,0,304,0,萬子1 索子7 索子7 索子9 索子9 發ちゃん 中ちゃん | 萬子5 萬子5赤ドラ 萬子5 索子2 索子2 索子2
8,West,432,56,0.010,0,,0,384,48,0,萬子4 萬子5 索子5 索子8 東風 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2
9,East,688,56,0.010,0,,0,304,384,0,萬子1 萬子1 萬子4 筒子9 索子1 索子1 索子2 | 筒子3 筒子3 筒子3 中ちゃん 中ちゃん 中ちゃん
10,South,528,56,0.010,0,,0,528,0,0,萬子1 萬子3 萬子9 筒子2 筒子6 筒子6 索子1 | 筒子2 筒子2 筒子2 中ちゃん 中ちゃん 中ちゃん
11,East,0,57,0.010,0,,0,0,0,0,萬子1 萬子1 筒子6 中ちゃん | 筒子2 筒子2 筒子2 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
12,South,5502,56,0.010,0,發 混全帯么九,0,1360,112,1,萬子1 萬子1 | 索子9 索子9 索子9 西風 西風 西風 北風 北風 北風 發ちゃん 發ちゃん 發ちゃん
13,North,2272,56,0.010,0,,0,320,1952,0,萬子3 萬子3 萬子3 萬子8 南風 發ちゃん 中ちゃん | 萬子1 萬子1 萬子1 索子7 索子8 索子9
14,West,744,57,0.010,0,,0,48,696,0,萬子1 萬子3 索子9 中ちゃん | 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3 北風 北風 北風
15,West,1032,56,0.010,0,,0,1032,0,0,萬子1 萬子1 萬子1 東風 南風 南風 北風 發ちゃん 中ちゃん 中ちゃん | 索子1 索子1 索子1
16,East,48,56,0.010,0,,0,0,48,0,萬子1 萬子2 萬子2 萬子2 萬子4 筒子1 筒子1 筒子4 北風 白ちゃん | 萬子5 萬子6 萬子7
17,North,1768,57,0.010,0,,0,1504,264,0,萬子2 萬子2 萬子3 西風 | 萬子1 萬子1 萬子1 索子9 索子9 索子9 北風 北風 北風
18,South,1494,57,0.010,0,,0,520,944,1,萬子1 萬子1 萬子1 中ちゃん | 索子7 索子8 索子9 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん
19,North,872,56,0.010,0,,0,872,0,0,萬子1 索子1 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 索子4 索子5 索子6 發ちゃん 發ちゃん 發ちゃん
20,South,352,56,0.010,0,,0,336,16,0,萬子1 筒子3 索子1 索子2 索子6 索子6 索子9 西風 發ちゃん 中ちゃん | 萬子4 萬子4 萬子4
21,South,768,57,0.010,0,,0,768,0,0,萬子2 萬子2 萬子4 萬子4 | 萬子1 萬子1 萬子1 筒子2 筒子3 筒子4 索子1 索子1 索子1
22,West,2128,57,0.010,0,,0,1248,880,0,萬子1 筒子8 白ちゃん 發ちゃん | 萬子1 萬子1 萬子1 筒子1 筒子1 筒子1 索子1 索子2 索子3
23,North,120,57,0.010,0,,0,0,120,0,萬子1 萬子2 萬子3 西風 | 筒子3 筒子3 筒子3 索子2 索子3 索子4 索子7 索子7 索子7
24,West,976,56,0.010,0,,0,0,976,0,萬子1 萬子1 萬子3 萬子6 萬子9 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 筒子1 筒子2 筒子3
25,North,1152,56,0.010,0,,0,176,976,0,萬子1 萬子1 萬子2 萬子2 萬子2 筒子1 筒子2 | 萬子3 萬子3 萬子3 中ちゃん 中ちゃん 中ちゃん
26,South,1392,56,0.010,0,,0,1344,48,0,萬子1 萬子2 萬子8 筒子2 索子1 索子9 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1
27,North,1544,56,0.010,0,,0,704,840,0,萬子1 萬子2 萬子3 北風 發ちゃん 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1 西風 西風 西風
28,South,16,56,0.010,0,,0,0,16,0,萬子2 萬子2 萬子2 萬子3 萬子4 萬子4 萬子4 | 萬子3 萬子4 萬子5 筒子2 筒子3 筒子4
29,East,888,57,0.010,0,,0,416,472,0,萬子1 筒子3 筒子5 筒子5赤ドラ | 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3 中ちゃん 中ちゃん 中ちゃん
30,North,712,57,0.010,0,,0,496,216,0,萬子2 萬子3 萬子3 中ちゃん | 萬子1 萬子1 萬子1 萬子3 萬子4 萬子5 萬子6 萬子6 萬子6
31,East,1928,57,0.010,0,,0,1376,552,0,萬子2 萬子2 萬子3 索子9 | 萬子1 萬子1 萬子1 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん
32,West,1848,56,0.010,0,,0,552,1296,0,萬子1 萬子1 萬子1 萬子2 萬子4 萬子5 中ちゃん | 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3
33,South,528,57,0.010,0,,0,528,0,0,筒子9 | 萬子3 萬子3 萬子3 筒子8 筒子8 筒子8 索子6 索子7 索子8 白ちゃん 白ちゃん 白ちゃん
34,West,2976,57,0.010,0,,0,2560,416,0,萬子4 | 萬子1 萬子1 萬子1 萬子3 萬子3 萬子3 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
35,South,3070,57,0.010,0,,0,816,1504,25,萬子3 萬子3 萬子3 白ちゃん | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 索子1 索子1 索子1
36,West,984,57,0.010,0,,0,464,520,0,萬子1 萬子3 萬子4 中ちゃん | 萬子2 萬子3 萬子4 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん
37,West,1192,56,0.010,0,,0,1192,0,0,萬子1 萬子1 萬子1 萬子1 萬子2 萬子2 萬子4 萬子4 筒子3 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
38,East,1312,56,0.010,0,,0,592,720,0,萬子2 萬子2 萬子4 萬子7 萬子7 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1 萬子3 萬子3 萬子3
39,East,1264,57,0.010,0,,0,592,672,0,萬子1 萬子2 萬子2 萬子3 | 萬子1 萬子2 萬子3 萬子7 萬子7 萬子7 索子1 索子1 索子1
40,West,880,56,0.010,0,,0,128,752,0,萬子1 萬子1 萬子5赤ドラ 索子1 索子3 中ちゃん 中ちゃん | 萬子2 萬子3 萬子4 筒子7 筒子7 筒子7
41,North,2226,56,0.010,0,,0,904,872,15,萬子1 萬子2 萬子3 萬子9 萬子9 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
42,South,1712,57,0.010,0,,0,1256,456,0,萬子2 | 萬子1 萬子1 萬子1 萬子3 萬子3 萬子3 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
43,North,616,55,0.010,0,,0,0,616,0,萬子1 萬子2 萬子2 萬子2 萬子2 萬子3 萬子3 萬子8 萬子9 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 
44,North,1926,56,0.010,0,,0,1368,408,5,萬子2 萬子3 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん | 萬子1 萬子1 萬子1 西風 西風 西風
