Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,304,56,0.400,0,,0,304,0,0,萬子2 筒子5赤ドラ 筒子6 索子2 索子9 西風 北風 | 萬子1 萬子1 萬子1 筒子6 筒子7 筒子8
2,North,0,57,0.400,0,,0,0,0,0,萬子9 索子2 索子7 索子9 | 萬子3 萬子3 萬子3 萬子4 萬子5 萬子6 筒子5赤ドラ 筒子6 筒子7
3,East,896,57,0.400,0,,0,720,176,0,萬子4 萬子4 萬子9 筒子6 | 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3 中ちゃん 中ちゃん 中ちゃん
4,East,1552,57,0.400,0,,0,880,672,0,筒子8 筒子9 索子2 中ちゃん | 萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 筒子1 筒子1 筒子1
5,South,0,56,0.400,0,,0,0,0,0,萬子6 筒子2 索子3 索子8 南風 西風 白ちゃん | 筒子4 筒子5 筒子6 筒子6 筒子7 筒子8
6,East,928,57,0.400,0,,0,736,192,0,萬子2 | 萬子3 萬子4 萬子5 萬子5 萬子6 萬子7 萬子9 萬子9 萬子9 索子2 索子3 索子4
7,West,32,56,0.400,0,,0,0,32,0,萬子4 萬子8 筒子4 筒子6 筒子7 筒子9 西風 | 萬子2 萬子3 萬子4 索子4 索子5 索子6
8,South,544,56,0.400,0,,0,0,544,0,索子2 索子2 索子6 索子6 索子9 中ちゃん 中ちゃん | 筒子7 筒子8 筒子9 索子7 索子7 索子7
9,South,696,57,0.400,0,,0,480,216,0,萬子8 萬子9 筒子1 索子8 | 萬子7 萬子8 萬子9 筒子2 筒子3 筒子4 白ちゃん 白ちゃん 白ちゃん
10,South,880,57,0.400,0,,0,0,880,0,萬子7 萬子8 筒子4 白ちゃん | 萬子4 萬子5 萬子6 萬子7 萬子8 萬子9 筒子3 筒子3 筒子3
11,South,768,56,0.400,0,,0,752,16,0,萬子1 萬子8 萬子8 筒子6 索子6 索子9 索子9 | 筒子6 筒子7 筒子8 發ちゃん 發ちゃん 發ちゃん
12,West,136,56,0.400,0,,0,0,136,0,萬子6 萬子6 萬子6 筒子1 筒子2 筒子3 索子9 索子9 東風 白ちゃん | 萬子5赤ドラ 萬子5 萬子5
13,South,216,56,0.400,0,,0,0,216,0,萬子3 萬子7 筒子8 筒子8 索子2 索子8 索子9 | 萬子5 萬子6 萬子7 筒子6 筒子7 筒子8
14,West,2240,57,0.400,0,,0,864,1376,0,萬子3 萬子5 萬子7 筒子9 | 萬子1 萬子2 萬子3 筒子7 筒子8 筒子9 白ちゃん 白ちゃん 白ちゃん
15,North,624,57,0.400,0,,0,0,624,0,萬子1 萬子2 筒子5赤ドラ 索子2 | 萬子2 萬子3 萬子4 筒子4 筒子5 筒子6 索子6 索子7 索子8
16,South,792,56,0.400,0,,0,0,792,0,萬子9 筒子4 筒子7 筒子7 筒子8 索子4 索子7 | 萬子6 萬子6 萬子7 萬子7 萬子8 萬子8
17,West,208,56,0.400,0,,0,0,208,0,筒子4 筒子4 筒子5 筒子6 筒子7 筒子8 筒子8 索子3 北風 發ちゃん | 萬子7 萬子7 萬子7
18,South,1272,56,0.400,0,,0,704,568,0,萬子6 萬子6 筒子4 索子6 索子9 發ちゃん 發ちゃん | 萬子9 萬子9 萬子9 索子2 索子3 索子4
19,South,360,56,0.400,0,,0,48,312,0,萬子9 萬子9 筒子1 筒子2 筒子5 索子3 索子6 索子7 索子9 東風 | 筒子2 筒子3 筒子4
20,East,456,56,0.400,0,,0,312,144,0,萬子4 萬子9 筒子6 筒子8 筒子8 筒子9 索子9 中ちゃん 中ちゃん 中ちゃん | 北風 北風 北風
21,South,1072,57,0.400,0,,0,896,176,0,索子3 索子6 西風 發ちゃん | 筒子4 筒子5 筒子6 筒子9 筒子9 筒子9 索子4 索子5 索子6
22,East,1344,55,0.400,0,,0,432,912,0,萬子1 萬子1 萬子6 萬子6 萬子9 筒子1 筒子1 筒子9 索子2 索子2 | 筒子7 筒子8 筒子9
23,South,112,56,0.400,0,,0,0,112,0,萬子1 萬子1 萬子3 萬子9 筒子7 筒子9 索子2 索子4 北風 中ちゃん | 筒子3 筒子4 筒子5
24,West,792,56,0.400,0,,0,0,792,0,萬子1 索子9 南風 西風 西風 北風 白ちゃん | 萬子7 萬子8 萬子9 索子1 索子2 索子3
25,East,120,56,0.400,0,,0,0,120,0,萬子1 萬子9 筒子2 索子1 索子9 白ちゃん 中ちゃん | 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5
26,West,1488,56,0.400,0,,0,1392,96,0,萬子8 索子1 索子1 索子4 索子7 中ちゃん 中ちゃん | 筒子9 筒子9 筒子9 索子3 索子4 索子5赤ドラ
27,North,672,56,0.400,0,,0,0,672,0,萬子8 筒子4 筒子5 筒子8 索子5赤ドラ 白ちゃん 發ちゃん | 索子1 索子2 索子3 索子3 索子4 索子5
28,East,2032,55,0.400,0,,0,840,1192,0,筒子1 筒子4 筒子6 筒子7 索子2 索子7 索子8 索子8 索子9 索子9 索子9 索子9 白ちゃん | 
29,South,1072,56,0.400,0,,0,1024,48,0,萬子5 萬子7 萬子9 萬子9 筒子4 筒子5 筒子6 | 索子4 索子5赤ドラ 索子6 白ちゃん 白ちゃん 白ちゃん
30,East,592,56,0.400,0,,0,0,592,0,萬子1 萬子4 萬子5 筒子6 索子4 索子7 北風 | 索子2 索子3 索子4 索子5 索子6 索子7
