Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,-21690,56,0.001,21690,,0,0,0,0,萬子2 萬子2 萬子7 萬子7 筒子8 索子5 西風 | 萬子5 萬子5 萬子5 索子3 索子4 索子5赤ドラ
2,East,-21540,54,0.001,21540,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子3 索子7 索子7 索子9 | 索子6 索子7 索子8
3,North,10230,55,0.001,-10230,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 西風 西風 北風 白ちゃん 發ちゃん 中ちゃん | 
4,East,-19770,54,0.001,19770,,0,0,0,0,萬子1 萬子2 萬子3 萬子3 萬子4 萬子4 萬子4 筒子1 筒子7 筒子7 筒子7 白ちゃん 發ちゃん | 
5,North,-13320,54,0.001,13830,,0,0,0,17,萬子1 萬子1 萬子1 萬子2 萬子3 萬子3 萬子4 萬子5赤ドラ 萬子6 萬子6 萬子6 萬子8 萬子8 | 
6,West,5820,55,0.001,-5490,,0,0,0,11,萬子1 萬子1 萬子1 萬子7 萬子9 東風 東風 東風 北風 北風 白ちゃん 白ちゃん 白ちゃん | 
7,North,19410,55,0.001,-19410,,0,0,0,0,萬子1 萬子1 萬子7 筒子2 筒子5 筒子6 筒子7 南風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 
8,East,12570,53,0.001,-12570,,0,0,0,0,萬子1 萬子1 萬子1 萬子6 索子8 索子8 北風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
9,East,18870,53,0.001,-18870,,0,0,0,0,萬子1 萬子1 萬子2 萬子4 西風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
10,West,27090,54,0.001,-27090,,0,0,0,0,萬子1 萬子1 萬子1 南風 西風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
11,West,26820,54,0.001,-26370,,0,0,0,15,萬子1 萬子1 萬子1 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
12,South,21990,53,0.001,-21990,,0,0,0,0,萬子1 索子9 東風 東風 東風 南風 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 
13,North,14010,53,0.001,-14010,,0,0,0,0,萬子1 筒子9 索子1 索子2 索子3 索子4 東風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
14,South,31230,53,0.001,-31230,,0,0,0,0,萬子1 萬子1 萬子1 南風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
15,North,28050,54,0.001,-28050,,0,0,0,0,萬子1 萬子1 萬子1 南風 北風 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
16,North,20940,53,0.001,-20730,,0,0,0,7,萬子2 萬子2 萬子2 西風 西風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
17,South,18150,53,0.001,-18150,,0,0,0,0,萬子1 萬子1 萬子1 東風 南風 西風 西風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 
18,South,15510,55,0.001,-15510,,0,0,0,0,萬子1 南風 西風 西風 西風 北風 北風 北風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 
19,East,30870,55,0.001,-30870,,0,0,0,0,萬子1 萬子1 萬子1 萬子1 西風 北風 北風 北風 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
20,North,38160,44,0.001,-20010,七対子 混一色 混老頭 小三元,0,0,0,5,萬子1 萬子1 南風 南風 西風 西風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
21,West,29310,53,0.001,-29310,,0,0,0,0,萬子1 萬子1 南風 南風 西風 西風 北風 北風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
22,East,5550,55,0.001,-5550,,0,0,0,0,萬子1 萬子1 東風 東風 南風 南風 西風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
23,West,8190,55,0.001,-8190,,0,0,0,0,萬子1 萬子1 索子5 索子8 東風 西風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
24,North,10530,54,0.001,-10530,,0,0,0,0,萬子1 東風 南風 南風 西風 西風 西風 北風 北風 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
25,East,-150,53,0.001,150,,0,0,0,0,萬子1 萬子1 萬子6 索子8 索子8 東風 南風 南風 西風 西風 白ちゃん 白ちゃん 中ちゃん | 
26,West,9090,53,0.001,-9090,,0,0,0,0,萬子1 萬子1 萬子1 萬子3 萬子3 萬子5 萬子9 南風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 
