Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,-2340,55,0.100,2340,,0,0,0,0,萬子1 萬子1 萬子6 萬子6 萬子9 索子9 西風 西風 白ちゃん 中ちゃん | 筒子1 筒子1 筒子1
2,West,4470,54,0.100,-4470,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子3 萬子5 萬子5 萬子5赤ドラ 西風 西風 白ちゃん 白ちゃん 發ちゃん | 
3,South,-6360,55,0.100,6360,,0,0,0,0,萬子5 萬子5赤ドラ 萬子5 萬子5 筒子6 索子5 索子6 白ちゃん 發ちゃん 中ちゃん | 萬子2 萬子3 萬子4
4,South,-14250,54,0.100,14250,,0,0,0,0,萬子3 萬子6 萬子7 萬子7 萬子7 萬子8 索子2 索子9 索子9 東風 北風 白ちゃん 發ちゃん | 
5,East,-8580,55,0.100,8580,,0,0,0,0,萬子6 萬子8 萬子9 萬子9 索子5赤ドラ 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 索子7 索子8 索子9
6,West,-7920,54,0.100,7920,,0,0,0,0,筒子8 東風 東風 東風 南風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 索子7 索子8 索子9
7,West,16470,54,0.100,-16470,,0,0,0,0,索子8 東風 南風 南風 南風 西風 西風 西風 北風 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
8,East,19680,55,0.100,-19680,,0,0,0,0,萬子4 西風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 東風 東風 東風
9,South,10620,56,0.100,-10620,,0,0,0,0,南風 西風 中ちゃん 中ちゃん | 索子6 索子6 索子6 東風 東風 東風 白ちゃん 白ちゃん 白ちゃん
10,East,7860,55,0.100,-7860,,0,0,0,0,萬子2 萬子6 索子4 索子5 南風 北風 北風 北風 白ちゃん 白ちゃん | 中ちゃん 中ちゃん 中ちゃん
