Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,-19440,55,0.001,19440,,0,0,0,0,萬子2 萬子3 萬子3 萬子5 萬子5 萬子7 索子3 索子3 索子4 索子9 | 索子6 索子7 索子8
2,West,24450,55,0.001,-24450,,0,0,0,0,萬子1 萬子1 萬子1 西風 西風 北風 白ちゃん | 南風 南風 南風 發ちゃん 發ちゃん 發ちゃん
3,South,33840,56,0.001,-33840,,0,0,0,0,萬子1 萬子1 萬子1 北風 北風 北風 北風 發ちゃん 中ちゃん 中ちゃん | 白ちゃん 白ちゃん 白ちゃん
4,North,-8370,56,0.001,8370,,0,0,0,0,萬子1 萬子1 萬子3 筒子2 筒子2 筒子4 筒子8 | 萬子2 萬子2 萬子2 筒子1 筒子2 筒子3
5,West,-23820,55,0.001,23820,,0,0,0,0,萬子1 萬子2 萬子7 筒子3 | 萬子5 萬子6 萬子6 萬子7 萬子7 萬子8 筒子4 筒子5 筒子6
6,South,-1670,34,0.001,11970,平和 清一色 一気通貫,0,0,0,10,萬子6 萬子7 萬子8 萬子9 萬子9 | 萬子1 萬子2 萬子3 萬子4 萬子5 萬子6 萬子6 萬子7 萬子8
7,East,25830,56,0.001,-25830,,0,0,0,0,萬子1 萬子1 萬子4 筒子3 筒子4 筒子6 發ちゃん | 索子3 索子4 索子5 中ちゃん 中ちゃん 中ちゃん
8,West,-16950,55,0.001,16950,,0,0,0,0,萬子1 萬子1 萬子5 萬子6 萬子8 索子8 東風 | 萬子3 萬子4 萬子5 筒子4 筒子5 筒子6
9,South,-5070,56,0.001,5070,,0,0,0,0,萬子1 萬子3 萬子4 萬子7 筒子1 筒子1 筒子2 | 萬子1 萬子2 萬子3 萬子8 萬子8 萬子8
10,South,-13590,54,0.001,13590,,0,0,0,0,萬子1 萬子8 萬子8 萬子9 筒子1 筒子3 筒子7 索子1 索子3 索子5 南風 發ちゃん 中ちゃん | 
11,East,-7800,55,0.001,7800,,0,0,0,0,萬子3 萬子4 萬子4 萬子4 萬子6 萬子6 萬子6 萬子7 筒子1 筒子1 | 萬子1 萬子2 萬子3
12,South,-3090,55,0.001,3090,,0,0,0,0,筒子4 筒子5 索子1 西風 北風 北風 白ちゃん | 筒子1 筒子2 筒子3 筒子4 筒子5赤ドラ 筒子6
13,North,-20490,55,0.001,20490,,0,0,0,0,萬子1 筒子6 筒子6 筒子7 筒子7 索子3 索子8 | 筒子3 筒子4 筒子5 筒子7 筒子8 筒子9
14,West,3390,56,0.001,-3390,,0,0,0,0,索子6 索子6 索子6 索子8 白ちゃん 發ちゃん 中ちゃん | 索子3 索子4 索子5 北風 北風 北風
15,South,4320,57,0.001,-4320,,0,0,0,0,筒子4 白ちゃん 白ちゃん 中ちゃん | 筒子1 筒子2 筒子3 筒子4 筒子5 筒子6 發ちゃん 發ちゃん 發ちゃん
16,South,-4620,55,0.001,4620,,0,0,0,0,筒子4 筒子4 筒子5 筒子6 筒子8 北風 北風 發ちゃん 中ちゃん 中ちゃん | 筒子1 筒子2 筒子3
17,East,11910,56,0.001,-11910,,0,0,0,0,索子1 索子4 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 筒子9 筒子9 筒子9 索子1 索子2 索子3
18,South,12090,54,0.001,-12090,,0,0,0,0,萬子1 南風 西風 北風 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 
19,South,3100,39,0.001,1770,南 混一色,0,0,0,29,萬子1 萬子1 萬子1 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 南風 南風 南風 北風 北風 | 
20,West,20550,57,0.001,-20550,,0,0,0,0,中ちゃん | 西風 西風 西風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
21,South,15390,56,0.001,-15390,,0,0,0,0,東風 東風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 索子6 索子7 索子8 南風 南風 南風
22,West,-4140,57,0.001,4140,,0,0,0,0,索子7 索子9 南風 中ちゃん | 索子4 索子5赤ドラ 索子6 北風 北風 北風 發ちゃん 發ちゃん 發ちゃん
23,North,810,55,0.001,-810,,0,0,0,0,萬子6 索子9 東風 西風 西風 西風 北風 北風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
24,South,7740,57,0.001,-7740,,0,0,0,0,筒子5 索子8 索子8 中ちゃん | 索子7 索子7 索子7 索子9 索子9 索子9 東風 東風 東風
25,East,32820,56,0.001,-32670,,0,0,0,5,萬子1 萬子1 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 筒子9 筒子9 筒子9 白ちゃん 白ちゃん 白ちゃん
26,West,25110,56,0.001,-25110,,0,0,0,0,萬子1 南風 南風 西風 白ちゃん 中ちゃん 中ちゃん | 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん
27,East,5490,56,0.001,-5490,,0,0,0,0,萬子4 南風 西風 西風 北風 發ちゃん 發ちゃん | 索子6 索子6 索子6 白ちゃん 白ちゃん 白ちゃん
28,North,16480,41,0.001,-9480,中 対々和 混一色,0,0,0,0,白ちゃん 白ちゃん | 萬子2 萬子2 萬子2 東風 東風 東風 西風 西風 西風 中ちゃん 中ちゃん 中ちゃん
29,East,12720,57,0.001,-12720,,0,0,0,0,北風 發ちゃん 中ちゃん 中ちゃん | 索子8 索子8 索子8 南風 南風 南風 白ちゃん 白ちゃん 白ちゃん
30,East,2430,55,0.001,-2430,,0,0,0,0,萬子8 筒子1 筒子4 筒子8 南風 發ちゃん 發ちゃん | 索子1 索子1 索子1 中ちゃん 中ちゃん 中ちゃん
31,East,6240,42,0.001,-240,中 白 赤ドラ1 混一色,0,0,0,0,萬子7 萬子8 萬子9 北風 北風 中ちゃん 中ちゃん 中ちゃん | 萬子4 萬子5赤ドラ 萬子6 白ちゃん 白ちゃん 白ちゃん
32,North,36000,56,0.001,-36000,,0,0,0,0,萬子1 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 東風 東風 東風
33,South,9510,56,0.001,-9510,,0,0,0,0,萬子1 北風 北風 北風 白ちゃん 發ちゃん 中ちゃん | 筒子7 筒子7 筒子7 中ちゃん 中ちゃん 中ちゃん
34,West,16740,55,0.001,-16740,,0,0,0,0,南風 南風 西風 西風 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 萬子1 萬子1 萬子1
35,North,17820,56,0.001,-17820,,0,0,0,0,索子7 西風 北風 北風 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん 中ちゃん | 白ちゃん 白ちゃん 白ちゃん
36,South,18420,56,0.001,-18420,,0,0,0,0,白ちゃん 發ちゃん 中ちゃん 中ちゃん | 西風 西風 西風 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん
37,West,15270,57,0.001,-15270,,0,0,0,0,中ちゃん | 萬子4 萬子4 萬子4 北風 北風 北風 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
38,East,37100,51,0.001,-28830,發 白 対々和 混一色,0,0,0,9,萬子7 萬子7 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん | 南風 南風 南風 發ちゃん 發ちゃん 發ちゃん
39,North,30510,56,0.001,-30510,,0,0,0,0,筒子1 南風 西風 西風 西風 西風 白ちゃん | 北風 北風 北風 發ちゃん 發ちゃん 發ちゃん
40,North,17760,57,0.001,-17430,,0,0,0,11,北風 | 索子8 索子8 索子8 南風 南風 南風 西風 西風 西風 白ちゃん 白ちゃん 白ちゃん
41,South,2250,55,0.001,-2250,,0,0,0,0,萬子1 萬子5赤ドラ 筒子2 筒子9 索子3 索子9 東風 南風 西風 北風 發ちゃん 發ちゃん 中ちゃん | 
42,West,49700,49,0.001,-8340,發 中 白 対々和 混一色 大三元,0,0,0,12,北風 北風 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子4 索子4 索子4 發ちゃん 發ちゃん 發ちゃん
43,North,21540,40,0.001,-14910,北 白 赤ドラ1 対々和,0,0,0,21,萬子1 萬子1 萬子1 西風 西風 白ちゃん 白ちゃん 白ちゃん | 索子5赤ドラ 索子5 索子5 北風 北風 北風
44,West,19470,55,0.001,-19470,,0,0,0,0,筒子4 西風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 東風 東風 東風 南風 南風 南風
45,East,8100,57,0.001,-8100,,0,0,0,0,筒子9 索子1 索子5 東風 | 萬子9 萬子9 萬子9 筒子3 筒子3 筒子3 中ちゃん 中ちゃん 中ちゃん
46,North,8310,56,0.001,-8220,,0,0,0,3,北風 北風 北風 發ちゃん | 索子8 索子8 索子8 西風 西風 西風 中ちゃん 中ちゃん 中ちゃん
47,North,34830,56,0.001,-34830,,0,0,0,0,南風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 西風 西風 西風 北風 北風 北風
48,East,91130,50,0.001,-17130,中 対々和 三風刻 字一色 客風三刻,0,0,0,0,發ちゃん 發ちゃん | 南風 南風 南風 西風 西風 西風 北風 北風 北風 中ちゃん 中ちゃん 中ちゃん
49,West,40110,56,0.001,-40110,,0,0,0,0,東風 西風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 發ちゃん | 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん
50,West,24420,55,0.001,-24420,,0,0,0,0,萬子1 萬子1 萬子1 萬子4 萬子4 萬子7 筒子4 北風 白ちゃん 發ちゃん | 發ちゃん 發ちゃん 發ちゃん
51,West,36330,57,0.001,-35400,,0,0,0,31,白ちゃん 白ちゃん 發ちゃん 發ちゃん | 索子9 索子9 索子9 北風 北風 北風 中ちゃん 中ちゃん 中ちゃん
52,West,24420,56,0.001,-24420,,0,0,0,0,萬子1 萬子1 萬子4 東風 南風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 北風 北風 北風
53,South,19800,56,0.001,-19800,,0,0,0,0,東風 西風 西風 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん 中ちゃん | 北風 北風 北風
54,East,17400,56,0.001,-17400,,0,0,0,0,萬子1 萬子4 索子8 東風 東風 東風 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 南風 南風 南風
55,South,23910,56,0.001,-23910,,0,0,0,0,萬子1 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 東風 東風 東風 發ちゃん 發ちゃん 發ちゃん
56,West,30120,57,0.001,-30120,,0,0,0,0,北風 發ちゃん 發ちゃん 中ちゃん | 東風 東風 東風 南風 南風 南風 西風 西風 西風
