Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-18900,56,0.001,18900,,0,0,0,0,萬子4 萬子9 筒子4 索子2 | 萬子1 萬子2 萬子3 萬子7 萬子7 萬子7 萬子8 萬子8 萬子8
2,South,-8520,52,0.001,14880,清一色,0,0,0,12,萬子1 萬子2 萬子2 萬子3 萬子3 萬子4 萬子5 萬子5 萬子5 萬子6 萬子6 萬子8 萬子8 萬子8 | 
3,East,-34080,57,0.001,34080,,0,0,0,0,萬子2 萬子3 筒子7 筒子8 | 萬子2 萬子3 萬子4 萬子6 萬子7 萬子8 索子3 索子4 索子5
4,North,-7920,55,0.001,7920,,0,0,0,0,萬子1 萬子1 萬子9 萬子9 萬子9 筒子1 筒子2 索子3 索子9 發ちゃん | 筒子1 筒子2 筒子3
5,South,42760,53,0.001,3540,中 白 対々和 混一色 三暗刻 四暗刻,0,0,0,10,萬子2 萬子2 萬子2 西風 西風 西風 北風 北風 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 
6,South,14730,46,0.001,3270,七対子 混一色 混老頭 小三元,0,0,0,0,萬子1 萬子1 南風 南風 西風 西風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
7,West,26400,55,0.001,-25830,,0,0,0,19,萬子1 萬子1 南風 南風 北風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
8,West,-19770,53,0.001,19770,,0,0,0,0,萬子1 索子5 索子6 索子7 索子7 索子7 索子8 索子8 索子8 索子9 索子9 東風 西風 | 
9,North,26610,55,0.001,-26610,,0,0,0,0,萬子1 萬子1 萬子1 萬子4 白ちゃん 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
10,West,20190,54,0.001,-20190,,0,0,0,0,萬子1 索子7 東風 西風 北風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
11,South,9150,53,0.001,-9150,,0,0,0,0,萬子1 萬子1 萬子5 筒子7 西風 北風 北風 北風 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
12,South,21150,54,0.001,-21150,,0,0,0,0,萬子1 萬子2 南風 西風 西風 西風 北風 北風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 
13,North,5370,53,0.001,-5370,,0,0,0,0,萬子2 萬子2 萬子4 南風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
14,North,20040,54,0.001,-20040,,0,0,0,0,萬子1 萬子1 萬子1 南風 南風 西風 北風 白ちゃん 發ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
15,South,-15810,54,0.001,15810,,0,0,0,0,萬子1 萬子1 索子8 索子8 索子8 東風 南風 西風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 
16,South,32040,57,0.001,-31950,,0,0,0,3,北風 | 萬子1 萬子1 萬子1 索子9 索子9 索子9 西風 西風 西風 中ちゃん 中ちゃん 中ちゃん
17,North,17940,44,0.001,-14580,対々和,0,0,0,12,中ちゃん 中ちゃん | 萬子1 萬子1 萬子1 索子6 索子6 索子6 東風 東風 東風 南風 南風 南風
18,West,-20370,54,0.001,20370,,0,0,0,0,萬子1 萬子1 萬子6 萬子9 索子6 南風 南風 | 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7
19,North,-19500,54,0.001,19500,,0,0,0,0,萬子1 筒子9 索子2 索子4 索子4 索子4 索子5赤ドラ 發ちゃん 發ちゃん 中ちゃん | 索子2 索子2 索子2
20,East,8310,56,0.001,-8310,,0,0,0,0,萬子1 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 萬子3 萬子4 萬子5 西風 西風 西風
21,East,16920,56,0.001,-16920,,0,0,0,0,萬子1 南風 南風 西風 北風 北風 北風 北風 白ちゃん 中ちゃん | 西風 西風 西風
22,South,7230,56,0.001,-7230,,0,0,0,0,萬子2 萬子2 西風 西風 北風 中ちゃん 中ちゃん | 索子8 索子8 索子8 發ちゃん 發ちゃん 發ちゃん
23,South,2220,55,0.001,-2220,,0,0,0,0,萬子1 萬子1 萬子1 萬子1 萬子5赤ドラ 萬子9 筒子1 筒子2 中ちゃん 中ちゃん | 萬子3 萬子3 萬子3
24,North,29190,57,0.001,-29190,,0,0,0,0,發ちゃん | 萬子1 萬子1 萬子1 東風 東風 東風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん
25,East,29890,50,0.001,-16890,發 混全帯么九 対々和 混老頭,0,0,0,0,萬子1 萬子1 萬子1 中ちゃん 中ちゃん | 索子9 索子9 索子9 北風 北風 北風 發ちゃん 發ちゃん 發ちゃん
26,South,-24750,54,0.001,24750,,0,0,0,0,萬子1 萬子3 萬子3 萬子3 筒子8 索子2 索子3 索子3 索子4 南風 北風 北風 白ちゃん | 
27,West,18390,57,0.001,-18120,,0,0,0,9,萬子1 中ちゃん 中ちゃん 中ちゃん | 索子5 索子5赤ドラ 索子5 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん
28,West,17790,56,0.001,-17790,,0,0,0,0,萬子2 萬子2 南風 南風 西風 北風 中ちゃん | 東風 東風 東風 白ちゃん 白ちゃん 白ちゃん
29,South,5780,53,0.001,-630,發 赤ドラ1 対々和,0,0,0,5,中ちゃん 中ちゃん | 萬子2 萬子2 萬子2 索子5赤ドラ 索子5 索子5 北風 北風 北風 發ちゃん 發ちゃん 發ちゃん
30,South,11820,55,0.001,-11820,,0,0,0,0,萬子1 萬子3 萬子7 萬子9 北風 北風 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
31,South,15420,56,0.001,-15420,,0,0,0,0,萬子1 萬子2 萬子4 萬子5 白ちゃん 發ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 中ちゃん 中ちゃん 中ちゃん
32,South,9270,55,0.001,-9270,,0,0,0,0,萬子1 萬子1 萬子1 萬子8 筒子1 筒子2 白ちゃん 發ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
33,North,12830,28,0.001,-7770,北 中 対々和,0,0,0,2,萬子1 萬子1 萬子1 北風 北風 北風 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子2 索子2 索子2
34,North,8190,56,0.001,-8190,,0,0,0,0,萬子1 索子7 索子8 白ちゃん 發ちゃん 發ちゃん 發ちゃん | 西風 西風 西風 中ちゃん 中ちゃん 中ちゃん
35,East,17670,56,0.001,-17670,,0,0,0,0,萬子1 萬子1 索子9 東風 北風 白ちゃん 發ちゃん | 西風 西風 西風 中ちゃん 中ちゃん 中ちゃん
36,West,13710,56,0.001,-13710,,0,0,0,0,萬子1 北風 北風 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 萬子2 萬子2 萬子2 白ちゃん 白ちゃん 白ちゃん
37,West,19590,55,0.001,-19590,,0,0,0,0,萬子1 西風 西風 北風 北風 北風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
38,North,9300,55,0.001,-9300,,0,0,0,0,萬子1 東風 南風 南風 北風 北風 北風 白ちゃん 發ちゃん 中ちゃん | 西風 西風 西風
39,North,-16950,54,0.001,16950,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子3 萬子4 萬子5 萬子5 萬子9 北風 發ちゃん | 
40,South,-13110,53,0.001,13110,,0,0,0,0,萬子1 萬子1 萬子6 萬子9 索子3 索子3 索子4 索子5赤ドラ 索子7 索子7 南風 西風 白ちゃん | 
41,North,-20070,55,0.001,20070,,0,0,0,0,萬子1 萬子1 萬子1 萬子1 萬子2 萬子3 萬子3 萬子3 索子4 索子9 索子9 東風 中ちゃん | 
42,West,27870,56,0.001,-27870,,0,0,0,0,萬子1 萬子1 萬子1 南風 西風 中ちゃん 中ちゃん | 索子9 索子9 索子9 南風 南風 南風
43,East,30840,57,0.001,-30840,,0,0,0,0,萬子1 發ちゃん 發ちゃん 發ちゃん | 萬子1 萬子1 萬子1 西風 西風 西風 白ちゃん 白ちゃん 白ちゃん
44,South,3750,55,0.001,-3750,,0,0,0,0,萬子2 索子4 索子7 西風 白ちゃん 白ちゃん 中ちゃん | 索子9 索子9 索子9 發ちゃん 發ちゃん 發ちゃん
45,West,19320,57,0.001,-19320,,0,0,0,0,萬子1 白ちゃん 白ちゃん 白ちゃん | 萬子1 萬子1 萬子1 索子5 索子5赤ドラ 索子5 北風 北風 北風
46,West,19860,55,0.001,-19860,,0,0,0,0,萬子1 南風 西風 北風 白ちゃん 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
47,East,16950,55,0.001,-16950,,0,0,0,0,萬子1 萬子1 萬子1 索子2 索子5赤ドラ 北風 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
48,East,51140,54,0.001,-31080,東 中 混全帯么九 対々和 混一色 混老頭 小三風,0,0,0,2,西風 西風 | 萬子1 萬子1 萬子1 東風 東風 東風 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
49,West,31920,56,0.001,-31920,,0,0,0,0,萬子1 萬子1 北風 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 白ちゃん 白ちゃん 白ちゃん
50,East,10710,56,0.001,-10710,,0,0,0,0,萬子1 萬子1 西風 北風 北風 發ちゃん 發ちゃん | 南風 南風 南風 西風 西風 西風
51,West,12240,56,0.001,-12240,,0,0,0,0,萬子1 萬子1 萬子1 萬子1 索子5 索子8 東風 白ちゃん 發ちゃん 中ちゃん | 北風 北風 北風
52,South,1950,55,0.001,-1950,,0,0,0,0,萬子1 索子6 索子8 東風 南風 南風 西風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
53,North,10380,56,0.001,-10380,,0,0,0,0,萬子1 萬子1 索子1 索子2 北風 白ちゃん 白ちゃん 白ちゃん 白ちゃん 發ちゃん | 索子6 索子6 索子6
54,North,7140,55,0.001,-7140,,0,0,0,0,萬子1 萬子1 萬子1 東風 南風 北風 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 東風 東風 東風
55,South,10680,56,0.001,-10680,,0,0,0,0,萬子1 南風 西風 北風 北風 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 索子5 索子5 索子5
56,North,22920,56,0.001,-22920,,0,0,0,0,萬子1 南風 西風 西風 西風 北風 北風 北風 北風 白ちゃん | 發ちゃん 發ちゃん 發ちゃん
57,North,25590,56,0.001,-25590,,0,0,0,0,萬子1 西風 西風 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子9 索子9 索子9 北風 北風 北風
