Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,-8580,56,0.100,8580,,0,0,0,0,萬子1 萬子2 萬子8 萬子9 萬子9 筒子2 筒子4 筒子5 筒子8 索子1 | 筒子1 筒子2 筒子3
2,East,10080,55,0.100,-10080,,0,0,0,0,萬子1 索子3 南風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 西風 西風 西風
3,East,16530,54,0.100,-16530,,0,0,0,0,萬子1 萬子1 索子9 南風 西風 西風 西風 北風 北風 北風 白ちゃん 發ちゃん 中ちゃん | 
4,East,13530,53,0.100,-13530,,0,0,0,0,萬子1 萬子2 索子9 索子9 東風 西風 西風 西風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 
5,East,-10950,55,0.100,10950,,0,0,0,0,筒子1 筒子6 筒子6 筒子9 索子1 索子1 東風 | 索子1 索子2 索子3 索子7 索子8 索子9
6,North,-12480,54,0.100,12480,,0,0,0,0,萬子3 萬子3 萬子3 萬子3 萬子4 萬子6 筒子3 索子4 西風 中ちゃん | 筒子3 筒子4 筒子5
7,South,-1860,54,0.100,1860,,0,0,0,0,萬子1 萬子1 萬子1 萬子3 萬子4 萬子8 筒子2 筒子3 索子5 索子8 | 萬子4 萬子5 萬子6
8,North,-16560,55,0.100,16560,,0,0,0,0,萬子1 萬子2 萬子4 萬子5 東風 南風 北風 白ちゃん 發ちゃん 發ちゃん | 萬子4 萬子5赤ドラ 萬子6
9,North,-13380,56,0.100,13380,,0,0,0,0,萬子1 萬子3 萬子3 筒子2 | 萬子1 萬子2 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 萬子6
10,West,-13770,54,0.100,13770,,0,0,0,0,萬子6 萬子7 萬子7 索子1 索子9 北風 發ちゃん | 萬子1 萬子2 萬子3 筒子3 筒子4 筒子5赤ドラ
11,West,-7860,56,0.100,7860,,0,0,0,0,萬子1 萬子5 萬子5赤ドラ 發ちゃん | 萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 萬子4 萬子5 萬子6
12,East,-4320,55,0.100,4320,,0,0,0,0,萬子1 萬子2 萬子2 萬子2 萬子4 萬子5赤ドラ 萬子5 東風 南風 西風 | 萬子1 萬子2 萬子3
13,East,-2720,44,0.100,11010,平和 混一色 一盃口,0,0,0,43,萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3 萬子4 萬子4 萬子5 萬子6 中ちゃん 中ちゃん | 
14,South,-1800,54,0.100,1800,,0,0,0,0,萬子1 萬子1 萬子1 萬子3 萬子4 萬子4 萬子5 萬子5 萬子6 筒子1 | 萬子5赤ドラ 萬子6 萬子7
15,North,-18810,55,0.100,18810,,0,0,0,0,萬子1 萬子2 萬子6 萬子6 萬子7 南風 發ちゃん | 萬子1 萬子2 萬子3 萬子4 萬子5赤ドラ 萬子6
16,North,-20460,55,0.100,20460,,0,0,0,0,萬子1 萬子2 萬子3 萬子4 萬子4 萬子4 萬子5 萬子5 發ちゃん 中ちゃん | 萬子1 萬子2 萬子3
17,South,-33990,54,0.100,33990,,0,0,0,0,萬子2 萬子2 萬子2 萬子4 萬子4 萬子5 萬子5 萬子6 萬子6 萬子6 萬子7 筒子4 筒子9 | 
18,South,-1170,45,0.100,4170,混一色,0,0,0,0,萬子4 萬子4 萬子4 萬子5 萬子5 萬子5 中ちゃん 中ちゃん | 萬子1 萬子1 萬子2 萬子2 萬子3 萬子3
19,East,-13320,55,0.100,13320,,0,0,0,0,萬子2 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 萬子6 萬子6 發ちゃん | 萬子4 萬子5赤ドラ 萬子6
20,North,-19830,55,0.100,19830,,0,0,0,0,萬子2 萬子2 萬子2 萬子6 筒子2 筒子7 發ちゃん | 萬子4 萬子5 萬子6 筒子2 筒子3 筒子4
21,West,1860,54,0.100,-1860,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子8 索子4 北風 白ちゃん 白ちゃん 發ちゃん | 萬子5 萬子6 萬子7
22,West,11580,55,0.100,-11580,,0,0,0,0,萬子6 南風 南風 西風 西風 北風 北風 發ちゃん 中ちゃん 中ちゃん | 萬子1 萬子2 萬子3
23,North,21960,54,0.100,-21810,,0,0,0,5,萬子1 萬子1 萬子1 萬子1 萬子2 萬子2 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 
24,South,-8880,55,0.100,8880,,0,0,0,0,萬子1 萬子5 萬子6 萬子6 萬子6 萬子7 筒子1 發ちゃん 發ちゃん 中ちゃん | 萬子3 萬子4 萬子5赤ドラ
25,East,-4140,55,0.100,4140,,0,0,0,0,萬子1 筒子9 索子1 索子5 索子7 西風 北風 發ちゃん 中ちゃん 中ちゃん | 萬子9 萬子9 萬子9
26,North,21930,54,0.100,-21930,,0,0,0,0,萬子1 萬子1 萬子1 南風 南風 西風 西風 西風 西風 北風 白ちゃん 發ちゃん 中ちゃん | 
27,North,9570,53,0.100,-9570,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 南風 西風 西風 北風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
28,East,13920,55,0.100,-13470,,0,0,0,15,萬子1 萬子1 索子9 索子9 索子9 東風 東風 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん 中ちゃん | 
29,West,15180,56,0.100,-15180,,0,0,0,0,筒子4 索子3 索子8 索子9 索子9 東風 西風 發ちゃん 發ちゃん 發ちゃん | 北風 北風 北風
30,South,-3060,54,0.100,3060,,0,0,0,0,萬子1 萬子1 筒子6 筒子7 筒子7 索子3 南風 南風 發ちゃん 中ちゃん | 索子7 索子8 索子9
31,North,-2280,55,0.100,2280,,0,0,0,0,萬子4 萬子6 筒子4 筒子7 筒子7 索子1 索子2 索子7 西風 中ちゃん | 筒子2 筒子3 筒子4
32,South,16950,56,0.100,-16950,,0,0,0,0,萬子2 東風 東風 東風 北風 發ちゃん 發ちゃん | 索子7 索子8 索子9 白ちゃん 白ちゃん 白ちゃん
33,West,11640,57,0.100,-11640,,0,0,0,0,萬子7 索子5赤ドラ 白ちゃん 白ちゃん | 萬子1 萬子1 萬子1 索子7 索子7 索子7 發ちゃん 發ちゃん 發ちゃん
34,North,14220,57,0.100,-14220,,0,0,0,0,索子4 白ちゃん 白ちゃん 發ちゃん | 索子5 索子5赤ドラ 索子5 索子9 索子9 索子9 南風 南風 南風
35,South,14220,57,0.100,-14220,,0,0,0,0,索子7 西風 北風 發ちゃん | 東風 東風 東風 南風 南風 南風 發ちゃん 發ちゃん 發ちゃん
36,West,1620,57,0.100,-1620,,0,0,0,0,萬子2 索子9 北風 白ちゃん | 萬子2 萬子2 萬子2 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
37,South,26370,56,0.100,-26370,,0,0,0,0,萬子2 西風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 東風 東風 東風 發ちゃん 發ちゃん 發ちゃん
38,South,25350,56,0.100,-25350,,0,0,0,0,萬子6 萬子6 北風 白ちゃん 白ちゃん 白ちゃん 中ちゃん | 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん
39,West,14340,56,0.100,-13950,,0,0,0,13,白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 索子7 索子7 索子7 北風 北風 北風
40,East,4740,55,0.100,-4740,,0,0,0,0,萬子1 索子9 東風 東風 西風 北風 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 南風 南風 南風
41,North,20670,56,0.100,-20670,,0,0,0,0,索子1 索子9 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 索子9 索子9 索子9 白ちゃん 白ちゃん 白ちゃん
42,South,6360,55,0.100,-6360,,0,0,0,0,索子8 索子9 索子9 東風 東風 南風 西風 北風 發ちゃん 中ちゃん | 索子6 索子6 索子6
43,East,2670,55,0.100,-2670,,0,0,0,0,萬子1 索子1 索子9 索子9 東風 東風 南風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
44,West,-10590,55,0.100,10590,,0,0,0,0,萬子1 萬子5 萬子6 索子2 南風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 發ちゃん | 
45,West,12990,56,0.100,-12990,,0,0,0,0,索子9 索子9 東風 東風 南風 西風 發ちゃん | 索子6 索子6 索子6 白ちゃん 白ちゃん 白ちゃん
46,South,9530,19,0.100,-1530,白 赤ドラ1 混一色 小三風,0,0,0,0,索子5赤ドラ 索子6 索子7 東風 東風 西風 西風 西風 白ちゃん 白ちゃん 白ちゃん | 北風 北風 北風
47,North,-15120,54,0.100,15120,,0,0,0,0,萬子3 萬子3 萬子4 萬子5 萬子8 萬子9 萬子9 發ちゃん 中ちゃん 中ちゃん | 萬子1 萬子2 萬子3
48,West,11970,55,0.100,-11970,,0,0,0,0,萬子4 筒子4 索子7 索子9 東風 南風 西風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
49,South,24030,56,0.100,-24030,,0,0,0,0,萬子1 萬子3 索子3 北風 白ちゃん 白ちゃん 發ちゃん | 萬子1 萬子1 萬子1 中ちゃん 中ちゃん 中ちゃん
