Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-1535,110,0.001,0,,0,0,0,0,萬子5 萬子6 萬子8 筒子1 筒子5 筒子6 筒子7 索子3 索子5 索子6 | 萬子6 萬子7 萬子8
2,North,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子2 萬子2 萬子3 萬子3 萬子3 索子7 北風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
3,East,-1494,109,0.001,0,,0,0,0,0,萬子1 萬子1 筒子9 筒子9 索子1 索子8 索子9 | 萬子2 萬子3 萬子4 筒子7 筒子8 筒子9
4,North,-1500,109,0.001,0,,0,0,0,0,萬子1 萬子8 萬子9 萬子9 萬子9 筒子5 筒子8 | 萬子1 萬子2 萬子3 萬子5 萬子6 萬子7
5,South,-1495,110,0.001,0,,0,0,0,0,萬子1 萬子2 萬子3 萬子4 萬子4 筒子3 筒子4 索子1 索子2 白ちゃん | 筒子4 筒子5赤ドラ 筒子6
6,South,-1485,109,0.001,0,,0,0,0,0,萬子2 萬子2 萬子3 萬子3 萬子3 筒子8 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
7,South,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子7 索子8 西風 北風 北風 北風 白ちゃん 中ちゃん 中ちゃん | 
8,North,-1513,109,0.001,0,,0,0,0,0,萬子1 萬子2 筒子3 筒子7 筒子8 索子3 索子3 | 萬子1 萬子2 萬子3 索子5 索子6 索子7
9,North,-1499,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子1 萬子4 筒子4 東風 南風 | 萬子1 萬子2 萬子3 萬子3 萬子4 萬子5
10,West,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子3 萬子3 索子1 索子2 索子8 索子8 索子8 索子9 東風 北風 | 
11,East,-1520,110,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 索子6 | 筒子3 筒子4 筒子5 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9
12,South,-1504,109,0.001,0,,0,0,0,0,萬子1 萬子2 萬子5 萬子8 筒子7 筒子8 筒子8 | 筒子1 筒子2 筒子3 筒子5 筒子6 筒子7
13,South,-1498,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 索子2 | 萬子6 萬子7 萬子8 索子2 索子3 索子4
14,South,-1535,110,0.001,0,,0,0,0,0,萬子1 萬子2 萬子2 索子6 東風 西風 白ちゃん 白ちゃん 白ちゃん 中ちゃん | 北風 北風 北風
15,North,-1546,110,0.001,0,,0,0,0,0,萬子1 萬子4 筒子1 索子9 | 萬子1 萬子2 萬子3 萬子6 萬子7 萬子8 索子6 索子6 索子6
16,South,-1493,110,0.001,0,,0,0,0,0,萬子3 萬子3 筒子1 筒子1 筒子5 索子5 索子9 東風 南風 白ちゃん | 萬子1 萬子2 萬子3
17,North,-1506,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子8 筒子3 筒子4 索子2 南風 | 萬子5 萬子5赤ドラ 萬子5 筒子2 筒子3 筒子4
18,West,-1497,109,0.001,0,,0,0,0,0,萬子1 索子1 索子4 索子9 西風 西風 北風 | 萬子2 萬子2 萬子2 索子2 索子3 索子4
19,West,-1486,109,0.001,0,,0,0,0,0,萬子1 萬子9 萬子9 萬子9 筒子1 筒子1 發ちゃん | 萬子2 萬子3 萬子4 萬子4 萬子5 萬子6
20,East,5870,42,0.001,0,七対子 赤ドラ2,0,0,0,36,萬子4 萬子4 筒子5 筒子5赤ドラ 索子2 索子2 索子3 索子3 索子5赤ドラ 索子5 南風 南風 西風 西風 | 
21,North,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子4 萬子5 萬子5 索子1 索子8 索子9 發ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
22,South,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子1 筒子6 索子2 索子2 索子3 索子5赤ドラ 索子5 索子5 索子6 南風 西風 | 
23,East,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子3 萬子3 萬子5赤ドラ 萬子9 萬子9 筒子6 筒子7 筒子9 索子1 索子5赤ドラ 索子7 | 
24,West,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子8 筒子2 筒子2 筒子4 南風 西風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 
25,South,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子2 萬子2 萬子2 萬子2 萬子6 萬子8 筒子1 筒子1 筒子1 南風 南風 北風 | 
26,West,2709,54,0.001,0,混一色,0,0,0,2,萬子1 萬子2 萬子3 萬子4 萬子4 萬子5 萬子6 萬子7 萬子7 萬子8 萬子9 發ちゃん 發ちゃん 發ちゃん | 
27,East,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子5 萬子9 筒子1 筒子1 筒子1 索子1 索子1 索子7 索子8 白ちゃん 白ちゃん | 
28,East,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子2 萬子3 萬子3 萬子4 萬子5赤ドラ 萬子5 萬子6 萬子7 萬子7 萬子9 西風 白ちゃん | 
29,East,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子6 筒子4 筒子5 筒子8 筒子9 索子1 索子7 發ちゃん 中ちゃん | 
30,East,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子3 西風 西風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 
31,West,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子7 筒子3 筒子7 索子1 索子1 索子3 索子6 西風 白ちゃん 中ちゃん 中ちゃん | 
32,South,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 索子2 索子8 索子8 索子8 南風 西風 西風 北風 北風 | 
33,North,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子3 索子5 索子8 索子8 索子9 東風 南風 西風 發ちゃん 中ちゃん | 
34,East,5727,85,0.001,0,七対子 混一色,0,0,0,21,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 東風 東風 南風 南風 南風 南風 北風 北風 | 
35,West,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子4 萬子4 萬子4 萬子5 萬子5赤ドラ 索子1 西風 西風 北風 白ちゃん 白ちゃん | 
36,West,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子1 萬子1 萬子2 萬子3 萬子3 索子6 索子8 索子9 東風 西風 北風 | 
37,East,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 萬子3 索子5 索子6 西風 西風 北風 | 
38,West,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子2 萬子3 萬子6 萬子8 筒子1 筒子2 筒子2 筒子7 索子5 索子7 西風 中ちゃん | 
39,North,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子2 萬子2 萬子4 萬子5赤ドラ 萬子6 萬子6 萬子7 索子9 北風 | 
40,North,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子6 筒子2 索子5 索子7 西風 西風 西風 北風 北風 中ちゃん 中ちゃん | 
41,South,-1485,109,0.001,0,,0,0,0,0,萬子2 萬子2 索子7 索子8 索子8 索子9 東風 南風 西風 北風 北風 北風 中ちゃん | 
42,East,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子4 萬子4 萬子4 索子8 索子9 南風 南風 西風 發ちゃん 中ちゃん | 
43,South,-1493,109,0.001,0,,0,0,0,0,萬子1 萬子1 索子4 索子5 索子8 南風 北風 | 索子2 索子3 索子4 索子5 索子6 索子7
44,South,-1520,110,0.001,0,,0,0,0,0,萬子1 索子2 索子2 索子3 索子8 索子8 索子9 東風 發ちゃん 發ちゃん | 索子1 索子2 索子3
45,East,3507,85,0.001,0,七対子,0,0,0,47,萬子1 萬子1 索子1 索子1 索子2 索子2 索子3 索子3 索子8 索子8 索子9 索子9 東風 東風 | 
46,South,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子6 萬子6 萬子9 萬子9 東風 西風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 
47,North,-1485,109,0.001,0,,0,0,0,0,萬子7 萬子7 萬子9 索子7 東風 南風 南風 西風 西風 白ちゃん 白ちゃん 白ちゃん 中ちゃん | 
48,West,-1485,109,0.001,0,,0,0,0,0,東風 東風 南風 西風 西風 西風 北風 北風 北風 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 
49,South,-1485,109,0.001,0,,0,0,0,0,萬子4 萬子9 索子1 索子8 索子8 東風 東風 西風 西風 北風 白ちゃん 發ちゃん 中ちゃん | 
50,West,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子9 筒子3 索子4 東風 東風 南風 南風 西風 西風 西風 北風 發ちゃん | 
51,South,5220,89,0.001,0,七対子 混一色,0,0,0,7,索子7 索子7 索子8 索子8 東風 東風 南風 南風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 
52,South,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子3 萬子9 萬子9 索子1 索子5 索子5 索子8 索子9 東風 東風 南風 北風 | 
53,South,-1485,109,0.001,0,,0,0,0,0,萬子1 筒子2 筒子8 索子8 索子9 索子9 西風 西風 北風 北風 白ちゃん 發ちゃん 中ちゃん | 
54,East,-1485,109,0.001,0,,0,0,0,0,索子8 索子8 索子9 索子9 索子9 東風 南風 南風 南風 西風 北風 北風 中ちゃん | 
