Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,-1516,110,0.001,0,,0,0,0,0,萬子4 萬子9 索子3 索子6 | 筒子1 筒子2 筒子3 筒子6 筒子7 筒子8 筒子8 筒子8 筒子8
2,West,-1521,109,0.001,0,,0,0,0,0,萬子4 萬子9 索子8 索子9 西風 西風 白ちゃん | 萬子1 萬子2 萬子3 筒子1 筒子1 筒子1
3,North,-1504,110,0.001,0,,0,0,0,0,萬子2 萬子4 萬子4 萬子5 萬子5 萬子6 萬子7 萬子7 筒子5 發ちゃん | 萬子4 萬子5赤ドラ 萬子6
4,West,2883,40,0.001,0,混一色,0,0,0,3,萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 萬子5 萬子6 萬子7 發ちゃん 發ちゃん | 萬子2 萬子3 萬子4
5,North,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 萬子6 萬子6 萬子8 發ちゃん 中ちゃん 中ちゃん | 
6,West,-1510,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子1 萬子1 筒子1 筒子9 白ちゃん | 萬子3 萬子3 萬子3 南風 南風 南風
7,South,-1498,109,0.001,0,,0,0,0,0,萬子1 萬子3 萬子4 萬子9 筒子2 南風 南風 | 萬子2 萬子3 萬子4 萬子5赤ドラ 萬子5 萬子5
8,West,-1505,109,0.001,0,,0,0,0,0,萬子1 萬子2 萬子2 萬子3 萬子7 發ちゃん 中ちゃん | 萬子1 萬子1 萬子1 萬子2 萬子3 萬子4
9,East,-1532,109,0.001,0,,0,0,0,0,萬子1 萬子2 萬子9 索子2 索子4 北風 北風 | 萬子2 萬子2 萬子2 索子9 索子9 索子9
10,West,-1496,110,0.001,0,,0,0,0,0,萬子4 萬子5赤ドラ 萬子5 萬子6 筒子2 筒子6 東風 南風 南風 西風 | 索子3 索子3 索子3
11,North,-1517,110,0.001,0,,0,0,0,1,萬子1 萬子2 萬子4 萬子4 | 萬子1 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3 萬子4 萬子4
12,South,-1486,110,0.001,0,,0,0,0,0,萬子1 萬子2 萬子2 萬子3 萬子3 萬子3 萬子4 萬子4 北風 發ちゃん | 萬子2 萬子3 萬子4
13,West,5805,61,0.001,0,三暗刻,0,0,0,9,萬子1 萬子2 萬子3 萬子5 萬子5 萬子5 索子7 索子7 索子7 索子9 索子9 索子9 北風 北風 | 
14,East,-1533,109,0.001,0,,0,0,0,0,萬子1 萬子2 萬子4 萬子4 萬子4 索子3 中ちゃん | 萬子1 萬子2 萬子3 南風 南風 南風
15,North,-1496,110,0.001,0,,0,0,0,0,萬子2 萬子2 萬子6 萬子6 萬子6 索子6 索子7 索子9 白ちゃん 中ちゃん | 萬子2 萬子3 萬子4
16,East,-1513,109,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子7 萬子8 萬子8 筒子2 | 萬子5 萬子6 萬子7 萬子9 萬子9 萬子9
17,West,-1108,109,0.001,0,,0,0,0,13,萬子1 萬子2 萬子3 南風 發ちゃん 發ちゃん 發ちゃん | 萬子1 萬子2 萬子2 萬子3 萬子3 萬子4
18,East,-1485,109,0.001,0,,0,0,0,0,萬子1 萬子2 萬子5 萬子8 萬子8 萬子8 筒子1 筒子4 西風 西風 北風 白ちゃん 中ちゃん | 
19,West,-1508,109,0.001,0,,0,0,0,0,萬子2 萬子2 萬子2 萬子8 索子8 索子9 西風 | 萬子3 萬子3 萬子3 萬子7 萬子8 萬子9
20,South,-1554,110,0.001,0,,0,0,0,0,萬子2 萬子9 索子2 東風 | 萬子5 萬子6 萬子7 索子7 索子7 索子7 索子9 索子9 索子9
