Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,0,57,0.001,0,,0,0,0,0,萬子6 萬子7 筒子4 索子3 | 萬子9 萬子9 萬子9 筒子1 筒子2 筒子3 筒子5 筒子6 筒子7
2,South,0,57,0.001,0,,0,0,0,0,萬子5 | 萬子4 萬子5 萬子6 筒子5 筒子5 筒子5 筒子6 筒子7 筒子8 發ちゃん 發ちゃん 發ちゃん
3,South,0,57,0.001,0,,0,0,0,0,索子5赤ドラ | 萬子4 萬子5 萬子6 索子1 索子1 索子1 索子4 索子5 索子6 索子7 索子8 索子9
4,South,0,56,0.001,0,,0,0,0,0,萬子1 筒子8 筒子9 索子2 索子3 索子3 索子3 | 筒子5赤ドラ 筒子6 筒子7 索子9 索子9 索子9
5,East,0,57,0.001,0,,0,0,0,0,萬子9 筒子6 索子2 發ちゃん | 萬子6 萬子7 萬子8 索子1 索子2 索子3 索子5赤ドラ 索子5 索子5
6,East,0,56,0.001,0,,0,0,0,0,索子3 東風 東風 西風 白ちゃん 發ちゃん 中ちゃん | 索子5赤ドラ 索子5 索子5 索子8 索子8 索子8
7,East,0,56,0.001,0,,0,0,0,0,萬子1 萬子6 索子4 東風 北風 白ちゃん 白ちゃん | 索子9 索子9 索子9 東風 東風 東風
8,South,0,56,0.001,0,,0,0,0,0,筒子2 筒子6 索子8 南風 發ちゃん 發ちゃん 中ちゃん | 索子7 索子7 索子7 東風 東風 東風
9,North,0,56,0.001,0,,0,0,0,0,萬子2 筒子8 索子3 索子8 南風 南風 白ちゃん | 筒子9 筒子9 筒子9 索子5 索子6 索子7
10,South,630,56,0.001,0,,0,0,0,21,筒子7 筒子8 筒子9 北風 白ちゃん 白ちゃん 白ちゃん | 筒子6 筒子7 筒子8 南風 南風 南風
11,South,0,55,0.001,0,,0,0,0,0,萬子1 萬子2 萬子9 筒子3 筒子4 索子3 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1
12,East,0,57,0.001,0,,0,0,0,0,萬子7 萬子7 索子2 索子3 | 萬子5 萬子6 萬子7 筒子4 筒子5 筒子6 筒子7 筒子8 筒子9
13,East,30,56,0.001,0,,0,0,0,1,萬子1 萬子1 萬子1 萬子2 萬子4 萬子4 萬子4 | 萬子1 萬子2 萬子2 萬子3 萬子3 萬子4
14,South,0,56,0.001,0,,0,0,0,0,索子1 索子5 索子7 中ちゃん | 筒子2 筒子3 筒子4 筒子4 筒子5 筒子6 索子6 索子7 索子8
15,South,4150,29,0.001,0,白 混一色,0,0,0,5,索子3 索子4 索子5 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん | 索子6 索子7 索子8
16,North,0,56,0.001,0,,0,0,0,0,萬子1 萬子1 萬子4 萬子4 萬子5赤ドラ 萬子5 萬子7 筒子9 發ちゃん 中ちゃん | 萬子3 萬子4 萬子5
17,West,0,56,0.001,0,,0,0,0,0,萬子5 索子3 索子3 索子7 東風 東風 白ちゃん | 萬子1 萬子1 萬子1 索子8 索子8 索子8
18,North,0,57,0.001,0,,0,0,0,0,萬子6 索子8 索子9 發ちゃん | 萬子1 萬子1 萬子1 萬子4 萬子5赤ドラ 萬子6 萬子7 萬子7 萬子7
19,North,150,56,0.001,0,,0,0,0,5,萬子1 萬子3 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 萬子2 萬子3 萬子4 萬子6 萬子7 萬子8
