Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,0,53,0.001,0,,0,0,0,0,萬子3 萬子7 萬子8 萬子9 筒子1 筒子1 索子5 東風 東風 南風 南風 南風 西風 | 
2,North,0,55,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子5 萬子8 索子7 東風 南風 北風 白ちゃん | 
3,South,0,54,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子3 筒子8 索子5 索子7 索子8 索子8 中ちゃん | 
4,East,0,54,0.001,0,,0,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 萬子3 萬子3 索子7 東風 東風 白ちゃん 中ちゃん | 
5,West,0,54,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 萬子7 萬子8 萬子8 萬子9 筒子1 筒子8 中ちゃん | 
6,East,0,54,0.001,0,,0,0,0,0,萬子1 萬子2 萬子2 萬子2 萬子3 萬子3 萬子4 萬子4 筒子7 筒子7 索子6 西風 發ちゃん | 
7,East,0,54,0.001,0,,0,0,0,0,萬子1 萬子2 萬子2 萬子3 筒子1 筒子3 筒子3 筒子4 筒子5 筒子6 筒子6 白ちゃん 中ちゃん | 
8,South,0,54,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子4 萬子8 萬子9 筒子1 筒子1 筒子3 筒子7 筒子7 中ちゃん | 
9,East,0,52,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子3 萬子4 萬子4 萬子7 萬子8 筒子2 筒子2 筒子2 筒子3 | 
10,West,4720,50,0.001,0,中 一盃口,0,0,0,24,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 索子1 索子1 索子6 索子6 索子6 中ちゃん 中ちゃん 中ちゃん | 
