Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,0,54,0.001,0,,0,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 萬子3 萬子4 萬子6 筒子8 北風 發ちゃん 中ちゃん | 
2,North,0,54,0.001,0,,0,0,0,0,萬子1 萬子2 萬子2 萬子2 萬子3 萬子3 萬子4 萬子4 萬子4 筒子7 發ちゃん 中ちゃん 中ちゃん | 
3,North,0,55,0.001,0,,0,0,0,0,萬子1 萬子1 萬子3 萬子3 萬子3 萬子3 萬子4 萬子5 萬子9 筒子6 發ちゃん 發ちゃん 中ちゃん | 
4,West,690,54,0.001,0,,0,0,0,23,萬子1 萬子1 萬子1 萬子2 萬子3 萬子3 萬子4 萬子4 索子4 索子4 索子4 發ちゃん 發ちゃん | 
5,West,0,56,0.001,0,,0,0,0,0,萬子7 筒子1 筒子1 筒子3 西風 西風 北風 北風 白ちゃん 中ちゃん | 索子8 索子8 索子8
6,North,0,54,0.001,0,,0,0,0,0,萬子1 萬子2 萬子2 萬子4 萬子7 萬子7 筒子2 筒子3 南風 南風 西風 北風 白ちゃん | 
7,South,0,55,0.001,0,,0,0,0,0,萬子2 萬子3 筒子1 筒子3 索子1 索子4 西風 北風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
8,East,750,54,0.001,0,,0,0,0,25,萬子1 萬子1 萬子2 萬子2 南風 南風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
9,South,0,54,0.001,0,,0,0,0,0,萬子4 萬子4 萬子5 南風 南風 西風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 
10,West,0,54,0.001,0,,0,0,0,0,萬子4 萬子4 萬子4 萬子5 萬子6 萬子6 萬子7 萬子7 索子1 索子7 索子8 北風 發ちゃん | 
11,North,0,54,0.001,0,,0,0,0,0,萬子1 萬子2 萬子2 萬子5 筒子4 筒子6 索子1 索子4 索子6 索子7 索子8 東風 白ちゃん | 
12,South,0,54,0.001,0,,0,0,0,0,萬子2 萬子4 萬子6 萬子8 萬子9 南風 西風 西風 北風 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
