Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,2658,57,0.100,-1200,,1458,0,0,0,萬子1 萬子2 索子7 索子9 | 萬子2 萬子2 萬子2 筒子8 筒子8 筒子8 索子6 索子6 索子6
2,East,6030,57,0.100,-4320,,1710,0,0,0,萬子2 | 萬子1 萬子2 萬子3 索子3 索子3 索子3 索子4 索子5 索子6 索子6 索子6 索子6
3,North,5604,57,0.100,-4260,,1344,0,0,0,萬子8 | 萬子6 萬子7 萬子8 筒子5 筒子6 筒子7 筒子7 筒子7 筒子8 筒子8 筒子9 筒子9
4,West,7236,57,0.100,-5700,,1536,0,0,0,索子8 | 筒子7 筒子8 筒子8 筒子8 筒子8 筒子9 索子3 索子3 索子3 索子7 索子8 索子9
5,East,6342,56,0.100,-5460,,882,0,0,0,筒子2 筒子5 筒子6 筒子6 索子2 索子3 發ちゃん | 筒子1 筒子2 筒子3 筒子7 筒子7 筒子7
6,South,8106,56,0.100,-6810,,1296,0,0,0,索子8 索子9 東風 西風 北風 白ちゃん 發ちゃん | 索子1 索子2 索子3 索子7 索子7 索子7
7,West,5700,57,0.100,-4080,,1620,0,0,0,索子6 索子9 南風 西風 | 索子4 索子5 索子6 索子7 索子8 索子9 白ちゃん 白ちゃん 白ちゃん
8,North,6816,56,0.100,-5580,,1236,0,0,0,索子4 索子8 南風 西風 發ちゃん 中ちゃん 中ちゃん | 索子3 索子4 索子5 白ちゃん 白ちゃん 白ちゃん
9,East,15456,56,0.100,-14160,,1296,0,0,0,萬子9 萬子9 筒子8 索子3 北風 北風 中ちゃん | 筒子5赤ドラ 筒子5 筒子5 發ちゃん 發ちゃん 發ちゃん
10,East,7620,56,0.100,-6570,,1050,0,0,0,筒子3 索子5 北風 北風 北風 發ちゃん 中ちゃん | 萬子3 萬子3 萬子3 索子4 索子5赤ドラ 索子6
11,East,8634,56,0.100,-7890,,744,0,0,0,萬子1 西風 西風 北風 白ちゃん 白ちゃん 發ちゃん | 萬子1 萬子1 萬子1 中ちゃん 中ちゃん 中ちゃん
12,East,14112,56,0.100,-12810,,1302,0,0,0,萬子3 南風 西風 北風 白ちゃん 白ちゃん 發ちゃん | 索子5赤ドラ 索子6 索子7 東風 東風 東風
13,West,8184,57,0.100,-6360,,1254,0,0,19,萬子1 萬子1 萬子2 萬子4 | 萬子2 萬子2 萬子2 萬子3 萬子3 萬子3 白ちゃん 白ちゃん 白ちゃん
14,South,8190,57,0.100,-6840,,1350,0,0,0,萬子1 萬子1 索子2 索子8 | 萬子8 萬子8 萬子8 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
15,North,8610,57,0.100,-7500,,1110,0,0,0,萬子1 索子3 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1 筒子6 筒子6 筒子6 發ちゃん 發ちゃん 發ちゃん
16,South,4788,56,0.100,-3540,,1248,0,0,0,萬子1 萬子5赤ドラ 索子1 索子3 索子5 索子5 索子6 白ちゃん 白ちゃん 發ちゃん | 中ちゃん 中ちゃん 中ちゃん
17,South,5640,57,0.100,-4500,,1110,0,0,1,白ちゃん 白ちゃん 白ちゃん 中ちゃん | 萬子1 萬子2 萬子3 筒子7 筒子7 筒子7 發ちゃん 發ちゃん 發ちゃん
18,North,9432,56,0.100,-8280,,1152,0,0,0,萬子1 索子9 索子9 發ちゃん | 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん
19,North,10326,56,0.100,-9780,,546,0,0,0,萬子2 萬子2 筒子3 索子1 白ちゃん 發ちゃん 中ちゃん | 筒子9 筒子9 筒子9 中ちゃん 中ちゃん 中ちゃん
20,East,12618,57,0.100,-10860,,1758,0,0,0,筒子9 | 萬子2 萬子3 萬子4 索子6 索子7 索子8 索子9 索子9 索子9 南風 南風 南風
21,South,7056,56,0.100,-6030,,1026,0,0,0,萬子1 南風 西風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子7 索子7 索子7
22,South,14502,57,0.100,-13260,,1242,0,0,0,南風 西風 發ちゃん 中ちゃん | 萬子1 萬子1 萬子1 東風 東風 東風 發ちゃん 發ちゃん 發ちゃん
23,North,8856,55,0.100,-8040,,816,0,0,0,萬子1 萬子1 萬子1 筒子2 筒子4 筒子5 筒子5 筒子5 索子4 索子6 索子8 中ちゃん 中ちゃん | 
24,South,9642,56,0.100,-8910,,732,0,0,0,萬子1 萬子1 索子8 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 索子7 索子7 索子7
25,West,8406,56,0.100,-7710,,696,0,0,0,萬子2 萬子4 萬子8 筒子5 筒子5 索子7 西風 發ちゃん 中ちゃん 中ちゃん | 索子9 索子9 索子9
26,East,4176,56,0.100,-3630,,546,0,0,0,萬子3 索子4 北風 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 萬子8 萬子8 萬子8 白ちゃん 白ちゃん 白ちゃん
27,South,6804,56,0.100,-5700,,1104,0,0,0,索子5 東風 西風 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子1 索子2 索子3 索子3 索子4 索子5
28,East,18816,57,0.100,-17760,,1056,0,0,0,萬子1 萬子7 萬子9 筒子3 | 西風 西風 西風 北風 北風 北風 中ちゃん 中ちゃん 中ちゃん
29,South,25440,56,0.100,-24090,,1350,0,0,0,南風 西風 西風 西風 北風 發ちゃん 中ちゃん | 東風 東風 東風 北風 北風 北風
30,North,8588,23,0.100,-3090,五門斉,468,0,0,1,筒子4 筒子4 筒子4 東風 東風 東風 發ちゃん 發ちゃん | 萬子7 萬子8 萬子9 索子7 索子7 索子7
31,East,10962,56,0.100,-9000,,1572,0,0,13,南風 南風 西風 西風 中ちゃん 中ちゃん 中ちゃん | 筒子8 筒子8 筒子8 索子5 索子5 索子5
32,North,5688,56,0.100,-4560,,1128,0,0,0,萬子5赤ドラ 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 萬子5 萬子5 萬子5 發ちゃん 發ちゃん 發ちゃん
33,South,14604,57,0.100,-12600,,1734,0,0,9,白ちゃん 白ちゃん 白ちゃん 發ちゃん | 索子4 索子4 索子4 西風 西風 西風 中ちゃん 中ちゃん 中ちゃん
34,West,11638,47,0.100,-3480,赤ドラ1 対々和 混一色,948,0,0,7,東風 東風 東風 西風 西風 | 索子5 索子5赤ドラ 索子5 索子7 索子7 索子7 索子9 索子9 索子9
35,South,11748,56,0.100,-10920,,828,0,0,0,萬子1 東風 南風 南風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 萬子4 萬子4 萬子4
36,North,1542,56,0.100,-420,,1122,0,0,0,萬子1 萬子3 萬子5 萬子5 索子8 白ちゃん 發ちゃん | 萬子2 萬子2 萬子2 發ちゃん 發ちゃん 發ちゃん
37,South,10092,56,0.100,-9030,,1062,0,0,0,索子3 索子5 索子7 南風 南風 西風 白ちゃん 白ちゃん 白ちゃん 發ちゃん | 中ちゃん 中ちゃん 中ちゃん
38,East,12894,56,0.100,-12090,,804,0,0,0,筒子9 索子9 索子9 東風 北風 北風 中ちゃん | 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
39,East,6060,56,0.100,-4980,,1080,0,0,0,索子8 索子9 索子9 東風 南風 西風 西風 白ちゃん 發ちゃん 中ちゃん | 索子5 索子6 索子7
40,South,15912,56,0.100,-15210,,702,0,0,0,筒子5 索子9 西風 西風 西風 北風 北風 發ちゃん 中ちゃん 中ちゃん | 筒子9 筒子9 筒子9
