Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,North,2682,57,0.001,-840,,1842,0,0,0,萬子1 索子6 索子7 發ちゃん | 萬子7 萬子7 萬子7 筒子8 筒子8 筒子8 索子8 索子8 索子8
2,South,16572,56,0.001,-15540,,1002,0,0,1,萬子1 萬子1 萬子1 西風 西風 中ちゃん 中ちゃん | 南風 南風 南風 發ちゃん 發ちゃん 發ちゃん
3,East,14266,44,0.001,-8820,中 対々和,1176,0,0,9,萬子1 萬子1 萬子1 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子8 索子8 索子8 北風 北風 北風
4,North,10218,56,0.001,-9510,,708,0,0,0,筒子7 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1 索子7 索子7 索子7
5,South,6736,37,0.001,-1680,發 対々和,1056,0,0,0,白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 索子1 索子1 索子1
6,North,16146,56,0.001,-15420,,726,0,0,0,萬子1 萬子1 筒子9 筒子9 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん 中ちゃん | 北風 北風 北風
7,East,19200,56,0.001,-17820,,1380,0,0,0,萬子1 索子8 索子8 白ちゃん 白ちゃん 白ちゃん 中ちゃん | 東風 東風 東風 中ちゃん 中ちゃん 中ちゃん
8,South,15102,57,0.001,-13860,,852,0,0,13,萬子1 萬子1 中ちゃん 中ちゃん | 萬子2 萬子2 萬子2 西風 西風 西風 白ちゃん 白ちゃん 白ちゃん
9,West,29556,54,0.001,-16320,七対子 混一色 混老頭,456,0,0,26,萬子1 萬子1 萬子1 萬子1 南風 南風 西風 西風 北風 北風 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 
10,West,9894,57,0.001,-8340,,1554,0,0,0,萬子1 白ちゃん 白ちゃん 白ちゃん | 萬子1 萬子1 萬子1 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
11,West,15564,57,0.001,-13830,,1734,0,0,0,萬子1 萬子1 北風 發ちゃん | 西風 西風 西風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん
12,West,12924,56,0.001,-12000,,924,0,0,0,萬子1 西風 北風 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 筒子9 筒子9 筒子9 發ちゃん 發ちゃん 發ちゃん
13,North,12042,56,0.001,-11220,,822,0,0,0,萬子1 南風 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 索子9 索子9 索子9 中ちゃん 中ちゃん 中ちゃん
14,South,6408,56,0.001,-4770,,1638,0,0,0,萬子1 萬子1 萬子1 萬子1 東風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子7 索子7 索子7
15,South,20370,56,0.001,-19500,,870,0,0,0,萬子1 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 東風 東風 東風 北風 北風 北風
16,West,13452,56,0.001,-12240,,1212,0,0,0,萬子1 萬子1 東風 東風 南風 西風 西風 西風 白ちゃん 發ちゃん | 索子6 索子6 索子6
17,North,16572,56,0.001,-15690,,882,0,0,0,萬子3 北風 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1
18,East,12846,57,0.001,-11160,,1686,0,0,0,萬子1 萬子1 萬子1 萬子1 | 東風 東風 東風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん
19,South,7014,56,0.001,-6000,,1014,0,0,0,萬子1 萬子1 萬子1 萬子1 萬子5 萬子6 萬子8 | 萬子2 萬子2 萬子2 萬子4 萬子4 萬子4
20,South,13062,56,0.001,-12540,,522,0,0,0,萬子1 萬子1 萬子6 西風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 中ちゃん 中ちゃん 中ちゃん
21,North,10590,56,0.001,-9480,,1110,0,0,0,萬子1 西風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 索子9 索子9 索子9 中ちゃん 中ちゃん 中ちゃん
22,South,16680,57,0.001,-14760,,1920,0,0,0,萬子1 萬子1 萬子1 中ちゃん | 南風 南風 南風 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん
23,North,10620,56,0.001,-9810,,810,0,0,0,萬子1 萬子1 萬子1 索子9 南風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
24,North,38844,56,0.001,-12480,北 中 白 混全帯么九 対々和 混一色 混老頭 小三元,1674,0,0,23,萬子1 萬子1 萬子1 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 北風 北風 北風 中ちゃん 中ちゃん 中ちゃん
25,North,16140,57,0.001,-14610,,1260,0,0,9,西風 發ちゃん 發ちゃん 發ちゃん | 萬子1 萬子1 萬子1 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
26,North,21284,57,0.001,-11880,北 白 対々和 混一色,1404,0,0,0,中ちゃん 中ちゃん | 萬子2 萬子2 萬子2 西風 西風 西風 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん
27,West,10596,56,0.001,-9570,,1026,0,0,0,萬子1 南風 南風 北風 白ちゃん 發ちゃん 發ちゃん | 索子7 索子7 索子7 索子9 索子9 索子9
28,North,12948,56,0.001,-11610,,1338,0,0,0,萬子1 西風 北風 北風 白ちゃん 發ちゃん 中ちゃん | 索子9 索子9 索子9 南風 南風 南風
29,South,18438,56,0.001,-17160,,1278,0,0,0,萬子2 索子9 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 東風 東風 東風 南風 南風 南風
30,South,48998,39,0.001,-7500,發 中 白 対々和 混一色 大三元,408,0,0,3,萬子8 萬子8 萬子8 南風 南風 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 白ちゃん 白ちゃん 白ちゃん
31,East,14208,56,0.001,-13020,,1188,0,0,0,索子9 東風 西風 西風 北風 北風 北風 白ちゃん 發ちゃん 發ちゃん | 白ちゃん 白ちゃん 白ちゃん
32,South,56576,51,0.001,-11100,南 中 白 対々和 小三元 字一色,1326,0,0,5,西風 西風 西風 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 南風 南風 南風 白ちゃん 白ちゃん 白ちゃん
33,South,18210,57,0.001,-16140,,1560,0,0,17,北風 北風 白ちゃん 白ちゃん | 索子6 索子6 索子6 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
34,West,7764,56,0.001,-6450,,1314,0,0,0,索子1 索子9 東風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 發ちゃん | 中ちゃん 中ちゃん 中ちゃん
35,North,13428,56,0.001,-12810,,618,0,0,0,索子9 南風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん 中ちゃん | 北風 北風 北風
36,West,11436,56,0.001,-10920,,516,0,0,0,萬子3 南風 西風 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 萬子1 萬子1 萬子1 白ちゃん 白ちゃん 白ちゃん
37,East,21390,56,0.001,-20190,,1200,0,0,0,萬子1 筒子8 索子7 北風 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 東風 東風 東風
38,North,15276,56,0.001,-14340,,936,0,0,0,索子6 索子9 南風 北風 北風 北風 中ちゃん | 西風 西風 西風 白ちゃん 白ちゃん 白ちゃん
39,East,10392,57,0.001,-9120,,1272,0,0,0,西風 北風 中ちゃん 中ちゃん | 索子7 索子7 索子7 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん
40,West,11856,56,0.001,-10770,,1086,0,0,0,南風 西風 北風 北風 北風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 萬子2 萬子2 萬子2
41,North,21930,57,0.001,-20130,,1650,0,0,5,南風 南風 南風 白ちゃん | 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
42,South,47858,47,0.001,-5640,發 中 白 対々和 混一色 大三元,1098,0,0,4,北風 北風 白ちゃん 白ちゃん 白ちゃん | 萬子2 萬子2 萬子2 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
43,South,11838,56,0.001,-10770,,1068,0,0,0,萬子4 萬子7 北風 白ちゃん 白ちゃん 白ちゃん 白ちゃん | 西風 西風 西風 中ちゃん 中ちゃん 中ちゃん
44,North,14628,56,0.001,-13860,,768,0,0,0,索子8 索子9 東風 南風 西風 西風 西風 西風 發ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
45,West,25524,56,0.001,-24450,,1074,0,0,0,東風 東風 北風 北風 北風 白ちゃん 發ちゃん | 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
46,West,12540,56,0.001,-11760,,780,0,0,0,索子2 索子8 東風 北風 發ちゃん 發ちゃん 中ちゃん | 西風 西風 西風 白ちゃん 白ちゃん 白ちゃん
47,West,14844,56,0.001,-14190,,654,0,0,0,南風 北風 北風 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 東風 東風 東風 白ちゃん 白ちゃん 白ちゃん
48,South,27908,49,0.001,-14700,南 發 対々和 混一色 小三風,1698,0,0,17,西風 西風 北風 北風 北風 | 萬子2 萬子2 萬子2 南風 南風 南風 發ちゃん 發ちゃん 發ちゃん
49,South,19110,57,0.001,-18090,,1020,0,0,0,索子8 北風 白ちゃん 發ちゃん | 萬子4 萬子4 萬子4 南風 南風 南風 西風 西風 西風
50,East,22630,50,0.001,-14040,發 対々和 混一色,1560,0,0,1,白ちゃん 白ちゃん | 索子8 索子8 索子8 西風 西風 西風 北風 北風 北風 發ちゃん 發ちゃん 發ちゃん
51,North,6546,56,0.001,-1500,,3396,0,0,55,萬子1 萬子2 萬子4 萬子4 萬子7 萬子7 萬子7 | 萬子3 萬子3 萬子3 萬子5 萬子5 萬子5
52,East,13668,57,0.001,-11280,,2058,0,0,11,白ちゃん 白ちゃん 白ちゃん 中ちゃん | 萬子4 萬子4 萬子4 北風 北風 北風 發ちゃん 發ちゃん 發ちゃん
53,East,16038,56,0.001,-15510,,528,0,0,0,萬子1 萬子3 萬子5赤ドラ 北風 白ちゃん 發ちゃん 中ちゃん | 西風 西風 西風 北風 北風 北風
54,North,46292,54,0.001,-6420,發 中 白 対々和 大三元,1632,0,0,8,萬子6 萬子6 | 索子3 索子3 索子3 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
55,West,16812,57,0.001,-15990,,822,0,0,0,索子6 索子8 北風 中ちゃん | 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん
56,South,20412,57,0.001,-19380,,1032,0,0,0,筒子5赤ドラ 索子1 發ちゃん 發ちゃん | 西風 西風 西風 北風 北風 北風 中ちゃん 中ちゃん 中ちゃん
57,South,14214,56,0.001,-12990,,1134,0,0,3,北風 北風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 萬子7 萬子7 萬子7
58,South,15444,56,0.001,-14370,,1074,0,0,0,索子7 索子9 西風 西風 北風 發ちゃん 中ちゃん | 東風 東風 東風 中ちゃん 中ちゃん 中ちゃん
59,West,25628,44,0.001,-13530,西 中 対々和 混一色 小三風,1038,0,0,2,南風 南風 西風 西風 西風 | 索子6 索子6 索子6 東風 東風 東風 中ちゃん 中ちゃん 中ちゃん
60,North,18978,55,0.001,-17700,,948,0,0,11,東風 東風 東風 南風 南風 南風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん | 
61,East,8538,56,0.001,-7080,,1458,0,0,0,萬子1 萬子4 筒子9 北風 北風 中ちゃん 中ちゃん | 萬子2 萬子2 萬子2 筒子7 筒子7 筒子7
62,East,4470,57,0.001,-3060,,1410,0,0,0,索子1 白ちゃん 白ちゃん 發ちゃん | 筒子8 筒子8 筒子8 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
63,West,5490,56,0.001,-3780,,1710,0,0,0,萬子1 萬子1 萬子1 西風 北風 白ちゃん 白ちゃん | 索子4 索子4 索子4 索子5赤ドラ 索子5 索子5
64,East,11754,56,0.001,-11250,,504,0,0,0,萬子2 索子2 索子2 索子6 索子6 東風 東風 南風 西風 西風 | 索子3 索子3 索子3
65,West,6144,56,0.001,-4350,,1794,0,0,0,西風 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん 中ちゃん | 萬子4 萬子4 萬子4 白ちゃん 白ちゃん 白ちゃん
66,South,78406,41,0.001,-6360,發 中 白 対々和 大三元 字一色,1506,0,0,18,東風 東風 西風 西風 西風 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
