Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,North,11460,43,0.100,-1380,清一色 一盃口,930,0,0,5,萬子1 萬子1 萬子1 萬子2 萬子2 萬子3 萬子4 萬子5 萬子7 萬子7 萬子8 萬子8 萬子9 萬子9 | 
2,North,2064,56,0.100,-1050,,1014,0,0,0,萬子1 萬子1 萬子1 萬子1 筒子8 索子4 北風 | 萬子4 萬子4 萬子4 筒子1 筒子1 筒子1
3,South,19626,56,0.100,-18510,,1116,0,0,0,東風 西風 西風 北風 北風 白ちゃん 中ちゃん | 南風 南風 南風 發ちゃん 發ちゃん 發ちゃん
4,South,19574,39,0.100,-10770,南 中 対々和 混一色,504,0,0,10,北風 北風 北風 發ちゃん 發ちゃん | 索子5 索子5 索子5 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
5,West,10644,25,0.100,-3600,白 五門斉,714,0,0,11,筒子8 筒子8 索子3 索子4 索子5 白ちゃん 白ちゃん 白ちゃん | 萬子6 萬子6 萬子6 北風 北風 北風
6,North,7878,56,0.100,-6690,,1188,0,0,0,筒子2 索子4 索子9 北風 白ちゃん 白ちゃん 白ちゃん | 索子8 索子8 索子8 發ちゃん 發ちゃん 發ちゃん
7,West,8088,57,0.100,-6210,,1728,0,0,5,索子2 索子3 索子4 東風 | 萬子6 萬子6 萬子6 筒子6 筒子6 筒子6 北風 北風 北風
8,North,2094,56,0.100,-870,,1224,0,0,0,萬子3 萬子3 萬子5 筒子1 筒子2 筒子4 筒子4 筒子5赤ドラ 筒子5 南風 | 萬子1 萬子1 萬子1
9,North,3414,56,0.100,-2220,,1194,0,0,0,萬子3 萬子8 萬子8 萬子9 筒子7 索子7 索子7 | 萬子2 萬子3 萬子4 萬子4 萬子4 萬子4
10,South,84646,54,0.100,-13080,發 中 白 対々和 大三元 字一色,1176,0,0,13,西風 西風 發ちゃん 發ちゃん 發ちゃん | 東風 東風 東風 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん
11,East,15912,57,0.100,-15300,,612,0,0,0,萬子3 南風 西風 發ちゃん | 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
12,North,3846,57,0.100,-2100,,1596,0,0,5,發ちゃん 中ちゃん 中ちゃん 中ちゃん | 筒子2 筒子3 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子7 筒子8 筒子9
13,South,12534,57,0.100,-11430,,1104,0,0,0,萬子2 西風 發ちゃん 發ちゃん | 南風 南風 南風 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん 中ちゃん
14,North,13704,56,0.100,-12780,,924,0,0,0,東風 東風 南風 西風 西風 北風 發ちゃん | 索子7 索子8 索子9 白ちゃん 白ちゃん 白ちゃん
15,West,60544,41,0.100,-16020,西 發 対々和 三風刻 字一色,1194,0,0,11,北風 北風 北風 白ちゃん 白ちゃん | 東風 東風 東風 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん
16,West,10674,55,0.100,-10590,,84,0,0,0,索子2 索子4 索子4 索子5 索子9 西風 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 
17,North,13296,56,0.100,-12300,,996,0,0,0,萬子4 萬子6 筒子2 筒子3 索子3 發ちゃん 中ちゃん | 筒子2 筒子3 筒子4 北風 北風 北風
18,South,3102,57,0.100,-480,,1872,0,0,25,白ちゃん | 筒子1 筒子2 筒子3 索子6 索子7 索子8 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
19,West,12894,57,0.100,-11400,,1464,0,0,1,萬子7 中ちゃん 中ちゃん 中ちゃん | 萬子4 萬子5 萬子6 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん
20,West,13086,55,0.100,-12540,,546,0,0,0,萬子4 南風 南風 西風 西風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 
21,South,10226,37,0.100,-3720,中 赤ドラ1 混一色,846,0,0,22,索子5 索子5赤ドラ 中ちゃん 中ちゃん 中ちゃん | 索子1 索子1 索子1 索子4 索子5 索子6 索子6 索子7 索子8
22,East,7364,24,0.100,-1560,中 赤ドラ1 混一色,744,0,0,2,萬子1 萬子1 | 萬子2 萬子3 萬子4 萬子5 萬子5赤ドラ 萬子5 萬子6 萬子6 萬子6 中ちゃん 中ちゃん 中ちゃん
23,East,11256,57,0.100,-9960,,1296,0,0,0,白ちゃん 發ちゃん 發ちゃん 中ちゃん | 筒子1 筒子2 筒子3 索子3 索子4 索子5 西風 西風 西風
24,West,9756,56,0.100,-8790,,966,0,0,0,索子6 西風 西風 北風 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 筒子4 筒子4 筒子4
25,South,15620,53,0.100,-9060,發 白 混一色,1380,0,0,6,索子2 索子2 索子5 索子6 索子7 發ちゃん 發ちゃん 發ちゃん | 索子9 索子9 索子9 白ちゃん 白ちゃん 白ちゃん
26,North,10668,56,0.100,-9600,,1068,0,0,0,索子1 西風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 索子6 索子7 索子8 索子9 索子9 索子9
27,West,8538,56,0.100,-7800,,738,0,0,0,南風 西風 西風 北風 白ちゃん 發ちゃん 中ちゃん | 索子7 索子8 索子9 白ちゃん 白ちゃん 白ちゃん
28,East,14796,56,0.100,-13080,,1266,0,0,15,東風 東風 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子6 索子7 索子8 北風 北風 北風
29,North,7326,57,0.100,-5790,,1536,0,0,0,索子7 索子8 北風 發ちゃん | 萬子1 萬子1 萬子1 索子3 索子4 索子5 索子5 索子6 索子7
30,West,7686,56,0.100,-6540,,1146,0,0,0,東風 南風 白ちゃん 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 索子5 索子5赤ドラ 索子5 索子6 索子7 索子8
31,West,9708,56,0.100,-8430,,1278,0,0,0,索子7 索子9 索子9 南風 中ちゃん 中ちゃん 中ちゃん | 索子5 索子5 索子5 索子6 索子7 索子8
32,East,11226,56,0.100,-10260,,966,0,0,0,北風 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 萬子4 萬子4 萬子4 西風 西風 西風
33,West,3870,56,0.100,-2670,,1200,0,0,0,索子2 索子8 索子9 索子9 東風 發ちゃん 中ちゃん | 筒子9 筒子9 筒子9 索子1 索子2 索子3
34,East,17904,57,0.100,-16980,,924,0,0,0,白ちゃん 白ちゃん 發ちゃん 中ちゃん | 南風 南風 南風 西風 西風 西風 北風 北風 北風
35,North,14086,39,0.100,-3060,白 対々和 鏡同和,786,0,0,8,索子9 索子9 索子9 發ちゃん 發ちゃん | 萬子4 萬子4 萬子4 筒子9 筒子9 筒子9 白ちゃん 白ちゃん 白ちゃん
36,North,8670,32,0.100,-2220,發 中 赤ドラ1 混一色,420,0,0,1,筒子8 筒子8 中ちゃん 中ちゃん 中ちゃん | 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子7 發ちゃん 發ちゃん 發ちゃん
