Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,7032,48,0.100,0,七対子 混一色,1032,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子2 萬子2 萬子3 萬子3 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん | 
2,South,570,55,0.100,0,,570,0,0,0,萬子1 萬子1 萬子3 筒子7 索子6 西風 北風 北風 北風 白ちゃん | 發ちゃん 發ちゃん 發ちゃん
3,South,588,57,0.100,0,,588,0,0,0,萬子6 萬子8 萬子9 筒子1 | 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
4,East,1416,57,0.100,0,,1416,0,0,0,筒子3 筒子5 中ちゃん 中ちゃん | 筒子9 筒子9 筒子9 索子1 索子1 索子1 南風 南風 南風
5,West,1470,56,0.100,0,,1020,0,0,15,索子4 索子5赤ドラ 索子6 北風 白ちゃん 白ちゃん 白ちゃん | 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん
6,North,7520,51,0.100,0,發 赤ドラ1 混一色,1440,0,0,36,索子6 索子6 索子6 南風 南風 | 索子5赤ドラ 索子5 索子5 索子6 索子7 索子8 發ちゃん 發ちゃん 發ちゃん
7,North,1332,57,0.100,0,,1332,0,0,0,萬子2 萬子3 萬子3 發ちゃん | 萬子1 萬子1 萬子1 索子5 索子5 索子5赤ドラ 中ちゃん 中ちゃん 中ちゃん
8,West,696,56,0.100,0,,696,0,0,0,索子1 索子1 索子4 索子4 索子7 索子8 西風 白ちゃん 發ちゃん 中ちゃん | 萬子3 萬子4 萬子5
9,West,1440,57,0.100,0,,1440,0,0,0,索子3 白ちゃん 白ちゃん 中ちゃん | 萬子9 萬子9 萬子9 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6
10,West,1230,56,0.100,0,,1230,0,0,0,萬子6 萬子9 索子1 索子3 索子7 白ちゃん 中ちゃん | 萬子6 萬子7 萬子8 索子2 索子2 索子2
11,East,1782,57,0.100,0,,1782,0,0,0,萬子2 萬子4 筒子1 筒子4 | 萬子7 萬子8 萬子9 筒子2 筒子3 筒子4 筒子5 筒子5 筒子5
12,West,3546,57,0.100,0,,2256,0,0,43,筒子4 | 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子8 筒子8 筒子8 北風 北風 北風
13,West,1104,56,0.100,0,,1104,0,0,0,萬子1 萬子2 索子8 索子9 東風 西風 白ちゃん | 索子7 索子7 索子8 索子8 索子9 索子9
14,North,1368,56,0.100,0,,1368,0,0,0,筒子1 筒子1 筒子2 筒子7 索子5 索子7 索子9 | 萬子7 萬子7 萬子7 索子4 索子5赤ドラ 索子6
15,South,1020,56,0.100,0,,1020,0,0,0,萬子4 萬子9 萬子9 筒子5 筒子9 南風 中ちゃん | 萬子4 萬子5 萬子6 筒子4 筒子5 筒子6
16,North,1356,56,0.100,0,,1356,0,0,0,萬子1 萬子2 萬子3 萬子7 索子3 索子6 中ちゃん | 萬子6 萬子7 萬子8 索子3 索子4 索子5
17,East,1344,57,0.100,0,,1344,0,0,0,萬子6 筒子7 筒子9 索子9 | 萬子3 萬子4 萬子5赤ドラ 萬子5 萬子6 萬子7 索子3 索子3 索子3
18,South,1464,57,0.100,0,,1464,0,0,0,萬子1 萬子3 萬子5 萬子9 | 萬子7 萬子8 萬子9 筒子4 筒子5 筒子6 筒子7 筒子7 筒子7
19,South,7776,34,0.100,0,二槓子 混一色,1206,0,0,19,萬子1 萬子2 萬子3 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1 萬子3 萬子3 萬子3 萬子6 萬子7 萬子8
20,West,1152,57,0.100,0,,1152,0,0,0,筒子2 筒子3 筒子6 索子5赤ドラ | 萬子7 萬子8 萬子9 索子7 索子8 索子9 白ちゃん 白ちゃん 白ちゃん
21,North,1362,56,0.100,0,,1362,0,0,0,萬子3 萬子4 萬子5 萬子8 筒子3 索子1 白ちゃん | 萬子2 萬子3 萬子4 索子3 索子4 索子5
22,East,1092,56,0.100,0,,1092,0,0,0,萬子7 萬子8 筒子2 筒子6 筒子7 東風 中ちゃん | 萬子2 萬子3 萬子4 筒子5赤ドラ 筒子6 筒子7
23,East,1614,57,0.100,0,,1614,0,0,0,筒子3 | 筒子2 筒子2 筒子2 索子2 索子2 索子2 索子3 索子3 索子3 索子5 索子6 索子7
24,East,1992,57,0.100,0,,1992,0,0,0,筒子7 | 萬子1 萬子2 萬子3 筒子8 筒子8 筒子8 索子1 索子2 索子3 索子4 索子4 索子4
25,South,1770,57,0.100,0,,1770,0,0,0,萬子2 萬子6 萬子6 萬子8 | 萬子1 萬子2 萬子3 筒子3 筒子4 筒子5 索子1 索子1 索子1
26,South,1374,57,0.100,0,,1374,0,0,0,萬子6 | 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 筒子2 筒子3 筒子4 筒子7 筒子7 筒子7
27,West,1236,57,0.100,0,,1236,0,0,0,萬子1 筒子3 筒子5 筒子9 | 索子1 索子2 索子3 索子3 索子4 索子5 索子6 索子7 索子8
28,West,2106,57,0.100,0,,2106,0,0,0,筒子9 | 萬子4 萬子5 萬子6 萬子8 萬子8 萬子8 筒子1 筒子1 筒子1 索子2 索子3 索子4
29,North,1398,56,0.100,0,,1398,0,0,0,萬子4 萬子5 萬子5 萬子8 南風 西風 北風 | 萬子8 萬子8 萬子8 筒子3 筒子4 筒子5
30,East,948,56,0.100,0,,948,0,0,0,萬子3 萬子5 萬子5赤ドラ 索子1 索子2 索子6 北風 | 萬子5 萬子6 萬子7 索子1 索子2 索子3
31,South,1830,57,0.100,0,,1830,0,0,0,萬子5赤ドラ 萬子5 萬子6 萬子7 | 萬子4 萬子5 萬子6 筒子6 筒子6 筒子6 索子9 索子9 索子9
32,West,1224,56,0.100,0,,1224,0,0,0,萬子7 萬子8 筒子2 筒子2 筒子3 筒子9 索子1 | 筒子1 筒子2 筒子3 筒子5赤ドラ 筒子6 筒子7
33,East,1770,57,0.100,0,,1770,0,0,0,索子5 | 筒子6 筒子6 筒子6 索子1 索子1 索子1 索子2 索子3 索子4 索子6 索子6 索子6
34,North,1740,57,0.100,0,,1740,0,0,0,萬子3 萬子5 筒子8 索子2 | 萬子6 萬子6 萬子6 萬子7 萬子8 萬子9 筒子3 筒子4 筒子5
35,North,1368,57,0.100,0,,1368,0,0,0,萬子3 萬子4 索子7 西風 | 萬子2 萬子3 萬子4 萬子5 萬子6 萬子7 筒子7 筒子8 筒子9
36,East,1872,57,0.100,0,,1872,0,0,0,索子4 | 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5 筒子4 筒子4 筒子4 索子1 索子2 索子3
37,East,1458,56,0.100,0,,1458,0,0,0,萬子1 萬子2 萬子4 萬子5 萬子5赤ドラ 萬子6 西風 | 萬子2 萬子3 萬子4 萬子5 萬子6 萬子7
38,West,1380,56,0.100,0,,1380,0,0,0,萬子4 萬子4 萬子4 萬子7 萬子7 筒子5 筒子5赤ドラ | 萬子6 萬子7 萬子8 筒子1 筒子1 筒子1
39,East,1968,57,0.100,0,,1968,0,0,0,萬子6 | 萬子2 萬子2 萬子2 萬子5 萬子5赤ドラ 萬子5 筒子1 筒子1 筒子2 筒子2 筒子3 筒子3
40,East,1272,57,0.100,0,,1272,0,0,0,萬子2 萬子3 萬子5赤ドラ 索子9 | 萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 索子5 索子6 索子7
41,East,1392,56,0.100,0,,1392,0,0,0,萬子2 萬子2 萬子2 萬子4 萬子6 索子4 南風 | 萬子8 萬子8 萬子8 筒子3 筒子4 筒子5
42,North,1860,57,0.100,0,,1860,0,0,0,筒子7 | 萬子2 萬子2 萬子2 萬子3 萬子4 萬子5 索子5赤ドラ 索子6 索子6 索子7 索子7 索子8
43,East,1182,56,0.100,0,,1182,0,0,0,萬子3 萬子3 萬子3 萬子6 筒子1 筒子1 筒子2 筒子3 筒子3 筒子5 | 筒子6 筒子7 筒子8
44,South,954,56,0.100,0,,954,0,0,0,萬子3 萬子6 萬子6 萬子8 白ちゃん 中ちゃん 中ちゃん | 萬子4 萬子5赤ドラ 萬子6 萬子9 萬子9 萬子9
45,East,2232,57,0.100,0,,1602,0,0,21,萬子1 萬子1 萬子1 索子3 | 南風 南風 南風 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん
46,North,1236,57,0.100,0,,1236,0,0,0,萬子1 萬子1 筒子4 索子2 | 萬子8 萬子8 萬子8 筒子6 筒子7 筒子8 索子1 索子2 索子3
47,West,1434,57,0.100,0,,1434,0,0,0,萬子1 萬子3 萬子3 萬子6 | 萬子7 萬子8 萬子9 筒子5 筒子6 筒子7 南風 南風 南風
