Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,1968,56,0.001,0,,1968,0,0,0,萬子1 萬子1 萬子1 萬子1 萬子2 東風 南風 西風 北風 白ちゃん | 南風 南風 南風
2,North,1764,57,0.001,0,,1764,0,0,0,萬子1 萬子1 萬子2 南風 | 萬子6 萬子6 萬子6 西風 西風 西風 中ちゃん 中ちゃん 中ちゃん
3,West,1902,56,0.001,0,,1902,0,0,0,萬子2 萬子2 萬子2 萬子2 南風 西風 白ちゃん | 萬子1 萬子1 萬子1 萬子9 萬子9 萬子9
4,North,510,56,0.001,0,,510,0,0,0,萬子1 萬子1 萬子2 萬子2 萬子2 東風 南風 西風 白ちゃん 白ちゃん | 中ちゃん 中ちゃん 中ちゃん
5,North,792,57,0.001,0,,792,0,0,0,萬子4 筒子5 索子9 南風 | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 西風 西風 西風
6,South,1746,57,0.001,0,,1416,0,0,11,萬子2 萬子2 萬子2 西風 | 萬子1 萬子1 萬子1 索子6 索子6 索子6 南風 南風 南風
7,North,1266,56,0.001,0,,1266,0,0,0,萬子1 萬子2 萬子2 索子9 西風 北風 白ちゃん | 筒子6 筒子6 筒子6 索子8 索子8 索子8
8,East,1890,56,0.001,0,,1440,0,0,15,萬子1 萬子3 白ちゃん 白ちゃん 白ちゃん 中ちゃん 中ちゃん | 萬子2 萬子2 萬子2 發ちゃん 發ちゃん 發ちゃん
9,North,4942,36,0.001,0,赤ドラ1 対々和,942,0,0,0,索子7 索子7 | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 筒子5 筒子5 筒子5赤ドラ 西風 西風 西風
10,East,618,56,0.001,0,,618,0,0,0,萬子1 萬子3 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2
11,South,5864,55,0.001,0,白 赤ドラ1 混一色,774,0,0,3,萬子3 萬子4 萬子5赤ドラ 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1 萬子3 萬子3 萬子3 白ちゃん 白ちゃん 白ちゃん
12,South,774,56,0.001,0,,774,0,0,0,萬子1 萬子1 萬子1 萬子2 萬子2 萬子9 筒子3 筒子4 索子8 北風 | 東風 東風 東風
13,North,9932,45,0.001,0,北 白 混全帯么九 混一色,1152,0,0,26,萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 中ちゃん 中ちゃん | 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん
14,East,1938,57,0.001,0,,1728,0,0,7,北風 | 萬子1 萬子1 萬子1 索子9 索子9 索子9 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
