Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,1188,54,0.001,0,,1188,0,0,0,南風 南風 南風 西風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
2,North,990,56,0.001,0,,990,0,0,0,筒子6 筒子9 筒子9 索子7 索子8 中ちゃん 中ちゃん | 索子7 索子7 索子7 索子9 索子9 索子9
3,West,2046,57,0.001,0,,1476,0,0,19,西風 | 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
4,North,1434,57,0.001,0,,1434,0,0,0,白ちゃん 發ちゃん 中ちゃん 中ちゃん | 南風 南風 南風 西風 西風 西風 北風 北風 北風
5,South,1266,56,0.001,0,,1266,0,0,0,索子4 西風 西風 西風 西風 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 南風 南風 南風
6,South,3096,57,0.001,0,,2346,0,0,25,筒子9 索子3 索子3 索子3 | 索子2 索子2 索子2 索子4 索子4 索子4 中ちゃん 中ちゃん 中ちゃん
7,West,1920,57,0.001,0,,1920,0,0,0,索子3 索子8 索子8 發ちゃん | 筒子9 筒子9 筒子9 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
8,South,768,56,0.001,0,,768,0,0,0,筒子7 西風 西風 北風 北風 北風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 中ちゃん 中ちゃん 中ちゃん
9,East,2622,57,0.001,0,,2052,0,0,19,西風 北風 北風 北風 | 萬子2 萬子2 萬子2 南風 南風 南風 發ちゃん 發ちゃん 發ちゃん
10,South,1380,56,0.001,0,,1380,0,0,0,索子2 南風 南風 西風 西風 白ちゃん 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 北風 北風 北風
11,West,20344,38,0.001,0,中 混全帯么九 対々和 混一色 混老頭 小三風,1074,0,0,9,南風 南風 北風 北風 北風 | 索子9 索子9 索子9 東風 東風 東風 中ちゃん 中ちゃん 中ちゃん
12,South,2202,57,0.001,0,,1452,0,0,25,索子8 索子9 發ちゃん 發ちゃん | 索子3 索子3 索子3 東風 東風 東風 中ちゃん 中ちゃん 中ちゃん
13,East,6824,35,0.001,0,發 赤ドラ1 混一色,1404,0,0,14,索子1 索子2 索子3 中ちゃん 中ちゃん | 索子3 索子3 索子3 索子5 索子5 索子5赤ドラ 發ちゃん 發ちゃん 發ちゃん
14,South,1788,57,0.001,0,,1788,0,0,0,索子9 東風 發ちゃん 中ちゃん | 索子3 索子3 索子3 南風 南風 南風 白ちゃん 白ちゃん 白ちゃん
15,South,1416,57,0.001,0,,1416,0,0,0,索子8 白ちゃん 中ちゃん 中ちゃん | 索子9 索子9 索子9 東風 東風 東風 北風 北風 北風
16,South,1518,56,0.001,0,,1518,0,0,0,萬子5 索子4 索子4 索子4 索子5 北風 中ちゃん | 萬子9 萬子9 萬子9 發ちゃん 發ちゃん 發ちゃん
17,East,1314,56,0.001,0,,1314,0,0,0,萬子5 萬子8 索子5赤ドラ 東風 東風 白ちゃん 發ちゃん | 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
18,West,792,56,0.001,0,,792,0,0,0,東風 南風 西風 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 西風 西風 西風
19,North,1038,56,0.001,0,,1038,0,0,0,萬子2 萬子6 筒子1 筒子9 南風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 中ちゃん 中ちゃん 中ちゃん
20,West,20608,55,0.001,0,發 混全帯么九 対々和 混一色 混老頭 小三風,1218,0,0,13,索子9 索子9 索子9 東風 東風 東風 南風 南風 發ちゃん 發ちゃん 發ちゃん | 北風 北風 北風
21,North,1770,56,0.001,0,,1440,0,0,11,索子6 索子7 索子8 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 東風 東風 東風 西風 西風 西風
22,West,978,56,0.001,0,,978,0,0,0,萬子2 萬子9 萬子9 筒子9 索子4 白ちゃん 白ちゃん | 索子7 索子7 索子7 中ちゃん 中ちゃん 中ちゃん
23,West,480,56,0.001,0,,480,0,0,0,萬子2 萬子2 萬子5 萬子7 索子8 白ちゃん 發ちゃん | 索子9 索子9 索子9 中ちゃん 中ちゃん 中ちゃん
24,South,1200,56,0.001,0,,1200,0,0,0,萬子2 萬子2 萬子4 萬子4 索子2 發ちゃん 中ちゃん | 萬子1 萬子1 萬子1 筒子5 筒子5 筒子5赤ドラ
25,North,6464,51,0.001,0,發 白 対々和,1464,0,0,0,南風 南風 | 萬子1 萬子1 萬子1 索子8 索子8 索子8 白ちゃん 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん
26,East,696,56,0.001,0,,696,0,0,0,萬子3 萬子5 筒子9 南風 北風 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 萬子1 萬子1 萬子1
27,East,1320,57,0.001,0,,1320,0,0,0,東風 西風 中ちゃん 中ちゃん | 萬子6 萬子6 萬子6 北風 北風 北風 白ちゃん 白ちゃん 白ちゃん
28,East,618,56,0.001,0,,618,0,0,0,筒子2 筒子4 索子2 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 南風 南風 南風
29,North,1278,56,0.001,0,,1278,0,0,0,索子7 東風 南風 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 索子8 索子8 索子8 白ちゃん 白ちゃん 白ちゃん
30,South,1542,56,0.001,0,,1542,0,0,0,萬子1 萬子3 萬子3 萬子3 萬子5 筒子8 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子9 索子9 索子9
31,South,642,56,0.001,0,,642,0,0,0,筒子3 筒子7 筒子8 索子6 北風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
32,North,1470,56,0.001,0,,1470,0,0,0,筒子7 筒子8 索子3 索子3 東風 發ちゃん 中ちゃん 中ちゃん 中ちゃん 中ちゃん | 索子8 索子8 索子8
33,West,1074,56,0.001,0,,1074,0,0,0,筒子4 筒子8 筒子9 索子1 白ちゃん 白ちゃん 中ちゃん | 索子2 索子2 索子2 發ちゃん 發ちゃん 發ちゃん
34,South,918,57,0.001,0,,918,0,0,0,萬子6 索子2 索子9 白ちゃん | 筒子5 筒子5 筒子5 發ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん
35,South,714,56,0.001,0,,714,0,0,0,萬子2 萬子3 萬子4 萬子4 筒子1 白ちゃん 發ちゃん 發ちゃん 中ちゃん 中ちゃん | 筒子3 筒子3 筒子3
