Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,North,2802,56,0.001,0,,2802,0,0,0,萬子1 萬子2 萬子2 萬子4 萬子4 萬子5 萬子5赤ドラ | 萬子3 萬子4 萬子5 筒子2 筒子3 筒子4
2,East,2106,57,0.001,0,,2106,0,0,0,萬子1 萬子4 萬子4 萬子5赤ドラ | 萬子3 萬子3 萬子3 萬子5 萬子6 萬子7 索子6 索子7 索子8
3,East,2112,57,0.001,0,,2112,0,0,0,萬子3 索子3 發ちゃん 中ちゃん | 萬子1 萬子1 萬子1 萬子4 萬子5 萬子6 索子2 索子3 索子4
4,North,2112,57,0.001,0,,2112,0,0,0,萬子1 萬子1 萬子4 西風 | 萬子2 萬子3 萬子4 索子4 索子5 索子6 中ちゃん 中ちゃん 中ちゃん
5,North,780,56,0.001,0,,780,0,0,0,萬子1 萬子1 萬子2 南風 白ちゃん 白ちゃん 發ちゃん 發ちゃん 發ちゃん 中ちゃん | 萬子2 萬子2 萬子2
6,West,1794,56,0.001,0,,1794,0,0,0,萬子2 萬子2 筒子5赤ドラ 索子6 東風 南風 中ちゃん | 萬子3 萬子3 萬子3 索子1 索子1 索子1
7,North,2790,57,0.001,0,,2790,0,0,0,索子7 | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 索子6 索子7 索子8 中ちゃん 中ちゃん 中ちゃん
8,North,1494,57,0.001,0,,1494,0,0,0,萬子2 萬子2 西風 中ちゃん | 萬子1 萬子1 萬子1 萬子3 萬子4 萬子5赤ドラ 索子7 索子8 索子9
9,South,2172,57,0.001,0,,2172,0,0,0,筒子9 | 萬子4 萬子4 萬子4 萬子6 萬子7 萬子8 筒子6 筒子7 筒子8 索子5赤ドラ 索子5 索子5
10,West,6366,40,0.001,0,混一色,2466,0,0,30,萬子2 萬子3 萬子4 西風 西風 | 萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 萬子6 萬子6 萬子6
11,South,756,56,0.001,0,,756,0,0,0,萬子1 萬子3 白ちゃん 白ちゃん 發ちゃん 發ちゃん 中ちゃん | 萬子1 萬子2 萬子3 中ちゃん 中ちゃん 中ちゃん
12,North,3564,57,0.001,0,,3564,0,0,0,萬子2 | 萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 筒子1 筒子2 筒子2 筒子2 筒子2 筒子3
13,East,1104,57,0.001,0,,1104,0,0,0,萬子1 萬子3 筒子2 發ちゃん | 萬子1 萬子1 萬子1 萬子2 萬子2 萬子2 萬子4 萬子4 萬子4
14,South,1860,57,0.001,0,,1860,0,0,0,萬子4 萬子8 萬子9 索子6 | 筒子3 筒子3 筒子3 筒子6 筒子7 筒子8 索子1 索子2 索子3
15,East,5584,52,0.001,0,中 対々和,1434,0,0,5,索子8 索子8 | 萬子1 萬子1 萬子1 索子7 索子7 索子7 北風 北風 北風 中ちゃん 中ちゃん 中ちゃん
16,South,984,55,0.001,0,,984,0,0,0,萬子1 南風 南風 西風 西風 西風 西風 北風 白ちゃん 發ちゃん 中ちゃん 中ちゃん 中ちゃん | 
17,South,1734,57,0.001,0,,1734,0,0,0,萬子1 索子6 索子9 南風 | 萬子1 萬子1 萬子1 索子5赤ドラ 索子6 索子7 中ちゃん 中ちゃん 中ちゃん
18,North,1044,56,0.001,0,,1044,0,0,0,萬子2 萬子3 萬子5 筒子1 筒子3 筒子6 白ちゃん | 萬子5赤ドラ 萬子6 萬子7 筒子1 筒子1 筒子1
19,East,1536,57,0.001,0,,1536,0,0,0,萬子3 發ちゃん 中ちゃん 中ちゃん | 萬子1 萬子1 萬子2 萬子2 萬子3 萬子3 索子5 索子6 索子7
20,North,3054,57,0.001,0,,3054,0,0,0,萬子2 萬子2 萬子6 西風 | 萬子3 萬子3 萬子3 萬子3 萬子4 萬子5 索子5 索子6 索子7
21,West,1524,57,0.001,0,,1524,0,0,0,萬子2 萬子2 筒子7 索子2 | 萬子1 萬子1 萬子1 索子4 索子5 索子6 索子7 索子8 索子9
22,South,1938,57,0.001,0,,1938,0,0,0,萬子2 萬子5 筒子1 發ちゃん | 萬子2 萬子3 萬子4 筒子4 筒子4 筒子4 索子1 索子2 索子3
23,East,2082,57,0.001,0,,2082,0,0,0,索子2 | 萬子2 萬子3 萬子4 筒子2 筒子3 筒子4 筒子6 筒子7 筒子8 筒子9 筒子9 筒子9
24,West,1944,57,0.001,0,,1944,0,0,0,萬子2 萬子2 萬子5赤ドラ 萬子7 | 萬子1 萬子1 萬子1 萬子8 萬子8 萬子8 筒子7 筒子8 筒子9
25,East,3594,57,0.001,0,,3594,0,0,0,萬子8 | 萬子1 萬子1 萬子1 萬子3 萬子4 萬子5 筒子2 筒子3 筒子4 筒子7 筒子8 筒子9
26,West,7708,18,0.001,0,赤ドラ1 清一色,438,0,0,9,萬子1 萬子1 萬子4 萬子5赤ドラ 萬子6 萬子6 萬子7 萬子8 | 萬子2 萬子3 萬子4 萬子9 萬子9 萬子9
27,North,1926,57,0.001,0,,1926,0,0,0,萬子3 萬子5 筒子1 中ちゃん | 萬子1 萬子2 萬子3 萬子3 萬子4 萬子4 萬子5赤ドラ 萬子5 萬子6
28,West,2286,57,0.001,0,,2286,0,0,0,筒子1 | 萬子1 萬子1 萬子1 萬子2 萬子3 萬子4 筒子5赤ドラ 筒子6 筒子7 索子9 索子9 索子9
29,South,2412,57,0.001,0,,2412,0,0,0,筒子9 | 萬子2 萬子3 萬子4 萬子7 萬子8 萬子9 筒子1 筒子2 筒子3 筒子5 筒子5赤ドラ 筒子5
