Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,-5311,110,0.998,3336,,1056,0,0,0,萬子1 萬子4 萬子8 筒子3 筒子8 索子1 東風 東風 南風 白ちゃん | 筒子3 筒子4 筒子5
2,East,-4426,110,0.996,3555,,2224,0,0,0,萬子5 筒子5 筒子5 索子6 | 萬子2 萬子3 萬子4 筒子6 筒子7 筒子8 索子5 索子6 索子7
3,East,-2675,109,0.994,963,,1304,0,0,0,萬子8 筒子2 筒子7 筒子8 索子4 北風 北風 | 萬子2 萬子3 萬子4 筒子7 筒子8 筒子9
4,West,-4877,110,0.992,2661,,832,0,0,0,萬子4 萬子4 萬子5赤ドラ 筒子4 筒子8 筒子9 索子1 索子3 北風 北風 | 索子3 索子4 索子5
5,East,-3314,110,0.990,843,,600,0,0,0,萬子3 萬子3 筒子7 筒子7 筒子7 索子1 索子2 索子5 白ちゃん 中ちゃん | 萬子9 萬子9 萬子9
6,South,-4109,110,0.988,2181,,1112,0,0,0,萬子2 萬子2 萬子4 萬子6 筒子6 筒子7 筒子8 索子6 索子8 中ちゃん | 索子6 索子7 索子8
7,South,-4480,110,0.986,2103,,688,0,0,0,萬子2 萬子3 筒子7 索子3 索子4 索子7 索子8 索子8 北風 中ちゃん | 筒子4 筒子4 筒子4
8,South,-2017,110,0.984,1137,,2208,0,0,0,筒子3 筒子9 筒子9 索子9 | 萬子3 萬子4 萬子5 筒子7 筒子7 筒子7 白ちゃん 白ちゃん 白ちゃん
9,West,-1910,110,0.982,396,,1592,0,0,0,萬子1 筒子4 索子7 白ちゃん | 萬子1 萬子2 萬子3 筒子3 筒子4 筒子5 索子7 索子8 索子9
10,South,-3279,109,0.980,963,,736,0,0,0,萬子1 萬子1 筒子4 筒子9 索子4 索子8 南風 | 萬子4 萬子5赤ドラ 萬子6 萬子7 萬子7 萬子7
11,East,-5230,109,0.978,4068,,1848,0,0,0,萬子7 筒子3 筒子3 筒子3 筒子4 索子2 索子6 | 萬子6 萬子7 萬子8 筒子6 筒子6 筒子6
12,West,-1433,110,0.976,-729,,872,0,0,0,萬子7 萬子8 萬子9 筒子2 筒子9 索子1 索子3 索子6 北風 中ちゃん | 北風 北風 北風
13,North,-4327,109,0.974,2781,,1424,0,0,0,萬子3 萬子9 筒子3 筒子5 筒子5 筒子6 筒子9 索子1 索子4 索子8 東風 南風 南風 | 
14,West,-318,110,0.972,-540,,2224,0,0,0,萬子6 筒子1 筒子5 筒子7 | 萬子9 萬子9 萬子9 索子4 索子4 索子4 索子9 索子9 索子9
15,North,-2364,110,0.970,180,,880,0,0,0,筒子6 筒子6 索子3 索子4 索子4 索子9 索子9 南風 西風 中ちゃん | 萬子8 萬子8 萬子8
16,South,-4479,110,0.968,2202,,800,0,0,0,萬子6 筒子2 筒子6 筒子6 筒子7 索子1 索子3 索子9 白ちゃん 中ちゃん | 筒子3 筒子4 筒子5赤ドラ
17,East,-3574,110,0.967,2505,,2048,0,0,0,筒子1 筒子4 索子2 東風 | 筒子2 筒子2 筒子2 筒子4 筒子5 筒子6 索子8 索子8 索子8
18,East,-3279,110,0.965,1170,,952,0,0,0,萬子4 萬子7 筒子2 筒子7 筒子8 筒子8 筒子9 索子1 索子2 索子3 | 筒子6 筒子7 筒子8
19,East,-3874,110,0.963,1836,,1008,0,0,0,萬子6 筒子2 筒子3 索子2 索子5赤ドラ 索子5 索子6 北風 白ちゃん 白ちゃん | 筒子4 筒子5 筒子6
20,South,-3157,110,0.961,930,,848,0,0,0,萬子4 萬子5 萬子7 萬子7 萬子9 筒子3 筒子9 索子1 索子3 發ちゃん | 索子4 索子5 索子6
21,East,-3713,109,0.959,2457,,1728,0,0,0,萬子6 筒子1 筒子4 索子1 索子9 索子9 發ちゃん | 筒子6 筒子7 筒子8 索子6 索子7 索子8
22,West,-3435,109,0.957,1344,,952,0,0,0,萬子8 筒子9 索子1 索子3 索子8 東風 白ちゃん | 萬子1 萬子2 萬子3 索子3 索子4 索子5
23,West,-1940,110,0.955,-69,,1032,0,0,0,筒子3 筒子4 筒子5赤ドラ 筒子8 筒子8 索子1 索子2 索子4 南風 發ちゃん | 萬子7 萬子8 萬子9
24,South,-3639,109,0.953,1293,,624,0,0,0,萬子1 筒子1 筒子3 筒子7 索子3 索子4 索子5 索子5赤ドラ 索子5 索子5 索子6 索子7 白ちゃん | 
25,South,-3566,110,0.951,1248,,760,0,0,0,萬子2 萬子4 萬子8 索子2 索子2 索子9 南風 南風 南風 白ちゃん | 索子3 索子4 索子5
26,South,-1745,109,0.949,540,,1792,0,0,0,萬子2 萬子2 萬子2 萬子7 筒子8 筒子9 索子8 | 萬子6 萬子7 萬子8 索子7 索子8 索子9
27,South,-4170,110,0.947,1896,,776,0,0,0,萬子3 萬子4 萬子5 筒子8 筒子8 索子2 索子9 東風 東風 北風 | 索子4 索子4 索子4
28,West,-2213,109,0.945,93,,928,0,0,0,萬子2 萬子2 萬子2 萬子2 筒子7 南風 西風 | 萬子3 萬子3 萬子3 筒子1 筒子2 筒子3
29,North,-3441,109,0.944,1194,,792,0,0,0,萬子2 萬子2 萬子9 筒子4 索子6 南風 中ちゃん | 筒子7 筒子8 筒子9 索子3 索子4 索子5赤ドラ
30,West,-5694,109,0.942,3921,,1248,0,0,0,萬子8 筒子6 筒子8 筒子9 索子5赤ドラ 南風 西風 | 筒子3 筒子4 筒子5 索子6 索子7 索子8
31,West,-3791,109,0.940,2325,,1544,0,0,0,萬子6 筒子3 筒子3 筒子8 索子6 索子9 北風 | 筒子4 筒子5 筒子6 東風 東風 東風
32,South,-4426,110,0.938,2106,,728,0,0,0,萬子4 萬子5 萬子9 筒子6 筒子7 筒子7 索子3 索子7 索子7 索子7 | 筒子5 筒子6 筒子7
33,West,-2449,110,0.936,210,,800,0,0,0,萬子6 萬子7 筒子2 筒子2 筒子7 索子2 索子4 索子9 南風 中ちゃん | 發ちゃん 發ちゃん 發ちゃん
34,West,-2291,110,0.934,-195,,568,0,0,0,萬子1 萬子1 萬子4 萬子7 萬子9 萬子9 索子8 東風 東風 東風 | 索子9 索子9 索子9
35,South,-3184,110,0.932,1701,,1552,0,0,0,萬子2 萬子2 萬子3 萬子3 萬子5 萬子9 筒子1 筒子5 索子8 西風 | 筒子5赤ドラ 筒子6 筒子7
36,East,-3146,109,0.930,1143,,1056,0,0,0,萬子8 筒子2 筒子4 筒子4 索子8 南風 中ちゃん | 筒子6 筒子6 筒子6 中ちゃん 中ちゃん 中ちゃん
37,West,-1231,109,0.929,-237,,1536,0,0,0,萬子1 萬子3 筒子1 索子1 索子2 索子2 南風 | 筒子9 筒子9 筒子9 北風 北風 北風
38,East,-3582,109,0.927,1044,,432,0,0,0,萬子5 萬子5赤ドラ 萬子9 筒子1 筒子4 筒子6 筒子8 筒子9 索子5 東風 西風 北風 白ちゃん | 
39,North,-3050,109,0.925,1200,,1184,0,0,0,萬子9 筒子7 筒子8 索子7 索子7 南風 西風 | 萬子2 萬子3 萬子4 索子2 索子2 索子2
40,East,-3271,109,0.923,789,,488,0,0,0,萬子1 萬子4 萬子8 筒子2 筒子7 筒子8 筒子8 筒子9 索子3 索子6 索子9 中ちゃん 中ちゃん | 
41,West,-3956,110,0.921,1518,,608,0,0,0,萬子6 萬子7 筒子2 筒子9 筒子9 索子4 索子6 索子9 北風 北風 | 筒子3 筒子4 筒子5
42,South,-4546,109,0.919,1896,,320,0,0,0,萬子1 萬子2 萬子4 萬子8 筒子1 筒子8 索子2 索子2 索子9 東風 北風 北風 中ちゃん | 
