Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-7005,110,0.998,5824,,1928,0,0,0,萬子8 萬子8 索子3 索子6 | 萬子7 萬子8 萬子9 筒子2 筒子2 筒子2 索子4 索子5 索子6
2,North,-8984,110,0.996,7216,,1264,0,0,0,萬子2 萬子7 筒子2 筒子8 索子9 索子9 東風 南風 北風 發ちゃん | 萬子4 萬子5 萬子6
3,West,-8668,109,0.994,7900,,2208,0,0,0,萬子2 萬子8 筒子3 筒子5 索子1 索子3 索子3 | 筒子9 筒子9 筒子9 白ちゃん 白ちゃん 白ちゃん
4,East,-12374,109,0.992,11356,,1968,0,0,0,萬子1 萬子2 萬子2 筒子5 索子3 索子9 西風 | 筒子6 筒子7 筒子8 索子1 索子1 索子1
5,South,-6878,109,0.990,5180,,1320,0,0,0,萬子1 萬子5 萬子5 萬子6 萬子6 索子7 南風 | 萬子3 萬子3 萬子3 索子4 索子5 索子6
6,East,-10118,109,0.988,8444,,1336,0,0,0,筒子3 筒子5 筒子9 索子3 索子6 南風 南風 | 筒子3 筒子4 筒子5 索子5 索子6 索子7
7,North,-8883,110,0.986,6784,,936,0,0,0,萬子5 萬子5 筒子6 索子1 索子1 索子2 索子4 索子5 索子7 西風 | 筒子2 筒子3 筒子4
8,North,-12879,109,0.984,11580,,1680,0,0,0,萬子7 萬子8 筒子3 筒子4 索子1 南風 發ちゃん | 筒子4 筒子5赤ドラ 筒子6 索子1 索子2 索子3
9,South,-6838,109,0.982,4380,,512,0,0,0,萬子1 萬子2 萬子2 萬子7 筒子6 筒子6 筒子8 筒子9 索子6 索子8 發ちゃん 發ちゃん 中ちゃん | 
10,East,-11090,110,0.980,8912,,864,0,0,0,萬子2 筒子4 筒子6 筒子8 筒子9 索子5 索子5 西風 發ちゃん 中ちゃん | 筒子3 筒子4 筒子5
11,East,-9652,110,0.978,7472,,896,0,0,0,萬子4 萬子9 筒子2 筒子3 筒子5 筒子5 筒子6 索子4 索子5 索子9 | 白ちゃん 白ちゃん 白ちゃん
12,North,-4614,109,0.976,2476,,832,0,0,0,萬子1 萬子1 萬子2 萬子8 萬子9 萬子9 筒子2 筒子2 筒子4 筒子7 筒子8 索子2 索子5 | 
13,North,-1504,109,0.974,748,,2216,0,0,0,筒子2 筒子9 索子6 索子9 南風 北風 白ちゃん | 萬子5 萬子6 萬子7 北風 北風 北風
14,West,-7339,109,0.972,5116,,840,0,0,0,萬子3 萬子5赤ドラ 筒子1 筒子2 筒子3 南風 北風 | 萬子6 萬子7 萬子8 索子8 索子8 索子8
15,East,-7713,109,0.970,6044,,1344,0,0,0,筒子4 筒子9 索子1 索子5赤ドラ 索子6 發ちゃん 發ちゃん | 萬子2 萬子3 萬子4 索子8 索子8 索子8
16,South,-10885,109,0.968,8732,,880,0,0,0,萬子2 萬子9 索子3 東風 南風 發ちゃん 發ちゃん | 筒子2 筒子3 筒子4 索子1 索子1 索子1
17,West,-11142,109,0.967,9596,,1464,0,0,0,萬子9 筒子2 筒子5 索子3 索子3 索子7 白ちゃん | 筒子4 筒子5 筒子6 索子5 索子6 索子7
18,East,-10426,110,0.965,7968,,592,0,0,0,萬子3 萬子6 筒子2 筒子5 筒子7 筒子9 索子3 索子4 索子6 北風 | 索子5赤ドラ 索子6 索子7
19,South,-4864,109,0.963,2876,,1056,0,0,0,萬子4 筒子2 筒子6 索子1 索子1 索子7 白ちゃん | 萬子3 萬子4 萬子5 東風 東風 東風
20,South,-6399,109,0.961,5244,,1856,0,0,0,萬子1 萬子3 筒子9 筒子9 筒子9 發ちゃん 發ちゃん | 萬子1 萬子1 萬子1 索子7 索子8 索子9
21,East,-10740,110,0.959,8784,,1088,0,0,0,萬子2 萬子2 萬子7 筒子7 索子1 索子7 索子9 南風 西風 發ちゃん | 索子2 索子3 索子4
22,West,-4075,110,0.957,4512,,3472,0,0,0,萬子4 萬子7 筒子2 筒子8 | 萬子8 萬子8 萬子8 索子5 索子5 索子5 南風 南風 南風
23,West,-7030,109,0.955,5084,,1024,0,0,0,萬子2 萬子3 萬子3 萬子3 萬子3 萬子9 筒子6 筒子7 筒子8 筒子8 索子2 索子2 發ちゃん | 
24,West,-1820,109,0.953,620,,1784,0,0,0,萬子6 萬子9 筒子9 索子1 索子8 索子8 東風 | 萬子2 萬子2 萬子2 萬子2 萬子3 萬子4
25,East,-6566,109,0.951,4364,,768,0,0,0,萬子1 萬子5 萬子6 筒子4 索子2 索子2 索子4 索子4 索子7 索子9 北風 中ちゃん 中ちゃん | 
26,West,-5794,110,0.949,4528,,1840,0,0,0,萬子8 萬子8 筒子9 中ちゃん | 萬子4 萬子5 萬子6 筒子5赤ドラ 筒子6 筒子7 索子2 索子3 索子4
27,West,-7285,110,0.947,5008,,784,0,0,0,萬子1 筒子1 筒子7 索子2 索子3 索子6 索子8 東風 西風 白ちゃん | 索子5 索子5 索子5
28,South,-12786,110,0.945,10944,,1184,0,0,0,萬子1 萬子3 萬子4 萬子5 筒子4 筒子6 筒子6 索子2 索子7 東風 | 索子3 索子4 索子5
29,South,-9032,109,0.944,7340,,1312,0,0,0,萬子3 萬子3 萬子4 筒子2 筒子7 筒子8 索子2 | 萬子3 萬子4 萬子5 筒子3 筒子3 筒子3
30,East,-6942,109,0.942,4636,,664,0,0,0,萬子1 萬子1 萬子5 萬子7 筒子4 筒子4 筒子9 索子1 索子2 索子3 東風 白ちゃん 中ちゃん | 
31,North,-4772,110,0.940,2384,,656,0,0,0,萬子3 萬子4 筒子3 索子2 索子4 索子8 西風 西風 發ちゃん 中ちゃん | 萬子2 萬子3 萬子4
32,East,-4370,110,0.938,3184,,1920,0,0,0,萬子1 萬子1 萬子3 筒子9 | 萬子2 萬子3 萬子4 筒子3 筒子3 筒子3 西風 西風 西風
33,West,-8275,109,0.936,6892,,1616,0,0,0,筒子5 索子1 索子3 索子4 索子6 索子7 東風 | 萬子7 萬子7 萬子7 筒子5 筒子6 筒子7
34,South,-10089,109,0.934,8284,,1224,0,0,0,萬子2 筒子4 筒子4 筒子6 北風 白ちゃん 白ちゃん | 索子4 索子4 索子5 索子5 索子6 索子6
35,West,-3947,110,0.932,2816,,1968,0,0,0,萬子7 萬子9 索子5 索子7 | 筒子6 筒子7 筒子8 西風 西風 西風 北風 北風 北風
36,North,-9835,110,0.930,8000,,1192,0,0,0,萬子8 萬子8 萬子8 筒子5 筒子7 筒子7 索子1 索子4 東風 中ちゃん | 索子3 索子4 索子5
37,South,-9586,110,0.929,7456,,896,0,0,0,萬子9 筒子3 筒子9 索子1 索子1 索子2 索子6 索子9 北風 發ちゃん | 筒子5 筒子5 筒子5赤ドラ
38,West,-3087,110,0.927,1200,,1152,0,0,0,萬子6 萬子7 筒子1 筒子3 筒子4 筒子4 索子8 索子9 東風 東風 | 萬子9 萬子9 萬子9
39,South,-9411,109,0.925,7532,,1152,0,0,0,萬子2 萬子2 萬子4 萬子8 筒子4 筒子6 北風 | 筒子5赤ドラ 筒子6 筒子7 索子2 索子2 索子2
40,West,-5896,109,0.923,4236,,1344,0,0,0,萬子5 萬子8 筒子1 筒子3 索子2 索子4 東風 | 萬子3 萬子3 萬子3 筒子7 筒子7 筒子7
41,South,-9381,110,0.921,8896,,2584,0,0,0,萬子9 筒子6 筒子7 白ちゃん | 萬子4 萬子5 萬子6 筒子1 筒子1 筒子1 索子2 索子3 索子4
42,West,-8044,109,0.919,6220,,1200,0,0,0,萬子2 萬子2 萬子4 萬子4 萬子7 筒子6 筒子9 | 筒子2 筒子3 筒子4 索子7 索子8 索子9
43,South,-8571,109,0.918,7980,,2384,0,0,0,筒子8 索子4 東風 南風 南風 西風 中ちゃん | 筒子7 筒子8 筒子9 白ちゃん 白ちゃん 白ちゃん
44,South,-11479,110,0.916,10032,,1664,0,0,0,萬子2 萬子3 索子9 東風 | 筒子6 筒子7 筒子8 索子1 索子1 索子1 發ちゃん 發ちゃん 發ちゃん
45,South,-7998,109,0.914,5996,,968,0,0,0,萬子1 萬子4 萬子6 萬子6 萬子6 筒子1 筒子5 筒子8 索子4 索子7 南風 白ちゃん 發ちゃん | 
46,East,-8419,110,0.912,7264,,1872,0,0,0,萬子1 萬子3 萬子5 萬子9 筒子6 索子8 索子9 南風 白ちゃん 中ちゃん | 索子4 索子5赤ドラ 索子6
47,South,-7507,110,0.910,6416,,2000,0,0,0,萬子4 萬子5 索子6 南風 | 萬子1 萬子2 萬子3 萬子9 萬子9 萬子9 索子8 索子8 索子8
48,East,-12370,109,0.908,11244,,1848,0,0,0,萬子6 筒子4 索子2 東風 東風 北風 中ちゃん | 筒子5 筒子6 筒子7 索子2 索子3 索子4
49,East,-3193,109,0.907,1420,,1248,0,0,0,筒子6 索子5 東風 東風 南風 白ちゃん 白ちゃん | 萬子3 萬子4 萬子5 索子7 索子7 索子7
50,East,-10212,109,0.905,8108,,936,0,0,0,萬子1 萬子4 筒子2 筒子4 筒子9 索子6 中ちゃん | 筒子5 筒子6 筒子7 索子7 索子7 索子7
51,East,-6579,110,0.903,4224,,704,0,0,0,萬子3 萬子6 萬子6 索子2 索子4 索子5 索子8 索子8 白ちゃん 發ちゃん | 萬子5 萬子6 萬子7
52,East,-13051,109,0.901,10876,,872,0,0,0,筒子1 筒子5 索子2 索子3 索子7 西風 西風 | 索子2 索子3 索子4 索子7 索子8 索子9
53,West,-8037,109,0.899,6268,,1256,0,0,0,萬子3 萬子5赤ドラ 萬子5 筒子6 筒子9 索子4 中ちゃん | 萬子6 萬子6 萬子6 索子6 索子6 索子6
54,West,-8025,110,0.898,5840,,864,0,0,0,筒子3 筒子4 筒子8 筒子9 索子6 索子6 東風 西風 西風 發ちゃん | 筒子7 筒子7 筒子7
55,North,-7277,110,0.896,7520,,3280,0,0,0,筒子4 筒子6 筒子9 索子7 | 索子2 索子3 索子4 索子5 索子5 索子5赤ドラ 發ちゃん 發ちゃん 發ちゃん
56,West,-6501,109,0.894,5340,,1816,0,0,0,萬子3 萬子5 筒子1 筒子1 筒子6 中ちゃん 中ちゃん | 索子3 索子4 索子5赤ドラ 北風 北風 北風
57,East,-10025,110,0.892,7568,,608,0,0,0,萬子1 萬子7 筒子1 筒子4 筒子6 索子4 索子6 索子7 索子8 索子9 | 筒子4 筒子4 筒子4
58,East,-11353,110,0.890,9488,,1160,0,0,0,萬子2 筒子2 筒子3 索子1 索子3 索子5 索子6 索子9 索子9 北風 | 索子5赤ドラ 索子6 索子7
59,East,-8486,109,0.889,5692,,176,0,0,0,萬子5 萬子5赤ドラ 萬子8 筒子6 索子1 索子3 索子8 東風 東風 西風 發ちゃん 發ちゃん 中ちゃん | 
60,South,-7177,109,0.887,5564,,1408,0,0,0,筒子1 筒子4 筒子9 東風 南風 北風 發ちゃん | 萬子4 萬子5赤ドラ 萬子6 筒子8 筒子8 筒子8
61,East,-6237,110,0.885,5424,,2288,0,0,0,萬子8 索子2 索子3 索子3 | 萬子3 萬子3 萬子3 萬子7 萬子8 萬子9 索子5 索子6 索子7
62,South,-3959,109,0.883,2236,,1304,0,0,0,萬子3 萬子8 萬子9 筒子4 筒子5赤ドラ 索子8 白ちゃん | 萬子4 萬子4 萬子4 萬子6 萬子6 萬子6
63,North,-8021,109,0.882,6604,,1568,0,0,0,萬子3 萬子9 筒子5 索子1 索子2 索子8 東風 | 索子4 索子5 索子6 南風 南風 南風
64,South,-5886,109,0.880,3404,,576,0,0,0,萬子7 筒子7 筒子8 索子1 索子8 西風 中ちゃん | 萬子5赤ドラ 萬子6 萬子7 索子3 索子4 索子5
65,South,-8385,110,0.878,5728,,416,0,0,0,萬子3 萬子3 筒子8 筒子9 索子1 索子2 索子5 索子8 索子9 南風 | 發ちゃん 發ちゃん 發ちゃん
66,North,-8117,110,0.876,7328,,2296,0,0,0,萬子7 筒子8 索子2 東風 | 萬子5赤ドラ 萬子6 萬子7 筒子1 筒子1 筒子1 索子1 索子2 索子3
67,South,-9357,109,0.874,8412,,2168,0,0,0,南風 | 萬子1 萬子1 萬子1 筒子6 筒子6 筒子6 索子2 索子3 索子4 發ちゃん 發ちゃん 發ちゃん
68,South,-5795,110,0.873,4048,,1280,0,0,0,萬子6 萬子6 萬子8 萬子9 筒子6 索子1 東風 北風 發ちゃん 發ちゃん | 索子2 索子3 索子4
69,South,-11478,109,0.871,9532,,1024,0,0,0,萬子5 萬子6 萬子8 萬子9 筒子2 筒子7 筒子9 索子4 索子7 索子7 東風 西風 西風 | 
70,North,-9426,109,0.869,7852,,1432,0,0,0,萬子3 萬子6 筒子2 筒子8 西風 發ちゃん 中ちゃん | 筒子1 筒子1 筒子1 筒子6 筒子7 筒子8
71,South,-5692,109,0.867,4556,,1848,0,0,0,萬子4 萬子9 筒子2 筒子5 索子1 索子9 南風 | 萬子5赤ドラ 萬子6 萬子7 筒子9 筒子9 筒子9
72,North,-8474,110,0.866,6208,,800,0,0,0,萬子6 萬子7 筒子4 筒子5 筒子9 索子2 索子3 西風 北風 發ちゃん | 筒子2 筒子3 筒子4
73,South,-7024,110,0.864,5296,,1312,0,0,0,萬子1 萬子1 萬子2 萬子5 萬子5 筒子2 筒子5 北風 白ちゃん 中ちゃん | 西風 西風 西風
74,East,-7125,110,0.862,6816,,2768,0,0,0,萬子4 筒子5 索子2 發ちゃん | 萬子5 萬子6 萬子7 筒子6 筒子7 筒子8 索子1 索子1 索子1
75,South,-7777,110,0.861,5792,,1048,0,0,0,萬子2 萬子6 萬子9 萬子9 筒子4 筒子9 索子9 東風 西風 白ちゃん | 筒子4 筒子5 筒子6
76,North,-6189,109,0.859,5132,,1928,0,0,0,筒子2 筒子2 筒子5 筒子8 索子8 索子8 北風 | 萬子5 萬子6 萬子7 索子4 索子5 索子6
77,North,-9009,110,0.857,6912,,968,0,0,0,萬子5赤ドラ 萬子7 萬子9 筒子1 筒子1 索子2 索子4 索子9 南風 西風 | 筒子8 筒子8 筒子8
78,North,-5503,110,0.855,3600,,1128,0,0,0,萬子1 萬子4 萬子7 萬子8 萬子9 筒子4 索子1 白ちゃん 白ちゃん 中ちゃん | 萬子4 萬子5 萬子6
79,North,-3849,109,0.854,2364,,1528,0,0,0,萬子1 萬子2 萬子8 筒子6 北風 北風 發ちゃん | 萬子6 萬子7 萬子8 筒子6 筒子7 筒子8
80,East,-8374,109,0.852,7788,,2504,0,0,0,索子3 | 萬子7 萬子8 萬子9 筒子1 筒子1 筒子1 筒子4 筒子4 筒子4 西風 西風 西風
81,North,-1880,110,0.850,1568,,2760,0,0,0,萬子3 萬子5赤ドラ 筒子2 筒子5 | 萬子2 萬子3 萬子4 萬子7 萬子7 萬子7 筒子9 筒子9 筒子9
82,West,-8799,109,0.849,7132,,1344,0,0,0,萬子7 筒子2 筒子7 索子3 索子4 索子4 中ちゃん | 萬子6 萬子7 萬子8 索子7 索子7 索子7
83,West,-9073,110,0.847,7104,,1072,0,0,0,萬子9 筒子1 筒子3 筒子9 索子3 索子6 東風 東風 白ちゃん 發ちゃん | 索子4 索子5赤ドラ 索子6
84,South,-10184,109,0.845,8700,,1528,0,0,0,萬子3 萬子5赤ドラ 萬子7 筒子5 筒子6 索子4 東風 | 索子3 索子4 索子4 索子5赤ドラ 索子5 索子6
85,South,6712,79,0.844,-2916,發 混一色,1344,0,0,0,萬子5 萬子6 萬子6 萬子7 萬子7 萬子8 東風 東風 東風 白ちゃん 白ちゃん | 發ちゃん 發ちゃん 發ちゃん
86,North,-7518,109,0.842,5116,,568,0,0,0,萬子3 萬子4 萬子6 萬子6 萬子6 萬子7 萬子8 筒子4 索子4 索子4 索子7 北風 白ちゃん | 
87,West,-217,110,0.840,-1408,,1416,0,0,0,萬子2 萬子4 萬子4 萬子6 萬子9 索子2 索子5 索子7 南風 西風 | 萬子5 萬子6 萬子7
88,West,-6305,110,0.838,4576,,1400,0,0,0,萬子6 萬子9 筒子1 筒子4 | 萬子6 萬子6 萬子6 筒子7 筒子8 筒子9 筒子9 筒子9 筒子9
89,West,-8187,110,0.837,6432,,1288,0,0,0,筒子5 筒子5 筒子9 索子3 索子7 索子7 索子7 東風 西風 白ちゃん | 萬子5赤ドラ 萬子5 萬子5
90,East,-2605,109,0.835,2620,,3096,0,0,0,萬子5 | 萬子5赤ドラ 萬子6 萬子6 萬子7 萬子7 萬子8 萬子8 萬子8 萬子8 索子7 索子7 索子7
91,West,-5292,110,0.833,3872,,1704,0,0,0,萬子3 萬子9 南風 西風 | 萬子4 萬子5 萬子6 萬子6 萬子7 萬子8 筒子6 筒子6 筒子6
92,South,-6888,109,0.832,5868,,1968,0,0,0,萬子6 筒子4 索子6 索子6 索子8 西風 北風 | 筒子1 筒子2 筒子3 白ちゃん 白ちゃん 白ちゃん
93,South,-1340,78,0.830,5680,赤ドラ1 対々和,1920,0,0,0,萬子9 萬子9 索子5 索子5赤ドラ 索子5 | 萬子4 萬子4 萬子4 筒子6 筒子6 筒子6 索子1 索子1 索子1
94,East,-8034,109,0.828,6684,,1632,0,0,0,萬子2 萬子2 萬子9 筒子9 索子1 索子1 南風 | 萬子7 萬子7 萬子7 筒子9 筒子9 筒子9
95,South,-2130,110,0.827,752,,1712,0,0,0,萬子3 萬子5赤ドラ 索子3 東風 | 萬子2 萬子2 萬子2 萬子4 萬子5 萬子6 萬子7 萬子8 萬子9
96,East,-5317,109,0.825,3900,,1592,0,0,0,萬子3 萬子6 萬子8 筒子2 筒子6 索子9 北風 | 筒子7 筒子8 筒子9 西風 西風 西風
97,North,-5730,109,0.823,3724,,1024,0,0,0,筒子1 筒子5 筒子6 索子4 索子4 索子7 東風 | 萬子5赤ドラ 萬子5 萬子5 萬子6 萬子7 萬子8
