Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,West,-8294,109,0.998,6882,,1512,0,104,0,萬子5 筒子5 筒子8 索子3 索子7 索子7 發ちゃん | 萬子5赤ドラ 萬子6 萬子7 中ちゃん 中ちゃん 中ちゃん
2,West,-2225,110,0.996,-14,,528,0,295,0,萬子1 萬子2 筒子2 筒子3 筒子8 索子7 索子8 東風 南風 中ちゃん | 索子1 索子1 索子1
3,North,1301,109,0.994,-2546,,1584,0,178,0,萬子1 萬子2 萬子2 筒子1 筒子2 索子5 中ちゃん | 筒子2 筒子3 筒子4 發ちゃん 發ちゃん 發ちゃん
4,West,-3971,109,0.992,2280,,1264,0,53,0,萬子2 萬子9 筒子6 筒子7 筒子8 南風 南風 | 萬子3 萬子3 萬子3 東風 東風 東風
5,West,2637,109,0.990,-4000,,1584,0,44,0,萬子2 萬子6 萬子8 索子2 索子6 東風 中ちゃん | 索子4 索子5赤ドラ 索子6 南風 南風 南風
6,North,-6187,110,0.988,4958,,1528,0,271,0,萬子3 萬子5 萬子7 萬子9 筒子3 筒子4 索子9 南風 中ちゃん 中ちゃん | 萬子9 萬子9 萬子9
7,North,-1276,109,0.986,-674,,896,0,124,0,萬子4 萬子7 萬子9 筒子4 筒子7 筒子9 索子4 索子8 東風 東風 南風 北風 北風 | 
8,West,694,110,0.984,-2614,,960,0,164,0,萬子9 萬子9 筒子1 筒子3 筒子4 筒子8 索子2 北風 北風 白ちゃん | 索子9 索子9 索子9
9,South,-2869,110,0.982,1576,,1640,0,189,0,萬子5 萬子9 索子2 索子2 | 萬子2 萬子2 萬子2 東風 東風 東風 發ちゃん 發ちゃん 發ちゃん
10,North,-3176,110,0.980,1674,,1432,0,93,0,萬子1 萬子1 萬子5 萬子5赤ドラ 筒子1 筒子5 筒子9 西風 北風 白ちゃん | 萬子7 萬子8 萬子9
11,East,-1952,109,0.978,796,,1512,0,341,0,萬子4 萬子6 筒子5 筒子6 筒子8 索子3 索子4 | 萬子2 萬子3 萬子4 索子3 索子4 索子5赤ドラ
12,West,-3628,110,0.976,2696,,2016,0,167,0,索子1 索子3 中ちゃん 中ちゃん | 萬子2 萬子2 萬子2 萬子5 萬子6 萬子7 索子7 索子7 索子7
13,West,-3058,110,0.974,2240,,2144,0,121,0,萬子1 萬子9 筒子8 索子7 | 萬子6 萬子7 萬子8 筒子2 筒子3 筒子4 索子6 索子7 索子8
14,West,13,109,0.972,80,,3120,0,38,0,筒子3 | 萬子7 萬子8 萬子9 筒子6 筒子7 筒子8 索子1 索子2 索子3 索子5 索子6 索子7
15,North,-6103,110,0.970,4506,,1312,0,123,0,萬子5 萬子8 萬子9 萬子9 筒子8 筒子8 索子1 南風 西風 北風 | 萬子6 萬子7 萬子8
16,East,-900,110,0.968,-1008,,1072,0,76,0,萬子4 萬子6 萬子9 筒子3 筒子4 索子3 索子3 索子6 發ちゃん 中ちゃん | 萬子2 萬子3 萬子4
17,East,-3865,110,0.967,1970,,936,0,217,0,萬子3 萬子4 萬子4 萬子4 萬子8 筒子6 筒子9 筒子9 索子7 南風 | 索子8 索子8 索子8
18,West,-4010,110,0.965,1588,,448,0,207,0,萬子2 萬子4 萬子6 萬子6 萬子8 萬子8 筒子9 索子3 索子4 索子6 | 南風 南風 南風
19,West,119,110,0.963,-1134,,2000,0,87,0,萬子7 筒子6 索子4 東風 | 萬子6 萬子7 萬子8 索子3 索子4 索子5 白ちゃん 白ちゃん 白ちゃん
20,East,-4076,109,0.961,1848,,536,0,206,0,萬子2 萬子2 萬子2 萬子3 萬子8 筒子3 筒子4 筒子4 索子1 索子4 索子4 發ちゃん 發ちゃん | 
21,West,-957,109,0.959,-268,,1696,0,53,0,萬子2 萬子3 萬子5赤ドラ 筒子2 筒子3 筒子8 索子2 | 筒子2 筒子2 筒子2 索子7 索子8 索子9
22,East,-5862,110,0.957,3978,,1040,0,111,0,萬子1 萬子3 萬子4 萬子9 萬子9 筒子2 筒子7 索子8 索子8 西風 | 萬子5 萬子6 萬子7
23,West,1653,109,0.955,-2794,,1752,0,84,0,萬子3 萬子4 萬子5 索子3 索子4 索子9 東風 | 索子6 索子7 索子8 北風 北風 北風
24,West,-1158,109,0.953,-22,,1720,0,81,0,萬子1 萬子2 筒子2 筒子5 筒子7 索子4 北風 | 筒子7 筒子8 筒子9 東風 東風 東風
25,North,-1241,110,0.951,-878,,760,0,157,0,萬子1 萬子1 萬子2 萬子3 萬子7 筒子1 筒子5赤ドラ 筒子8 索子6 西風 | 索子1 索子1 索子1
26,East,-3007,109,0.949,976,,608,0,331,0,萬子6 萬子8 筒子1 筒子5 筒子6 筒子8 索子9 南風 南風 北風 白ちゃん 發ちゃん 中ちゃん | 
27,West,-4506,110,0.947,2202,,648,0,124,0,萬子3 萬子8 萬子8 筒子1 筒子6 索子9 索子9 中ちゃん 中ちゃん 中ちゃん | 索子2 索子2 索子2
28,South,-2799,109,0.945,1408,,1536,0,65,0,萬子6 萬子9 筒子9 東風 東風 東風 白ちゃん | 筒子2 筒子3 筒子4 索子2 索子3 索子4
29,North,-4680,109,0.944,3244,,1448,0,132,0,萬子3 筒子2 筒子4 筒子7 索子4 西風 西風 | 萬子1 萬子2 萬子3 萬子9 萬子9 萬子9
