Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,-4741,110,0.998,2093,,400,0,0,0,萬子1 萬子2 筒子5 筒子5 筒子5 索子4 索子4 索子4 白ちゃん 發ちゃん | 萬子6 萬子6 萬子6
2,South,-4825,110,0.996,2273,,488,0,0,0,萬子3 萬子9 筒子1 筒子1 筒子6 索子3 索子4 索子7 索子9 西風 | 索子6 索子6 索子6
3,North,-3275,110,0.994,400,,200,0,0,0,萬子9 筒子3 筒子4 筒子5 筒子5 索子1 索子5 西風 西風 中ちゃん | 筒子7 筒子8 筒子9
4,West,-2404,110,0.992,-163,,504,0,0,0,萬子3 萬子3 筒子2 筒子6 索子3 南風 白ちゃん 白ちゃん 發ちゃん 中ちゃん | 索子2 索子2 索子2
5,North,-4697,110,0.990,2101,,440,0,0,0,萬子1 萬子4 筒子2 筒子3 筒子5赤ドラ 筒子6 筒子6 筒子6 筒子9 筒子9 | 萬子3 萬子4 萬子5赤ドラ
6,North,-2483,110,0.988,-129,,424,0,0,0,萬子2 萬子3 筒子1 筒子3 筒子8 索子1 索子2 索子6 索子8 西風 | 萬子7 萬子8 萬子9
7,South,-2671,109,0.986,200,,584,0,0,0,萬子4 萬子7 萬子9 筒子5 索子3 索子6 索子9 | 筒子1 筒子2 筒子3 索子1 索子2 索子3
8,East,-3550,109,0.984,1278,,744,0,0,0,萬子1 萬子3 索子5 東風 北風 白ちゃん 白ちゃん | 筒子3 筒子4 筒子5赤ドラ 筒子7 筒子8 筒子9
9,South,-3366,109,0.982,788,,392,0,0,0,萬子4 萬子5赤ドラ 萬子5 萬子6 筒子1 筒子1 筒子1 筒子4 索子6 索子6 南風 南風 北風 | 
10,South,-4010,109,0.980,1288,,248,0,0,0,萬子2 萬子3 萬子5 萬子6 筒子2 筒子2 筒子5 筒子6 筒子6 筒子8 東風 中ちゃん 中ちゃん | 
11,West,-3482,110,0.978,865,,424,0,0,0,萬子1 萬子1 萬子8 筒子4 筒子7 筒子9 索子5 南風 北風 中ちゃん | 萬子2 萬子3 萬子4
12,West,-4186,109,0.976,1605,,448,0,0,0,萬子6 筒子2 索子3 索子4 索子9 南風 白ちゃん | 萬子2 萬子3 萬子4 筒子6 筒子7 筒子8
13,West,-2660,109,0.974,267,,632,0,0,0,萬子1 萬子2 筒子3 筒子6 筒子8 西風 北風 | 筒子6 筒子6 筒子6 中ちゃん 中ちゃん 中ちゃん
