Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-2846,109,0.998,976,,1000,0,160,0,萬子3 萬子7 萬子8 筒子1 筒子1 索子3 索子9 | 筒子3 筒子3 筒子3 索子7 索子7 索子7
2,East,-4327,109,0.996,2664,,1232,0,123,0,萬子1 萬子5 萬子6 筒子1 筒子7 索子1 索子8 | 筒子7 筒子8 筒子9 索子7 索子8 索子9
3,West,-6791,109,0.994,5102,,1240,0,85,0,萬子1 筒子3 筒子3 索子1 索子6 索子9 中ちゃん | 萬子6 萬子6 萬子6 萬子7 萬子8 萬子9
4,North,-5983,110,0.992,5666,,2680,0,92,0,萬子2 筒子8 索子9 白ちゃん | 萬子3 萬子4 萬子5 索子6 索子6 索子6 索子9 索子9 索子9
5,East,-941,109,0.990,-1334,,664,0,112,0,萬子5 萬子7 萬子7 筒子5 索子4 索子9 北風 | 筒子3 筒子4 筒子5 索子6 索子6 索子6
6,South,809,109,0.988,-1834,,1784,0,201,0,萬子2 萬子8 筒子2 筒子6 索子3 索子9 中ちゃん | 萬子4 萬子5 萬子6 筒子2 筒子3 筒子4
7,North,-2636,110,0.986,1334,,1664,0,134,0,萬子2 萬子9 筒子3 發ちゃん | 萬子4 萬子5 萬子6 筒子7 筒子8 筒子9 索子1 索子2 索子3
8,North,-4062,109,0.984,1576,,328,0,156,0,萬子1 萬子7 萬子8 萬子9 萬子9 筒子2 索子4 索子4 索子5赤ドラ 索子5 索子9 東風 發ちゃん | 
9,North,-5456,110,0.982,3946,,1336,0,193,0,萬子1 萬子2 萬子7 萬子9 筒子1 筒子2 索子4 索子6 索子8 北風 | 索子1 索子2 索子3
10,North,-5096,110,0.980,3492,,1408,0,116,0,萬子9 筒子5 北風 發ちゃん | 萬子4 萬子5 萬子6 萬子7 萬子8 萬子9 筒子3 筒子3 筒子3
