Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,East,-9644,110,0.998,7520,,1024,0,0,0,萬子2 萬子7 萬子8 索子3 | 索子2 索子2 索子2 索子4 索子5 索子6 索子7 索子8 索子9
2,East,-7965,109,0.996,6060,,1232,0,0,0,索子8 | 萬子5 萬子6 萬子7 萬子8 萬子8 萬子8 筒子1 筒子1 筒子1 索子6 索子6 索子6
3,East,-11072,109,0.994,9164,,1104,0,0,0,筒子4 筒子5 筒子8 筒子8 筒子9 西風 中ちゃん | 索子2 索子2 索子2 索子6 索子6 索子6
4,West,-9773,110,0.992,9376,,2672,0,0,0,筒子6 索子1 索子7 西風 | 萬子5 萬子6 萬子7 索子4 索子5赤ドラ 索子6 中ちゃん 中ちゃん 中ちゃん
5,West,-12310,110,0.990,10480,,1304,0,0,0,萬子1 筒子6 索子1 索子9 | 萬子3 萬子4 萬子5 萬子5 萬子5赤ドラ 萬子5 索子3 索子4 索子5
6,North,-3191,109,0.988,1996,,1792,0,0,0,萬子1 萬子2 萬子5 筒子4 筒子5 筒子6 索子7 | 筒子4 筒子5 筒子6 筒子7 筒子8 筒子9
7,East,-5760,109,0.986,4428,,1656,0,0,0,萬子5 萬子6 萬子8 筒子2 筒子3 筒子8 索子6 | 筒子3 筒子4 筒子5 索子1 索子2 索子3
8,North,-10889,109,0.984,8380,,552,0,0,0,萬子5 萬子8 萬子8 筒子2 筒子3 筒子8 北風 | 筒子9 筒子9 筒子9 索子3 索子4 索子5
9,North,-7088,109,0.982,5484,,1392,0,0,0,萬子4 萬子6 萬子8 索子6 南風 西風 白ちゃん | 萬子7 萬子7 萬子7 筒子6 筒子7 筒子8
10,East,-6739,109,0.980,5180,,1440,0,0,0,萬子4 萬子4 索子8 索子9 索子9 東風 中ちゃん | 索子6 索子6 索子6 發ちゃん 發ちゃん 發ちゃん
11,West,-8607,109,0.978,6652,,1072,0,0,0,萬子3 萬子6 筒子5 筒子9 索子4 東風 南風 | 萬子1 萬子2 萬子3 筒子6 筒子7 筒子8
12,North,-6913,110,0.976,4912,,1040,0,0,0,萬子2 萬子6 筒子2 筒子4 筒子4 筒子9 索子1 索子5 東風 東風 | 萬子3 萬子3 萬子3
13,North,-10108,110,0.974,7936,,888,0,0,0,萬子2 萬子4 萬子9 筒子2 筒子8 索子3 索子8 南風 西風 中ちゃん | 筒子6 筒子7 筒子8
14,East,-8018,110,0.972,5424,,480,0,0,0,萬子1 萬子2 萬子6 萬子7 萬子9 筒子1 索子2 白ちゃん 發ちゃん 發ちゃん | 筒子5 筒子5 筒子5赤ドラ
15,North,-8924,109,0.970,7388,,1472,0,0,0,萬子2 萬子9 萬子9 筒子2 筒子6 索子8 索子9 | 筒子2 筒子3 筒子4 索子6 索子7 索子8
16,East,-13725,109,0.968,12876,,2144,0,0,0,萬子3 索子4 索子6 索子7 南風 北風 北風 | 萬子6 萬子6 萬子6 萬子7 萬子8 萬子9
17,South,-9311,109,0.967,7372,,1104,0,0,0,萬子5赤ドラ 筒子2 索子1 索子4 索子9 東風 東風 | 萬子2 萬子3 萬子4 索子2 索子3 索子4
18,West,-3671,109,0.965,2204,,1528,0,0,0,筒子6 筒子6 筒子8 索子9 南風 白ちゃん 發ちゃん | 筒子5 筒子6 筒子7 中ちゃん 中ちゃん 中ちゃん
19,West,-5167,110,0.963,3632,,1504,0,0,0,萬子1 萬子4 筒子6 筒子7 筒子8 索子3 索子7 東風 南風 白ちゃん | 筒子6 筒子7 筒子8
20,East,-11027,110,0.961,9792,,1864,0,0,0,萬子9 萬子9 筒子5赤ドラ 東風 | 萬子2 萬子3 萬子4 索子1 索子1 索子1 索子3 索子4 索子5
21,North,-5209,109,0.959,4140,,1920,0,0,0,萬子2 筒子5 筒子6 索子8 東風 發ちゃん 中ちゃん | 筒子5赤ドラ 筒子5 筒子5 索子9 索子9 索子9
22,South,-7212,110,0.957,5552,,1376,0,0,0,萬子4 萬子7 萬子9 筒子5 筒子9 索子1 索子4 索子9 東風 白ちゃん | 索子3 索子3 索子3
23,East,-9532,109,0.955,7804,,1280,0,0,0,萬子9 筒子5赤ドラ 筒子5 筒子7 南風 西風 北風 | 萬子4 萬子4 萬子4 萬子5赤ドラ 萬子5 萬子5
24,South,-11090,109,0.953,8860,,816,0,0,0,萬子8 萬子9 筒子8 筒子9 索子6 東風 發ちゃん | 萬子1 萬子2 萬子3 索子3 索子4 索子5赤ドラ
25,West,-13340,110,0.951,11568,,1256,0,0,0,萬子3 萬子5 筒子6 筒子8 筒子8 索子9 索子9 東風 南風 南風 | 索子5 索子5 索子5赤ドラ
26,West,-6313,110,0.949,4352,,1072,0,0,0,萬子4 筒子7 筒子9 筒子9 索子2 索子2 索子5 索子5 北風 中ちゃん | 筒子5 筒子6 筒子7
27,North,-7186,109,0.947,5260,,1104,0,0,0,萬子6 萬子9 索子6 索子9 東風 北風 中ちゃん | 萬子1 萬子2 萬子3 筒子4 筒子5赤ドラ 筒子6
28,West,-8454,109,0.945,6028,,544,0,0,0,萬子2 萬子8 萬子9 筒子2 筒子4 索子2 索子6 索子7 索子7 南風 西風 白ちゃん 中ちゃん | 
29,West,-9933,110,0.944,8528,,1704,0,0,0,萬子5 萬子8 筒子7 索子8 | 萬子5 萬子6 萬子7 筒子5 筒子5 筒子5赤ドラ 索子5 索子5 索子5
30,North,-9703,109,0.942,7932,,1248,0,0,0,萬子2 萬子4 筒子1 筒子3 筒子4 筒子9 索子3 | 索子6 索子6 索子6 索子6 索子7 索子8
31,East,-10872,110,0.940,8528,,720,0,0,0,萬子1 萬子2 萬子4 萬子5 萬子9 萬子9 筒子1 筒子1 索子9 索子9 | 南風 南風 南風
32,South,-9557,109,0.938,8236,,1680,0,0,0,筒子2 筒子3 筒子8 索子6 索子9 南風 發ちゃん | 萬子3 萬子4 萬子5 索子2 索子3 索子4
33,North,-8917,110,0.936,6496,,640,0,0,0,萬子8 萬子9 萬子9 筒子1 筒子6 筒子8 筒子8 南風 北風 白ちゃん | 索子2 索子2 索子2
34,North,-5220,110,0.934,2816,,656,0,0,0,萬子4 萬子5 筒子1 筒子2 筒子8 索子4 索子8 索子9 北風 北風 | 筒子4 筒子5 筒子6
35,West,-3968,109,0.932,2428,,1456,0,0,0,萬子8 筒子3 筒子6 筒子7 索子1 索子8 東風 | 筒子5 筒子6 筒子7 筒子8 筒子8 筒子8
36,East,-6169,109,0.930,5004,,1840,0,0,0,萬子5 萬子9 筒子2 筒子3 筒子4 索子5 索子9 | 筒子6 筒子7 筒子8 索子6 索子7 索子8
37,West,-10524,109,0.929,8748,,1248,0,0,0,萬子1 萬子1 筒子9 索子2 索子5赤ドラ 東風 白ちゃん | 萬子3 萬子4 萬子4 萬子5赤ドラ 萬子5 萬子6
38,North,-11524,110,0.927,9600,,1144,0,0,0,萬子2 萬子2 萬子2 萬子4 萬子6 筒子8 東風 南風 北風 中ちゃん | 索子6 索子7 索子8
39,North,-7540,109,0.925,5948,,1408,0,0,0,萬子1 筒子2 筒子3 筒子7 索子2 索子5 東風 | 萬子6 萬子7 萬子8 筒子2 筒子3 筒子4
40,East,-6020,110,0.923,4912,,1920,0,0,0,萬子4 萬子8 筒子1 筒子1 筒子1 筒子1 筒子7 索子2 索子3 白ちゃん | 索子6 索子7 索子8
41,South,-9812,110,0.921,7696,,928,0,0,0,萬子1 萬子4 萬子8 筒子2 筒子4 筒子8 索子8 西風 發ちゃん 中ちゃん | 萬子1 萬子2 萬子3
42,East,-6294,109,0.919,4524,,1248,0,0,0,萬子1 筒子2 筒子2 筒子7 筒子9 索子1 東風 | 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5
43,West,-11906,109,0.918,10796,,1888,0,0,0,萬子9 筒子1 筒子3 索子2 索子9 索子9 中ちゃん | 萬子5 萬子6 萬子6 萬子7 萬子7 萬子8
