Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TEZ_Score,TAZ_Score,Tenpai,HandComplete
1,South,-17973,110,0.998,18120,,2112,576,576,0,萬子6 索子5赤ドラ 索子7 索子8 | 萬子5 萬子5 萬子6 萬子6 萬子7 萬子7 索子2 索子2 索子2
2,East,-16529,109,0.996,16755,,1672,1208,356,0,萬子5赤ドラ 筒子1 筒子2 筒子8 筒子9 索子4 索子7 | 筒子6 筒子6 筒子6 索子1 索子2 索子3
3,West,-15219,109,0.994,14325,,864,540,752,0,筒子1 筒子3 筒子3 筒子9 索子4 索子8 南風 | 索子1 索子1 索子2 索子2 索子3 索子3
4,East,-10457,110,0.992,10470,,1128,1136,792,0,萬子4 萬子7 萬子9 筒子1 筒子8 筒子9 索子2 索子6 索子7 南風 | 索子1 索子1 索子1
5,West,-12555,110,0.990,13080,,2752,628,224,0,萬子4 筒子7 西風 中ちゃん | 萬子2 萬子2 萬子2 萬子8 萬子8 萬子8 筒子2 筒子3 筒子4
6,South,-13951,109,0.988,14385,,1232,1656,516,0,萬子1 萬子1 萬子1 萬子3 萬子4 萬子6 索子4 索子7 索子7 索子7 西風 西風 北風 | 
7,West,-13809,110,0.986,13770,,2496,304,232,0,萬子1 萬子4 筒子1 西風 | 萬子3 萬子4 萬子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
8,North,-20822,110,0.984,20940,,2480,408,312,0,萬子5 筒子5 西風 西風 | 筒子3 筒子3 筒子3 筒子8 筒子8 筒子8 索子4 索子4 索子4
9,South,-15474,109,0.982,15015,,1232,860,480,0,萬子1 索子1 索子1 索子4 索子5 索子5 索子5 | 筒子5 筒子6 筒子7 索子7 索子8 索子9
10,East,-12503,109,0.980,11925,,1704,320,396,0,萬子1 萬子9 索子1 索子2 索子4 索子9 白ちゃん | 筒子5 筒子6 筒子7 北風 北風 北風
11,North,-9811,109,0.978,8775,,1488,328,144,0,萬子3 筒子1 筒子1 索子6 索子6 白ちゃん 中ちゃん | 筒子6 筒子7 筒子8 索子1 索子2 索子3
12,North,-7839,109,0.976,7755,,1440,832,660,0,萬子7 萬子8 筒子5 筒子8 索子4 索子4 索子6 | 萬子5 萬子6 萬子7 西風 西風 西風
13,North,-6665,109,0.974,6135,,528,1352,560,0,萬子1 萬子1 萬子2 萬子5赤ドラ 萬子6 筒子6 筒子9 索子1 索子3 索子5赤ドラ 索子5 白ちゃん 中ちゃん | 
14,South,-16527,110,0.972,16590,,1792,780,604,0,萬子1 索子5赤ドラ 索子9 發ちゃん | 萬子3 萬子3 萬子3 索子7 索子8 索子9 中ちゃん 中ちゃん 中ちゃん
15,South,-13474,109,0.970,13065,,1152,604,872,0,萬子1 萬子6 萬子8 萬子8 筒子4 索子9 發ちゃん | 筒子4 筒子5 筒子6 索子1 索子2 索子3
16,West,-16802,110,0.968,16560,,1768,440,668,0,萬子2 筒子2 筒子8 索子2 | 萬子4 萬子5 萬子6 萬子7 萬子8 萬子9 筒子5 筒子6 筒子7
17,West,-6303,109,0.967,5745,,528,1236,648,0,萬子5 萬子7 萬子8 筒子7 筒子8 索子2 索子4 索子8 索子9 索子9 西風 發ちゃん 中ちゃん | 
18,North,-16939,109,0.965,16725,,1056,988,772,0,萬子3 萬子6 筒子5赤ドラ 筒子6 筒子6 筒子9 白ちゃん | 索子4 索子5 索子6 索子6 索子7 索子8
19,South,-12247,109,0.963,11265,,136,1056,796,0,萬子2 萬子4 萬子8 筒子2 筒子4 筒子4 筒子5 筒子6 筒子6 索子1 東風 東風 南風 | 
20,South,-15482,109,0.961,15165,,1416,616,660,0,萬子9 萬子9 筒子7 筒子8 西風 白ちゃん 白ちゃん | 萬子2 萬子3 萬子4 筒子3 筒子4 筒子5
21,East,-8947,109,0.959,8115,,1472,484,200,0,萬子1 萬子4 筒子5 筒子7 索子8 北風 發ちゃん | 萬子7 萬子8 萬子9 白ちゃん 白ちゃん 白ちゃん
22,North,-13105,110,0.957,12420,,1168,528,648,0,萬子5 筒子1 筒子4 索子8 南風 南風 西風 北風 北風 發ちゃん | 筒子1 筒子2 筒子3
23,East,-15343,109,0.955,15225,,1296,1020,604,0,萬子7 筒子4 筒子5 索子3 南風 西風 西風 | 萬子2 萬子3 萬子4 索子7 索子8 索子9
24,North,-18528,109,0.953,18375,,1040,804,1056,0,萬子3 萬子4 萬子5 萬子8 索子3 索子4 索子6 | 筒子1 筒子1 筒子1 索子1 索子2 索子3
25,North,-10571,110,0.951,9900,,952,916,508,0,萬子2 萬子6 萬子7 索子1 索子2 索子3 索子4 索子4 東風 白ちゃん | 萬子5 萬子6 萬子7
26,South,-17831,110,0.949,17910,,2104,664,396,0,索子6 南風 北風 中ちゃん | 萬子2 萬子3 萬子4 萬子4 萬子5 萬子5 萬子6 萬子6 萬子7
27,North,-17802,109,0.947,18405,,3072,380,208,0,中ちゃん | 萬子6 萬子7 萬子8 筒子1 筒子2 筒子3 筒子6 筒子7 筒子8 北風 北風 北風
28,North,-15188,110,0.945,14310,,1272,440,436,0,萬子2 萬子7 萬子8 筒子6 筒子9 索子5赤ドラ 索子8 東風 南風 中ちゃん | 筒子5 筒子6 筒子7
29,West,-17879,110,0.944,17910,,1776,512,860,0,萬子1 萬子5 索子4 發ちゃん | 筒子4 筒子5赤ドラ 筒子6 索子2 索子3 索子4 索子5赤ドラ 索子5 索子5
30,West,-5155,110,0.942,4740,,856,1072,724,0,萬子4 筒子1 筒子1 筒子2 筒子3 筒子8 筒子8 筒子8 東風 發ちゃん | 白ちゃん 白ちゃん 白ちゃん
31,East,-10912,110,0.940,10980,,1200,716,1212,0,萬子4 筒子3 筒子5赤ドラ 筒子7 索子1 索子4 索子6 索子7 發ちゃん 中ちゃん | 北風 北風 北風
32,North,-9173,109,0.938,9135,,752,892,1288,0,萬子3 萬子6 萬子7 萬子7 萬子8 筒子2 筒子3 筒子4 筒子9 索子4 索子8 南風 北風 | 
33,North,-16212,109,0.936,15975,,1672,768,312,0,萬子4 筒子1 筒子2 筒子3 筒子4 筒子4 筒子4 | 筒子6 筒子7 筒子8 索子2 索子3 索子4
34,South,-17412,110,0.934,17100,,2208,304,256,0,索子9 索子9 北風 北風 | 萬子7 萬子8 萬子9 筒子1 筒子1 筒子1 筒子6 筒子7 筒子8
35,South,-17732,110,0.932,17940,,1208,1128,1036,0,萬子7 萬子7 筒子6 索子2 | 萬子3 萬子3 萬子3 萬子6 萬子6 萬子6 筒子4 筒子5 筒子6
36,West,-17964,110,0.930,17730,,1392,888,604,0,筒子4 南風 南風 北風 | 萬子3 萬子4 萬子5赤ドラ 筒子6 筒子6 筒子6 筒子7 筒子8 筒子9
37,East,-5764,109,0.929,6315,,1392,1196,1024,0,萬子8 筒子3 索子3 東風 東風 北風 中ちゃん | 萬子7 萬子8 萬子9 索子6 索子7 索子8
38,West,-11220,110,0.927,11430,,768,1668,832,0,萬子4 萬子8 萬子8 筒子1 筒子3 筒子4 索子5 東風 北風 白ちゃん | 索子6 索子7 索子8
39,South,-15161,110,0.925,14430,,1696,404,272,0,萬子3 萬子5赤ドラ 萬子8 南風 | 萬子3 萬子4 萬子5 萬子7 萬子8 萬子9 筒子7 筒子7 筒子7
40,East,-10525,109,0.923,10185,,1024,1092,584,0,筒子2 筒子5赤ドラ 筒子6 索子4 索子5 索子6 西風 | 索子7 索子8 索子9 白ちゃん 白ちゃん 白ちゃん
41,South,-6999,109,0.921,6705,,640,1412,624,0,萬子3 萬子7 筒子3 筒子4 筒子7 筒子8 筒子9 索子3 索子8 索子8 索子8 索子9 東風 | 
42,South,-9880,110,0.919,8910,,520,584,996,0,萬子3 萬子4 萬子9 筒子5 索子2 索子3 索子4 西風 發ちゃん 中ちゃん | 萬子2 萬子3 萬子4
43,West,-9182,109,0.918,8715,,1472,336,728,0,萬子1 萬子9 筒子9 索子5 索子7 西風 北風 | 萬子7 萬子8 萬子9 發ちゃん 發ちゃん 發ちゃん
44,East,-14147,109,0.916,13665,,584,1072,832,0,萬子1 萬子2 萬子3 萬子5赤ドラ 萬子6 萬子6 萬子9 筒子7 筒子9 索子2 北風 白ちゃん 白ちゃん | 
45,East,-13350,109,0.914,13515,,1024,1296,888,0,萬子4 萬子4 筒子5 索子7 索子7 白ちゃん 發ちゃん | 筒子7 筒子7 筒子7 東風 東風 東風
46,North,-11300,110,0.912,10920,,584,1364,740,0,萬子5 萬子7 筒子3 筒子4 筒子7 筒子9 筒子9 索子2 索子4 索子8 | 索子1 索子2 索子3
47,North,-11814,110,0.910,11460,,1040,992,652,0,萬子2 萬子3 萬子6 萬子6 萬子9 索子8 東風 北風 北風 北風 | 索子5 索子6 索子7
48,West,-17944,109,0.908,17655,,1688,420,584,0,萬子9 索子1 索子1 東風 西風 中ちゃん 中ちゃん | 筒子3 筒子3 筒子3 索子6 索子7 索子8
49,South,-18874,109,0.907,18525,,1752,400,476,0,萬子4 萬子8 筒子5 筒子5 筒子9 索子3 中ちゃん | 萬子3 萬子4 萬子5 筒子1 筒子1 筒子1
50,West,-17693,110,0.905,17640,,2168,320,548,0,筒子2 索子9 東風 西風 | 萬子2 萬子3 萬子4 萬子8 萬子8 萬子8 筒子8 筒子8 筒子8
51,East,-16271,110,0.903,16800,,2528,656,416,0,筒子3 筒子4 南風 發ちゃん | 筒子2 筒子2 筒子2 筒子3 筒子4 筒子5 索子7 索子8 索子9
52,West,-14914,109,0.901,14475,,1496,684,384,0,萬子2 萬子3 萬子7 筒子8 筒子9 筒子9 筒子9 | 萬子5 萬子6 萬子7 索子3 索子4 索子5
53,West,-13043,109,0.899,12945,,1168,1012,744,0,萬子3 萬子3 萬子5 萬子9 筒子2 索子9 東風 | 筒子1 筒子2 筒子3 南風 南風 南風
54,West,-19727,109,0.898,19305,,1400,416,764,0,萬子1 筒子1 筒子1 筒子7 筒子8 索子8 西風 | 索子3 索子4 索子5赤ドラ 索子5 索子6 索子7
55,North,-9339,110,0.896,8880,,736,1028,820,0,萬子4 萬子7 筒子4 筒子6 筒子8 筒子9 索子8 索子8 西風 北風 | 筒子5 筒子5 筒子5
56,North,-15503,110,0.894,15180,,1296,908,528,0,萬子2 萬子8 筒子2 筒子2 筒子5赤ドラ 筒子7 筒子9 索子2 發ちゃん 中ちゃん | 索子5赤ドラ 索子5 索子5
57,South,-15464,109,0.892,15225,,1112,1132,556,0,萬子1 筒子2 筒子9 筒子9 索子7 索子9 南風 | 筒子4 筒子5 筒子6 索子4 索子5 索子6
