Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
1,West,-68,97,0.020,0,,0,0,0,萬子1 萬子6 筒子3 筒子4 筒子4 西風 西風 | 萬子2 萬子2 萬子2 索子9 索子9 索子9
2,West,-66,96,0.020,0,,0,0,0,萬子1 筒子2 筒子4 西風 西風 西風 發ちゃん 發ちゃん 發ちゃん 白ちゃん | 筒子6 筒子7 筒子8
3,East,-68,96,0.020,0,,0,0,0,萬子5 筒子2 筒子2 筒子4 筒子4 西風 白ちゃん | 筒子1 筒子2 筒子3 索子1 索子2 索子3
4,East,15438,91,0.020,0,東 混一色 三暗刻,0,0,15,筒子2 筒子2 筒子2 筒子3 筒子3 筒子3 筒子3 筒子4 筒子5 東風 東風 西風 西風 東風 | 
5,North,-66,96,0.020,0,,0,0,0,萬子1 萬子4 萬子6 萬子6 筒子3 筒子4 西風 東風 中ちゃん 白ちゃん | 索子7 索子7 索子7
6,North,-68,96,0.020,0,,0,0,0,筒子2 筒子2 筒子4 西風 | 筒子5 筒子6 筒子7 索子1 索子1 索子1 白ちゃん 白ちゃん 白ちゃん
7,South,-68,96,0.020,0,,0,0,0,萬子6 筒子2 西風 中ちゃん | 萬子8 萬子8 萬子8 筒子1 筒子2 筒子3 白ちゃん 白ちゃん 白ちゃん
8,East,-68,96,0.020,0,,0,0,0,萬子6 萬子6 筒子3 西風 | 萬子1 萬子2 萬子3 筒子7 筒子8 筒子9 東風 東風 東風
9,South,-66,96,0.020,0,,0,0,0,萬子6 萬子6 萬子6 筒子2 筒子2 筒子3 筒子4 索子7 索子7 西風 | 中ちゃん 中ちゃん 中ちゃん
10,East,-66,96,0.020,0,,0,0,0,萬子1 筒子2 筒子2 筒子2 筒子3 筒子4 筒子4 筒子4 筒子9 索子7 | 萬子3 萬子3 萬子3
11,East,-66,97,0.020,0,,0,0,0,萬子3 萬子3 萬子6 筒子2 筒子3 筒子4 筒子4 筒子4 西風 東風 西風 東風 白ちゃん | 
12,South,-66,97,0.020,0,,0,0,0,萬子3 萬子6 萬子6 萬子6 筒子3 筒子3 筒子4 筒子4 筒子9 筒子9 筒子9 東風 東風 | 
13,North,-66,97,0.020,0,,0,0,0,萬子3 萬子6 萬子9 萬子9 筒子2 筒子2 筒子2 筒子4 筒子9 東風 東風 白ちゃん 白ちゃん | 
14,East,-66,97,0.020,0,,0,0,0,萬子2 萬子2 萬子3 萬子3 萬子9 萬子9 筒子9 筒子9 筒子9 東風 北風 東風 白ちゃん | 
15,West,-66,97,0.020,0,,0,0,0,萬子2 萬子3 萬子3 萬子3 萬子9 萬子9 筒子2 筒子2 筒子3 筒子4 筒子9 東風 東風 | 
16,North,834,97,0.020,0,,0,0,1,萬子2 萬子2 萬子6 萬子6 筒子1 筒子1 筒子1 筒子4 筒子4 筒子5 筒子5 東風 東風 | 
17,South,-66,97,0.020,0,,0,0,0,萬子2 萬子6 萬子6 萬子9 筒子2 筒子9 北風 東風 東風 東風 西風 東風 中ちゃん | 
18,West,834,97,0.020,0,,0,0,1,萬子2 萬子2 萬子6 萬子6 萬子9 筒子2 筒子2 筒子5 筒子5 筒子8 筒子8 南風 南風 | 
