Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore,HandComplete
1,124,22,0.995,124,0,,1, 
2,12,22,0.990,12,0,,1, 
3,60,22,0.985,60,0,,0, 
4,36,22,0.980,36,0,,0, 
5,100,22,0.975,100,0,,0, 
6,12,22,0.970,12,0,,0, 
7,12,22,0.966,12,0,,1, 
8,124,22,0.961,124,0,,0, 
9,12,22,0.956,12,0,,1, 
10,124,22,0.951,124,0,,1, 
11,-12,22,0.946,-12,0,,0, 
12,60,22,0.942,60,0,,0, 
13,156,22,0.937,156,0,,1, 
14,132,22,0.932,132,0,,1, 
15,-12,22,0.928,-12,0,,0, 
16,100,22,0.923,100,0,,1, 
17,44,22,0.918,44,0,,0, 
18,236,22,0.914,236,0,,1, 
19,52,22,0.909,52,0,,1, 
20,180,22,0.905,180,0,,1, 
21,4,22,0.900,4,0,,0, 
22,236,22,0.896,236,0,,0, 
23,84,22,0.891,84,0,,2, 
24,172,22,0.887,172,0,,2, 
25,-12,22,0.882,-12,0,,0, 
26,204,22,0.878,204,0,,2, 
27,132,22,0.873,132,0,,1, 
28,-44,22,0.869,-44,0,,0, 
29,52,22,0.865,52,0,,0, 
30,148,22,0.860,148,0,,1, 
31,-28,22,0.856,-28,0,,0, 
32,116,22,0.852,116,0,,1, 
33,28,22,0.848,28,0,,1, 
34,-44,22,0.843,-44,0,,0, 
35,36,22,0.839,36,0,,0, 
36,164,22,0.835,164,0,,0, 
37,196,22,0.831,196,0,,1, 
38,52,22,0.827,52,0,,1, 
39,-4,22,0.822,-4,0,,0, 
40,44,22,0.818,44,0,,0, 
41,76,22,0.814,76,0,,1, 
42,84,22,0.810,84,0,,1, 
43,-28,22,0.806,-28,0,,0, 
44,92,22,0.802,92,0,,1, 
45,108,22,0.798,108,0,,1, 
46,156,22,0.794,156,0,,2, 
47,-44,22,0.790,-44,0,,0, 
48,116,22,0.786,116,0,,1, 
49,92,22,0.782,92,0,,1, 
50,20,22,0.778,20,0,,0, 
51,156,22,0.774,156,0,,1, 
52,188,22,0.771,188,0,,2, 
53,36,22,0.767,36,0,,2, 
54,28,22,0.763,28,0,,0, 
55,4,22,0.759,4,0,,0, 
56,76,22,0.755,76,0,,1, 
57,-4,22,0.751,-4,0,,1, 
58,148,22,0.748,148,0,,0, 
59,52,22,0.744,52,0,,1, 
60,52,22,0.740,52,0,,1, 
61,36,22,0.737,36,0,,1, 
62,108,22,0.733,108,0,,1, 
63,-4,22,0.729,-4,0,,1, 
64,260,22,0.726,260,0,,1, 
65,220,22,0.722,220,0,,1, 
66,52,22,0.718,52,0,,1, 
67,-4,22,0.715,-4,0,,0, 
68,52,22,0.711,52,0,,1, 
69,76,22,0.708,76,0,,1, 
70,100,22,0.704,100,0,,1, 
71,108,22,0.701,108,0,,0, 
72,-12,22,0.697,-12,0,,0, 
73,-12,22,0.694,-12,0,,0, 
74,76,22,0.690,76,0,,2, 
75,100,22,0.687,100,0,,1, 
76,-28,22,0.683,-28,0,,0, 
77,68,22,0.680,68,0,,2, 
78,76,22,0.676,76,0,,1, 
79,204,22,0.673,204,0,,2, 
80,-4,22,0.670,-4,0,,0, 
81,212,22,0.666,212,0,,1, 
82,12,22,0.663,12,0,,1, 
83,60,22,0.660,60,0,,1, 
84,132,22,0.656,132,0,,1, 
85,-20,22,0.653,-20,0,,1, 
86,-12,22,0.650,-12,0,,1, 
87,148,22,0.647,148,0,,1, 
88,60,22,0.643,60,0,,1, 
89,12,22,0.640,12,0,,0, 
90,52,22,0.637,52,0,,0, 
91,132,22,0.634,132,0,,1, 
92,132,22,0.631,132,0,,1, 
93,92,22,0.627,92,0,,1, 
94,148,22,0.624,148,0,,1, 
95,100,22,0.621,100,0,,0, 
96,76,22,0.618,76,0,,1, 
97,-36,22,0.615,-36,0,,0, 
98,196,22,0.612,196,0,,2, 
99,84,22,0.609,84,0,,1, 
100,76,22,0.606,76,0,,1, 
101,108,22,0.603,108,0,,2, 
102,76,22,0.600,76,0,,0, 
103,140,22,0.597,140,0,,2, 
104,-44,22,0.594,-44,0,,0, 
105,60,22,0.591,60,0,,2, 
106,60,22,0.588,60,0,,0, 
107,36,22,0.585,36,0,,0, 
108,220,22,0.582,220,0,,1, 
109,84,22,0.579,84,0,,2, 
110,132,22,0.576,132,0,,1, 
111,276,22,0.573,276,0,,2, 
112,84,22,0.570,84,0,,0, 
113,-4,22,0.568,-4,0,,1, 
114,76,22,0.565,76,0,,1, 
115,84,22,0.562,84,0,,1, 
116,60,22,0.559,60,0,,1, 
117,-12,22,0.556,-12,0,,1, 
118,52,22,0.554,52,0,,1, 
119,284,22,0.551,284,0,,0, 
120,156,22,0.548,156,0,,1, 
121,28,22,0.545,28,0,,0, 
122,60,22,0.543,60,0,,1, 
123,276,22,0.540,276,0,,1, 
124,140,22,0.537,140,0,,1, 
125,28,22,0.534,28,0,,1, 
126,180,22,0.532,180,0,,0, 
127,44,22,0.529,44,0,,0, 
128,-44,22,0.526,-44,0,,0, 
129,12,22,0.524,12,0,,1, 
130,28,22,0.521,28,0,,0, 
131,60,22,0.519,60,0,,1, 
132,36,22,0.516,36,0,,0, 
133,12,22,0.513,12,0,,1, 
134,172,22,0.511,172,0,,1, 
135,228,22,0.508,228,0,,1, 
136,76,22,0.506,76,0,,0, 
137,212,22,0.503,212,0,,2, 
138,52,22,0.501,52,0,,1, 
139,-12,22,0.498,-12,0,,0, 
140,12,22,0.496,12,0,,1, 
141,124,22,0.493,124,0,,1, 
142,28,22,0.491,28,0,,0, 
143,108,22,0.488,108,0,,1, 
144,236,22,0.486,236,0,,2, 
145,108,22,0.483,108,0,,1, 
146,212,22,0.481,212,0,,2, 
147,132,22,0.479,132,0,,0, 
148,308,22,0.476,308,0,,2, 
149,76,22,0.474,76,0,,0, 
150,84,22,0.471,84,0,,1, 
151,60,22,0.469,60,0,,1, 
152,124,22,0.467,124,0,,1, 
153,76,22,0.464,76,0,,0, 
154,20,22,0.462,20,0,,1, 
155,180,22,0.460,180,0,,1, 
156,20,22,0.458,20,0,,1, 
157,36,22,0.455,36,0,,0, 
158,148,22,0.453,148,0,,0, 
159,28,22,0.451,28,0,,0, 
160,108,22,0.448,108,0,,1, 
161,212,22,0.446,212,0,,1, 
162,12,22,0.444,12,0,,0, 
163,60,22,0.442,60,0,,1, 
164,180,22,0.440,180,0,,2, 
165,252,22,0.437,252,0,,1, 
166,92,22,0.435,92,0,,1, 
167,180,22,0.433,180,0,,1, 
168,4,22,0.431,4,0,,0, 
169,116,22,0.429,116,0,,1, 
170,204,22,0.427,204,0,,2, 
171,132,22,0.424,132,0,,1, 
172,180,22,0.422,180,0,,0, 
173,36,22,0.420,36,0,,0, 
174,316,22,0.418,316,0,,2, 
175,228,22,0.416,228,0,,2, 
176,-20,22,0.414,-20,0,,0, 
177,76,22,0.412,76,0,,0, 
178,116,22,0.410,116,0,,1, 
179,84,22,0.408,84,0,,1, 
180,108,22,0.406,108,0,,2, 
181,-44,22,0.404,-44,0,,0, 
182,172,22,0.402,172,0,,2, 
183,52,22,0.400,52,0,,0, 
184,60,22,0.398,60,0,,1, 
185,172,22,0.396,172,0,,2, 
186,100,22,0.394,100,0,,1, 
187,212,22,0.392,212,0,,0, 
188,20,22,0.390,20,0,,1, 
189,-28,22,0.388,-28,0,,1, 
190,140,22,0.386,140,0,,2, 
191,116,22,0.384,116,0,,1, 
192,140,22,0.382,140,0,,1, 
193,84,22,0.380,84,0,,0, 
194,-4,22,0.378,-4,0,,0, 
195,60,22,0.376,60,0,,0, 
196,36,22,0.374,36,0,,1, 
197,212,22,0.373,212,0,,2, 
198,148,22,0.371,148,0,,1, 
199,116,22,0.369,116,0,,1, 
200,172,22,0.367,172,0,,0, 
201,36,22,0.365,36,0,,1, 
202,316,22,0.363,316,0,,2, 
203,116,22,0.361,116,0,,1, 
204,212,22,0.360,212,0,,1, 
205,52,22,0.358,52,0,,0, 
206,52,22,0.356,52,0,,1, 
207,188,22,0.354,188,0,,0, 
208,196,22,0.353,196,0,,1, 
209,324,22,0.351,324,0,,2, 
