Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
1,19940,60,0.050,19940,0,赤ドラ1 七対子 混一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子7 筒子7 筒子8 筒子8 東風 東風
2,19687,84,0.050,19687,0,清一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子8 筒子8
3,3636,126,0.050,3636,0,,8, 
4,19660,93,0.050,19660,0,清一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子7 筒子7 筒子8 筒子8 筒子8
5,4490,126,0.050,4490,0,,4, 
6,3446,126,0.050,3446,0,,4, 
7,13966,42,0.050,13966,0,白 赤ドラ1 混一色,16, 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子7 筒子7 白ちゃん 白ちゃん 白ちゃん
8,4575,126,0.050,4575,0,,4, 
9,7773,126,0.050,7773,0,,8, 
10,18240,48,0.050,18240,0,赤ドラ1 清一色,16, 筒子1 筒子1 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子7 筒子8
11,4714,126,0.050,4714,0,,1, 
12,10205,26,0.050,10205,0,七対子,16, 萬子2 萬子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子7 筒子7 筒子8 筒子8 白ちゃん 白ちゃん
13,9574,126,0.050,9574,0,,4, 
14,21243,113,0.050,21243,0,赤ドラ1 清一色,16, 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子7 筒子7 筒子8 筒子9
15,9792,46,0.050,9792,0,混一色,16, 筒子1 筒子1 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子6 白ちゃん 白ちゃん
16,9280,126,0.050,9280,0,,4, 
17,20832,79,0.050,20832,0,断么九 清一色,16, 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子7 筒子7 筒子7 筒子8 筒子8 筒子8
18,3743,126,0.050,3743,0,,4, 
19,18461,84,0.050,18461,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子5 筒子7 筒子7
20,24749,91,0.050,24749,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子5 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子8 筒子9
21,14921,97,0.050,14921,0,赤ドラ1 七対子,16, 萬子8 萬子8 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子7 筒子7 筒子8 筒子8
22,14528,68,0.050,14528,0,赤ドラ1 混一色,16, 筒子2 筒子3 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9 中ちゃん 中ちゃん
23,3866,126,0.050,3866,0,,4, 
24,17582,58,0.050,17582,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子6 筒子8 筒子8 筒子8
25,4540,126,0.050,4540,0,,2, 
26,4149,126,0.050,4149,0,,4, 
27,4974,126,0.050,4974,0,,4, 
28,4334,126,0.050,4334,0,,2, 
29,17669,113,0.050,17669,0,七対子 混一色,16, 筒子1 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子7 筒子7 筒子8 筒子8
30,20117,105,0.050,20117,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5 筒子5 筒子5赤ドラ 筒子6 筒子7 筒子8
31,19092,101,0.050,19092,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
32,18010,60,0.050,18010,0,清一色,16, 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子8 筒子9
33,22096,90,0.050,22096,0,赤ドラ1 断么九 清一色,16, 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8
34,14524,109,0.050,14524,0,清一色,16, 筒子1 筒子1 筒子1 筒子3 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子8 筒子8 筒子8
35,5242,126,0.050,5242,0,,4, 
36,18110,56,0.050,18110,0,清一色,16, 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子8 筒子9
37,21088,120,0.050,21088,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子8
38,21158,101,0.050,21158,0,赤ドラ1 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子7 筒子7 筒子8 筒子9
39,22433,121,0.050,22433,0,清一色,16, 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子8 筒子8 筒子9
40,5501,126,0.050,5501,0,,4, 
41,4453,126,0.050,4453,0,,4, 
42,5120,126,0.050,5120,0,,2, 
43,20340,54,0.050,20340,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子6 筒子6 筒子7 筒子8
44,10647,35,0.050,10647,0,七対子,16, 萬子6 萬子6 筒子2 筒子2 筒子4 筒子4 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 白ちゃん 白ちゃん
45,17458,51,0.050,17458,0,赤ドラ1 清一色,16, 筒子1 筒子1 筒子2 筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子8 筒子8
46,2048,126,0.050,2048,0,,4, 
47,20333,95,0.050,20333,0,赤ドラ1 清一色,16, 筒子2 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子7 筒子7 筒子8 筒子9
48,25782,92,0.050,25782,0,断么九 清一色,16, 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子8
49,5097,126,0.050,5097,0,,2, 
50,16807,98,0.050,16807,0,清一色,16, 筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9
51,21899,72,0.050,21899,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8
52,20303,92,0.050,20303,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8
53,8574,126,0.050,8574,0,,2, 
54,22170,101,0.050,22170,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子7 筒子7 筒子7 筒子8
55,11766,126,0.050,11766,0,,8, 
56,2614,126,0.050,2614,0,,2, 
57,18797,73,0.050,18797,0,赤ドラ1 清一色,16, 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9
58,6857,126,0.050,6857,0,,2, 
59,24726,37,0.050,24726,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子5赤ドラ 筒子6 筒子6 筒子6 筒子7 筒子7 筒子8 筒子9
60,2850,126,0.050,2850,0,,4, 
61,18725,53,0.050,18725,0,断么九 清一色,16, 筒子2 筒子2 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子6 筒子8 筒子8 筒子8
62,18732,99,0.050,18732,0,赤ドラ1 清一色,16, 筒子1 筒子1 筒子1 筒子2 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6
63,11387,100,0.050,11387,0,赤ドラ1 混一色,16, 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子7 筒子8 筒子9 白ちゃん 白ちゃん
64,6885,126,0.050,6885,0,,2, 
65,12416,126,0.050,12416,0,,4, 
66,4585,126,0.050,4585,0,,2, 
67,4619,126,0.050,4619,0,,4, 
68,2960,126,0.050,2960,0,,4, 
69,22358,53,0.050,22358,0,清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子8 筒子9
70,18494,34,0.050,18494,0,赤ドラ1 混一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子7 筒子7 筒子8 筒子9 白ちゃん 白ちゃん
71,24451,57,0.050,24451,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子1 筒子2 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子9
72,4451,126,0.050,4451,0,,2, 
73,16713,125,0.050,16713,0,清一色,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子6 筒子6 筒子6 筒子7 筒子8
74,4714,126,0.050,4714,0,,4, 
75,9664,126,0.050,9664,0,,4, 
76,3249,126,0.050,3249,0,,4, 
77,15601,63,0.050,15601,0,清一色,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子4 筒子5 筒子6 筒子6 筒子6 筒子7 筒子8 筒子8 筒子8
