Episode,Seat,Score,Turn,Epsilon,Penalty456,Yaku,MZScore, HandComplete
1,East,362,87,0.995,0,,0, 
2,East,338,87,0.990,0,,1, 
3,East,138,87,0.985,0,,0, 
4,North,130,87,0.980,0,,1, 
5,South,218,87,0.975,0,,1, 
6,North,538,87,0.970,0,,1, 
7,North,194,87,0.966,0,,0, 
8,East,466,87,0.961,0,,1, 
9,East,298,87,0.956,0,,0, 
10,South,714,87,0.951,0,,1, 
11,East,58,87,0.946,0,,0, 
12,East,538,87,0.942,0,,1, 
13,West,226,87,0.937,0,,4, 
14,East,66,87,0.932,0,,0, 
15,West,346,87,0.928,0,,1, 
16,East,186,87,0.923,0,,0, 
17,South,282,87,0.918,0,,1, 
18,North,394,87,0.914,0,,1, 
19,West,306,87,0.909,0,,1, 
20,South,114,87,0.905,0,,2, 
21,East,466,87,0.900,0,,2, 
22,West,354,87,0.896,0,,1, 
23,South,330,87,0.891,0,,1, 
24,North,322,87,0.887,0,,0, 
25,North,458,87,0.882,0,,0, 
26,West,138,87,0.878,0,,0, 
27,West,442,87,0.873,0,,0, 
28,East,274,87,0.869,0,,0, 
29,South,626,87,0.865,0,,1, 
30,South,794,87,0.860,0,,2, 
31,South,402,87,0.856,0,,1, 
32,West,122,87,0.852,0,,2, 
33,North,370,87,0.848,0,,0, 
34,East,314,87,0.843,0,,0, 
35,South,130,87,0.839,0,,0, 
36,South,242,87,0.835,0,,1, 
37,North,410,87,0.831,0,,0, 
38,West,482,87,0.827,0,,0, 
39,North,282,87,0.822,0,,1, 
40,East,434,87,0.818,0,,2, 
41,West,450,87,0.814,0,,1, 
42,North,442,87,0.810,0,,2, 
43,South,18,87,0.806,0,,0, 
44,East,218,87,0.802,0,,1, 
45,North,362,87,0.798,0,,2, 
46,South,210,87,0.794,0,,0, 
47,South,122,87,0.790,0,,1, 
48,West,274,87,0.786,0,,0, 
49,West,26,87,0.782,0,,2, 
50,North,402,87,0.778,0,,1, 
51,West,-6,87,0.774,0,,1, 
52,East,122,87,0.771,0,,0, 
53,West,410,87,0.767,0,,2, 
54,East,202,87,0.763,0,,0, 
55,East,442,87,0.759,0,,1, 
56,South,506,87,0.755,0,,1, 
57,South,258,87,0.751,0,,0, 
58,West,498,87,0.748,0,,2, 
59,South,154,87,0.744,0,,1, 
60,East,714,87,0.740,0,,1, 
61,North,234,87,0.737,0,,1, 
62,West,562,87,0.733,0,,1, 
63,North,466,87,0.729,0,,0, 
64,West,258,87,0.726,0,,0, 
65,North,586,87,0.722,0,,1, 
66,North,498,87,0.718,0,,0, 
67,North,282,87,0.715,0,,2, 
68,North,522,87,0.711,0,,1, 
69,South,354,87,0.708,0,,2, 
70,North,466,87,0.704,0,,0, 
71,West,650,87,0.701,0,,1, 
72,South,378,87,0.697,0,,1, 
73,South,362,87,0.694,0,,1, 
74,North,394,87,0.690,0,,0, 
75,East,650,87,0.687,0,,2, 
76,North,450,87,0.683,0,,1, 
77,East,258,87,0.680,0,,0, 
78,North,626,87,0.676,0,,0, 
79,West,738,87,0.673,0,,1, 
80,East,122,87,0.670,0,,1, 
81,East,866,87,0.666,0,,1, 
82,East,290,87,0.663,0,,0, 
83,North,298,87,0.660,0,,0, 
84,North,634,87,0.656,0,,1, 
85,West,330,87,0.653,0,,2, 
86,East,338,87,0.650,0,,2, 
87,West,178,87,0.647,0,,1, 
88,North,698,87,0.643,0,,0, 
89,West,386,87,0.640,0,,2, 
Episode,Seat,Score,Turn,Epsilon,Penalty456,Yaku,MZScore, HandComplete
1,North,306,87,0.995,0,,1, 
2,North,370,87,0.990,0,,1, 
3,East,162,87,0.985,0,,1, 
4,West,162,87,0.980,0,,0, 
5,East,562,87,0.975,0,,1, 
6,South,114,87,0.970,0,,0, 
7,North,242,87,0.966,0,,2, 
8,East,426,87,0.961,0,,0, 
9,North,498,87,0.956,0,,1, 
10,East,314,87,0.951,0,,0, 
11,West,138,87,0.946,0,,1, 
12,South,346,87,0.942,0,,0, 
13,North,362,87,0.937,0,,0, 
14,East,394,87,0.932,0,,0, 
15,West,178,87,0.928,0,,0, 
16,East,106,87,0.923,0,,0, 
17,East,378,87,0.918,0,,0, 
18,West,290,87,0.914,0,,1, 
19,West,290,87,0.909,0,,0, 
20,East,130,87,0.905,0,,1, 
21,North,170,87,0.900,0,,0, 
22,East,170,87,0.896,0,,0, 
23,West,442,87,0.891,0,,1, 
24,North,338,87,0.887,0,,2, 
25,South,362,87,0.882,0,,0, 
26,West,250,87,0.878,0,,0, 
27,West,538,87,0.873,0,,1, 
28,East,282,87,0.869,0,,1, 
29,West,258,87,0.865,0,,1, 
30,South,522,87,0.860,0,,0, 
31,West,98,87,0.856,0,,0, 
32,East,186,87,0.852,0,,0, 
33,West,434,87,0.848,0,,1, 
