Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
1,South,409,110,0.995,0,,465,0,0,萬子1 萬子2 萬子3 萬子5 萬子5 索子1 索子1 索子5 索子5 索子8 索子9 南風 東風
2,East,199,110,0.990,0,,255,0,0,萬子1 萬子1 萬子5 萬子6 萬子9 筒子4 筒子7 筒子8 索子6 南風 南風 中ちゃん 白ちゃん
3,South,319,110,0.985,0,,375,0,0,萬子1 萬子6 萬子7 筒子3 筒子5 筒子7 索子5赤ドラ 索子6 索子8 東風 西風 東風 北風
4,West,409,110,0.980,0,,465,0,0,萬子8 筒子3 筒子4 筒子5 筒子6 索子1 索子2 索子4 索子6 索子7 南風 發ちゃん 發ちゃん
5,East,64,110,0.975,0,,120,0,0,萬子1 萬子8 萬子9 萬子9 筒子1 筒子4 筒子4 筒子8 索子3 索子9 索子9 西風 西風
6,South,154,110,0.970,0,,210,0,0,萬子1 萬子2 萬子3 萬子7 萬子9 筒子4 筒子7 筒子7 索子1 索子4 北風 中ちゃん 中ちゃん
7,West,49,110,0.966,0,,105,0,0,萬子3 萬子3 萬子4 萬子5 萬子5赤ドラ 萬子7 萬子8 索子1 索子3 索子8 西風 白ちゃん 中ちゃん
8,East,184,110,0.961,0,,240,0,0,萬子5 筒子5 筒子8 索子1 索子3 索子4 索子4 索子6 索子8 北風 北風 發ちゃん 中ちゃん
9,East,274,110,0.956,0,,330,0,0,萬子1 萬子1 萬子6 萬子7 萬子7 筒子4 筒子6 索子3 索子7 索子8 北風 發ちゃん 發ちゃん
10,West,4,110,0.951,0,,60,0,0,萬子2 萬子3 萬子3 萬子5 萬子7 筒子2 筒子6 索子4 索子9 索子9 北風 中ちゃん 中ちゃん
11,South,19,110,0.946,0,,75,0,0,萬子4 萬子6 筒子1 筒子4 筒子4 筒子5 筒子7 索子2 索子5 索子8 西風 東風 西風
12,East,229,110,0.942,0,,285,0,0,萬子5 萬子7 筒子1 筒子4 筒子4 筒子6 筒子9 筒子9 索子3 索子6 索子6 南風 西風
13,East,394,110,0.937,0,,450,0,0,萬子2 萬子6 萬子7 萬子8 筒子7 筒子7 筒子7 索子1 索子6 索子6 索子8 索子8 中ちゃん
14,East,304,110,0.932,0,,360,0,0,萬子1 萬子1 萬子4 萬子4 萬子8 萬子9 筒子5赤ドラ 筒子5 筒子5 西風 北風 東風 南風
15,South,4,110,0.928,0,,60,0,0,萬子2 萬子7 萬子8 萬子9 筒子1 筒子7 索子4 南風 南風 東風 發ちゃん 發ちゃん 白ちゃん
16,East,334,110,0.923,0,,390,0,0,萬子3 萬子8 筒子3 筒子4 筒子5 筒子5 筒子6 索子3 索子5赤ドラ 北風 北風 西風 白ちゃん
17,East,199,110,0.918,0,,255,0,0,萬子2 萬子4 萬子5赤ドラ 萬子6 萬子7 萬子8 索子3 索子3 索子7 索子9 索子9 南風 中ちゃん
18,West,199,110,0.914,0,,255,0,0,萬子7 萬子9 萬子9 筒子4 筒子4 筒子5 筒子7 筒子7 索子1 索子6 索子6 東風 南風
19,West,394,110,0.909,0,,450,0,0,萬子1 萬子2 筒子1 筒子4 索子2 索子3 索子3 索子5 索子5赤ドラ 南風 南風 東風 中ちゃん
20,South,139,110,0.905,0,,195,0,0,萬子3 萬子3 萬子5 萬子7 萬子7 筒子6 筒子7 索子6 索子6 索子8 索子9 白ちゃん 中ちゃん
21,West,199,110,0.900,0,,255,0,0,萬子3 萬子5 萬子6 萬子6 萬子9 筒子3 筒子3 筒子3 筒子5 索子1 索子5赤ドラ 索子5 東風
22,North,349,110,0.896,0,,405,0,0,萬子6 萬子8 萬子8 萬子9 萬子9 筒子7 索子3 索子3 索子6 索子6 索子6 索子8 西風
23,South,304,110,0.891,0,,360,0,0,萬子3 萬子3 萬子4 萬子9 筒子5 筒子6 筒子9 索子1 索子4 索子5 索子5 索子8 東風
24,East,542,111,0.887,0,,600,0,0,萬子4 萬子6 副露筒子5 副露筒子5赤ドラ 副露筒子5 索子5 索子5 索子5 索子6 索子6 北風 白ちゃん 白ちゃん
25,South,334,110,0.882,0,,390,0,0,萬子6 萬子8 筒子1 筒子8 索子2 索子3 索子4 索子5 索子5 索子6 索子8 索子9 白ちゃん
26,North,319,110,0.878,0,,375,0,0,萬子1 萬子1 萬子1 萬子2 萬子5 萬子7 筒子1 筒子4 筒子5 筒子7 索子2 索子3 發ちゃん
27,East,19,110,0.873,0,,75,0,0,萬子4 筒子3 筒子4 筒子7 索子3 索子4 索子4 索子6 索子6 索子7 索子9 東風 東風
28,West,94,110,0.869,0,,150,0,0,萬子2 萬子3 萬子8 筒子1 筒子6 筒子8 筒子9 索子4 索子5 索子7 東風 西風 中ちゃん
29,South,544,110,0.865,0,,600,0,0,萬子4 萬子4 萬子7 筒子6 筒子8 筒子8 筒子8 筒子8 索子1 索子3 索子4 索子4 索子5
30,East,229,110,0.860,0,,285,0,0,萬子8 筒子2 筒子2 筒子7 索子2 索子3 索子6 索子6 索子6 索子7 索子9 東風 北風
31,West,199,110,0.856,0,,255,0,0,萬子5 萬子6 萬子8 筒子4 索子2 索子5 索子5 索子7 索子7 索子8 索子9 南風 發ちゃん
